row_id,canonical_tag,category,post_count,source_audit_verdict,effective_action,current_display_ja,current_search_ja,proposed_display_ja,proposed_search_ja,reason_code,confidence,decision_source
I70-000042,shimakaze_(kancolle),Character,20670,FIX_SEARCH,FIX_SEARCH,島風（艦これ）,島風（艦これ） | 島風(艦これ) | 島風(艦隊これくしょん) | 島風,,島風（艦これ） | 島風(艦隊これくしょん) | 島風,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000048,hina_(blue_archive),Character,19450,FIX_DISPLAY,FIX_DISPLAY,空崎ヒナ,空崎ヒナ | ヒナ,空崎ヒナ（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000054,hibiki_(kancolle),Character,18039,FIX_SEARCH,FIX_SEARCH,響（艦これ）,響（艦これ） | 響(艦これ) | 響(艦隊これくしょん),,響（艦これ） | 響(艦隊これくしょん),DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000061,shigure_(kancolle),Character,17758,FIX_SEARCH,FIX_SEARCH,時雨（艦これ）,時雨（艦これ） | 時雨(艦これ) | 時雨(艦隊これくしょん) | 時雨くん | 時雨,,時雨（艦これ） | 時雨(艦隊これくしょん) | 時雨くん | 時雨,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000075,koakuma,Character,16126,FIX_DISPLAY,FIX_DISPLAY,小悪魔,小悪魔 | まさに小悪魔,小悪魔（東方Project）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000077,mika_(blue_archive),Character,16112,FIX_DISPLAY,FIX_DISPLAY,聖園ミカ,聖園ミカ | ミカ,聖園ミカ（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000088,rio_(blue_archive),Character,14738,FIX_DISPLAY,FIX_DISPLAY,調月リオ,調月リオ | リオ,調月リオ（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000090,trainer_(umamusume),Character,14545,FIX_SEARCH,FIX_SEARCH,トレーナー（ウマ娘）,トレーナー（ウマ娘） | トレーナー(ウマ娘) | トレーナー(ウマ娘プリティーダービー) | トレーナー,,トレーナー（ウマ娘） | トレーナー(ウマ娘プリティーダービー) | トレーナー,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000094,kongou_(kancolle),Character,14043,FIX_SEARCH,FIX_SEARCH,金剛（艦これ）,金剛（艦これ） | 金剛(艦これ) | 金剛(艦隊これくしょん) | 金剛,,金剛（艦これ） | 金剛(艦隊これくしょん) | 金剛,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000095,agnes_tachyon_(umamusume),Character,13998,FIX_SEARCH,FIX_SEARCH,アグネスタキオン（ウマ娘）,アグネスタキオン（ウマ娘） | アグネスタキオン | アグネスタキオン(ウマ娘),,アグネスタキオン（ウマ娘） | アグネスタキオン,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000098,furina_(genshin_impact),Character,13879,FIX_SEARCH,FIX_SEARCH,フリーナ（原神）,フリーナ（原神） | フリーナ | フリーナ(原神),,フリーナ（原神） | フリーナ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000100,jeanne_d'arc_alter_(fate),Character,13754,FIX_DISPLAY,FIX_DISPLAY,ジャンヌ・ダルク〔オルタ〕,ジャンヌ・ダルク〔オルタ〕,ジャンヌ・ダルク〔オルタ〕（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000101,inazuma_(kancolle),Character,13551,FIX_SEARCH,FIX_SEARCH,電（艦これ）,電（艦これ） | 電(艦これ) | 電(艦隊これくしょん),,電（艦これ） | 電(艦隊これくしょん),DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000104,elysia_(honkai_impact),Character,13337,FIX_SEARCH,FIX_SEARCH,エリシア（崩壊3rd）,エリシア（崩壊3rd） | エリシア | エリシア(崩壊3rd),,エリシア（崩壊3rd） | エリシア,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000105,nahida_(genshin_impact),Character,13266,FIX_SEARCH,FIX_SEARCH,ナヒーダ（原神）,ナヒーダ（原神） | ナヒーダ | ナヒーダ(原神),,ナヒーダ（原神） | ナヒーダ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000109,manhattan_cafe_(umamusume),Character,13116,FIX_SEARCH,FIX_SEARCH,マンハッタンカフェ（ウマ娘）,マンハッタンカフェ（ウマ娘） | マンハッタンカフェ | マンハッタンカフェ(ウマ娘),,マンハッタンカフェ（ウマ娘） | マンハッタンカフェ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000111,akagi_(kancolle),Character,13001,FIX_SEARCH,FIX_SEARCH,赤城（艦これ）,赤城（艦これ） | 赤城(艦これ) | 赤城(艦隊これくしょん) | 赤城,,赤城（艦これ） | 赤城(艦隊これくしょん) | 赤城,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000113,fubuki_(kancolle),Character,12922,FIX_SEARCH,FIX_SEARCH,吹雪（艦これ）,吹雪（艦これ） | 吹雪(艦これ) | 吹雪(艦隊これくしょん) | 吹雪,,吹雪（艦これ） | 吹雪(艦隊これくしょん) | 吹雪,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000114,doctor_(arknights),Character,12902,FIX_SEARCH,FIX_SEARCH,ドクター（アークナイツ）,ドクター（アークナイツ） | ドクター | ドクター(アークナイツ),,ドクター（アークナイツ） | ドクター,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000119,2b_(nier:automata),Character,12353,FIX_DISPLAY,FIX_DISPLAY,ヨルハ二号B型,ヨルハ二号B型,ヨルハ二号B型（ニーア）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000121,yuudachi_(kancolle),Character,12159,FIX_SEARCH,FIX_SEARCH,夕立（艦これ）,夕立（艦これ） | 夕立(艦これ) | 夕立(艦隊これくしょん) | 夕立,,夕立（艦これ） | 夕立(艦隊これくしょん) | 夕立,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000122,amiya_(arknights),Character,12065,FIX_SEARCH,FIX_SEARCH,アーミヤ（アークナイツ）,アーミヤ（アークナイツ） | アーミヤ | アーミヤ(アークナイツ),,アーミヤ（アークナイツ） | アーミヤ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000124,tenryuu_(kancolle),Character,11999,FIX_SEARCH,FIX_SEARCH,天龍（艦これ）,天龍（艦これ） | 天龍(艦これ) | 天龍(艦隊これくしょん) | 天龍型の白が眩しい方 | 天龍,,天龍（艦これ） | 天龍(艦隊これくしょん) | 天龍型の白が眩しい方 | 天龍,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000127,aris_(blue_archive),Character,11715,FIX_DISPLAY,FIX_DISPLAY,天童アリス,天童アリス | アリス,天童アリス（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000129,shigure_kai_ni_(kancolle),Character,11590,FIX_DISPLAY,FIX_DISPLAY,時雨改二,時雨改二,時雨改二（艦隊これくしょん）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000130,producer_(idolmaster),Character,11507,FIX_SEARCH,FIX_SEARCH,プロデューサー（アイドルマスター）,プロデューサー（アイドルマスター） | プロデューサー(アイドルマスター) | プロデューサー,,プロデューサー（アイドルマスター） | プロデューサー,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000133,kayoko_(blue_archive),Character,11436,FIX_DISPLAY,FIX_DISPLAY,鬼方カヨコ,鬼方カヨコ,鬼方カヨコ（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000134,ikazuchi_(kancolle),Character,11435,FIX_SEARCH,FIX_SEARCH,雷（艦これ）,雷（艦これ） | 雷(艦これ) | 雷(艦隊これくしょん),,雷（艦これ） | 雷(艦隊これくしょん),DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000136,nero_claudius_(fate),Character,11374,FIX_DISPLAY,FIX_DISPLAY,ネロ・クラウディウス,ネロ・クラウディウス | ネロ・クラウディウス(Fate),ネロ・クラウディウス（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000139,mari_(blue_archive),Character,11286,FIX_DISPLAY,FIX_DISPLAY,伊落マリー,伊落マリー | マリー,伊落マリー（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000140,manjuu_(azur_lane),Character,11189,FIX_SEARCH,FIX_SEARCH,饅頭（アズールレーン）,饅頭（アズールレーン） | 饅頭(アズールレーン) | 饅頭,,饅頭（アズールレーン） | 饅頭,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000144,nami_(one_piece),Character,10977,FIX_SEARCH,FIX_SEARCH,ナミ（ONEPIECE）,ナミ（ONEPIECE） | ナミ | ナミ(ONEPIECE),,ナミ（ONEPIECE） | ナミ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000147,tohsaka_rin,Character,10892,FIX_DISPLAY,FIX_DISPLAY,遠坂凛,遠坂凛,遠坂凛（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000148,hamakaze_(kancolle),Character,10885,FIX_SEARCH,FIX_SEARCH,浜風（艦これ）,浜風（艦これ） | 浜風(艦これ) | 浜風(艦隊これくしょん) | 浜風,,浜風（艦これ） | 浜風(艦隊これくしょん) | 浜風,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000151,zuikaku_(kancolle),Character,10757,FIX_SEARCH,FIX_SEARCH,瑞鶴（艦これ）,瑞鶴（艦これ） | 瑞鶴(艦これ) | 瑞鶴(艦隊これくしょん) | 瑞鶴,,瑞鶴（艦これ） | 瑞鶴(艦隊これくしょん) | 瑞鶴,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000152,akatsuki_(kancolle),Character,10681,FIX_SEARCH,FIX_SEARCH,暁（艦これ）,暁（艦これ） | 暁(艦これ) | 暁(艦隊これくしょん),,暁（艦これ） | 暁(艦隊これくしょん),DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000156,gold_ship_(umamusume),Character,10569,FIX_SEARCH,FIX_SEARCH,ゴールドシップ（ウマ娘）,ゴールドシップ（ウマ娘） | ゴールドシップ | ゴールドシップ(ウマ娘),,ゴールドシップ（ウマ娘） | ゴールドシップ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000162,haruna_(kancolle),Character,10442,FIX_SEARCH,FIX_SEARCH,榛名（艦これ）,榛名（艦これ） | 榛名(艦これ) | 榛名(艦隊これくしょん) | 榛名,,榛名（艦これ） | 榛名(艦隊これくしょん) | 榛名,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000168,sakura_miko,Character,10240,FIX_DISPLAY,FIX_DISPLAY,さくらみこ,さくらみこ,さくらみこ（ホロライブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000169,koharu_(blue_archive),Character,10229,FIX_DISPLAY,FIX_DISPLAY,下江コハル,下江コハル | コハル,下江コハル（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000170,rem_(re:zero),Character,10215,FIX_SEARCH,FIX_SEARCH,レム（リゼロ）,レム（リゼロ） | レム | レム(リゼロ),,レム（リゼロ） | レム,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000173,reze_(chainsaw_man),Character,10063,FIX_SEARCH,FIX_SEARCH,レゼ（チェンソーマン）,レゼ（チェンソーマン） | レゼ | レゼ(チェンソーマン),,レゼ（チェンソーマン） | レゼ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000176,kashima_(kancolle),Character,10015,FIX_SEARCH,FIX_SEARCH,鹿島（艦これ）,鹿島（艦これ） | 鹿島(艦これ) | 鹿島(艦隊これくしょん) | 鹿島,,鹿島（艦これ） | 鹿島(艦隊これくしょん) | 鹿島,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000178,yuudachi_kai_ni_(kancolle),Character,9933,FIX_DISPLAY,FIX_DISPLAY,夕立改二,夕立改二,夕立改二（艦隊これくしょん）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000180,rice_shower_(umamusume),Character,9903,FIX_SEARCH,FIX_SEARCH,ライスシャワー（ウマ娘）,ライスシャワー（ウマ娘） | ライスシャワー | ライスシャワー(ウマ娘),,ライスシャワー（ウマ娘） | ライスシャワー,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000181,mona_(genshin_impact),Character,9894,FIX_SEARCH,FIX_SEARCH,モナ（原神）,モナ（原神） | アストローギスト・モナ・メギストス | モナ | モナ(原神),,モナ（原神） | アストローギスト・モナ・メギストス | モナ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000182,nagato_(kancolle),Character,9821,FIX_SEARCH,FIX_SEARCH,長門（艦これ）,長門（艦これ） | 長門(艦これ) | 長門(艦隊これくしょん) | 長門,,長門（艦これ） | 長門(艦隊これくしょん) | 長門,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000185,fern_(sousou_no_frieren),Character,9681,FIX_SEARCH,FIX_SEARCH,フェルン（葬送のフリーレン）,フェルン（葬送のフリーレン） | フェルン | フェルン(葬送のフリーレン),,フェルン（葬送のフリーレン） | フェルン,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000187,belle_(zenless_zone_zero),Character,9644,FIX_SEARCH,FIX_SEARCH,リン（ゼンゼロ）,リン（ゼンゼロ） | リン(ゼンゼロ) | リン,,リン（ゼンゼロ） | リン,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000188,march_7th_(honkai:_star_rail),Character,9631,FIX_DISPLAY,FIX_DISPLAY,三月なのか,三月なのか,三月なのか（崩壊）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000190,pyra_(xenoblade),Character,9535,FIX_SEARCH,FIX_SEARCH,ホムラ（ゼノブレイド2）,ホムラ（ゼノブレイド2） | ホムラ | ホムラ(ゼノブレイド2),,ホムラ（ゼノブレイド2） | ホムラ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000191,scathach_(fate),Character,9495,FIX_SEARCH,FIX_SEARCH,スカサハ（Fate）,スカサハ（Fate） | スカサハ | スカサハ(Fate),,スカサハ（Fate） | スカサハ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000192,dawn_(pokemon),Character,9456,FIX_SEARCH,FIX_SEARCH,ヒカリ（ポケモン）,ヒカリ（ポケモン） | チビヒカリ | ヒカリ | ヒカリ(アニポケ) | ヒカリ(ダイヤモンド&パール) | ヒカリ(トレーナー) | ヒカリ(プラチナ) | ヒカリ(ポケモン),,ヒカリ（ポケモン） | チビヒカリ | ヒカリ | ヒカリ(アニポケ) | ヒカリ(ダイヤモンド&パール) | ヒカリ(トレーナー) | ヒカリ(プラチナ),DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000193,rover_(wuthering_waves),Character,9456,FIX_DISPLAY,FIX_DISPLAY,漂泊者,漂泊者,漂泊者（鳴潮）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000195,suzuya_(kancolle),Character,9417,FIX_SEARCH,FIX_SEARCH,鈴谷（艦これ）,鈴谷（艦これ） | 鈴谷(艦これ) | 鈴谷(艦隊これくしょん) | 鈴谷,,鈴谷（艦これ） | 鈴谷(艦隊これくしょん) | 鈴谷,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000198,seia_(blue_archive),Character,9300,FIX_DISPLAY,FIX_DISPLAY,百合園セイア,百合園セイア,百合園セイア（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000199,lillie_(pokemon),Character,9288,FIX_SEARCH,FIX_SEARCH,リーリエ（ポケモン）,リーリエ（ポケモン） | がんばリーリエ | リーリエ | リーリエ(アニポケ) | リーリエ(トレーナー) | リーリエ(ポケモン),,リーリエ（ポケモン） | がんばリーリエ | リーリエ | リーリエ(アニポケ) | リーリエ(トレーナー),DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000201,columbina_(genshin_impact),Character,9276,FIX_SEARCH,FIX_SEARCH,コロンビーナ（原神）,コロンビーナ（原神） | コロンビーナ(原神) | コロンビーナ,,コロンビーナ（原神） | コロンビーナ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000204,wise_(zenless_zone_zero),Character,9180,FIX_SEARCH,FIX_SEARCH,アキラ（ゼンゼロ）,アキラ（ゼンゼロ） | アキラ(ゼンゼロ) | アキラ,,アキラ（ゼンゼロ） | アキラ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000210,kaito_(vocaloid),Character,8971,FIX_SEARCH,FIX_SEARCH,KAITO,KAITO,,KAITO | かいと | カイト,RESTORE_TRUSTED_JA_SEARCH,HIGH,search_restore_batch006.csv
I70-000211,ryuujou_(kancolle),Character,8942,FIX_SEARCH,FIX_SEARCH,龍驤（艦これ）,龍驤（艦これ） | 龍驤(艦これ) | 龍驤(艦隊これくしょん) | 龍驤,,龍驤（艦これ） | 龍驤(艦隊これくしょん) | 龍驤,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000213,cyrene_(honkai:_star_rail),Character,8925,FIX_DISPLAY,FIX_DISPLAY,キュレネ,キュレネ,キュレネ（崩壊）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000217,daiwa_scarlet_(umamusume),Character,8821,FIX_SEARCH,FIX_SEARCH,ダイワスカーレット（ウマ娘）,ダイワスカーレット（ウマ娘） | ダイワスカーレット | ダイワスカーレット(ウマ娘),,ダイワスカーレット（ウマ娘） | ダイワスカーレット,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000221,jeanne_d'arc_(fate),Character,8752,FIX_SEARCH,FIX_SEARCH,ジャンヌ・ダルク（Fate）,ジャンヌ・ダルク（Fate） | ジャンヌ | ジャンヌ・ダルク | ジャンヌ・ダルク(Fate),,ジャンヌ・ダルク（Fate） | ジャンヌ | ジャンヌ・ダルク,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000224,sunny_(omori),Character,8595,FIX_DISPLAY,FIX_DISPLAY,サニー,サニー,サニー（OMORI）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000226,texas_(arknights),Character,8573,FIX_SEARCH,FIX_SEARCH,テキサス（アークナイツ）,テキサス（アークナイツ） | テキサス | テキサス(アークナイツ),,テキサス（アークナイツ） | テキサス,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000227,mejiro_mcqueen_(umamusume),Character,8572,FIX_SEARCH,FIX_SEARCH,メジロマックイーン（ウマ娘）,メジロマックイーン（ウマ娘） | メジロマックイーン | メジロマックイーン(ウマ娘),,メジロマックイーン（ウマ娘） | メジロマックイーン,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000229,noa_(blue_archive),Character,8450,FIX_DISPLAY,FIX_DISPLAY,生塩ノア,生塩ノア,生塩ノア（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000231,mythra_(xenoblade),Character,8424,FIX_SEARCH,FIX_SEARCH,ヒカリ（ゼノブレイド2）,ヒカリ（ゼノブレイド2） | ヒカリ | ヒカリ(ゼノブレイド2),,ヒカリ（ゼノブレイド2） | ヒカリ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000232,venti_(genshin_impact),Character,8420,FIX_SEARCH,FIX_SEARCH,ウェンティ（原神）,ウェンティ（原神） | ウェンティ | ウェンティ(原神),,ウェンティ（原神） | ウェンティ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000240,gilgamesh_(fate),Character,8350,FIX_SEARCH,FIX_SEARCH,ギルガメッシュ（Fate）,ギルガメッシュ（Fate） | ギルガメッシュ | ギルガメッシュ(Fate) | 女帝ギルガメッシュ,,ギルガメッシュ（Fate） | ギルガメッシュ | 女帝ギルガメッシュ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000241,basil_(omori),Character,8339,FIX_DISPLAY,FIX_DISPLAY,バジル,バジル,バジル（OMORI）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000243,houshou_(kancolle),Character,8315,FIX_SEARCH,FIX_SEARCH,鳳翔（艦これ）,鳳翔（艦これ） | 鳳翔(艦これ) | 鳳翔(艦隊これくしょん) | 鳳翔,,鳳翔（艦これ） | 鳳翔(艦隊これくしょん) | 鳳翔,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000244,paimon_(genshin_impact),Character,8309,FIX_SEARCH,FIX_SEARCH,パイモン（原神）,パイモン（原神） | パイモン | パイモン(原神),,パイモン（原神） | パイモン,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000248,marnie_(pokemon),Character,8137,FIX_SEARCH,FIX_SEARCH,マリィ（ポケモン）,マリィ（ポケモン） | マリィ | マリィ(ジムリーダー) | マリィ(トレーナー) | マリィ(ポケモン),,マリィ（ポケモン） | マリィ | マリィ(ジムリーダー) | マリィ(トレーナー),DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000253,denji_(chainsaw_man),Character,8027,FIX_SEARCH,FIX_SEARCH,デンジ（チェンソーマン）,デンジ（チェンソーマン） | デンジ | デンジ(チェンソーマン),,デンジ（チェンソーマン） | デンジ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000255,okita_souji_(fate),Character,7952,FIX_DISPLAY,FIX_DISPLAY,沖田総司,沖田総司,沖田総司（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000261,arona_(blue_archive),Character,7866,FIX_SEARCH,FIX_SEARCH,アロナ（ブルーアーカイブ）,アロナ（ブルーアーカイブ） | アロナ | アロナ(ブルーアーカイブ),,アロナ（ブルーアーカイブ） | アロナ,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000269,murakumo_(kancolle),Character,7767,FIX_SEARCH,FIX_SEARCH,叢雲（艦これ）,叢雲（艦これ） | 叢雲(艦これ) | 叢雲(艦隊これくしょん) | 叢雲,,叢雲（艦これ） | 叢雲(艦隊これくしょん) | 叢雲,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000274,amatsukaze_(kancolle),Character,7734,FIX_SEARCH,FIX_SEARCH,天津風（艦これ）,天津風（艦これ） | 天津風(艦これ) | 天津風(艦隊これくしょん) | 天津風,,天津風（艦これ） | 天津風(艦隊これくしょん) | 天津風,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
