global_row,canonical,classification_status,primary_genre_id,primary_subgenre_id,secondary_paths,confidence,reason_ja
5713,concrete,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「concrete」は場所・建造物・行事の場面を示すため、背景の探索経路が実用的なため。
5714,concrete_wall,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「concrete_wall」は場所・地形・建造物を示すタグで、場所・背景から探す用途に合うため。
5715,condensation,PROPOSED,LIGHT_TIME_WEATHER,,[],MEDIUM,「condensation」は大気中の熱・水分・気象の見え方を示し、光・天候から探すのが実用的なため。
5716,condensed_milk,PROPOSED,OBJECT_PROP,FOOD,[],HIGH,「condensed_milk」は食べ物・飲み物の種類を示し、道具・小物の食べ物から直接探せるため。
5717,condenser_unit,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「condenser_unit」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5718,condiment_packet,PROPOSED,OBJECT_PROP,FOOD,[],HIGH,「condiment_packet」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5719,condom,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「condom」は避妊具という具体的な物体そのものを表し、道具・小物から直接探せるため。
5720,condom_belt,PROPOSED,CLOTHING,ACCESSORY,[],MEDIUM,「condom_belt」は腰に装着するベルト状の装具を示し、衣装の装飾・細部から探せるため。
5721,condom_between_breasts,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「condom_between_breasts」は避妊具の身体への配置・使用状態を示し、親密な行為・接触から探すのが適切なため。
5722,condom_box,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「condom_box」は避妊具・包装などの物体そのものを示すため、道具・小物から探せるため。
5723,condom_in_ass,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「condom_in_ass」は避妊具の身体への配置・使用状態を示し、親密な行為・接触から探すのが適切なため。
5724,condom_in_hair,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「condom_in_hair」は髪へのコンドームの配置を表し、物体だけでなく親密な接触状態から探すのが適切なため。
5725,condom_in_mouth,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「condom_in_mouth」は避妊具の身体への配置・使用状態を示し、親密な行為・接触から探すのが適切なため。
5726,condom_left_inside,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「condom_left_inside」は避妊具の身体への配置・使用状態を示し、親密な行為・接触から探すのが適切なため。
5727,condom_on_ass,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「condom_on_ass」は避妊具の身体への配置・使用状態を示し、親密な行為・接触から探すのが適切なため。
5728,condom_on_head,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「condom_on_head」は避妊具の身体への配置・使用状態を示し、親密な行為・接触から探すのが適切なため。
5729,condom_on_nipples,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「condom_on_nipples」は避妊具の身体への配置・使用状態を示し、親密な行為・接触から探すのが適切なため。
5730,condom_on_penis,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「condom_on_penis」は避妊具の身体への配置・使用状態を示し、親密な行為・接触から探すのが適切なため。
5731,condom_on_tongue,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「condom_on_tongue」は避妊具の身体への配置・使用状態を示し、親密な行為・接触から探すのが適切なため。
5732,condom_packet_strip,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「condom_packet_strip」は避妊具・包装などの物体そのものを示すため、道具・小物から探せるため。
5733,condom_pull,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「condom_pull」は避妊具の身体への配置・使用状態を示し、親密な行為・接触から探すのが適切なため。
5734,condom_thigh_strap,PROPOSED,CLOTHING,ACCESSORY,[],MEDIUM,「condom_thigh_strap」は着用する装具の形を示し、衣装の装飾・細部から探せるため。
5735,condom_wrapper,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「condom_wrapper」は避妊具・包装などの物体そのものを示すため、道具・小物から探せるため。
5736,condom_wrapper_in_clothes,PROPOSED,OBJECT_PROP,DAILY,[],MEDIUM,「condom_wrapper_in_clothes」は衣服内にある包装物を示すタグで、対象は包装という物体のため道具・小物から探せるため。
5737,conductor,PROPOSED,PERSON_COUNT,,[],MEDIUM,「conductor」は人物の職業・役柄・人物種別を示し、人物・役柄から探すのが実用的なため。
5738,conductor_baton,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「conductor_baton」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5739,cone_hair_bun,PROPOSED,HAIR_FACE,,[],HIGH,「cone_hair_bun」は髪型・目・化粧などの顔まわりの特徴を示し、髪・顔から直接探せるため。
5740,cone_horns,PROPOSED,BODY_PART,,[],HIGH,「cone_horns」は角という身体部位の形状を表し、身体・部位から直接探せるため。
5741,confession,PROPOSED,ACTION_CONTACT,INTERACTION,[],MEDIUM,「confession」は対人行為・活動がタグの中心で、行為・接触から探せるため。
5742,confessional,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「confessional」は場所・建造物・行事の場面を示すため、背景の探索経路が実用的なため。
5743,confetti,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「confetti」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5744,confetti_ball,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「confetti_ball」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5745,confident,PROPOSED,EXPRESSION_EMOTION,,[],HIGH,「confident」は人物の表情・心理状態を示し、表情・感情から探せるため。
5746,confrontation,PROPOSED,ACTION_CONTACT,INTERACTION,[],MEDIUM,「confrontation」は対人行為・活動がタグの中心で、行為・接触から探せるため。
5747,confused,PROPOSED,EXPRESSION_EMOTION,,[],HIGH,「confused」は人物の表情・心理状態を示し、表情・感情から探せるため。
5748,congratulations,PROPOSED,TEXT_SYMBOL,TEXT,[],HIGH,「congratulations」は画面内の文字・書き文字を示すため、文字から直接探せるため。
5749,conical_hat,PROPOSED,CLOTHING,EVERYDAY,[],MEDIUM,「conical_hat」は衣服・履物の種類や形を示し、衣装から探す用途に合うため。
5750,conifer,PROPOSED,LIVING_NATURE,PLANT,[],HIGH,「conifer」は植物そのものの種類を示し、生き物・植物から直接探せるため。
5751,conjoined,PROPOSED,BODY_PART,,[],MEDIUM,「conjoined」は身体部位または身体状態の特徴を示し、身体・部位・状態から探すのが適切なため。
5752,connect_(madoka_magica),UNRESOLVED,,,[],LOW,「connect_(madoka_magica)」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5753,connected_beard,PROPOSED,HAIR_FACE,,[],HIGH,「connected_beard」は髪型・目・化粧などの顔まわりの特徴を示し、髪・顔から直接探せるため。
5754,consensual_tentacles,PROPOSED,ACTION_CONTACT,INTIMATE,[],MEDIUM,「consensual_tentacles」は合意のある触手を伴う親密な行為を表し、行為・接触から探せるため。
5755,consent_sticker,UNRESOLVED,,,[],LOW,「consent_sticker」はタグ名だけでは描写対象または行為を十分に特定できず、17分類のどれかへ押し込む根拠が不足するため。
5756,conservatory,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「conservatory」は場所・地形・建造物を示すタグで、場所・背景から探す用途に合うため。
5757,constellation,PROPOSED,PLACE_BACKGROUND,,[],HIGH,「constellation」は天体・星座を示すため、場所・背景の空や天体から探せるため。
5758,constellation_(love_live!),UNRESOLVED,,,[],LOW,「constellation_(love_live!)」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5759,constellation_crystal_(ff14),UNRESOLVED,,,[],LOW,「constellation_crystal_(ff14)」はタグ名だけでは描写対象または行為を十分に特定できず、17分類のどれかへ押し込む根拠が不足するため。
5760,constellation_hair_ornament,PROPOSED,CLOTHING,ACCESSORY,[],MEDIUM,「constellation_hair_ornament」は身に着ける装飾・伝統衣装を表し、衣装から探す用途に合うため。
5761,constellation_print,PROPOSED,COLOR_APPEARANCE,,[],MEDIUM,「constellation_print」は柄・プリントの見た目を示すため、対象物より独立した色柄の探索が実用的なため。
5762,constricted_pupils,PROPOSED,HAIR_FACE,,[],HIGH,「constricted_pupils」は髪型・目・化粧など顔まわりの特徴を表し、髪・顔から探せるため。
5763,constriction,PROPOSED,ACTION_CONTACT,INTERACTION,[],MEDIUM,「constriction」は巻き付き・締め付けという接触状態を示し、行為・接触から探せるため。
5764,construction,PROPOSED,ACTION_CONTACT,INTERACTION,[],MEDIUM,「construction」は工事という作業・活動を表し、行為・接触から探すのが実用的なため。
5765,construction_site,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「construction_site」は場所・地形・建造物を示すタグで、場所・背景から探す用途に合うため。
5766,construction_worker,PROPOSED,PERSON_COUNT,,[],MEDIUM,「construction_worker」は人物の職業・役柄・人物種別を示し、人物・役柄から探すのが実用的なため。
5767,contact_lens,PROPOSED,HAIR_FACE,,[],MEDIUM,「contact_lens」は目に装用して外観を変えるレンズなので、顔まわりの目の特徴から探せるため。
5768,contemporary,PROPOSED,STYLE_QUALITY_META,,[],MEDIUM,「contemporary」は画面の加工・質感または独立した色柄の特徴を示すため、その視覚表現から探すのが実用的なため。
5769,contemporary_traditional_clothes,PROPOSED,CLOTHING,EVERYDAY,[],MEDIUM,「contemporary_traditional_clothes」は衣服・履物の種類や形を示し、衣装から探す用途に合うため。
5770,contempt_awe_(e.g.o),UNRESOLVED,,,[],LOW,「contempt_awe_(e.g.o)」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5771,content_rating,PROPOSED,STYLE_QUALITY_META,,[],MEDIUM,「content_rating」は作品の内容区分を示すメタ情報で、画面表現・メタから探すのが実用的なため。
5772,contingency_contract_(arknights),UNRESOLVED,,,[],LOW,「contingency_contract_(arknights)」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5773,continue,UNRESOLVED,,,[],LOW,「continue」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5774,contortion,PROPOSED,POSE_MOVEMENT,,[],HIGH,「contortion」は身体の動き・姿勢を示すため、ポーズ・動きから探せるため。
5775,contract,UNRESOLVED,,,[],LOW,「contract」は固有作品内の概念または抽象語で、タグ名だけでは表示対象と実用的な探索経路を特定できないため。
5776,contract_monster,UNRESOLVED,,,[],LOW,「contract_monster」は固有作品内の概念または抽象語で、タグ名だけでは表示対象と実用的な探索経路を特定できないため。
5777,contrail,PROPOSED,LIGHT_TIME_WEATHER,,[],MEDIUM,「contrail」は大気中の熱・水分・気象の見え方を示し、光・天候から探すのが実用的なため。
5778,contrapposto,PROPOSED,POSE_MOVEMENT,,[],HIGH,「contrapposto」は対側の身体を釣り合わせる立ち姿勢を示し、ポーズから直接探せるため。
5779,contrast,PROPOSED,COLOR_APPEARANCE,,[],MEDIUM,「contrast」は画面の加工・質感または独立した色柄の特徴を示すため、その視覚表現から探すのが実用的なため。
5780,contrast_collar,PROPOSED,CLOTHING,ACCESSORY,[],MEDIUM,「contrast_collar」は襟の配色・服の細部を示すため、衣装の装飾・細部から探せるため。
5781,contrast_lapels,PROPOSED,CLOTHING,ACCESSORY,[],MEDIUM,「contrast_lapels」はラペルの配色・服の細部を示すため、衣装の装飾・細部から探せるため。
5782,contrast_suspenders,PROPOSED,CLOTHING,ACCESSORY,[],MEDIUM,「contrast_suspenders」はサスペンダーの配色を示す服飾細部であり、衣装から探せるため。
5783,contrast_trim_panties,PROPOSED,CLOTHING,ACCESSORY,[],MEDIUM,「contrast_trim_panties」は下着の縁取り配色を示す服飾細部であり、衣装から探せるため。
5784,control_bar,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「control_bar」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5785,control_rod_(touhou),PROPOSED,OBJECT_PROP,WEAPON,[],MEDIUM,「control_rod_(touhou)」は武器・戦闘道具の種類を示すため、道具・小物の武器から探せるため。
5786,control_stick,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「control_stick」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5787,control_tower,PROPOSED,PLACE_BACKGROUND,,[],HIGH,「control_tower」は管制塔という建造物を示し、場所・背景から直接探せるため。
5788,controller,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「controller」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5789,controller_hair_ornament,PROPOSED,CLOTHING,ACCESSORY,[],MEDIUM,「controller_hair_ornament」は身に着ける装飾・伝統衣装を表し、衣装から探す用途に合うため。
5790,convenience_store,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「convenience_store」は場所・建造物・行事の場面を示すため、背景の探索経路が実用的なため。
5791,convenient_arm,PROPOSED,CLOTHING_STATE_EXPOSURE,,[],MEDIUM,「convenient_arm」は身体を隠す・露出を調整する見せ方が主題で、着脱・露出から探すのが実用的なため。
5792,convenient_breasts,PROPOSED,CLOTHING_STATE_EXPOSURE,,[],MEDIUM,「convenient_breasts」は身体を隠す・露出を調整する見せ方が主題で、着脱・露出から探すのが実用的なため。
5793,convenient_censoring,PROPOSED,STYLE_QUALITY_META,,[],HIGH,「convenient_censoring」は画面上の隠蔽・検閲表現を示し、画面表現から探せるため。
5794,convenient_hair,PROPOSED,CLOTHING_STATE_EXPOSURE,,[],MEDIUM,「convenient_hair」は髪で身体を隠す見せ方を示すため、隠れ方・露出から探すのが適切なため。
5795,convenient_hand,PROPOSED,CLOTHING_STATE_EXPOSURE,,[],MEDIUM,「convenient_hand」は身体を隠す・露出を調整する見せ方が主題で、着脱・露出から探すのが実用的なため。
5796,convenient_head,PROPOSED,CLOTHING_STATE_EXPOSURE,,[],MEDIUM,「convenient_head」は身体を隠す・露出を調整する見せ方が主題で、着脱・露出から探すのが実用的なため。
5797,convenient_leg,PROPOSED,CLOTHING_STATE_EXPOSURE,,[],MEDIUM,「convenient_leg」は身体を隠す・露出を調整する見せ方が主題で、着脱・露出から探すのが実用的なため。
5798,convenient_skirt,PROPOSED,CLOTHING_STATE_EXPOSURE,,[],MEDIUM,「convenient_skirt」はスカートで身体を隠す・露出を抑える見せ方を示すため、着用状態から探せるため。
5799,convenient_tail,PROPOSED,CLOTHING_STATE_EXPOSURE,,[],MEDIUM,「convenient_tail」は身体を隠す・露出を調整する見せ方が主題で、着脱・露出から探すのが実用的なため。
5800,convenient_tentacle,PROPOSED,CLOTHING_STATE_EXPOSURE,,[],MEDIUM,「convenient_tentacle」は身体を隠す・露出を調整する見せ方が主題で、着脱・露出から探すのが実用的なため。
5801,convention,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「convention」は場所・建造物・行事の場面を示すため、背景の探索経路が実用的なため。
5802,convention_greeting,PROPOSED,ACTION_CONTACT,INTERACTION,[],MEDIUM,「convention_greeting」は挨拶という対人行為がタグの中心で、行為・接触から探せるため。
5803,converse,PROPOSED,CLOTHING,EVERYDAY,[],MEDIUM,「converse」は靴のブランド・形を示すタグとして衣装の履物から探せるため。
5804,convertible,PROPOSED,OBJECT_PROP,VEHICLE,[],HIGH,「convertible」は乗り物または車両の種類を示すため、乗り物から直接探せるため。
5805,conveyor_belt,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「conveyor_belt」は搬送用ベルトという設備・道具を示すため、道具・小物から直接探せるため。
5806,conveyor_belt_sushi,PROPOSED,OBJECT_PROP,FOOD,[],MEDIUM,「conveyor_belt_sushi」は回転寿司の食べ物・提供場面を示すため、食べ物の探索経路が実用的なため。
5807,convoy,PROPOSED,OBJECT_PROP,VEHICLE,[],HIGH,「convoy」は乗り物または車両の種類を示すため、乗り物から直接探せるため。
5808,cook,PROPOSED,PERSON_COUNT,,[],MEDIUM,「cook」は人物の職業・役柄・人物種別を示し、人物・役柄から探すのが実用的なため。
5809,cookbook,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「cookbook」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5810,cookie,PROPOSED,OBJECT_PROP,FOOD,[],HIGH,「cookie」は食べ物・飲み物の種類を示し、道具・小物の食べ物から直接探せるため。
5811,cookie_cutter,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「cookie_cutter」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5812,cookie_hair_ornament,PROPOSED,CLOTHING,ACCESSORY,[],MEDIUM,「cookie_hair_ornament」は身に着ける装飾・伝統衣装を表し、衣装から探す用途に合うため。
5813,cookie_jar,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「cookie_jar」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5814,cooking,PROPOSED,ACTION_CONTACT,INTERACTION,[],MEDIUM,「cooking」は対人行為・活動がタグの中心で、行為・接触から探せるため。
5815,cooking_oil,PROPOSED,OBJECT_PROP,FOOD,[],HIGH,「cooking_oil」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5816,cooking_pot,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「cooking_pot」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5817,cooking_together,PROPOSED,ACTION_CONTACT,INTERACTION,[],MEDIUM,「cooking_together」は対人行為・活動がタグの中心で、行為・接触から探せるため。
5818,cool_&_sexy_(idolmaster),UNRESOLVED,,,[],LOW,「cool_&_sexy_(idolmaster)」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5819,cool_colors,PROPOSED,COLOR_APPEARANCE,,[],MEDIUM,「cool_colors」は独立した図形・色柄の視覚特徴として検索するのが実用的なため。
5820,cool_s,UNRESOLVED,,,[],LOW,「cool_s」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5821,cool_your_head,UNRESOLVED,,,[],LOW,「cool_your_head」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5822,cooler,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「cooler」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5823,cooling_tower,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「cooling_tower」は冷却塔という大型施設・建造物を示すため、場所・背景から探せるため。
5824,cooperative_breast_smother,PROPOSED,ACTION_CONTACT,INTIMATE,[],HIGH,「cooperative_breast_smother」は複数人で行う性的な動作を明示し、行為・接触の親密な動作から探せるため。
5825,cooperative_breast_sucking,PROPOSED,ACTION_CONTACT,INTIMATE,[],HIGH,「cooperative_breast_sucking」は複数人で行う性的な動作を明示し、行為・接触の親密な動作から探せるため。
5826,cooperative_buttjob,PROPOSED,ACTION_CONTACT,INTIMATE,[],HIGH,「cooperative_buttjob」は複数人で行う性的な動作を明示し、行為・接触の親密な動作から探せるため。
5827,cooperative_fellatio,PROPOSED,ACTION_CONTACT,INTIMATE,[],HIGH,「cooperative_fellatio」は複数人で行う性的な動作を明示し、行為・接触の親密な動作から探せるため。
5828,cooperative_footjob,PROPOSED,ACTION_CONTACT,INTIMATE,[],HIGH,「cooperative_footjob」は複数人で行う性的な動作を明示し、行為・接触の親密な動作から探せるため。
5829,cooperative_handjob,PROPOSED,ACTION_CONTACT,INTIMATE,[],HIGH,「cooperative_handjob」は複数人で行う性的な動作を明示し、行為・接触の親密な動作から探せるため。
5830,cooperative_naizuri,PROPOSED,ACTION_CONTACT,INTIMATE,[],HIGH,「cooperative_naizuri」は複数人で行う性的な動作を明示し、行為・接触の親密な動作から探せるため。
5831,cooperative_nipple_licking,PROPOSED,ACTION_CONTACT,INTIMATE,[],HIGH,「cooperative_nipple_licking」は複数人で行う性的な動作を明示し、行為・接触の親密な動作から探せるため。
5832,cooperative_paizuri,PROPOSED,ACTION_CONTACT,INTIMATE,[],HIGH,「cooperative_paizuri」は複数人で行う性的な動作を明示し、行為・接触の親密な動作から探せるため。
5833,cooperative_pussyjob,PROPOSED,ACTION_CONTACT,INTIMATE,[],HIGH,「cooperative_pussyjob」は複数人で行う性的な動作を明示し、行為・接触の親密な動作から探せるため。
5834,cooperative_testicle_sucking,PROPOSED,ACTION_CONTACT,INTIMATE,[],HIGH,「cooperative_testicle_sucking」は複数人で行う性的な動作を明示し、行為・接触の親密な動作から探せるため。
5835,coordinated_clothes_writing,PROPOSED,TEXT_SYMBOL,TEXT,[],HIGH,「coordinated_clothes_writing」は画面上の文字・記号表現を示し、文字・記号から直接探せるため。
5836,copy_ability,UNRESOLVED,,,[],LOW,「copy_ability」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5837,copyright_logo,PROPOSED,TEXT_SYMBOL,SYMBOL,[],HIGH,「copyright_logo」はロゴ・図形的な標章を示すため、記号・マークから探せるため。
5838,copyright_name,PROPOSED,TEXT_SYMBOL,TEXT,[],HIGH,「copyright_name」は画面内の文字・書き文字を示すため、文字から直接探せるため。
5839,copyright_notice,PROPOSED,TEXT_SYMBOL,TEXT,[],HIGH,「copyright_notice」は画面内の文字・書き文字を示すため、文字から直接探せるため。
5840,coral,PROPOSED,LIVING_NATURE,CREATURE,[],HIGH,「coral」は生物または植物そのものの種類を示し、その対象から直接探せるため。
5841,coral_hair_ornament,PROPOSED,CLOTHING,ACCESSORY,[],MEDIUM,「coral_hair_ornament」は身に着ける装飾・伝統衣装を表し、衣装から探す用途に合うため。
5842,coral_reef,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「coral_reef」は場所・建造物・行事の場面を示すため、背景の探索経路が実用的なため。
5843,cord_pull,PROPOSED,ACTION_CONTACT,INTERACTION,[],MEDIUM,「cord_pull」は対人行為・活動がタグの中心で、行為・接触から探せるため。
5844,corded_phone,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「corded_phone」は電子機器・周辺機器そのものを示し、日用品・小物から直接探せるため。
5845,cordless_phone,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「cordless_phone」は電子機器・周辺機器そのものを示し、日用品・小物から直接探せるため。
5846,core,UNRESOLVED,,,[],LOW,「core」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5847,core_(girls'_frontline),UNRESOLVED,,,[],LOW,「core_(girls'_frontline)」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5848,core_crystal_(xenoblade),UNRESOLVED,,,[],LOW,「core_crystal_(xenoblade)」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5849,core_drill,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「core_drill」は掘削用ドリルという具体的な道具を示し、日用品・小物から探せるため。
5850,core_medal,UNRESOLVED,,,[],LOW,「core_medal」はタグ名だけでは描写対象または行為を十分に特定できず、17分類のどれかへ押し込む根拠が不足するため。
5851,coreflame_(honkai:_star_rail),UNRESOLVED,,,[],LOW,「coreflame_(honkai:_star_rail)」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5852,corinthian_helmet,PROPOSED,CLOTHING,EVERYDAY,[],MEDIUM,「corinthian_helmet」は衣服・履物の種類や形を示し、衣装から探す用途に合うため。
5853,cork,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「cork」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5854,cork_gun,PROPOSED,OBJECT_PROP,WEAPON,[],MEDIUM,「cork_gun」は武器・戦闘道具の種類を示すため、道具・小物の武器から探せるため。
5855,corked_bottle,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「corked_bottle」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5856,corkscrew,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「corkscrew」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5857,corn,PROPOSED,OBJECT_PROP,FOOD,[],HIGH,「corn」は食べ物・飲み物の種類を示し、道具・小物の食べ物から直接探せるため。
5858,corn_cob,PROPOSED,OBJECT_PROP,FOOD,[],HIGH,「corn_cob」は食べ物・飲み物の種類を示し、道具・小物の食べ物から直接探せるため。
5859,corn_dog,PROPOSED,OBJECT_PROP,FOOD,[],HIGH,「corn_dog」は食べ物・飲み物の種類を示し、道具・小物の食べ物から直接探せるため。
5860,corn_field,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「corn_field」は場所・地形・建造物を示すタグで、場所・背景から探す用途に合うため。
5861,corneal_scar,PROPOSED,BODY_PART,,[],MEDIUM,「corneal_scar」は身体部位または身体状態の特徴を示し、身体・部位・状態から探すのが適切なため。
5862,corner,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「corner」は場所・建造物・行事の場面を示すため、背景の探索経路が実用的なため。
5863,cornflower,PROPOSED,LIVING_NATURE,PLANT,[],HIGH,「cornflower」は植物そのものの種類を示し、生き物・植物から直接探せるため。
5864,cornrows,PROPOSED,HAIR_FACE,,[],HIGH,「cornrows」は髪型・目・化粧など顔まわりの特徴を表し、髪・顔から探せるため。
5865,coronation,PROPOSED,ACTION_CONTACT,INTERACTION,[],MEDIUM,「coronation」は戴冠の儀式・行為を示し、行為・接触から探せるため。
5866,coronavirus,PROPOSED,LIVING_NATURE,CREATURE,[],MEDIUM,「coronavirus」はウイルス粒子という生物学的存在の描写を示すため、生物から探すのが実用的なため。
