canonical,source_batch,source_global_row,old_primary_path,new_primary_path,old_secondary_paths,new_secondary_paths,rule
uekawa_yuji_(style),34,28442,STYLE_QUALITY_META/STYLE,STYLE_QUALITY_META,[],[],top_level_fallback:STYLE
ufo_skirt,34,28445,CLOTHING/BOTTOMS,CLOTHING/EVERYDAY,[],[],explicit_alias:BOTTOMS->EVERYDAY
ugg_boots,34,28446,CLOTHING/FOOTWEAR,CLOTHING/EVERYDAY,[],[],explicit_alias:FOOTWEAR->EVERYDAY
ugly_sweater,34,28448,CLOTHING/TOPS,CLOTHING/EVERYDAY,[],[],explicit_alias:TOPS->EVERYDAY
ukiyo-e,34,28453,STYLE_QUALITY_META/MEDIUM,STYLE_QUALITY_META,[],[],top_level_fallback:MEDIUM
ukraine,34,28454,PLACE_BACKGROUND/OUTDOOR,PLACE_BACKGROUND,[],[],top_level_fallback:OUTDOOR
ukrainian_clothes,34,28455,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
ukrainian_ground_forces,34,28457,STYLE_QUALITY_META/METADATA,STYLE_QUALITY_META,[],[],top_level_fallback:METADATA
ukulele,34,28459,OBJECT_PROP/PROP,OBJECT_PROP,[],[],top_level_fallback:PROP
ultimate_madoka_(cosplay),34,28460,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
ultra_recon_squad_uniform,34,28466,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
ultraman_(cosplay),34,28468,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
ultraviolet_light,34,28471,LIGHT_TIME_WEATHER/LIGHTING,LIGHT_TIME_WEATHER,[],[],top_level_fallback:LIGHTING
umakoshi_yoshihiko_(style),34,28476,STYLE_QUALITY_META/STYLE,STYLE_QUALITY_META,[],[],top_level_fallback:STYLE
umbilical_cord,34,28481,BODY_PART/ANATOMY,BODY_PART,[],[],top_level_fallback:ANATOMY
umbrella,34,28483,OBJECT_PROP/PROP,OBJECT_PROP,[],[],top_level_fallback:PROP
umbrella_bow,34,28484,CLOTHING/ACCESSORIES,CLOTHING/ACCESSORY,[],[],explicit_alias:ACCESSORIES->ACCESSORY
umbrella_hair_ornament,34,28488,HAIR_FACE/HAIR_ORNAMENT,HAIR_FACE,[],[],top_level_fallback:HAIR_ORNAMENT
umbrella_octopus,34,28489,LIVING_NATURE/ANIMAL,LIVING_NATURE/CREATURE,[],[],explicit_alias:ANIMAL->CREATURE
umbrella_on_arm,34,28490,ACTION_CONTACT/HOLDING_CARRYING,ACTION_CONTACT/OBJECT_USE,[],[],explicit_alias:HOLDING_CARRYING->OBJECT_USE
umbrella_over_shoulder,34,28491,ACTION_CONTACT/HOLDING_CARRYING,ACTION_CONTACT/OBJECT_USE,[],[],explicit_alias:HOLDING_CARRYING->OBJECT_USE
umbrella_ribbon,34,28492,CLOTHING/ACCESSORIES,CLOTHING/ACCESSORY,[],[],explicit_alias:ACCESSORIES->ACCESSORY
umbrella_riding,34,28493,ACTION_CONTACT/DAILY_ACTION,ACTION_CONTACT,[],[],top_level_fallback:DAILY_ACTION
umbrella_stand,34,28494,OBJECT_PROP/PROP,OBJECT_PROP,[],[],top_level_fallback:PROP
umbrella_tassel,34,28496,CLOTHING/ACCESSORIES,CLOTHING/ACCESSORY,[],[],explicit_alias:ACCESSORIES->ACCESSORY
umbreon_(cosplay),34,28497,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
umesato_middle_school_uniform,34,28499,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
umezu_kazuo_(style),34,28500,STYLE_QUALITY_META/STYLE,STYLE_QUALITY_META,[],[],top_level_fallback:STYLE
un_uniform_(muv-luv),34,28503,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
unaligned_breasts,34,28505,BODY_PART/BODY_SHAPE,BODY_PART,[],[],top_level_fallback:BODY_SHAPE
unamused,34,28506,EXPRESSION_EMOTION/EXPRESSION,EXPRESSION_EMOTION,[],[],top_level_fallback:EXPRESSION
unbirthing,34,28508,ACTION_CONTACT/CONTACT,ACTION_CONTACT/INTERACTION,[],[],explicit_alias:CONTACT->INTERACTION
unbuckled,34,28509,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unbuttoned,34,28510,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unbuttoned_dress,34,28511,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unbuttoned_jacket,34,28512,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unbuttoned_shirt,34,28513,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unbuttoned_sleeves,34,28514,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unbuttoning,34,28515,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
uncanny_valley,34,28516,STYLE_QUALITY_META/STYLE,STYLE_QUALITY_META,[],[],top_level_fallback:STYLE
uncensored,34,28517,STYLE_QUALITY_META/METADATA,STYLE_QUALITY_META,[],[],top_level_fallback:METADATA
uncle_and_nephew,34,28518,PERSON_COUNT/GROUP_RELATION,PERSON_COUNT,[],[],top_level_fallback:GROUP_RELATION
uncle_and_niece,34,28519,PERSON_COUNT/GROUP_RELATION,PERSON_COUNT,[],[],top_level_fallback:GROUP_RELATION
uncomfortable,34,28520,EXPRESSION_EMOTION/EMOTION,EXPRESSION_EMOTION,[],[],top_level_fallback:EMOTION
unconscious,34,28522,EXPRESSION_EMOTION/EXPRESSION,EXPRESSION_EMOTION,[],[],top_level_fallback:EXPRESSION
unconventional_broom,34,28523,OBJECT_PROP/PROP,OBJECT_PROP,[],[],top_level_fallback:PROP
unconventional_guitar,34,28524,OBJECT_PROP/PROP,OBJECT_PROP,[],[],top_level_fallback:PROP
unconventional_vibrator,34,28531,OBJECT_PROP/PROP,OBJECT_PROP,[],[],top_level_fallback:PROP
unconventional_weapon,34,28532,OBJECT_PROP/PROP,OBJECT_PROP,[],[],top_level_fallback:PROP
under-elbow_gloves,34,28534,CLOTHING/ACCESSORIES,CLOTHING/ACCESSORY,[],[],explicit_alias:ACCESSORIES->ACCESSORY
under-rim_eyewear,34,28535,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
under-stirrup_footjob,34,28536,ACTION_CONTACT/CONTACT,ACTION_CONTACT/INTERACTION,[],[],explicit_alias:CONTACT->INTERACTION
under_another's_clothes,34,28537,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
under_armour,34,28538,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
under_bed,34,28539,PLACE_BACKGROUND/BACKGROUND,PLACE_BACKGROUND,[],[],top_level_fallback:BACKGROUND
under_bridge,34,28540,PLACE_BACKGROUND/BACKGROUND,PLACE_BACKGROUND,[],[],top_level_fallback:BACKGROUND
under_covers,34,28541,PLACE_BACKGROUND/BACKGROUND,PLACE_BACKGROUND,[],[],top_level_fallback:BACKGROUND
under_kotatsu,34,28543,PLACE_BACKGROUND/BACKGROUND,PLACE_BACKGROUND,[],[],top_level_fallback:BACKGROUND
under_shot,34,28544,COMPOSITION_CAMERA/VIEWPOINT,COMPOSITION_CAMERA,[],[],top_level_fallback:VIEWPOINT
under_skirt,34,28545,CLOTHING_STATE_EXPOSURE/EXPOSURE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:EXPOSURE
under_table,34,28546,PLACE_BACKGROUND/BACKGROUND,PLACE_BACKGROUND,[],[],top_level_fallback:BACKGROUND
under_tree,34,28548,PLACE_BACKGROUND/BACKGROUND,PLACE_BACKGROUND,[],[],top_level_fallback:BACKGROUND
under_umbrella,34,28549,PLACE_BACKGROUND/BACKGROUND,PLACE_BACKGROUND,[],[],top_level_fallback:BACKGROUND
underbite,34,28551,BODY_PART/ANATOMY,BODY_PART,[],[],top_level_fallback:ANATOMY
underboob,34,28552,BODY_PART/ANATOMY,BODY_PART,[],[],top_level_fallback:ANATOMY
underboob_cutout,34,28553,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
underbust,34,28554,BODY_PART/ANATOMY,BODY_PART,[],[],top_level_fallback:ANATOMY
underbutt,34,28555,BODY_PART/ANATOMY,BODY_PART,[],[],top_level_fallback:ANATOMY
undercut,34,28556,HAIR_FACE/HAIR_STYLE,HAIR_FACE,[],[],top_level_fallback:HAIR_STYLE
underground,34,28557,PLACE_BACKGROUND/OUTDOOR,PLACE_BACKGROUND,[],[],top_level_fallback:OUTDOOR
underlighting,34,28558,LIGHT_TIME_WEATHER/LIGHTING,LIGHT_TIME_WEATHER,[],[],top_level_fallback:LIGHTING
underpec,34,28559,BODY_PART/ANATOMY,BODY_PART,[],[],top_level_fallback:ANATOMY
undershirt,34,28560,CLOTHING/TOPS,CLOTHING/EVERYDAY,[],[],explicit_alias:TOPS->EVERYDAY
undershirt_peek,34,28561,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undersized_animal,34,28562,LIVING_NATURE/ANIMAL,LIVING_NATURE/CREATURE,[],[],explicit_alias:ANIMAL->CREATURE
undersized_breast_cup,34,28563,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undersized_clothes,34,28564,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
undersuit,34,28566,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
underwater,34,28567,PLACE_BACKGROUND/BACKGROUND,PLACE_BACKGROUND,[],[],top_level_fallback:BACKGROUND
underwater_city,34,28568,PLACE_BACKGROUND/ARCHITECTURE,PLACE_BACKGROUND,[],[],top_level_fallback:ARCHITECTURE
underwater_sex,34,28569,ACTION_CONTACT/CONTACT,ACTION_CONTACT/INTERACTION,[],[],explicit_alias:CONTACT->INTERACTION
underwater_shot,34,28570,COMPOSITION_CAMERA/VIEWPOINT,COMPOSITION_CAMERA,[],[],top_level_fallback:VIEWPOINT
underwear,34,28571,CLOTHING/UNDERWEAR,CLOTHING/EVERYDAY,[],[],explicit_alias:UNDERWEAR->EVERYDAY
underwear_around_one_leg,34,28572,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
underwear_locked,34,28573,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
underwear_on_head,34,28574,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
underwear_only,34,28575,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
underwear_theft,34,28576,CLOTHING_STATE_EXPOSURE/EXPOSURE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:EXPOSURE
underwear_writing,34,28577,CLOTHING/UNDERWEAR,CLOTHING/EVERYDAY,[],[],explicit_alias:UNDERWEAR->EVERYDAY
underworld,34,28578,PLACE_BACKGROUND/BACKGROUND,PLACE_BACKGROUND,[],[],top_level_fallback:BACKGROUND
underworld_(ornament),34,28579,CLOTHING/ACCESSORIES,CLOTHING/ACCESSORY,[],[],explicit_alias:ACCESSORIES->ACCESSORY
undone_ascot,34,28581,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undone_bikini,34,28582,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undone_bowtie,34,28583,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undone_cross_tie,34,28584,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undone_duijin,34,28585,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undone_neck_ribbon,34,28586,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undone_neckerchief,34,28587,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undone_necktie,34,28588,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undone_sarashi,34,28589,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undressing,34,28590,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
undressing_another,34,28591,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
uneven_bangs,34,28593,HAIR_FACE/HAIR_STYLE,HAIR_FACE,[],[],top_level_fallback:HAIR_STYLE
uneven_eyes,34,28594,HAIR_FACE/FACE_FEATURES,HAIR_FACE,[],[],top_level_fallback:FACE_FEATURES
uneven_footing,34,28595,POSE_MOVEMENT/BODY_POSE,POSE_MOVEMENT,[],[],top_level_fallback:BODY_POSE
uneven_footwear,34,28596,CLOTHING/FOOTWEAR,CLOTHING/EVERYDAY,[],[],explicit_alias:FOOTWEAR->EVERYDAY
uneven_gloves,34,28597,CLOTHING/ACCESSORIES,CLOTHING/ACCESSORY,[],[],explicit_alias:ACCESSORIES->ACCESSORY
uneven_horns,34,28598,BODY_PART/ANATOMY,BODY_PART,[],[],top_level_fallback:ANATOMY
uneven_legwear,34,28599,CLOTHING/LEGWEAR,CLOTHING/EVERYDAY,[],[],explicit_alias:LEGWEAR->EVERYDAY
uneven_sleeves,34,28600,CLOTHING/TOPS,CLOTHING/EVERYDAY,[],[],explicit_alias:TOPS->EVERYDAY
uneven_twintails,34,28601,HAIR_FACE/HAIR_STYLE,HAIR_FACE,[],[],top_level_fallback:HAIR_STYLE
ungagged,34,28602,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unhappy,34,28603,EXPRESSION_EMOTION/EMOTION,EXPRESSION_EMOTION,[],[],top_level_fallback:EMOTION
unibrow,34,28604,HAIR_FACE/FACE_FEATURES,HAIR_FACE,[],[],top_level_fallback:FACE_FEATURES
unicorn,34,28605,LIVING_NATURE/ANIMAL,LIVING_NATURE/CREATURE,[],[],explicit_alias:ANIMAL->CREATURE
unicorn_boy,34,28606,LIVING_NATURE/ANIMAL,LIVING_NATURE/CREATURE,[],[],explicit_alias:ANIMAL->CREATURE
unicorn_girl,34,28607,LIVING_NATURE/ANIMAL,LIVING_NATURE/CREATURE,[],[],explicit_alias:ANIMAL->CREATURE
unicorn_horn,34,28608,LIVING_NATURE/ANIMAL,LIVING_NATURE/CREATURE,[],[],explicit_alias:ANIMAL->CREATURE
unicorn_print,34,28609,LIVING_NATURE/ANIMAL,LIVING_NATURE/CREATURE,[],[],explicit_alias:ANIMAL->CREATURE
unicorns_hunter_uniform,34,28610,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
uniform_number,34,28612,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
uniform_vest,34,28613,CLOTHING/TOPS,CLOTHING/EVERYDAY,[],[],explicit_alias:TOPS->EVERYDAY
union_jack_bikini,34,28615,CLOTHING/UNDERWEAR,CLOTHING/EVERYDAY,[],[],explicit_alias:UNDERWEAR->EVERYDAY
union_jack_print,34,28616,COLOR_APPEARANCE/PATTERN,COLOR_APPEARANCE,[],[],top_level_fallback:PATTERN
unitard,34,28619,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
united_kingdom,34,28620,PLACE_BACKGROUND/OUTDOOR,PLACE_BACKGROUND,[],[],top_level_fallback:OUTDOOR
united_nations,34,28621,STYLE_QUALITY_META/METADATA,STYLE_QUALITY_META,[],[],top_level_fallback:METADATA
united_states,34,28622,PLACE_BACKGROUND/OUTDOOR,PLACE_BACKGROUND,[],[],top_level_fallback:OUTDOOR
united_states_air_force,34,28623,STYLE_QUALITY_META/METADATA,STYLE_QUALITY_META,[],[],top_level_fallback:METADATA
united_states_army,34,28624,STYLE_QUALITY_META/METADATA,STYLE_QUALITY_META,[],[],top_level_fallback:METADATA
united_states_marine_corps,34,28625,STYLE_QUALITY_META/METADATA,STYLE_QUALITY_META,[],[],top_level_fallback:METADATA
united_states_medal_of_honor,34,28626,CLOTHING/ACCESSORIES,CLOTHING/ACCESSORY,[],[],explicit_alias:ACCESSORIES->ACCESSORY
united_states_navy,34,28627,STYLE_QUALITY_META/METADATA,STYLE_QUALITY_META,[],[],top_level_fallback:METADATA
universal_federation_army_uniform,34,28628,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
unkempt,34,28630,HAIR_FACE/HAIR_STYLE,HAIR_FACE,[],[],top_level_fallback:HAIR_STYLE
unlit_cigarette_in_mouth,34,28634,ACTION_CONTACT/DAILY_ACTION,ACTION_CONTACT,[],[],top_level_fallback:DAILY_ACTION
unmoving_pattern,34,28637,STYLE_QUALITY_META/STYLE,STYLE_QUALITY_META,[],[],top_level_fallback:STYLE
unofficial_precure_costume,34,28639,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
unofficial_sailor_senshi_uniform,34,28640,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
unplugged,34,28642,ACTION_CONTACT/DAILY_ACTION,ACTION_CONTACT,[],[],top_level_fallback:DAILY_ACTION
unraveling,34,28643,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unsheathed,34,28644,POSE_MOVEMENT/BODY_POSE,POSE_MOVEMENT,[],[],top_level_fallback:BODY_POSE
unsheathing,34,28645,POSE_MOVEMENT/BODY_POSE,POSE_MOVEMENT,[],[],top_level_fallback:BODY_POSE
unsure,34,28646,EXPRESSION_EMOTION/EMOTION,EXPRESSION_EMOTION,[],[],top_level_fallback:EMOTION
untied_bikini_bottom,34,28647,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
untied_bikini_top,34,28648,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
untied_panties,34,28649,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
untied_ribbon,34,28650,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
untied_shoelaces,34,28651,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
untied_swimsuit,34,28652,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
untucked,34,28653,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
untucked_shirt,34,28654,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
untying,34,28655,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
untying_hair,34,28656,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unused_tire,34,28657,OBJECT_PROP/PROP,OBJECT_PROP,[],[],top_level_fallback:PROP
unusual_insertion,34,28658,ACTION_CONTACT/CONTACT,ACTION_CONTACT/INTERACTION,[],[],explicit_alias:CONTACT->INTERACTION
unusually_limbed,34,28659,BODY_PART/BODY_SHAPE,BODY_PART,[],[],top_level_fallback:BODY_SHAPE
unusually_open_eyes,34,28660,EXPRESSION_EMOTION/EXPRESSION,EXPRESSION_EMOTION,[],[],top_level_fallback:EXPRESSION
unwanted_creampie,34,28661,ACTION_CONTACT/CONTACT,ACTION_CONTACT/INTERACTION,[],[],explicit_alias:CONTACT->INTERACTION
unworn_apron,34,28662,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_armband,34,28663,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_armor,34,28664,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_ascot,34,28665,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_backpack,34,28666,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_bag,34,28667,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_bandana,34,28668,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_belt,34,28669,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_bikini,34,28670,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_bikini_bottom,34,28671,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_bikini_top,34,28672,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_blazer,34,28673,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_blindfold,34,28674,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_bloomers,34,28675,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_blouse,34,28676,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_boots,34,28677,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_bow,34,28678,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_bowtie,34,28679,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_bra,34,28680,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_bracelet,34,28681,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
unworn_buruma,34,28682,CLOTHING_STATE_EXPOSURE/CLOTHING_STATE,CLOTHING_STATE_EXPOSURE,[],[],top_level_fallback:CLOTHING_STATE
