ID,Claim,SOURCE_CLASS,STATUS,SCOPE,VALIDATION_STATE,source/evidence,last_checked,supersedes/contradicted_by,downstream_relevance
K-MODEL-WAI-001,"WAI Illustrious v17 author guidance recommends Forge Neo, Euler a, Steps 15–30, CFG 5–7, integrated VAE, and original image area above 1024×1024 with 1024×1344 examples.",AUTHOR_GUIDE,ACCEPTED,MODEL_VERSION:WAI-v17;RUNTIME:Forge-Neo,SOURCE_RECHECK_REQUIRED,S-WAI-001; docs/knowledge/catalog/01_MODEL_FAMILIES.md,2026-09-09,,PROMPT;Stage10
K-MODEL-WAI-002,WAI v17 author guidance uses a short quality/Negative baseline and warns that excessive quality/aesthetic tags or overly long Negative prompts can reduce quality or blur.,AUTHOR_GUIDE,ACCEPTED,MODEL_VERSION:WAI-v17,SOURCE_RECHECK_REQUIRED,S-WAI-001; docs/knowledge/catalog/01_MODEL_FAMILIES.md,2026-09-09,,PROMPT;Stage10
K-MODEL-WAI-003,WAI v17 author guidance states Hires can repair limbs/hands/feet; base and Hires outputs therefore must be treated as separate evidence states.,AUTHOR_GUIDE,ACCEPTED,MODEL_VERSION:WAI-v17;RUNTIME:Forge-Neo,SOURCE_RECHECK_REQUIRED,S-WAI-001; docs/knowledge/catalog/04_TOOLS_POSTPROCESS_AND_LORA.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-MODEL-WAI-004,"The current project isolation baseline for WAI17 is Forge Neo / Euler a / 25 steps / CFG 5 / 1024×1344 portrait when appropriate, fixed paired seeds, with Hires/ADetailer/LoRA/Control/regional OFF.",PROJECT_FACT,ACCEPTED,MODEL_VERSION:WAI-v17;RUNTIME:Forge-Neo;PROJECT_ONLY,LOCAL_RECHECK,docs/knowledge/catalog/07_WAI17_LOCAL_TEST_PROFILE.md; docs/knowledge/research/WAI17_LOCAL_ENV_TEST_BASELINE_20260909.md,2026-09-09,,PROMPT;Stage10
K-MODEL-WAI-005,"The current WAI17 25-step baseline is an isolation baseline inside the author-recommended range, not a demonstrated hard-target optimum.",PROJECT_FACT,ACCEPTED,MODEL_VERSION:WAI-v17;PROJECT_ONLY,LOCAL_RECHECK,docs/knowledge/research/WAI17_LOCAL_ENV_TEST_BASELINE_20260909.md,2026-09-09,,PROMPT;Stage10
K-MODEL-ILL-001,Illustrious-family official material supports Booru-oriented prompting and warns that critical composition/frame concepts can conflict when stacked.,OFFICIAL_MODEL,ACCEPTED,FAMILY:Illustrious,SOURCE_RECHECK_REQUIRED,S-ILL-001; docs/knowledge/catalog/01_MODEL_FAMILIES.md,2026-09-09,,PROMPT;Stage10
K-MODEL-ILL-002,"Illustrious primary research supports richer caption/context representations and notes limits of simple tag-only representations for complex relations, but this does not establish exact downstream-checkpoint behavior.",RESEARCH,ACCEPTED,FAMILY:Illustrious;GLOBAL_PRINCIPLE,NOT_REQUIRED,S-ILL-002; docs/knowledge/catalog/01_MODEL_FAMILIES.md,2026-09-09,,PROMPT;Stage10
K-MODEL-NOOB-001,"NoobAI XL 1.1 EPS author guidance gives CFG 5–6, Steps 25–30, Euler a, approximately SDXL 1MP sizes, and native caption order count→character→series→artist→special→general→other.",AUTHOR_GUIDE,ACCEPTED,MODEL_VERSION:NoobAI-XL-1.1-EPS,SOURCE_RECHECK_REQUIRED,S-NOOB-EPS-001; docs/knowledge/catalog/01_MODEL_FAMILIES.md,2026-09-09,,PROMPT;Stage10
K-MODEL-NOOB-002,NoobAI XL 1.1 EPS training/caption context includes Danbooru and e621 native tags; e621 can therefore inform trigger/exposure hypotheses without becoming canonical authority.,OFFICIAL_MODEL,ACCEPTED,MODEL_VERSION:NoobAI-XL-1.1-EPS,SOURCE_RECHECK_REQUIRED,S-NOOB-EPS-001; docs/knowledge/catalog/01_MODEL_FAMILIES.md,2026-09-09,,PROMPT;Stage10
K-MODEL-NOOB-003,NoobAI XL V-Pred 1.0 uses a distinct prediction/inference regime and must not be pooled with EPS results.,AUTHOR_GUIDE,ACCEPTED,MODEL_VERSION:NoobAI-XL-VPred-1.0,SOURCE_RECHECK_REQUIRED,S-NOOB-VP-001; docs/knowledge/catalog/01_MODEL_FAMILIES.md,2026-09-09,,PROMPT;Stage10
K-MODEL-NOOB-004,"Exact NoobAI EPS camera/visibility placement, canonical-vs-historical trigger response, hard count ceiling, actor/body-site relation behavior, and anatomy-Negative effects remain unresolved.",PROJECT_FACT,HOLD,MODEL_VERSION:NoobAI-XL-1.1-EPS,CONTROLLED_TEST_REQUIRED,docs/knowledge/catalog/09_OPEN_QUESTIONS_AND_HOLD.md,2026-09-09,,PROMPT;Stage10
K-MODEL-ANIMA-001,"Anima Base, Aesthetic, and Turbo are meaningfully different profiles and should not share inference/prompt assumptions without profile scope.",OFFICIAL_MODEL,ACCEPTED,FAMILY:Anima,SOURCE_RECHECK_REQUIRED,S-ANIMA-001; docs/knowledge/catalog/01_MODEL_FAMILIES.md,2026-09-09,,PROMPT;Stage10
K-MODEL-ANIMA-002,"Anima supports tags, natural language, and mixed prompts; spaces/lowercase and Gelbooru forms may be preferred in its documented prompt surface.",AUTHOR_GUIDE,ACCEPTED,FAMILY:Anima,SOURCE_RECHECK_REQUIRED,S-ANIMA-001; docs/knowledge/catalog/01_MODEL_FAMILIES.md,2026-09-09,,PROMPT;Stage10
K-MODEL-ANIMA-003,"Anima natural-language support does not by itself eliminate multi-character binding, left/right ownership, or strong-concept bleed.",COMMUNITY,CANDIDATE,FAMILY:Anima,CONTROLLED_TEST_REQUIRED,S-ANIMA-002; S-ANIMA-003; S-ANIMA-004; docs/knowledge/catalog/01_MODEL_FAMILIES.md,2026-09-09,,PROMPT;Stage10
K-MODEL-ANIMA-004,Tag-only versus concise hybrid relation prompting remains a family/profile-specific controlled-test question; no universal winner is accepted.,CONTROLLED_PRACTICAL,HOLD,FAMILY:Anima,CONTROLLED_TEST_REQUIRED,S-ANIMA-004; S-JA-006; docs/knowledge/catalog/09_OPEN_QUESTIONS_AND_HOLD.md,2026-09-09,,PROMPT;Stage10
K-PROMPT-001,Minimum sufficient Prompt means preserving the semantic nucleus while removing unsupported/redundant/competitive pressure; it does not mean shortest text.,PROJECT_FACT,ACCEPTED,GLOBAL_PRINCIPLE;PROJECT_ONLY,STAGE10_REQUIRED,docs/knowledge/catalog/02_PROMPT_SUPPORT_AND_COMPOSITION.md; docs/knowledge/research/BATCH_B_MINIMUM_SUFFICIENT_PROMPT_20260909.md,2026-09-09,,PROMPT;Stage10
K-SUPPORT-001,"Support is separate from Special identity and is currently classified into meaning, geometry/kinematic, visibility, resource-disambiguation, aesthetic, and redundant-decoration roles.",PROJECT_FACT,ACCEPTED,PROJECT_ONLY,STAGE10_REQUIRED,docs/knowledge/catalog/02_PROMPT_SUPPORT_AND_COMPOSITION.md; docs/stages/STAGE_10_KNOWLEDGE_HANDOFF.md,2026-09-09,,PROMPT;DEV;Stage10
K-SUPPORT-002,"A semantically compatible support can become generation-harmful anti-support through frame conflict, count pressure, binding pressure, trigger/context bleed, or Negative collision.",RESEARCH,ACCEPTED,GLOBAL_PRINCIPLE,STAGE10_REQUIRED,docs/knowledge/research/BATCH_A_FALSE_ASSUMPTION_PREVENTION_20260909.md; docs/knowledge/catalog/02_PROMPT_SUPPORT_AND_COMPOSITION.md,2026-09-09,,PROMPT;Stage10
K-SUPPORT-003,"Broad+specific support has no universal add/delete rule; specific-only, broad-only, and broad+specific should be controlled separately.",PROJECT_FACT,ACCEPTED,GLOBAL_PRINCIPLE;PROJECT_ONLY,CONTROLLED_TEST_REQUIRED,docs/knowledge/catalog/02_PROMPT_SUPPORT_AND_COMPOSITION.md; docs/knowledge/catalog/09_OPEN_QUESTIONS_AND_HOLD.md,2026-09-09,,PROMPT;Stage10
K-SUPPORT-004,The exact benefit/harm of broad+specific support on rare WAI17 targets remains unresolved.,PROJECT_FACT,HOLD,MODEL_VERSION:WAI-v17,CONTROLLED_TEST_REQUIRED,docs/knowledge/catalog/09_OPEN_QUESTIONS_AND_HOLD.md,2026-09-09,,PROMPT;Stage10
K-PROMPT-002,Prompt difficulty is better represented by semantic/concept/binding workload than by raw token or tag count alone.,RESEARCH,ACCEPTED,GLOBAL_PRINCIPLE,STAGE10_REQUIRED,S-RESEARCH-001; docs/knowledge/catalog/02_PROMPT_SUPPORT_AND_COMPOSITION.md,2026-09-09,Contradicts K-REJECT-008,PROMPT;Stage10
K-PROMPT-003,"Frame, viewpoint, orientation, visibility, and relation are distinct roles and same-role tags should not be stacked by default.",PROJECT_FACT,ACCEPTED,PROJECT_ONLY,STAGE10_REQUIRED,docs/knowledge/catalog/02_PROMPT_SUPPORT_AND_COMPOSITION.md; docs/stages/STAGE_10_KNOWLEDGE_HANDOFF.md,2026-09-09,,PROMPT;Stage10
K-BIND-001,"Presence of requested objects/tags does not prove relation, actor-target, body-site, ownership, source-destination, topology, or exact count correctness.",RESEARCH,ACCEPTED,GLOBAL_PRINCIPLE,STAGE10_REQUIRED,S-RESEARCH-002; docs/knowledge/catalog/03_FAILURE_TESTING_AND_EVALUATION.md; docs/knowledge/catalog/05_HARD_NICHE_ADULT_GENERATION.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-BIND-002,"For multi-Special failures, A_ONLY and B_ONLY must be checked before interpreting AB failure as concept ignorance.",RESEARCH,ACCEPTED,GLOBAL_PRINCIPLE;PROJECT_ONLY,STAGE10_REQUIRED,S-RESEARCH-002; docs/knowledge/catalog/02_PROMPT_SUPPORT_AND_COMPOSITION.md,2026-09-09,,PROMPT;Stage10
K-HARD-001,"Hard/niche targets should be decomposed by structural capability (unary state, body-site, binding relation, restraint topology, device relation, count, nonhuman appendage relation, anatomy-changing, composite) rather than treated as one genre.",PROJECT_FACT,ACCEPTED,PROJECT_ONLY,STAGE10_REQUIRED,docs/knowledge/catalog/05_HARD_NICHE_ADULT_GENERATION.md; docs/knowledge/research/HARD_FETISH_GENERATION_INDEX_20260909.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-HARD-002,Exact body-site and exact count are first-class predicates when intrinsic to the target Special.,PROJECT_FACT,ACCEPTED,PROJECT_ONLY,STAGE10_REQUIRED,docs/knowledge/catalog/05_HARD_NICHE_ADULT_GENERATION.md; docs/knowledge/GENERATION_KNOWLEDGE_INDEX.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-HARD-003,"Restraint targets that require specific connectivity should be evaluated as topology, not merely rope/cuff presence.",PROJECT_FACT,ACCEPTED,PROJECT_ONLY,STAGE10_REQUIRED,docs/knowledge/catalog/05_HARD_NICHE_ADULT_GENERATION.md; docs/knowledge/research/HARD_FETISH_BDSM_RESTRAINT_20260909.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-HARD-004,"Machine/device targets require functional relation/contact, not merely device presence.",PROJECT_FACT,ACCEPTED,PROJECT_ONLY,STAGE10_REQUIRED,docs/knowledge/catalog/05_HARD_NICHE_ADULT_GENERATION.md; docs/knowledge/research/HARD_FETISH_MACHINE_DEVICE_20260909.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-HARD-005,"Tentacle/nonhuman appendage targets require source/ownership/role/target/relation/count decomposition because appendages can be confused with hair, tail, clothing, actors, or devices.",PROJECT_FACT,ACCEPTED,PROJECT_ONLY,STAGE10_REQUIRED,docs/knowledge/catalog/05_HARD_NICHE_ADULT_GENERATION.md; docs/knowledge/research/HARD_FETISH_TENTACLE_FANTASY_20260909.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-HARD-006,Fluid/material relation targets require source/destination/state/quantity judgement where those predicates are intrinsic.,PROJECT_FACT,ACCEPTED,PROJECT_ONLY,STAGE10_REQUIRED,docs/knowledge/catalog/05_HARD_NICHE_ADULT_GENERATION.md; docs/knowledge/research/HARD_FETISH_FLUID_EXCRETION_20260909.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-HARD-007,"Exact WAI17 ceilings for actor-target/body-site binding, restraint topology, machine relation, tentacle ownership, and simultaneous Special/count remain unresolved.",PROJECT_FACT,HOLD,MODEL_VERSION:WAI-v17,CONTROLLED_TEST_REQUIRED,docs/knowledge/catalog/07_WAI17_LOCAL_TEST_PROFILE.md; docs/knowledge/catalog/09_OPEN_QUESTIONS_AND_HOLD.md,2026-09-09,,PROMPT;Stage10
K-NEG-001,Negative Prompt is an active semantic intervention rather than neutral cleanup; overlap with intended unusual anatomy/count concepts can suppress the target.,RESEARCH,ACCEPTED,GLOBAL_PRINCIPLE,STAGE10_REQUIRED,S-RESEARCH-004; docs/knowledge/catalog/03_FAILURE_TESTING_AND_EVALUATION.md,2026-09-09,Contradicts K-REJECT-005,PROMPT;Stage10
K-NEG-002,"Exact unusual-anatomy/count-changing Negative ON/OFF effects remain model/version-specific and unresolved for WAI17, NoobAI, and Anima project cases.",PROJECT_FACT,HOLD,MODEL_VERSION:WAI-v17;MODEL_VERSION:NoobAI-XL-1.1-EPS;FAMILY:Anima,CONTROLLED_TEST_REQUIRED,docs/knowledge/catalog/09_OPEN_QUESTIONS_AND_HOLD.md; docs/stages/STAGE_10_KNOWLEDGE_HANDOFF.md,2026-09-09,,PROMPT;Stage10
K-QUALITY-001,Quality/meta instructions can alter composition/style and should be treated as experiment variables rather than universal harmless decoration.,CONTROLLED_PRACTICAL,CANDIDATE,FAMILY:Illustrious;MODEL_VERSION:WAI-v17,CONTROLLED_TEST_REQUIRED,S-JA-001; docs/knowledge/catalog/08_SOURCE_AND_SITE_AUDITS.md,2026-09-09,,PROMPT;Stage10
K-TOOL-001,"Prompt-only success, assisted-control success, LoRA-assisted success, and postprocess-repaired success are separate evidence lanes.",PROJECT_FACT,ACCEPTED,GLOBAL_PRINCIPLE;PROJECT_ONLY,NOT_REQUIRED,docs/knowledge/catalog/04_TOOLS_POSTPROCESS_AND_LORA.md; docs/knowledge/research/WAI17_LOCAL_ENV_TEST_BASELINE_20260909.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-TOOL-002,ADetailer performs detect/mask/inpaint after base generation and can use separate prompts/settings; outputs it changes cannot certify base-generation capability.,OFFICIAL_RUNTIME,ACCEPTED,RUNTIME:ADetailer,SOURCE_RECHECK_REQUIRED,S-TOOL-001; S-TOOL-002; docs/knowledge/catalog/04_TOOLS_POSTPROCESS_AND_LORA.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-TOOL-003,ControlNet/OpenPose/depth/edge/segmentation add external spatial conditioning; assisted success does not prove Prompt-only capability.,RESEARCH,ACCEPTED,RUNTIME:ControlNet;GLOBAL_PRINCIPLE,NOT_REQUIRED,S-RESEARCH-003; docs/knowledge/catalog/04_TOOLS_POSTPROCESS_AND_LORA.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-TOOL-004,"Regional prompting/Forge Couple should be treated as assisted control for actor/resource separation and spatial partitioning, not as evidence of plain-checkpoint binding.",PROJECT_FACT,ACCEPTED,RUNTIME:Forge-Couple;PROJECT_ONLY,LOCAL_RECHECK,docs/knowledge/catalog/04_TOOLS_POSTPROCESS_AND_LORA.md; docs/knowledge/research/WAI17_LOCAL_ENV_TEST_BASELINE_20260909.md,2026-09-09,,PROMPT;Stage10
K-TOOL-005,Dynamic Prompts is appropriate for bounded variant enumeration only when the exact resolved prompt and seed are preserved for evidence.,PROJECT_FACT,ACCEPTED,RUNTIME:Dynamic-Prompts;PROJECT_ONLY,LOCAL_RECHECK,docs/knowledge/catalog/04_TOOLS_POSTPROCESS_AND_LORA.md,2026-09-09,,PROMPT;Stage10
K-LORA-001,Loaded LoRA name/weight/base compatibility is part of experiment identity; loaded-without-trigger cannot be assumed identical to base checkpoint.,CONTROLLED_PRACTICAL,ACCEPTED,GLOBAL_PRINCIPLE;PROJECT_ONLY,LOCAL_RECHECK,S-TOOL-003; docs/knowledge/catalog/04_TOOLS_POSTPROCESS_AND_LORA.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-LORA-002,Project-specific LoRA×Special/support interaction effects remain unresolved and require controlled local testing.,PROJECT_FACT,HOLD,PROJECT_ONLY,CONTROLLED_TEST_REQUIRED,docs/knowledge/catalog/09_OPEN_QUESTIONS_AND_HOLD.md,2026-09-09,,PROMPT;Stage10
K-EVAL-001,WD EVA02 v3 is suitable as a common/unary side signal but its training-frequency filtering creates structural rare-tag coverage gaps; missing output is not image failure.,OFFICIAL_MODEL,ACCEPTED,EVALUATOR:WD-EVA02-v3;PROJECT_ONLY,SOURCE_RECHECK_REQUIRED,S-EVAL-001; docs/knowledge/catalog/03_FAILURE_TESTING_AND_EVALUATION.md,2026-09-09,,AUDIT;PROMPT;Stage10
K-EVAL-002,"Kagami-24k is a wider-vocabulary evaluator candidate, but vocabulary breadth does not establish rare-tail accuracy or relation correctness.",OFFICIAL_MODEL,CANDIDATE,EVALUATOR:Kagami-24k;PROJECT_ONLY,STAGE10_REQUIRED,S-EVAL-002; docs/knowledge/catalog/03_FAILURE_TESTING_AND_EVALUATION.md,2026-09-09,,AUDIT;PROMPT;Stage10
K-EVAL-003,"CL Tagger v2 provides broad vocabulary plus per-tag calibration/threshold/OOD information, but is not accepted as relation ground truth.",OFFICIAL_MODEL,CANDIDATE,EVALUATOR:CL-Tagger-v2;PROJECT_ONLY,STAGE10_REQUIRED,S-EVAL-003; docs/knowledge/catalog/03_FAILURE_TESTING_AND_EVALUATION.md,2026-09-09,,AUDIT;PROMPT;Stage10
K-EVAL-004,"Final Special dictionary coverage comparison across WD EVA02 v3, Kagami-24k, and CL Tagger v2 remains pending until final Special dictionary freeze.",PROJECT_FACT,HOLD,PROJECT_ONLY,STAGE10_REQUIRED,docs/project/CURRENT_STATE.md; docs/knowledge/catalog/09_OPEN_QUESTIONS_AND_HOLD.md,2026-09-09,,KNOWLEDGE;PROMPT;Stage10
K-EVAL-005,"A unary tagger score must not be treated as sole ground truth for actor-target/body-site relation, restraint topology, source-destination, exact count, or compound Special retention.",PROJECT_FACT,ACCEPTED,GLOBAL_PRINCIPLE;PROJECT_ONLY,NOT_REQUIRED,docs/knowledge/catalog/03_FAILURE_TESTING_AND_EVALUATION.md,2026-09-09,Contradicts K-REJECT-007,AUDIT;PROMPT;Stage10
K-EVID-001,One seed can demonstrate a case/counterexample but is not a reliability estimate; repeatability/generalization require predetermined multi-seed evidence.,RESEARCH,ACCEPTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/catalog/03_FAILURE_TESTING_AND_EVALUATION.md; docs/knowledge/research/BATCH_C_EVIDENCE_RELIABILITY_20260909.md,2026-09-09,,AUDIT;PROMPT;Stage10
K-EVID-002,"The current evidence ladder is E0 case/debug, E1 repeatability, E2 comparative inference, E3 generalization; no context-free N-seeds-equals-proven rule is accepted.",PROJECT_FACT,ACCEPTED,PROJECT_ONLY,NOT_REQUIRED,docs/knowledge/catalog/03_FAILURE_TESTING_AND_EVALUATION.md; docs/knowledge/research/BATCH_C_EVIDENCE_RELIABILITY_20260909.md,2026-09-09,,AUDIT;PROMPT;Stage10
K-EVID-003,"TIE, UNCLEAR, BOTH_FAIL, and BLOCKED are legitimate distinct outcomes and must not be collapsed into winner/loser.",PROJECT_FACT,ACCEPTED,PROJECT_ONLY,NOT_REQUIRED,docs/knowledge/catalog/03_FAILURE_TESTING_AND_EVALUATION.md,2026-09-09,,AUDIT;PROMPT;Stage10
K-SOURCE-001,AIArtRecipe is adopted as a practical observation/failure corpus and rejected as canonical semantic authority.,COMMUNITY,ACCEPTED,PROJECT_ONLY,SOURCE_RECHECK_REQUIRED,docs/knowledge/catalog/08_SOURCE_AND_SITE_AUDITS.md; docs/knowledge/research/AIARTRECIPE_SITE_AUDIT_20260909.md,2026-09-09,,KNOWLEDGE;PROMPT
K-SOURCE-002,としあきdiffusion Wiki is adopted as Japanese community practical/operations evidence; legacy and current guidance must be version-scoped and cannot override exact author guidance.,COMMUNITY,ACCEPTED,PROJECT_ONLY,SOURCE_RECHECK_REQUIRED,docs/knowledge/catalog/08_SOURCE_AND_SITE_AUDITS.md; docs/knowledge/research/TOSHIAKI_WIKI_SITE_AUDIT_20260909.md,2026-09-09,,KNOWLEDGE;PROMPT
K-HIST-001,"Issue #4 pre-Stage10 knowledge research completed its historical assignment, but persistent KNOWLEDGE work continues under Issue #44.",LEGACY,HISTORICAL,PROJECT_ONLY,NOT_REQUIRED,docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md; docs/stages/STAGE_10_KNOWLEDGE_HANDOFF.md; Issue #44,2026-09-09,Superseded as current lane by KNOWLEDGE:#44,KNOWLEDGE
K-HIST-002,The simple standing/sitting/long_hair/smile golden set is historical plumbing/evaluator evidence and is not representative product validation for rare/relational/multi-Special targets.,LEGACY,HISTORICAL,PROJECT_ONLY,NOT_REQUIRED,docs/project/CURRENT_STATE.md; docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md,2026-09-09,,AUDIT;PROMPT;Stage10
K-REJECT-001,One universal Prompt grammar is valid across WAI/Illustrious/NoobAI/Anima.,LEGACY,REJECTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md; docs/stages/STAGE_10_KNOWLEDGE_HANDOFF.md,2026-09-09,Contradicted by K-GOV-001; K-MODEL-WAI-001; K-MODEL-NOOB-001; K-MODEL-ANIMA-001,PROMPT;Stage10
K-REJECT-002,Adding more support tags monotonically improves generation.,LEGACY,REJECTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md,2026-09-09,Contradicted by K-SUPPORT-002,PROMPT;Stage10
K-REJECT-003,Current Danbooru post_count directly predicts model knowledge or training exposure.,LEGACY,REJECTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md,2026-09-09,Contradicted by K-SEM-006,PROMPT;AUDIT;Stage10
K-REJECT-004,Alias identity guarantees equal generation response.,LEGACY,REJECTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md,2026-09-09,Contradicted by K-SEM-003; exact responses held by K-SEM-004,PROMPT;Stage10
K-REJECT-005,Negative Prompt is neutral cleanup and can be treated as semantically harmless.,LEGACY,REJECTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md,2026-09-09,Contradicted by K-NEG-001,PROMPT;Stage10
K-REJECT-006,A final postprocessed or assisted image proves base Prompt capability.,LEGACY,REJECTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md,2026-09-09,Contradicted by K-TOOL-001; K-MODEL-WAI-003,AUDIT;PROMPT;Stage10
K-REJECT-007,Low tagger confidence or missing tagger output is sufficient proof of generation failure.,LEGACY,REJECTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md,2026-09-09,Contradicted by K-EVAL-001; K-EVAL-005,AUDIT;PROMPT;Stage10
K-REJECT-008,"A Prompt is bad because it is long, independent of semantic workload and conflicts.",LEGACY,REJECTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md,2026-09-09,Contradicted by K-PROMPT-002,PROMPT;Stage10
