identity_key,state,risk_flags
chest_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
chest_hair_peek,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
chest_markings,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
chest_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
chest_spike,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
chest_tattoo,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
chest_tuft,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
cinderella_bust,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
clawed_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
clenched_butt,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
colored_armpit_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
colored_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
curvy,BODY_BOUNDARY_UNCLASSIFIED,sexualized_shape_or_emphasis
dirty_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
disembodied_foot,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
disembodied_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
disembodied_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
dripping_sweat,BODY_BOUNDARY_UNCLASSIFIED,intimate_mark_or_secretion
egyptian_toe,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
extra_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
extra_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
female_armpit_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
flat_ass,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
flat_chest_grab,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
flat_chest_joke,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
foaming_at_the_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
foot_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
foot_tattoo,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
forked_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
full_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
full_stomach,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
gauze_on_thigh,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
gigantic_ass,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
glowing_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
glowing_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
glowing_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
greek_toe,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
green_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
grey_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
groin,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
groin_tendon,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
hand_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
heart_on_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
heart_out_of_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
hip_bones,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
hip_dips,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
hip_tattoo,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
hole_in_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
hole_in_stomach,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
hollow_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
horizontal_navel,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
huge_pectorals,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
inconvenient_ass,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
knee_boobs,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
knee_to_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
knees_apart_feet_together,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
knees_together_feet_apart,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
large_bulge,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
large_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
large_pectorals,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
light-skinned_soles,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
lip_piercing,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
liquid_from_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
long_toes,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
long_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mechanical_foot,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mechanical_hips,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mimic_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
misplaced_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mole_above_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mole_beside_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mole_on_armpit,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mole_on_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mole_on_foot,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mole_on_hip,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mole_on_stomach,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mole_under_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mouth_bubble,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mouth_piercing,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
mouth_submerged,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
narrow_hips,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
narrow_waist,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
navel,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
navel_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
navel_piercing,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
no_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
no_navel,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
no_toes,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
null_bulge,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
orange_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
outie_navel,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
paw_print_soles,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
pectorals,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
pelvis,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
powerful_ass,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
prehensile_toes,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
prehensile_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
puffy_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
red_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
scar_on_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
scar_on_foot,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
scar_on_hip,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
scar_on_lip,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
scar_on_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
scar_on_stomach,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
severed_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
single_bare_foot,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
smoke_from_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
snorkel_in_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
soles,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
soles_together,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
sparkling_sweat,BODY_BOUNDARY_UNCLASSIFIED,intimate_mark_or_secretion
sparse_ass_hair,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
sparse_chest_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
sparse_navel_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
spread_navel,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
steam_from_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
stitched_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
stitched_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
stitched_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
stomach,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
stomach_(organ),BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
stomach_ache,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
stomach_focus,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
stomach_growling,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
stomach_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
strongman_waist,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
surrounded_by_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
sweat,BODY_BOUNDARY_UNCLASSIFIED,intimate_mark_or_secretion
sweat_stain,BODY_BOUNDARY_UNCLASSIFIED,intimate_mark_or_secretion
sweaty_clothes,BODY_BOUNDARY_UNCLASSIFIED,intimate_mark_or_secretion
tail_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
thick_arm_hair,BODY_BOUNDARY_UNCLASSIFIED,sexualized_shape_or_emphasis
thick_arms,BODY_BOUNDARY_UNCLASSIFIED,sexualized_shape_or_emphasis
thick_ass_hair,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site+sexualized_shape_or_emphasis
thick_back_hair,BODY_BOUNDARY_UNCLASSIFIED,sexualized_shape_or_emphasis
thick_chest_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site+sexualized_shape_or_emphasis
thick_leg_hair,BODY_BOUNDARY_UNCLASSIFIED,sexualized_shape_or_emphasis
thick_navel_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site+sexualized_shape_or_emphasis
thick_neck,BODY_BOUNDARY_UNCLASSIFIED,sexualized_shape_or_emphasis
thick_tail,BODY_BOUNDARY_UNCLASSIFIED,sexualized_shape_or_emphasis
thigh_marking,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
thighs,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
thighs_together,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
throat_bulge,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
thumb_to_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
tickling_armpits,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
tickling_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
toe_claws,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
toe_grab,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
toe_scrunch,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
toe_seam,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
toes,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
toes_up,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
tongue_out,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
tongue_piercing,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
tongue_suck,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
tongue_tattoo,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
tongue_wrap,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
toothbrush_in_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
touching_toes,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
veiny_belly,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
veiny_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
veiny_pectorals,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
veiny_thighs,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
very_long_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
very_sweaty,BODY_BOUNDARY_UNCLASSIFIED,intimate_mark_or_secretion
webbed_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
white_armpit_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
wide_hips,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
x_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
x_navel,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
