special_id,canonical_or_tag,issue109_previous_verdict,verified_general_overlap,general_canonical_or_equivalent,general_display_ja,general_search_ja,general_browse_path,final_production_decision,final_reason,evidence_note,confidence
664,zenra,GENERAL_SUFFICIENT_CANDIDATE,YES,zenra,ぜんら,ぜんら,CLOTHING_STATE_EXPOSURE,REMOVE_FROM_SPECIAL_CONFIRMED,zenraは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。zenraとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=zenra (status=PROPOSED, path=CLOTHING_STATE_EXPOSURE). Current Japanese overlay has display_ja=ぜんら and search_ja=ぜんら.",HIGH
665,nipples,GENERAL_SUFFICIENT_CANDIDATE,YES,nipples,乳首,乳首,BODY_PART,REMOVE_FROM_SPECIAL_CONFIRMED,nipplesは一般的な身体部位・身体特徴で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。nipplesとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=nipples (status=PROPOSED, path=BODY_PART). Current Japanese overlay has display_ja=乳首 and search_ja=乳首.",HIGH
666,topless female,GENERAL_SUFFICIENT_CANDIDATE,YES,topless_female,女性のトップレス,女性のトップレス,CLOTHING_STATE_EXPOSURE,REMOVE_FROM_SPECIAL_CONFIRMED,topless femaleは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。topless_femaleとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=topless_female (status=PROPOSED, path=CLOTHING_STATE_EXPOSURE). Current Japanese overlay has display_ja=女性のトップレス and search_ja=女性のトップレス.",HIGH
722,loli,GENERAL_SUFFICIENT_CANDIDATE,YES,loli,ロリ,ロリ,PERSON_COUNT,REMOVE_FROM_SPECIAL_CONFIRMED,loliは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。loliとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=loli (status=PROPOSED, path=PERSON_COUNT). Current Japanese overlay has display_ja=ロリ and search_ja=ロリ.",HIGH
724,shota,GENERAL_SUFFICIENT_CANDIDATE,YES,shota,しょた,しょた,PERSON_COUNT,REMOVE_FROM_SPECIAL_CONFIRMED,shotaは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。shotaとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=shota (status=PROPOSED, path=PERSON_COUNT). Current Japanese overlay has display_ja=しょた and search_ja=しょた.",HIGH
835,brown egyptian cat-eared loli (trend),GENERAL_SUFFICIENT_CANDIDATE,YES,brown_egyptian_cat-eared_loli_(trend),,,STYLE_QUALITY_META,HUMAN_DECISION_REQUIRED,brown egyptian cat-eared loli (trend)は現行Generalにexact/equivalent routeがなく、trend/named visual conceptのSpecial価値とscopeを確定できない。,"Current #64 effective sidecar contains normalized exact canonical=brown_egyptian_cat-eared_loli_(trend) (status=PROPOSED, path=STYLE_QUALITY_META).",LOW
875,sex ed,GENERAL_SUFFICIENT_CANDIDATE,YES,sex_ed,性教育,性教育,UNRESOLVED_NO_VALIDATED_BROWSE_PATH,HUMAN_DECISION_REQUIRED,sex edは現行General canonicalは存在するがsidecar statusがUNRESOLVEDでeffective browse pathがなく、Generalだけでの実用的到達性を確認できない。,"Current #64 effective sidecar contains normalized exact canonical=sex_ed (status=UNRESOLVED, path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH). Current Japanese overlay has display_ja=性教育 and search_ja=性教育. The General identity is present but not effective/validated for removal.",LOW
876,slave gear (tsmg nao!),GENERAL_SUFFICIENT_CANDIDATE,YES,slave_gear_(tsmg_nao!),,,UNRESOLVED_NO_VALIDATED_BROWSE_PATH,HUMAN_DECISION_REQUIRED,slave gear (tsmg nao!)はnamed作品・器具概念で、現行General exact/equivalent routeもなく、作品固有identityを失わずにGeneralへ移せるか判断不能。,"Current #64 effective sidecar contains normalized exact canonical=slave_gear_(tsmg_nao!) (status=UNRESOLVED, path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH). The General identity is present but not effective/validated for removal.",LOW
914,guy tired after sex (meme),GENERAL_SUFFICIENT_CANDIDATE,YES,guy_tired_after_sex_(meme),,,UNRESOLVED_NO_VALIDATED_BROWSE_PATH,KEEP_SPECIAL_CONFIRMED,guy tired after sex (meme)は性行為後の具体的なvisual aftermath templateで、現行Generalにexact/equivalent routeがない。Specialで名前を知らない状態から発見する独立価値が明確なためKEEP。,"Current #64 effective sidecar contains normalized exact canonical=guy_tired_after_sex_(meme) (status=UNRESOLVED, path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH). The General identity is present but not effective/validated for removal.",HIGH
939,bad vulva,GENERAL_SUFFICIENT_CANDIDATE,YES,bad_vulva,女性器の作画崩れ,悪い外陰,STYLE_QUALITY_META,KEEP_SPECIAL_CONFIRMED,bad vulvaは一般的なvulva部位ではなく、異常・崩れを表すspecific sexual visual state/template。現行Generalの広いcoverageだけではSpecialの深い発見導線を代替しないためKEEP。,"Current #64 effective sidecar contains normalized exact canonical=bad_vulva (status=PROPOSED, path=STYLE_QUALITY_META). Current Japanese overlay has display_ja=女性器の作画崩れ and search_ja=悪い外陰.",HIGH
950,slave crest (shield hero),NEEDS_REVIEW,NO,,,,NO_CURRENT_GENERAL_ROUTE,HUMAN_DECISION_REQUIRED,slave crest (shield hero)は作品固有のnamed itemで、現行General exact/equivalent routeがなく、作品固有identityを保った移管可否とSpecial価値を追加確認する必要がある。,Current #64 effective sidecar and Japanese overlay have no normalized exact canonical/equivalent entry; no current General discovery route was verified.,LOW
953,paizuri day,GENERAL_SUFFICIENT_CANDIDATE,YES,paizuri_day,パイズリの日,パイズリの日,ACTION_CONTACT/INTIMATE,REMOVE_FROM_SPECIAL_CONFIRMED,paizuri dayは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。paizuri_dayとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=paizuri_day (status=PROPOSED, path=ACTION_CONTACT/INTIMATE). Current Japanese overlay has display_ja=パイズリの日 and search_ja=パイズリの日.",HIGH
1012,poke ball insertion,NEEDS_REVIEW,YES,poke_ball_insertion,モンスターボール挿入,poke・ボール・insertion,ACTION_CONTACT/INTIMATE,KEEP_SPECIAL_CONFIRMED,poke ball insertionはobject identityと特殊なinsertion/body-site topologyを同時に指定する。現行General exact canonicalがあっても、General移管で挿入関係のdeep-discovery価値を失うためKEEP。,"Current #64 effective sidecar contains normalized exact canonical=poke_ball_insertion (status=PROPOSED, path=ACTION_CONTACT/INTIMATE). Current Japanese overlay has display_ja=モンスターボール挿入 and search_ja=poke・ボール・insertion.",HIGH
1021,penis chart,GENERAL_SUFFICIENT_CANDIDATE,YES,penis_chart,陰茎比較図,陰茎比較図,TEXT_SYMBOL/SYMBOL,KEEP_SPECIAL_CONFIRMED,penis chartは単なるpenis部位ではなく、性的body-siteを説明・配置する明示的なvisual template。現行GeneralのTEXT_SYMBOL経路だけではSpecialの深い発見導線を代替しないためKEEP。,"Current #64 effective sidecar contains normalized exact canonical=penis_chart (status=PROPOSED, path=TEXT_SYMBOL/SYMBOL). Current Japanese overlay has display_ja=陰茎比較図 and search_ja=陰茎比較図.",HIGH
1037,clear insertion,NEEDS_REVIEW,YES,clear_insertion,透明な挿入,透明な挿入,"STYLE_QUALITY_META; secondary=[""ACTION_CONTACT/INTIMATE""]",KEEP_SPECIAL_CONFIRMED,clear insertionは透明表現と特殊なinsertion状態を結びつけるspecific sexual visual concept。現行General exact canonicalがあっても、一般的な透明表現へ正規化するとinsertion意味を失うためKEEP。,"Current #64 effective sidecar contains normalized exact canonical=clear_insertion (status=PROPOSED, path=STYLE_QUALITY_META; secondary=[""ACTION_CONTACT/INTIMATE""]). Current Japanese overlay has display_ja=透明な挿入 and search_ja=透明な挿入.",HIGH
1040,masturbation day,GENERAL_SUFFICIENT_CANDIDATE,YES,masturbation_day,0721の日,0721の日,ACTION_CONTACT/INTIMATE,REMOVE_FROM_SPECIAL_CONFIRMED,masturbation dayは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。masturbation_dayとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=masturbation_day (status=PROPOSED, path=ACTION_CONTACT/INTIMATE). Current Japanese overlay has display_ja=0721の日 and search_ja=0721の日.",HIGH
1052,nipple guessing game (meme),GENERAL_SUFFICIENT_CANDIDATE,YES,nipple_guessing_game_(meme),,,UNRESOLVED_NO_VALIDATED_BROWSE_PATH,HUMAN_DECISION_REQUIRED,nipple guessing game (meme)はnamed/meme visual conceptで、現行General exact/equivalent routeがなく、一般的なgame/object表現へ正規化できるか不明。,"Current #64 effective sidecar contains normalized exact canonical=nipple_guessing_game_(meme) (status=UNRESOLVED, path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH). The General identity is present but not effective/validated for removal.",LOW
1055,slave visor (tsmg nao!),GENERAL_SUFFICIENT_CANDIDATE,YES,slave_visor_(tsmg_nao!),,,UNRESOLVED_NO_VALIDATED_BROWSE_PATH,HUMAN_DECISION_REQUIRED,slave visor (tsmg nao!)は作品固有のnamed fetish objectで、現行General routeがなく、Special価値とscopeを追加確認する必要がある。,"Current #64 effective sidecar contains normalized exact canonical=slave_visor_(tsmg_nao!) (status=UNRESOLVED, path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH). The General identity is present but not effective/validated for removal.",LOW
1082,sexual dimorphism,GENERAL_SUFFICIENT_CANDIDATE,YES,sexual_dimorphism,性的二型,性的二型,BODY_PART,REMOVE_FROM_SPECIAL_CONFIRMED,sexual dimorphismは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。sexual_dimorphismとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=sexual_dimorphism (status=PROPOSED, path=BODY_PART). Current Japanese overlay has display_ja=性的二型 and search_ja=性的二型.",HIGH
1084,arm slave (mecha),GENERAL_SUFFICIENT_CANDIDATE,YES,arm_slave_(mecha),,,OBJECT_PROP,HUMAN_DECISION_REQUIRED,arm slave (mecha)はnamed mecha/object conceptで、現行General exact/equivalent routeがなく、identityを保ったGeneral移管可否を決められない。,"Current #64 effective sidecar contains normalized exact canonical=arm_slave_(mecha) (status=PROPOSED, path=OBJECT_PROP).",LOW
1117,fake penis shadow,NEEDS_REVIEW,YES,fake_penis_shadow,偽の陰茎の影,偽のpenis・shadow,STYLE_QUALITY_META,KEEP_SPECIAL_CONFIRMED,fake penis shadowは一般的なshadowではなく、penisを示唆するspecific sexual visual artifact/template。現行General exact canonicalがあっても、Specialで独立して発見する価値があるためKEEP。,"Current #64 effective sidecar contains normalized exact canonical=fake_penis_shadow (status=PROPOSED, path=STYLE_QUALITY_META). Current Japanese overlay has display_ja=偽の陰茎の影 and search_ja=偽のpenis・shadow.",HIGH
1122,handjob gesture (not ok),NEEDS_REVIEW,YES,handjob_gesture_(not_ok),,,ACTION_CONTACT/INTIMATE,HUMAN_DECISION_REQUIRED,handjob gesture (not ok)はgestureに加えてnot-okのconsent/intensity意味を含む可能性があり、一般handjobへ正規化すると重要な差を失う危険がある。,"Current #64 effective sidecar contains normalized exact canonical=handjob_gesture_(not_ok) (status=PROPOSED, path=ACTION_CONTACT/INTIMATE).",LOW
1139,game controller nipples (meme),NEEDS_REVIEW,YES,game_controller_nipples_(meme),,,UNRESOLVED_NO_VALIDATED_BROWSE_PATH,HUMAN_DECISION_REQUIRED,game controller nipples (meme)はmeme/named sexual visual conceptで、現行General routeがなく、一般objectとSpecial templateの意味境界が不明。,"Current #64 effective sidecar contains normalized exact canonical=game_controller_nipples_(meme) (status=UNRESOLVED, path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH). The General identity is present but not effective/validated for removal.",LOW
1166,exs-slave,GENERAL_SUFFICIENT_CANDIDATE,YES,exs-slave,,,OBJECT_PROP/VEHICLE,HUMAN_DECISION_REQUIRED,exs-slaveはnamed object/vehicle identityの意味境界が不明で、現行Generalにはcanonicalはあるが用途・日本語意味とSpecial価値を安全に比較できない。,"Current #64 effective sidecar contains normalized exact canonical=exs-slave (status=PROPOSED, path=OBJECT_PROP/VEHICLE).",LOW
1168,penis doodle,GENERAL_SUFFICIENT_CANDIDATE,YES,penis_doodle,陰茎の落書き,タグ「penis doodle」,TEXT_SYMBOL/SYMBOL,KEEP_SPECIAL_CONFIRMED,penis doodleは一般的なpenis部位ではなく、性的body-siteを描くspecific visual/text template。現行GeneralのTEXT_SYMBOL経路だけではSpecialのdeep discoveryを代替しないためKEEP。,"Current #64 effective sidecar contains normalized exact canonical=penis_doodle (status=PROPOSED, path=TEXT_SYMBOL/SYMBOL). Current Japanese overlay has display_ja=陰茎の落書き and search_ja=タグ「penis doodle」.",HIGH
1171,instance domination,NEEDS_REVIEW,YES,instance_domination,インスタンスの支配,インスタンスの支配,UNRESOLVED_NO_VALIDATED_BROWSE_PATH,HUMAN_DECISION_REQUIRED,instance dominationは現行General canonicalがUNRESOLVEDでbrowse pathなし。domination一般概念かnamed conceptかの境界も不明。,"Current #64 effective sidecar contains normalized exact canonical=instance_domination (status=UNRESOLVED, path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH). Current Japanese overlay has display_ja=インスタンスの支配 and search_ja=インスタンスの支配. The General identity is present but not effective/validated for removal.",LOW
1173,off-color cum,NEEDS_REVIEW,YES,off-color_cum,,,COLOR_APPEARANCE,HUMAN_DECISION_REQUIRED,off-color cumはfluid-specific stateだがoff-colorの定義・visual boundaryが不明で、現行General exact/equivalent routeも確認できない。,"Current #64 effective sidecar contains normalized exact canonical=off-color_cum (status=PROPOSED, path=COLOR_APPEARANCE).",LOW
1186,insertion threshold (meme),NEEDS_REVIEW,YES,insertion_threshold_(meme),,,UNRESOLVED_NO_VALIDATED_BROWSE_PATH,HUMAN_DECISION_REQUIRED,insertion threshold (meme)はmeme由来のnamed insertion conceptで、現行General routeがなく、通常のinsertionへ正規化できるか不明。,"Current #64 effective sidecar contains normalized exact canonical=insertion_threshold_(meme) (status=UNRESOLVED, path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH). The General identity is present but not effective/validated for removal.",LOW
1204,penis envy,GENERAL_SUFFICIENT_CANDIDATE,YES,penis_envy,陰茎の格差社会,陰茎の格差社会,BODY_PART,HUMAN_DECISION_REQUIRED,penis envyは現行General canonicalと日本語overlayはあるが、#64 sidecarのprimary pathがBODY_PARTで心理・semantic概念とcategoryが不一致。意味に合うGeneral coverageを確認するまでREMOVE不可。,"Current #64 effective sidecar contains normalized exact canonical=penis_envy (status=PROPOSED, path=BODY_PART). Current Japanese overlay has display_ja=陰茎の格差社会 and search_ja=陰茎の格差社会.",LOW
1577,erect nipplees,NEEDS_REVIEW,NO,,,,NO_CURRENT_GENERAL_ROUTE,HUMAN_DECISION_REQUIRED,erect nippleesは表記誤りとcovered_nipples相当のcanonical/alias identityが衝突する可能性があり、identity確定まで保留。,Current #64 effective sidecar and Japanese overlay have no normalized exact canonical/equivalent entry; no current General discovery route was verified.,LOW
1692,pornography,GENERAL_SUFFICIENT_CANDIDATE,YES,pornography,ポルノ,ポルノ,STYLE_QUALITY_META,REMOVE_FROM_SPECIAL_CONFIRMED,pornographyは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。pornographyとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=pornography (status=PROPOSED, path=STYLE_QUALITY_META). Current Japanese overlay has display_ja=ポルノ and search_ja=ポルノ.",HIGH
1693,uncensored,GENERAL_SUFFICIENT_CANDIDATE,YES,uncensored,無修正,無修正,STYLE_QUALITY_META,REMOVE_FROM_SPECIAL_CONFIRMED,uncensoredは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。uncensoredとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=uncensored (status=PROPOSED, path=STYLE_QUALITY_META). Current Japanese overlay has display_ja=無修正 and search_ja=無修正.",HIGH
1745,bent over,GENERAL_SUFFICIENT_CANDIDATE,YES,bent_over,前かがみ,前かがみ,POSE_MOVEMENT,REMOVE_FROM_SPECIAL_CONFIRMED,bent overは普通のposeで、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。bent_overとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=bent_over (status=PROPOSED, path=POSE_MOVEMENT). Current Japanese overlay has display_ja=前かがみ and search_ja=前かがみ.",HIGH
1747,folded,NEEDS_REVIEW,YES,folded,ちんぐり返し,ちんぐり返し,COLOR_APPEARANCE,HUMAN_DECISION_REQUIRED,foldedは現行General canonicalはあるが#64 pathがCOLOR_APPEARANCEで、pose/compositionとしてのSpecial意味とcategoryが一致しないため、REMOVE/KEEPを確定できない。,"Current #64 effective sidecar contains normalized exact canonical=folded (status=PROPOSED, path=COLOR_APPEARANCE). Current Japanese overlay has display_ja=ちんぐり返し and search_ja=ちんぐり返し.",LOW
1754,on side,GENERAL_SUFFICIENT_CANDIDATE,YES,on_side,横向き,横向き,POSE_MOVEMENT,REMOVE_FROM_SPECIAL_CONFIRMED,on sideは普通のposeで、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。on_sideとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=on_side (status=PROPOSED, path=POSE_MOVEMENT). Current Japanese overlay has display_ja=横向き and search_ja=横向き.",HIGH
2016,clitoris,GENERAL_SUFFICIENT_CANDIDATE,YES,clitoris,クリトリス,クリトリス,BODY_PART,REMOVE_FROM_SPECIAL_CONFIRMED,clitorisは一般的な身体部位・身体特徴で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。clitorisとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=clitoris (status=PROPOSED, path=BODY_PART). Current Japanese overlay has display_ja=クリトリス and search_ja=クリトリス.",HIGH
2018,mons pubis,GENERAL_SUFFICIENT_CANDIDATE,YES,mons_pubis,恥丘,恥丘,BODY_PART,REMOVE_FROM_SPECIAL_CONFIRMED,mons pubisは一般的な身体部位・身体特徴で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。mons_pubisとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=mons_pubis (status=PROPOSED, path=BODY_PART). Current Japanese overlay has display_ja=恥丘 and search_ja=恥丘.",HIGH
2019,clitoral hood,GENERAL_SUFFICIENT_CANDIDATE,YES,clitoral_hood,クリトリス包皮,クリトリス包皮,BODY_PART,REMOVE_FROM_SPECIAL_CONFIRMED,clitoral hoodは一般的な身体部位・身体特徴で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。clitoral_hoodとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=clitoral_hood (status=PROPOSED, path=BODY_PART). Current Japanese overlay has display_ja=クリトリス包皮 and search_ja=クリトリス包皮.",HIGH
2039,testicles,GENERAL_SUFFICIENT_CANDIDATE,YES,testicles,ふぐり,ふぐり,BODY_PART,REMOVE_FROM_SPECIAL_CONFIRMED,testiclesは一般的な身体部位・身体特徴で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。testiclesとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=testicles (status=PROPOSED, path=BODY_PART). Current Japanese overlay has display_ja=ふぐり and search_ja=ふぐり.",HIGH
