special_id,canonical_or_tag,general_overlap,previous_product_fit_verdict,final_reverse_audit_verdict,final_reason,general_discoverability_note,provenance_note,source_batch
666,topless female,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,common exposure state with General exact coverage; specific breast/nipple exposure variants retain Special value,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B1
722,loli,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,"general character-type concept rather than a deep adult act/state; General exact coverage exists, while explicit compound adult-context concepts stay Special",#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B1
724,shota,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,"general character-type concept rather than a deep adult act/state; General exact coverage exists, while explicit compound adult-context concepts stay Special",#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B1
835,brown egyptian cat-eared loli (trend),YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,trend/style-onlyの文脈タグで、独立した成人向けdeep-discovery対象ではない。GeneralのSTYLE_QUALITY_METAと日本語overlay/searchで理解・到達できるため候補化する。,General exact canonical=brown_egyptian_cat-eared_loli_(trend); 日本語表示=褐色エジプト風猫耳ロリ（トレンド）; 日本語search=タグ「brown egyptian cat-eared loli (trend)」; #64 browse path=STYLE_QUALITY_META.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B2
875,sex ed,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,性教育という広い教育・文脈概念で、特殊な行為・身体状態・器具の指定ではない。General exact＋日本語searchで十分に理解・発見できる候補。,General exact canonical=sex_ed; 日本語表示=性教育; 日本語search=性教育; #64 browse path=(taxonomy pathなし; General検索/overlay経路).,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B2
876,slave gear (tsmg nao!),YES,OUT_OF_SCOPE_PRODUCT,GENERAL_SUFFICIENT_CANDIDATE,作品固有名を含むgearで、Specialに独立して保持する安定したdeep-discovery価値が弱い。General exact＋日本語searchで到達できるが、旧OUT_OF_SCOPE_PRODUCTを含むため最終削除は別途判断する候補。,General exact canonical=slave_gear_(tsmg_nao!); 日本語表示=スレイブギア; 日本語search=スレイブギア; #64 browse path=(taxonomy pathなし; General検索/overlay経路).,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=OUT_OF_SCOPE_PRODUCT。production Special/catalog/UserDataは変更していない。,B2
914,guy tired after sex (meme),YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,一般的なmeme scene/contextで、明示的なニッチ行為・身体site・topologyではない。General exact＋日本語searchで十分に到達できる候補。,General exact canonical=guy_tired_after_sex_(meme); 日本語表示=性交後に疲れた男性（ミーム）; 日本語search=guy tired after sex (meme); #64 browse path=(taxonomy pathなし; General検索/overlay経路).,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B2
939,bad vulva,YES,OUT_OF_SCOPE_PRODUCT,GENERAL_SUFFICIENT_CANDIDATE,広い品質・状態修飾付きの外陰部表現で、独立した深い行為/器具/関係性ではない。GeneralのSTYLE_QUALITY_META exact経路と日本語overlayで十分な候補。,General exact canonical=bad_vulva; 日本語表示=女性器の作画崩れ; 日本語search=悪い外陰; #64 browse path=STYLE_QUALITY_META.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=OUT_OF_SCOPE_PRODUCT。production Special/catalog/UserDataは変更していない。,B2
953,paizuri day,YES,OUT_OF_SCOPE_PRODUCT,GENERAL_SUFFICIENT_CANDIDATE,日付・trend文脈であり、paizuriそのものの深い行為を表す独立タグではない。General exact＋日本語search/browseで到達できる候補。,General exact canonical=paizuri_day; 日本語表示=パイズリの日; 日本語search=パイズリの日; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=OUT_OF_SCOPE_PRODUCT。production Special/catalog/UserDataは変更していない。,B2
1021,penis chart,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,単純な図表・テキスト/記号オブジェクトで、Specialのdeep-discovery対象というよりGeneralのTEXT_SYMBOL/SYMBOLで扱える。,General exact canonical=penis_chart; 日本語表示=陰茎比較図; 日本語search=陰茎比較図; #64 browse path=TEXT_SYMBOL/SYMBOL.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B2
1040,masturbation day,YES,OUT_OF_SCOPE_PRODUCT,GENERAL_SUFFICIENT_CANDIDATE,日付・trend文脈であり、具体的なmasturbation行為・身体site・topologyを追加しない。General exact＋日本語search/browseで十分な候補。,General exact canonical=masturbation_day; 日本語表示=0721の日; 日本語search=0721の日; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=OUT_OF_SCOPE_PRODUCT。production Special/catalog/UserDataは変更していない。,B2
1052,nipple guessing game (meme),YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,一般的なgame/meme文脈で、独立した深い性行為・身体状態ではない。General exact＋日本語searchで到達できる候補。,General exact canonical=nipple_guessing_game_(meme); 日本語表示=乳首当てゲーム; 日本語search=乳首当てゲーム; #64 browse path=(taxonomy pathなし; General検索/overlay経路).,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B2
1055,slave visor (tsmg nao!),YES,OUT_OF_SCOPE_PRODUCT,GENERAL_SUFFICIENT_CANDIDATE,作品固有名を含むvisorで、Specialのdeep-discovery対象としての一般性が弱い。General exact＋日本語searchで到達できるが、旧OUT_OF_SCOPE_PRODUCTを含むため最終削除は別途判断する候補。,General exact canonical=slave_visor_(tsmg_nao!); 日本語表示=スレイブバイザー（TSMG Nao!）; 日本語search=タグ「slave visor (tsmg nao!)」; #64 browse path=(taxonomy pathなし; General検索/overlay経路).,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=OUT_OF_SCOPE_PRODUCT。production Special/catalog/UserDataは変更していない。,B2
1082,sexual dimorphism,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,性的行為ではなく広い生物学的descriptorで、Generalの身体・属性検索で理解できる。Specialのニッチ発見導線を増やす独立価値が低い候補。,General exact canonical=sexual_dimorphism; 日本語表示=性的二型; 日本語search=性的二型; #64 browse path=BODY_PART.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B2
1084,arm slave (mecha),YES,OUT_OF_SCOPE_PRODUCT,GENERAL_SUFFICIENT_CANDIDATE,作品固有のmecha/object概念で、成人向けの挿入・拘束・身体siteの深い指定ではない。General exact＋日本語search/browseで到達できる候補。,General exact canonical=arm_slave_(mecha); 日本語表示=アームスレイブ; 日本語search=アームスレイブ; #64 browse path=OBJECT_PROP.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=OUT_OF_SCOPE_PRODUCT。production Special/catalog/UserDataは変更していない。,B2
1166,exs-slave,YES,OUT_OF_SCOPE_PRODUCT,GENERAL_SUFFICIENT_CANDIDATE,作品固有のslave vehicle/object概念で、Specialの成人向けdeep-discovery核から外れる。General exact＋日本語search/browseで到達できる候補。,General exact canonical=exs-slave; 日本語表示=エクスレイヴ; 日本語search=エクスレイヴ; #64 browse path=OBJECT_PROP/VEHICLE.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=OUT_OF_SCOPE_PRODUCT。production Special/catalog/UserDataは変更していない。,B2
1168,penis doodle,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,単純な図・落書きというgraphic objectで、GeneralのTEXT_SYMBOL/SYMBOLで理解・発見できる。,General exact canonical=penis_doodle; 日本語表示=陰茎の落書き; 日本語search=タグ「penis doodle」; #64 browse path=TEXT_SYMBOL/SYMBOL.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B2
1204,penis envy,YES,REVIEW,GENERAL_SUFFICIENT_CANDIDATE,penis envyは広い心理・semantic umbrellaで、具体的な行為・body-site・器具・topologyを指定しない。General exact canonical、日本語overlay/search、#64 BODY_PART経路で理解・発見でき、Specialの独立deep-discovery価値は低い。,General exact canonical=penis_envy; 日本語表示=陰茎の格差社会; 日本語search=陰茎の格差社会; #64 browse path=BODY_PART.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=REVIEW。production Special/catalog/UserDataは変更していない。,B2
1692,pornography,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,pornographyは広いcontent/meta umbrellaで、具体的な身体状態・行為・器具・topologyを指定しない。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
1693,uncensored,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,uncensoredは広いcontent/meta umbrellaで、具体的な身体状態・行為・器具・topologyを指定しない。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
1745,bent over,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,bent overは普通のpose表現で、Special独自の性的topologyやactor-target差を持たない。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B3
1754,on side,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,on sideは普通のpose表現で、Special独自の性的topologyやactor-target差を持たない。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B3
2016,clitoris,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,clitorisは一般的な身体部位・身体特徴そのもので、Special独自の状態・関係・器具を指定しない。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B3
2018,mons pubis,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,mons pubisは一般的な身体部位・身体特徴そのもので、Special独自の状態・関係・器具を指定しない。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B3
2019,clitoral hood,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,clitoral hoodは一般的な身体部位・身体特徴そのもので、Special独自の状態・関係・器具を指定しない。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B3
2039,testicles,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,testiclesは一般的な身体部位・身体特徴そのもので、Special独自の状態・関係・器具を指定しない。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B3
2073,babydoll,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,babydollは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2078,bodysuit,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,bodysuitは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2080,boyshort panties,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,boyshort pantiesは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2081,bra,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,braは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2083,bustier,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,bustierは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2084,camisole,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,camisoleは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2085,chemise,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,chemiseは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2086,corset,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,corsetは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2098,fishnets,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,fishnetsは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2099,g-string,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,g-stringは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2100,garter belt,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,garter beltは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2101,garter straps,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,garter strapsは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
2103,lace,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,laceは普通の衣服・下着・衣服素材または一般的な衣服カテゴリで、Generalの日本語検索・browseで到達できる。#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。 Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しないためGENERAL_SUFFICIENT_CANDIDATE。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B3
