special_id,tag,mechanical_triage,triage_reason,exact_general_overlap,product_fit_verdict,promotion_status,meaning_status,generation_family,generation_role,prompt_use_mode,special_flags,general_canonical,general_display_ja,general_search_ja,general_post_count,general_status,general_confidence,general_primary_path,general_secondary_paths,human_final,human_reason
54,sex,NEEDS_REVIEW,B1_HUMAN_REVIEW; very broad adult umbrella; broadness alone is not a demotion reason,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,ACTION_INTERACTION,action,STRUCTURED,,sex,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
55,simulated footjob,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,simulated_footjob,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
57,take your pick,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,take_your_pick,,,,PROPOSED,MEDIUM,ACTION_CONTACT/INTERACTION,[],,
65,upright 69,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,upright_69,,,,PROPOSED,MEDIUM,ACTION_CONTACT/INTERACTION,[],,
84,after masturbation,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,after_masturbation,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
87,implied masturbation,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,implied_masturbation,,,,PROPOSED,MEDIUM,ACTION_CONTACT/INTIMATE,[],,
100,after fellatio,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,after_fellatio,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
105,implied fellatio,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,implied_fellatio,,,,PROPOSED,MEDIUM,ACTION_CONTACT/INTIMATE,[],,
117,69,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,69,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
118,amazon position,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,amazon_position,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
119,cowgirl position,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,cowgirl_position,,,,PROPOSED,HIGH,POSE_MOVEMENT,[],,
120,doggystyle,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,doggystyle,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
121,mating press,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,mating_press,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
122,missionary,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,missionary,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
123,prone bone,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,prone_bone,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
124,reverse cowgirl position,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,reverse_cowgirl_position,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
125,reverse squatting cowgirl position,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,reverse_squatting_cowgirl_position,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
126,reverse suspended congress,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,reverse_suspended_congress,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
127,reverse upright straddle,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,reverse_upright_straddle,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
128,sex from behind,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,sex_from_behind,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
129,sitting on face,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,sitting_on_face,,,,PROPOSED,HIGH,ACTION_CONTACT/INTERACTION,[],,
130,squatting cowgirl position,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,squatting_cowgirl_position,,,,PROPOSED,HIGH,POSE_MOVEMENT,[],,
131,standing missionary,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,standing_missionary,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
132,standing sex,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,standing_sex,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
133,suspended congress,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,suspended_congress,,,,UNRESOLVED,LOW,,[],,
134,top-down bottom-up,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose_camera,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,top-down_bottom-up,,,,PROPOSED,HIGH,CLOTHING/EVERYDAY,[],,
145,anal prolapse,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:BODY_STATE,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,BODY_STATE,body_state,DIRECT,,anal_prolapse,,,,PROPOSED,HIGH,BODY_PART,[],,
146,after anal,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,after_anal,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
151,imminent anal,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,imminent_anal,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
156,anal invitation,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,anal_invitation,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
169,after fingering,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,after_fingering,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
170,after insertion,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,after_insertion,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
179,imminent penetration,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,imminent_penetration,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
180,implied fingering,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,implied_fingering,,,,PROPOSED,MEDIUM,ACTION_CONTACT/INTIMATE,[],,
198,inflation,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:BODY_STATE,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,BODY_STATE,body_state,DIRECT,,inflation,,,,PROPOSED,MEDIUM,BODY_PART,[],,
199,stomach bulge,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:BODY_STATE,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,BODY_STATE,body_state,DIRECT,,stomach_bulge,,,,PROPOSED,HIGH,BODY_PART,[],,
207,catheter,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP_REFERENCE_ONLY,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,catheter,,,,PROPOSED,HIGH,OBJECT_PROP,[],,
213,urethra,GENERAL_SUFFICIENT_CANDIDATE,B1_HUMAN_SEED; plain anatomy/body-site concept; verify whether Special depth adds value,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,BODY_ATTRIBUTE,body_target_or_attribute,DIRECT,,urethra,,,,PROPOSED,HIGH,BODY_PART,[],,
260,sex doll,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,sex_doll,,,,PROPOSED,HIGH,OBJECT_PROP/DAILY,[],,
261,sex toy,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,sex_toy,,,,PROPOSED,HIGH,OBJECT_PROP/DAILY,[],,
262,too many sex toys,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,too_many_sex_toys,,,,PROPOSED,MEDIUM,OBJECT_PROP/DAILY,[],,
263,vibrator,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,vibrator,,,,PROPOSED,HIGH,OBJECT_PROP,[],,
264,vibrator in anus,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,vibrator_in_anus,,,,PROPOSED,MEDIUM,ACTION_CONTACT/INTERACTION,[],,
265,vibrator on nipple,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,vibrator_on_nipple,,,,PROPOSED,MEDIUM,ACTION_CONTACT/INTERACTION,[],,
266,anal beads,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,anal_beads,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
267,anal tail,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,anal_tail,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
268,butt plug,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,butt_plug,,,,PROPOSED,HIGH,OBJECT_PROP,[],,
269,dildo,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,dildo,,,,PROPOSED,HIGH,OBJECT_PROP/DAILY,[],,
270,dildo gag,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,dildo_gag,,,,PROPOSED,HIGH,OBJECT_PROP/DAILY,[],,
271,dildo harness,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,dildo_harness,,,,PROPOSED,HIGH,OBJECT_PROP/DAILY,[],,
272,dildo riding,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,dildo_riding,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
273,dildo under mask,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,dildo_under_mask,,,,PROPOSED,HIGH,CLOTHING_STATE_EXPOSURE,[],,
274,dildo under panties,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,dildo_under_panties,,,,PROPOSED,HIGH,CLOTHING_STATE_EXPOSURE,[],,
275,double dildo,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,double_dildo,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
276,dragon dildo,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,dragon_dildo,,,,PROPOSED,HIGH,OBJECT_PROP/DAILY,[],,
277,egg vibrator,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,egg_vibrator,,,,PROPOSED,HIGH,OBJECT_PROP/FOOD,[],,
278,hitachi magic wand,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,hitachi_magic_wand,,,,PROPOSED,MEDIUM,OBJECT_PROP/DAILY,[],,
279,horse dildo,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,horse_dildo,,,,PROPOSED,HIGH,OBJECT_PROP/DAILY,[],,
280,huge dildo,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,huge_dildo,,,,PROPOSED,HIGH,OBJECT_PROP,[],,
281,jewel butt plug,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,jewel_butt_plug,,,,PROPOSED,HIGH,OBJECT_PROP/DAILY,[],,
282,public vibrator,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,public_vibrator,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
283,rabbit vibrator,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,rabbit_vibrator,,,,PROPOSED,HIGH,OBJECT_PROP/DAILY,[],,
284,remote control vibrator,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,remote_control_vibrator,,,,PROPOSED,MEDIUM,OBJECT_PROP/DAILY,[],,
285,spiked dildo,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,spiked_dildo,,,,PROPOSED,HIGH,OBJECT_PROP/DAILY,[],,
286,squirting dildo,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,squirting_dildo,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
287,strap-on,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,strap-on,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
288,suction cup dildo,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,suction_cup_dildo,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
289,vibrator in thigh strap,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,vibrator_in_thigh_strap,,,,UNRESOLVED,LOW,,[],,
290,vibrator in thighhighs,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,vibrator_in_thighhighs,,,,PROPOSED,HIGH,CLOTHING/EVERYDAY,[],,
291,vibrator under clothes,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:IMPLEMENT_OBJECT,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,IMPLEMENT_OBJECT,implement,DIRECT,,vibrator_under_clothes,,,,PROPOSED,HIGH,CLOTHING_STATE_EXPOSURE,[],,
