cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples,triage_bucket,triage_reason,next_gate
GENERAL_ONLY|CLOTHING/EVERYDAY|EXPOSURE_INTIMATE,181,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),EXPOSURE_INTIMATE,adhesive_bra;american_flag_print_panties;animal_band_panties;aqua_bra;aqua_panties;aqua_sports_bra;back-print_panties;bear_print_panties;belt_bra;black_bra;black_male_underwear;black_panties,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
SPECIAL_ONLY|(none)|(none)|ANATOMY,171,SPECIAL_ONLY,(none),(none),(none),ANATOMY,alcohol_between_breasts;anal_beads_pull;anal_insertion;anal_nakadashi;anal_object_push;anal_play;anal_plug;anal_stretching;anal_training;anal_wine;anus_spread;anus_spreading,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|CLOTHING/ACCESSORY|NONE,124,GENERAL_ONLY,CLOTHING/ACCESSORY,CLOTHING,(none),NONE,anchor_choker;aqua_choker;ass_zipper;bandaid_on_clothes;bandana_around_arm;bandana_around_neck;bandana_over_mouth;bead_choker;black_choker;black_garter;black_garter_belt;black_garter_straps,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,105,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,NONE,arm_cutout;armpit_cutout;armpit_peek;ass_cutout;ass_peek;ass_visible_through_thighs;assless_swimsuit;backless_outfit;backless_pants;bare_arms;bare_back;bikini_around_one_leg,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|OBJECT_PROP/DAILY|NONE,83,GENERAL_ONLY,OBJECT_PROP/DAILY,OBJECT_PROP,(none),NONE,ass_mousepad;backpack_on_one_shoulder;bag_on_head;bag_on_lap;bag_over_head;basket_on_head;billiard_table;blackjack_table;blanket_over_legs;box_on_head;camera_around_neck;clothes-dissolving_potion,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
GENERAL_ONLY|ACTION_CONTACT/INTIMATE|NONE,82,GENERAL_ONLY,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,(none),NONE,alcohol_enema;although_she_hurriedly_put_on_clothes_(meme);ass-to-mouth;ass_worship;assisted_exposure;autoarousal;autopenetration;bellyjob;body_exploration;bulge_to_ass;bulge_to_face;casting_couch,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
GENERAL_ONLY|CLOTHING|NONE,77,GENERAL_ONLY,CLOTHING,CLOTHING,(none),NONE,two-tone_leg_warmers;u.a._cheerleader_uniform;u.a._gym_uniform;u.a._school_uniform;ubel_(sousou_no_frieren)_(cosplay);uchiha_sasuke_(cosplay);uchikake;ukrainian_clothes;ultimate_madoka_(cosplay);ultra_recon_squad_uniform;ultraman_(cosplay);umbreon_(cosplay),SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
SPECIAL_ONLY|(none)|(none)|EXPOSURE_INTIMATE,74,SPECIAL_ONLY,(none),(none),(none),EXPOSURE_INTIMATE,above_cleavage_cutout;absolute_cleavage;assless_panties;bare_naked;beaded_panties;bra_down;bra_no;bra_open;breastless_bra;cleavage_(male);cleavage_window;clothed_female_naked_female,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE,67,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,EXPOSURE_INTIMATE,bottomless;bra_lift;bra_peek;bra_pull;bra_slip;bra_visible_through_clothes;clothed_female_nude_female;clothed_female_nude_male;clothed_male_nude_female;clothed_male_nude_male;completely_nude;covered_underboob,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|(none)|ANATOMY,66,OVERLAP,BODY_PART,BODY_PART,(none),ANATOMY,anal_hair;animal_pussy;aqua_nipples;aqua_pussy;beaded_penis;between_testicles;black_nipples;blue_anus;blue_nipples;blue_penis;blue_pussy;cat_penis,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|BODY_PART|INJURY,58,GENERAL_ONLY,BODY_PART,BODY_PART,(none),INJURY,black_blood;blood_drip;blood_drop;blood_halo;blood_in_hair;blood_in_water;blood_on_armor;blood_on_axe;blood_on_bandages;blood_on_body;blood_on_cheek;blood_on_dress,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|CLOTHING/ACCESSORY|RESTRAINT_FETISH,54,GENERAL_ONLY,CLOTHING/ACCESSORY,CLOTHING,(none),RESTRAINT_FETISH,animal_collar;aqua_collar;aqua_sailor_collar;belt_collar;black_collar;black_sailor_collar;blue_collar;blue_sailor_collar;checkered_collar;clerical_collar;collar;collar_chain_(jewelry),BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,53,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,ACTION_INTERACTION,ANATOMY,anal_grip;anal_only;biting_breast;biting_nipple;breast_press;breast_rest;breast_smother;breast_sucking;breast_suppress;caressing_testicles;clitoris_pull;cooperative_breast_sucking,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,53,OVERLAP,BODY_PART,BODY_PART,BODY_ATTRIBUTE,ANATOMY,breasts;clitoris;clitoris_slip;colored_anus;colored_nipples;colored_penis;colored_pubic_hair;colored_pussy;dark_nipples;deformed_anus;disembodied_penis;female_pubic_hair,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|NONE,50,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,(none),NONE,applying_another's_makeup;applying_another's_manicure;applying_lipstick;applying_own_makeup;apron_pull;bikini_in_mouth;chain_pull;fan_over_face;flower_on_chest;flower_on_face;flower_on_head;flower_on_liquid,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,45,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,ACTION_INTERACTION,NONE,ass_press;asymmetrical_docking;autopaizuri;biting_ass;biting_foreskin;bust_cup;clitoral_stimulation;cloth_glansjob;deepthroat;defloration;foot_worship;foreskin_pull,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|EXPOSURE_INTIMATE,42,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),EXPOSURE_INTIMATE,bra_aside;bra_over_clothes;bra_tug;clothed_male_underwear_female;loose_panties;lowleg_panties;no_bra;open_bra;panties_around_ankles;panties_around_knees;panties_around_one_ankle;panties_around_one_finger,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|GAZE_ORIENTATION|NONE,41,GENERAL_ONLY,GAZE_ORIENTATION,GAZE_ORIENTATION,(none),NONE,averting_eyes;downcast_eyes;eye_focus;facing_ahead;facing_animal;facing_away;facing_back;facing_down;facing_up;facing_viewer;forward-facing_horns;head_back,BULK_CANDIDATE,ordinary_general_root_no_risk_signal,"run full adversarial scan, independent fixed review artifact, then fresh holdout before any promotion"
OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,RESTRAINT_ACTION,NONE,arms_bound_apart;asphyxiation;ball_busting;bound;bound_ankles;bound_arms;bound_calves;bound_feet;bound_fingers;bound_knees;bound_legs;bound_puppy_pose,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
SPECIAL_ONLY|(none)|(none)|EXPLICIT_SEX,38,SPECIAL_ONLY,(none),(none),(none),EXPLICIT_SEX,ass_fuck;ass_onahole;attempted_rape;auto_cunnilingus;blue_plate_special_(sex);broken_rape_victim;creampie;creampie_eating;ear_fuck;electric_onahole;face_fucking;femdom_rape,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|CLOTHING/COSTUME|NONE,37,GENERAL_ONLY,CLOTHING/COSTUME,CLOTHING,(none),NONE,african_clothes;ainu_clothes;ancient_egyptian_clothes;ancient_greek_clothes;arabian_clothes;aristocratic_clothes;armor_under_clothes;bikini_armor;chocolate_clothes;colombian_clothes;cover_bikini_girl_(gta_vi)_(cosplay);double-breasted,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
SPECIAL_ONLY|(none)|(none)|RESTRAINT_FETISH,36,SPECIAL_ONLY,(none),(none),(none),RESTRAINT_FETISH,aqua_blindfold;blindfold_removed;blue_blindfold;bondage_gear;brown_blindfold;cleave_gagged;clit_clamp;clit_leash;clothes_gagged;extreme_fetish;gag_removed;green_blindfold,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|CLOTHING/EVERYDAY|RESTRAINT_FETISH,35,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),RESTRAINT_FETISH,bib_collar;brown_collar;brown_sailor_collar;flower_collar;fluffy_collar;fold-over_collar;frilled_collar;frilled_dress_collar;frilled_sailor_collar;frilled_shirt_collar;fur-trimmed_collar;fur_collar,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,29,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,CLOTHING_EXPOSURE,NONE,babydoll;bikini_briefs;bitchsuit;bodysuit;camisole;corset;diaper;fishnets;frontless_outfit;g-string;garter_straps;gimp_mask,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,27,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,DIRECT_COMPOSITE,ANATOMY,chocolate_on_nipples;chocolate_on_penis;chocolate_on_pussy;finger_on_nipple;hair_on_penis;hand_on_own_penis;hands_on_penis;penis_in_another's_thighhigh;penis_in_glove;penis_in_swimsuit;penis_in_unworn_legwear;penis_on_ass,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,27,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,FLUID_STATE_ACTION,NONE,assisted_peeing;autofacial;cumdrip;cumdump;defecating;drinking_pee;ejaculating_while_penetrated;facial;felching;gokkun;golden_shower;human_toilet,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|(none)|NONE,26,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),NONE,arms_bound_above_head;assisted_object_insertion;ball_insertion;bound_leg;bound_thumbs;bound_wings;cable_insertion;dilation_insertion;double_insertion;foreskin_insertion;group_incest;hogtie_carry,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|ACTION_CONTACT|NONE,25,GENERAL_ONLY,ACTION_CONTACT,ACTION_CONTACT,(none),NONE,too_many_in_mouth;umbrella_riding;unlit_cigarette_in_mouth;unplugged;unwrapping;vaping;ventriloquism;volleyball_(sport);wading;waking_another;waking_up;warming,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
GENERAL_ONLY|OBJECT_PROP/FOOD|NONE,24,GENERAL_ONLY,OBJECT_PROP/FOOD,OBJECT_PROP,(none),NONE,bucket_of_milk;chocolate-covered_food;chocolate_milk;coffee_milk;condensed_milk;dango_milk_(genshin_impact);double-decker_hamburger_bun;double_popsicle;fried_egg_on_toast;ice_cream_cone_on_head;ice_cream_on_face;lon_lon_milk,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
OVERLAP|ACTION_CONTACT|(none)|ANATOMY,23,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,(none),ANATOMY,anal_object_extraction;bound_testicles;breast-to-pectoral_docking;clitoris_chain;clitoris_tweak;foot_pussy;nipple_flick;nipple_object_insertion;nipple_push;nipple_rub_through_clothes;nipple_stimulation_through_clothes;penis_rest,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,23,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,CONTEXT_MODIFIER,NONE,after_gangbang;after_insertion;after_peeing;after_tribadism;after_vaginal;dirty_talk;forced;forniphilia;imminent_bestiality;imminent_facesitting;imminent_gangbang;imminent_vaginal,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|RELATION_ROLE_CONTEXT|NONE,23,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,RELATION_ROLE_CONTEXT,NONE,adult_baby;ageplay;compensated_molestation;femdom;futa_with_futa;futa_with_male;futa_with_newhalf;implied_yaoi;implied_yuri;incest;mind_control;molestation,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|POSE_COMPOSITION|NONE,22,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,POSE_COMPOSITION,NONE,69;amazon_position;boy_on_top;breeding_mount;doggystyle;full_nelson;girl_on_top;holding_another's_legs_back;holding_own_legs_back;mating_press;missionary;mounting,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|INJURY,22,OVERLAP,BODY_PART,BODY_PART,DAMAGE_STATE_ACTION,INJURY,amputee;blood;blood_from_eyes;blood_from_mouth;blood_from_neck;blood_in_mouth;blood_on_arm;blood_on_back;blood_on_chest;blood_on_clothes;blood_on_face;blood_on_feet,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|NONHUMAN_INTERACTION|NONE,20,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,NONHUMAN_INTERACTION,NONE,all_the_way_through;animal_insertion;animal_sexualization;bestiality;consensual_tentacles;grabbed_by_tentacles;grabbing_tentacle;hand_on_own_tentacles;holding_tentacle;holding_with_tentacle;knotting;licking_tentacle,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|EXPLICIT_SEX,18,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,ACTION_INTERACTION,EXPLICIT_SEX,anilingus;cunnilingus;double_footjob;female_footjob;fingering_from_behind;footjob;footjob_from_behind;footjob_over_clothes;footjob_under_table;footjob_with_boots;footjob_with_footwear;footjob_with_legwear,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|CLOTHING_EXPOSURE|NONE,18,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,CLOTHING_EXPOSURE,NONE,adjusting_clothes;apron_grab;clitoral_stimulation_through_clothes;clothes_grab;cumdrip_through_clothes;grabbing_another's_skirt;head_between_legs;head_between_thighs;head_under_another's_clothes;head_under_skirt;necktie_grab;shirt_pull,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|BODY_ATTRIBUTE|NONE,18,OVERLAP,BODY_PART,BODY_PART,BODY_ATTRIBUTE,NONE,backboob;cleft_of_venus;clitoral_hood;clitoral_piercing;extra_penises;flaccid;foreskin;full-package_futanari;futanari;male_futanari;misplaced_genitals;mons_pubis,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|BODY_STATE|NONE,18,OVERLAP,BODY_PART,BODY_PART,BODY_STATE,NONE,ass_freckles;ass_tattoo;bite_mark_on_ass;bruise_on_ass;drugged;erection;huge_ass;inflation;mole_on_ass;mole_on_thigh;ovulation;prolapse,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|BODY_PART|ANATOMY,17,GENERAL_ONLY,BODY_PART,BODY_PART,(none),ANATOMY,aqua_pubic_hair;between_breasts;black_pubic_hair;blonde_pubic_hair;blue_pubic_hair;brown_pubic_hair;landing_strip_pubic_hair;multicolored_pubic_hair;non-pubic_inmon;penis_envy;pink_pubic_hair;pubic_feathers,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|OBJECT_PROP/WEAPON|NONE,17,GENERAL_ONLY,OBJECT_PROP/WEAPON,OBJECT_PROP,(none),NONE,double-barreled_shotgun;double-sided_axe;double-sided_polearm;double_beam_cannon;double_blade;double_bladed_lightsaber;double_soul_(mega_man);extended_magazine;gun_between_thighs;gun_in_another's_mouth;gun_in_own_mouth;gun_on_back,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
OVERLAP|ACTION_CONTACT|(none)|EXPLICIT_SEX,17,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,(none),EXPLICIT_SEX,cunnilingus_through_clothes;double_fingering;footjob_through_footwear;forced_cunnilingus;guided_fingering;guided_footjob;navel_fingering;shared_onahole;standing_anilingus;standing_cunnilingus;standing_footjob;stealth_cunnilingus,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|EXPLICIT_SEX,17,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,CONTEXT_MODIFIER,EXPLICIT_SEX,after_anilingus;after_cunnilingus;after_fingering;after_footjob;cunnilingus_gesture;fingering_gesture;imminent_bukkake;imminent_cunnilingus;imminent_fingering;implied_after_fingering;implied_anilingus;implied_cunnilingus,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|BODY_ATTRIBUTE|ANATOMY,17,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,BODY_ATTRIBUTE,ANATOMY,anus_peek;areola_slip;breast_cutouts;breast_slip;breasts_out;covered_nipples;covering_nipples;covering_one_nipple;nipple_slip;one_breast_out;penis_out;penis_out_of_frame,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|PERSON_COUNT|RELATION_ROLE_CONTEXT|NONE,17,OVERLAP,PERSON_COUNT,PERSON_COUNT,RELATION_ROLE_CONTEXT,NONE,assertive_female;chikan;cuntboy_with_male;dominatrix;futasub;human_dog;josou_seme;loli;lolidom;newhalf_with_female;newhalf_with_male;newhalf_with_newhalf,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|EXPOSURE_INTIMATE,16,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),EXPOSURE_INTIMATE,crotchless_shorts;naked_armor;naked_bowtie;naked_costume;naked_hood;naked_kappougi;naked_poncho;naked_pumpkin;naked_tape;naked_vest;nearly_naked_coat;nearly_naked_shirt,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|NONE,15,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,INSERTION_STRUCTURED,NONE,double_vaginal;fisting;food_insertion;intravaginal_futanari;male_penetrated;mouth_insertion;multiple_insertions;object_insertion;pegging;self_fisting;sounding;tail_insertion,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE,15,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,CLOTHING_EXPOSURE,EXPOSURE_INTIMATE,above-cleavage_cutout;ball_bra;boyshort_panties;cross_pasties;heart_maebari;heart_pasties;highleg_panties;lingerie;maebari;micro_bra;micro_panties;micro_pasties,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
