CanonicalTag,Japanese,TranslationSource,TranslationStatus
blunt_bangs,ぱっつん前髪,ChatGPT trial seed,UNREVIEWED_TRIAL
blurry_background,背景ぼかし,ChatGPT trial seed,UNREVIEWED_TRIAL
blush,赤面,ChatGPT trial seed,UNREVIEWED_TRIAL
blush,頬を赤らめる,ChatGPT trial seed,UNREVIEWED_TRIAL
book,本,ChatGPT trial seed,UNREVIEWED_TRIAL
boots,ブーツ,ChatGPT trial seed,UNREVIEWED_TRIAL
braid,三つ編み,ChatGPT trial seed,UNREVIEWED_TRIAL
braid,編み髪,ChatGPT trial seed,UNREVIEWED_TRIAL
breasts,胸,ChatGPT trial seed,UNREVIEWED_TRIAL
breasts,乳房,ChatGPT trial seed,UNREVIEWED_TRIAL
brown_eyes,茶色の目,ChatGPT trial seed,UNREVIEWED_TRIAL
brown_hair,茶髪,ChatGPT trial seed,UNREVIEWED_TRIAL
cap,キャップ,ChatGPT trial seed,UNREVIEWED_TRIAL
chair,椅子,ChatGPT trial seed,UNREVIEWED_TRIAL
city,都市,ChatGPT trial seed,UNREVIEWED_TRIAL
city,街,ChatGPT trial seed,UNREVIEWED_TRIAL
classroom,教室,ChatGPT trial seed,UNREVIEWED_TRIAL
close-up,クローズアップ,ChatGPT trial seed,UNREVIEWED_TRIAL
close-up,アップ,ChatGPT trial seed,UNREVIEWED_TRIAL
closed_eyes,目を閉じる,ChatGPT trial seed,UNREVIEWED_TRIAL
closed_eyes,閉じた目,ChatGPT trial seed,UNREVIEWED_TRIAL
closed_mouth,口を閉じる,ChatGPT trial seed,UNREVIEWED_TRIAL
coat,コート,ChatGPT trial seed,UNREVIEWED_TRIAL
cowboy_shot,カウボーイショット,ChatGPT trial seed,UNREVIEWED_TRIAL
cowboy_shot,膝上,ChatGPT trial seed,UNREVIEWED_TRIAL
crossed_arms,腕組み,ChatGPT trial seed,UNREVIEWED_TRIAL
crying,泣く,ChatGPT trial seed,UNREVIEWED_TRIAL
cup,カップ,ChatGPT trial seed,UNREVIEWED_TRIAL
curvy,曲線的な体型,ChatGPT trial seed,UNREVIEWED_TRIAL
curvy,メリハリ体型,ChatGPT trial seed,UNREVIEWED_TRIAL
day,昼,ChatGPT trial seed,UNREVIEWED_TRIAL
day,日中,ChatGPT trial seed,UNREVIEWED_TRIAL
depth_of_field,被写界深度,ChatGPT trial seed,UNREVIEWED_TRIAL
depth_of_field,ボケ,ChatGPT trial seed,UNREVIEWED_TRIAL
detailed_eyes,詳細な目,ChatGPT trial seed,UNREVIEWED_TRIAL
detailed_hair,詳細な髪,ChatGPT trial seed,UNREVIEWED_TRIAL
dramatic_lighting,ドラマチック照明,ChatGPT trial seed,UNREVIEWED_TRIAL
dress,ドレス,ChatGPT trial seed,UNREVIEWED_TRIAL
dress,ワンピース,ChatGPT trial seed,UNREVIEWED_TRIAL
dutch_angle,斜め構図,ChatGPT trial seed,UNREVIEWED_TRIAL
dutch_angle,ダッチアングル,ChatGPT trial seed,UNREVIEWED_TRIAL
expressionless,無表情,ChatGPT trial seed,UNREVIEWED_TRIAL
flat_chest,貧乳,ChatGPT trial seed,UNREVIEWED_TRIAL
flat_chest,平らな胸,ChatGPT trial seed,UNREVIEWED_TRIAL
food,食べ物,ChatGPT trial seed,UNREVIEWED_TRIAL
forest,森,ChatGPT trial seed,UNREVIEWED_TRIAL
from_above,上から,ChatGPT trial seed,UNREVIEWED_TRIAL
from_above,俯瞰,ChatGPT trial seed,UNREVIEWED_TRIAL
from_behind,後ろから,ChatGPT trial seed,UNREVIEWED_TRIAL
from_behind,背面から,ChatGPT trial seed,UNREVIEWED_TRIAL
from_below,下から,ChatGPT trial seed,UNREVIEWED_TRIAL
from_below,煽り,ChatGPT trial seed,UNREVIEWED_TRIAL
from_front,正面から,ChatGPT trial seed,UNREVIEWED_TRIAL
from_side,横から,ChatGPT trial seed,UNREVIEWED_TRIAL
from_side,側面から,ChatGPT trial seed,UNREVIEWED_TRIAL
full_body,全身,ChatGPT trial seed,UNREVIEWED_TRIAL
glasses,眼鏡,ChatGPT trial seed,UNREVIEWED_TRIAL
glasses,メガネ,ChatGPT trial seed,UNREVIEWED_TRIAL
gloves,手袋,ChatGPT trial seed,UNREVIEWED_TRIAL
gloves,グローブ,ChatGPT trial seed,UNREVIEWED_TRIAL
gradient_background,グラデーション背景,ChatGPT trial seed,UNREVIEWED_TRIAL
green_eyes,緑目,ChatGPT trial seed,UNREVIEWED_TRIAL
green_eyes,緑の目,ChatGPT trial seed,UNREVIEWED_TRIAL
green_hair,緑髪,ChatGPT trial seed,UNREVIEWED_TRIAL
grey_hair,灰色髪,ChatGPT trial seed,UNREVIEWED_TRIAL
grey_hair,グレー髪,ChatGPT trial seed,UNREVIEWED_TRIAL
grin,にやり,ChatGPT trial seed,UNREVIEWED_TRIAL
grin,笑み,ChatGPT trial seed,UNREVIEWED_TRIAL
hair_between_eyes,目の間の前髪,ChatGPT trial seed,UNREVIEWED_TRIAL
hair_bun,お団子髪,ChatGPT trial seed,UNREVIEWED_TRIAL
hair_bun,シニヨン,ChatGPT trial seed,UNREVIEWED_TRIAL
hair_ribbon,髪リボン,ChatGPT trial seed,UNREVIEWED_TRIAL
hairband,ヘアバンド,ChatGPT trial seed,UNREVIEWED_TRIAL
half-closed_eyes,半目,ChatGPT trial seed,UNREVIEWED_TRIAL
hand_on_hip,腰に手,ChatGPT trial seed,UNREVIEWED_TRIAL
hat,帽子,ChatGPT trial seed,UNREVIEWED_TRIAL
headphones,ヘッドホン,ChatGPT trial seed,UNREVIEWED_TRIAL
highres,高解像度,ChatGPT trial seed,UNREVIEWED_TRIAL
holding,持つ,ChatGPT trial seed,UNREVIEWED_TRIAL
holding_sword,剣を持つ,ChatGPT trial seed,UNREVIEWED_TRIAL
hoodie,パーカー,ChatGPT trial seed,UNREVIEWED_TRIAL
huge_breasts,非常に大きな胸,ChatGPT trial seed,UNREVIEWED_TRIAL
huge_breasts,超巨乳,ChatGPT trial seed,UNREVIEWED_TRIAL
indoors,屋内,ChatGPT trial seed,UNREVIEWED_TRIAL
indoors,室内,ChatGPT trial seed,UNREVIEWED_TRIAL
jacket,ジャケット,ChatGPT trial seed,UNREVIEWED_TRIAL
jeans,ジーンズ,ChatGPT trial seed,UNREVIEWED_TRIAL
jumping,ジャンプ,ChatGPT trial seed,UNREVIEWED_TRIAL
jumping,跳ぶ,ChatGPT trial seed,UNREVIEWED_TRIAL
kneeling,ひざまずく,ChatGPT trial seed,UNREVIEWED_TRIAL
kneeling,膝立ち,ChatGPT trial seed,UNREVIEWED_TRIAL
large_ass,大きな尻,ChatGPT trial seed,UNREVIEWED_TRIAL
large_ass,大きなお尻,ChatGPT trial seed,UNREVIEWED_TRIAL
large_breasts,大きな胸,ChatGPT trial seed,UNREVIEWED_TRIAL
large_breasts,巨乳,ChatGPT trial seed,UNREVIEWED_TRIAL
light_particles,光の粒子,ChatGPT trial seed,UNREVIEWED_TRIAL
lineart,線画,ChatGPT trial seed,UNREVIEWED_TRIAL
long_hair,長髪,ChatGPT trial seed,UNREVIEWED_TRIAL
long_hair,ロングヘア,ChatGPT trial seed,UNREVIEWED_TRIAL
long_sleeves,長袖,ChatGPT trial seed,UNREVIEWED_TRIAL
looking_at_viewer,こちらを見る,ChatGPT trial seed,UNREVIEWED_TRIAL
looking_at_viewer,カメラ目線,ChatGPT trial seed,UNREVIEWED_TRIAL
looking_away,よそを見る,ChatGPT trial seed,UNREVIEWED_TRIAL
looking_away,視線を逸らす,ChatGPT trial seed,UNREVIEWED_TRIAL
lying,横たわる,ChatGPT trial seed,UNREVIEWED_TRIAL
lying,寝そべる,ChatGPT trial seed,UNREVIEWED_TRIAL
masterpiece,傑作,ChatGPT trial seed,UNREVIEWED_TRIAL
medium_hair,ミディアムヘア,ChatGPT trial seed,UNREVIEWED_TRIAL
midriff,腹部,ChatGPT trial seed,UNREVIEWED_TRIAL
midriff,お腹,ChatGPT trial seed,UNREVIEWED_TRIAL
miniskirt,ミニスカート,ChatGPT trial seed,UNREVIEWED_TRIAL
monochrome,モノクロ,ChatGPT trial seed,UNREVIEWED_TRIAL
motion_blur,モーションブラー,ChatGPT trial seed,UNREVIEWED_TRIAL
muscular,筋肉質,ChatGPT trial seed,UNREVIEWED_TRIAL
navel,へそ,ChatGPT trial seed,UNREVIEWED_TRIAL
necktie,ネクタイ,ChatGPT trial seed,UNREVIEWED_TRIAL
night,夜,ChatGPT trial seed,UNREVIEWED_TRIAL
open_mouth,口を開ける,ChatGPT trial seed,UNREVIEWED_TRIAL
outdoors,屋外,ChatGPT trial seed,UNREVIEWED_TRIAL
pants,ズボン,ChatGPT trial seed,UNREVIEWED_TRIAL
pants,パンツ,ChatGPT trial seed,UNREVIEWED_TRIAL
pantyhose,パンスト,ChatGPT trial seed,UNREVIEWED_TRIAL
pantyhose,パンティストッキング,ChatGPT trial seed,UNREVIEWED_TRIAL
parted_lips,唇を開く,ChatGPT trial seed,UNREVIEWED_TRIAL
parted_lips,半開きの唇,ChatGPT trial seed,UNREVIEWED_TRIAL
peace_sign,ピースサイン,ChatGPT trial seed,UNREVIEWED_TRIAL
phone,スマホ,ChatGPT trial seed,UNREVIEWED_TRIAL
phone,携帯電話,ChatGPT trial seed,UNREVIEWED_TRIAL
pink_hair,ピンク髪,ChatGPT trial seed,UNREVIEWED_TRIAL
pleated_skirt,プリーツスカート,ChatGPT trial seed,UNREVIEWED_TRIAL
ponytail,ポニーテール,ChatGPT trial seed,UNREVIEWED_TRIAL
portrait,ポートレート,ChatGPT trial seed,UNREVIEWED_TRIAL
portrait,肖像,ChatGPT trial seed,UNREVIEWED_TRIAL
purple_eyes,紫目,ChatGPT trial seed,UNREVIEWED_TRIAL
purple_eyes,紫の目,ChatGPT trial seed,UNREVIEWED_TRIAL
purple_hair,紫髪,ChatGPT trial seed,UNREVIEWED_TRIAL
rain,雨,ChatGPT trial seed,UNREVIEWED_TRIAL
red_eyes,赤目,ChatGPT trial seed,UNREVIEWED_TRIAL
red_eyes,赤い目,ChatGPT trial seed,UNREVIEWED_TRIAL
red_hair,赤髪,ChatGPT trial seed,UNREVIEWED_TRIAL
reflection,反射,ChatGPT trial seed,UNREVIEWED_TRIAL
ribbon,リボン,ChatGPT trial seed,UNREVIEWED_TRIAL
rim_light,リムライト,ChatGPT trial seed,UNREVIEWED_TRIAL
rim_light,縁取り光,ChatGPT trial seed,UNREVIEWED_TRIAL
running,走る,ChatGPT trial seed,UNREVIEWED_TRIAL
school,学校,ChatGPT trial seed,UNREVIEWED_TRIAL
school_uniform,制服,ChatGPT trial seed,UNREVIEWED_TRIAL
school_uniform,学校制服,ChatGPT trial seed,UNREVIEWED_TRIAL
serafuku,セーラー服,ChatGPT trial seed,UNREVIEWED_TRIAL
serious,真剣な表情,ChatGPT trial seed,UNREVIEWED_TRIAL
shadow,影,ChatGPT trial seed,UNREVIEWED_TRIAL
shirt,シャツ,ChatGPT trial seed,UNREVIEWED_TRIAL
shoes,靴,ChatGPT trial seed,UNREVIEWED_TRIAL
short,低身長,ChatGPT trial seed,UNREVIEWED_TRIAL
short_hair,短髪,ChatGPT trial seed,UNREVIEWED_TRIAL
short_hair,ショートヘア,ChatGPT trial seed,UNREVIEWED_TRIAL
short_sleeves,半袖,ChatGPT trial seed,UNREVIEWED_TRIAL
shorts,ショートパンツ,ChatGPT trial seed,UNREVIEWED_TRIAL
shorts,短パン,ChatGPT trial seed,UNREVIEWED_TRIAL
side_ponytail,サイドポニーテール,ChatGPT trial seed,UNREVIEWED_TRIAL
simple_background,シンプル背景,ChatGPT trial seed,UNREVIEWED_TRIAL
sitting,座る,ChatGPT trial seed,UNREVIEWED_TRIAL
sitting,座り,ChatGPT trial seed,UNREVIEWED_TRIAL
sketch,スケッチ,ChatGPT trial seed,UNREVIEWED_TRIAL
skirt,スカート,ChatGPT trial seed,UNREVIEWED_TRIAL
sky,空,ChatGPT trial seed,UNREVIEWED_TRIAL
sleeveless,ノースリーブ,ChatGPT trial seed,UNREVIEWED_TRIAL
sleeveless,袖なし,ChatGPT trial seed,UNREVIEWED_TRIAL
slender,細身,ChatGPT trial seed,UNREVIEWED_TRIAL
smile,笑顔,ChatGPT trial seed,UNREVIEWED_TRIAL
smile,微笑み,ChatGPT trial seed,UNREVIEWED_TRIAL
snow,雪,ChatGPT trial seed,UNREVIEWED_TRIAL
socks,靴下,ChatGPT trial seed,UNREVIEWED_TRIAL
soft_lighting,柔らかい照明,ChatGPT trial seed,UNREVIEWED_TRIAL
soft_lighting,ソフトライティング,ChatGPT trial seed,UNREVIEWED_TRIAL
solo,一人,ChatGPT trial seed,UNREVIEWED_TRIAL
solo,ソロ,ChatGPT trial seed,UNREVIEWED_TRIAL
sparkle,きらめき,ChatGPT trial seed,UNREVIEWED_TRIAL
sparkle,スパークル,ChatGPT trial seed,UNREVIEWED_TRIAL
spread_arms,腕を広げる,ChatGPT trial seed,UNREVIEWED_TRIAL
squatting,しゃがむ,ChatGPT trial seed,UNREVIEWED_TRIAL
squatting,しゃがみ,ChatGPT trial seed,UNREVIEWED_TRIAL
standing,立つ,ChatGPT trial seed,UNREVIEWED_TRIAL
standing,立ち姿,ChatGPT trial seed,UNREVIEWED_TRIAL
street,街路,ChatGPT trial seed,UNREVIEWED_TRIAL
street,通り,ChatGPT trial seed,UNREVIEWED_TRIAL
sunrise,朝焼け,ChatGPT trial seed,UNREVIEWED_TRIAL
sunrise,日の出,ChatGPT trial seed,UNREVIEWED_TRIAL
sunset,夕焼け,ChatGPT trial seed,UNREVIEWED_TRIAL
sunset,日没,ChatGPT trial seed,UNREVIEWED_TRIAL
surprised,驚く,ChatGPT trial seed,UNREVIEWED_TRIAL
surprised,驚き,ChatGPT trial seed,UNREVIEWED_TRIAL
sweat,汗,ChatGPT trial seed,UNREVIEWED_TRIAL
sweater,セーター,ChatGPT trial seed,UNREVIEWED_TRIAL
sword,剣,ChatGPT trial seed,UNREVIEWED_TRIAL
t-shirt,Tシャツ,ChatGPT trial seed,UNREVIEWED_TRIAL
table,テーブル,ChatGPT trial seed,UNREVIEWED_TRIAL
tall,高身長,ChatGPT trial seed,UNREVIEWED_TRIAL
tears,涙,ChatGPT trial seed,UNREVIEWED_TRIAL
thick_thighs,太い太もも,ChatGPT trial seed,UNREVIEWED_TRIAL
thighhighs,ニーハイ,ChatGPT trial seed,UNREVIEWED_TRIAL
thighhighs,太もも丈ソックス,ChatGPT trial seed,UNREVIEWED_TRIAL
thighs,太もも,ChatGPT trial seed,UNREVIEWED_TRIAL
twintails,ツインテール,ChatGPT trial seed,UNREVIEWED_TRIAL
upper_body,上半身,ChatGPT trial seed,UNREVIEWED_TRIAL
v,Vサイン,ChatGPT trial seed,UNREVIEWED_TRIAL
very_long_hair,とても長い髪,ChatGPT trial seed,UNREVIEWED_TRIAL
very_long_hair,超ロングヘア,ChatGPT trial seed,UNREVIEWED_TRIAL
walking,歩く,ChatGPT trial seed,UNREVIEWED_TRIAL
water,水,ChatGPT trial seed,UNREVIEWED_TRIAL
weapon,武器,ChatGPT trial seed,UNREVIEWED_TRIAL
wet,濡れ,ChatGPT trial seed,UNREVIEWED_TRIAL
wet_clothes,濡れた服,ChatGPT trial seed,UNREVIEWED_TRIAL
wet_hair,濡れ髪,ChatGPT trial seed,UNREVIEWED_TRIAL
white_background,白背景,ChatGPT trial seed,UNREVIEWED_TRIAL
white_hair,白髪,ChatGPT trial seed,UNREVIEWED_TRIAL
white_shirt,白シャツ,ChatGPT trial seed,UNREVIEWED_TRIAL
wide_hips,広い腰,ChatGPT trial seed,UNREVIEWED_TRIAL
wide_hips,幅広の腰,ChatGPT trial seed,UNREVIEWED_TRIAL
yellow_eyes,黄色い目,ChatGPT trial seed,UNREVIEWED_TRIAL
yellow_eyes,金色の目,ChatGPT trial seed,UNREVIEWED_TRIAL
