"Runtime","Scenario","Samples","CpuAvgPct","CpuP95Pct","CpuPeakPct","PrivateFirstMB","PrivateLastMB","PrivatePeakMB","WorkingFirstMB","WorkingLastMB","ThreadsFirst","ThreadsLast","ThreadsMin","ThreadsMax","HandlesFirst","HandlesLast","HandlesMin","HandlesMax","DiskReadPeakBytesPerSec","DiskWritePeakBytesPerSec"
"A-SoftwareOnly","S9-theme-filter","13","0.3886","1.6304","1.6304","210.316","215.113","215.18","292.305","297.867","13","12","12","13","543","531","531","543","67910","74449"
"B-AutoRender","S1-launch","31","0.1852","1.1638","3.7239","147.199","233.844","243.359","186.406","264.078","10","19","10","22","268","664","268","670","623344","408"
"B-AutoRender","S10-content-filter","13","0.2463","0.9561","0.9561","257.82","252.832","257.832","309.176","304.691","15","17","14","17","675","681","672","681","33883","1470"
"B-AutoRender","S11-deep-only","13","0.0388","0.466","0.466","255.16","253.242","255.16","306.664","305.348","17","15","15","17","681","681","678","681","2254","647"
"B-AutoRender","S12-prompt-add-remove","13","0.9901","3.7211","3.7211","253.996","261.316","261.395","305.527","315.281","15","16","15","17","684","678","675","684","328621","182061"
"B-AutoRender","S13-prompt-reorder","13","0.3627","2.9187","2.9187","259.465","259.652","259.727","313.465","313.406","17","16","16","17","683","682","682","685","259248","147306"
"B-AutoRender","S14-category-display","13","0","0","0","262.629","262.555","262.629","315.938","315.879","19","18","18","19","683","680","680","683","0","0"
"B-AutoRender","S15-display-toggle","13","0.0236","0.2828","0.2828","262.52","262.594","262.594","316.07","316.113","17","19","16","19","683","691","682","691","2376","667"
"B-AutoRender","S16-prompt-search","13","0.0316","0.1865","0.1865","260.668","258.953","260.668","314.723","313.145","19","16","16","19","693","688","688","693","1232","338"
"B-AutoRender","S17-resize","13","0.0391","0.4692","0.4692","282.695","283.965","288.715","317.145","313.352","17","20","17","20","691","695","686","695","16199","36773"
"B-AutoRender","S18-post-operation-idle","121","0.0024","0","0.1928","284.07","283.598","284.07","313.441","313.102","21","15","15","21","698","695","691","706","0","0"
"B-AutoRender","S2-idle","61","0","0","0","234.043","233.793","234.043","265.48","265.352","20","15","15","20","665","655","652","665","0","0"
"B-AutoRender","S3-scroll","13","1.0126","4.6581","4.6581","237.027","245.387","245.387","270.758","284.035","16","17","16","17","668","673","668","673","107969","36832"
"B-AutoRender","S4-japanese-input","13","0.3547","2.9138","2.9138","255.055","256.055","256.172","294.391","297.051","17","15","15","17","672","667","667","674","33000","36357"
"B-AutoRender","S5-english-input","13","0.1326","1.3996","1.3996","257.207","261.266","261.34","298.773","303.203","15","14","14","15","664","667","664","670","33372","72048"
"B-AutoRender","S6-mixed-input","13","0.3101","3.5351","3.5351","261.461","261.547","261.625","303.754","304.348","15","14","14","15","668","669","667","670","16529","35550"
"B-AutoRender","S7-category-switch","13","0.8","2.6615","2.6615","261.305","262.148","262.285","302.766","304.355","15","18","15","19","671","685","670","688","63663","140232"
"B-AutoRender","S8-body-filter","13","0.3639","1.8104","1.8104","262.801","258.887","266.07","304.496","308.41","19","14","14","19","686","683","683","688","70442","75032"
"B-AutoRender","S9-theme-filter","13","0.4054","1.7712","1.7712","256.281","260.125","260.191","306.41","310.914","15","14","14","15","675","674","674","679","69516","75468"
