canonical,candidate_display_ja,final_state,route,reason,reason_codes,risk_class
^_^,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|SYMBOL_WORDING_REVIEW,LOW
adapted_costume,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
animal,動物,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
animal_ear_fluff,動物耳の毛,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
arm_at_side,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
arm_behind_back,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
arm_behind_head,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
arms_behind_back,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
arms_up,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
artist_name,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|STRICT_ROUTE_REQUIRED,LOW
black_belt,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_bodysuit,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_bow,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_eyes,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_gloves,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_hat,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_nails,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_panties,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_shoes,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_thighhighs,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
blue_bow,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
blue_sailor_collar,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
bright_pupils,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
brown_background,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
brown_gloves,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
brown_skirt,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
butterfly,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
character_name,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|STRICT_ROUTE_REQUIRED,LOW
chibi_only,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
child,子ども,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
clenched_hand,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
clenched_teeth,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
clothes_writing,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
collared_dress,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
collared_shirt,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
copyright_name,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|RELATION_OR_PROVENANCE_AMBIGUITY|STRICT_ROUTE_REQUIRED,LOW
copyright_notice,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|RELATION_OR_PROVENANCE_AMBIGUITY|STRICT_ROUTE_REQUIRED,LOW
couple,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|STRICT_ROUTE_REQUIRED,LOW
cover,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|STRICT_ROUTE_REQUIRED,LOW
cover_page,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|STRICT_ROUTE_REQUIRED,LOW
crossdressing,女装・男装,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
crossover,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|STRICT_ROUTE_REQUIRED,LOW
crying,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
dark-skinned_female,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|STRICT_ROUTE_REQUIRED,LOW
dated,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|STRICT_ROUTE_REQUIRED,LOW
double_bun,お団子ツインテール,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,CRITICAL
dual_persona,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|STRICT_ROUTE_REQUIRED,LOW
expressionless,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
eyes_visible_through_hair,髪越しに見える目,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,CRITICAL
eyewear_on_head,頭に乗せた眼鏡,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,RELATION_OR_PROVENANCE_AMBIGUITY|STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,CRITICAL
floating,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
floating_hair,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
floral_print,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
flying_sweatdrops,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
from_below,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
frown,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
furry,獣人,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
furry_female,女性獣人,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
furry_male,男性獣人,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
genderswap,性別入れ替え,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
green_bow,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
green_skirt,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
grey_background,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
grey_skirt,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
grin,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
hair_over_one_eye,片目隠れ,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,CRITICAL
hair_tubes,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
half_updo,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
hand_on_another's_head,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|RELATION_OR_PROVENANCE_AMBIGUITY|STRICT_ROUTE_REQUIRED,CRITICAL
happy,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
hat_bow,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
head_wings,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
heterochromia,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
holding_cup,カップを持つ,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,CRITICAL
holding_staff,杖を持つ,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,CRITICAL
kemonomimi_mode,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
kneehighs,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
large_pectorals,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
leg_up,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
licking,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
lifting_own_clothes,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
looking_up,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
maid,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
meme,ミーム,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
mob_cap,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
monster_girl,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
mouth_hold,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
multiple_tails,複数の尾,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,CRITICAL
no_humans,人間なし,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
notice_lines,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
official_alternate_costume,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|RELATION_OR_PROVENANCE_AMBIGUITY|STRICT_ROUTE_REQUIRED,LOW
official_alternate_hairstyle,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|RELATION_OR_PROVENANCE_AMBIGUITY|STRICT_ROUTE_REQUIRED,LOW
on_bed,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
outside_border,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
pauldrons,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
peaked_cap,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
