canonical,display_ja,search_ja,candidate_display_ja,candidate_search_ja,final_state,route,reason,reason_codes,risk_class
^^^,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|SYMBOL_WORDING_REVIEW,LOW
^_^,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|SYMBOL_WORDING_REVIEW,LOW
adapted_costume,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
ahoge,アホ毛,アホ毛,アホ毛,アホ毛,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
alternate_costume,別衣装,別衣装,別衣装,別衣装,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
alternate_hairstyle,別髪型,別髪型,別髪型,別髪型,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
androgynous,中性的,中性的,中性的,中性的,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
angel_wings,天使の翼,天使の翼,天使の翼,天使の翼,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
anger_vein,怒りマーク,怒りマーク,怒りマーク,怒りマーク,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
angry,怒り,怒り,怒り,怒り,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
animal,,,動物,動物,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
animal_ear_fluff,,,動物耳の毛,動物耳の毛,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
animal_print,アニマル柄,アニマル柄,アニマル柄,アニマル柄,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
anime_coloring,アニメ塗り,アニメ塗り,アニメ塗り,アニメ塗り,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
antenna_hair,アンテナ髪,アンテナ髪,アンテナ髪,アンテナ髪,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
apron,エプロン,エプロン,エプロン,エプロン,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
aqua_eyes,水色の目,水色の目,水色の目,水色の目,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
arm_at_side,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
arm_behind_back,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
arm_behind_head,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
armband,腕章,腕章,腕章,腕章,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
armlet,腕輪,腕輪,腕輪,腕輪,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
armpits,脇,脇,脇,脇,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
arms_behind_back,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
arms_up,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
artist_name,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|STRICT_ROUTE_REQUIRED,LOW
ascot,アスコットタイ,アスコットタイ,アスコットタイ,アスコットタイ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
backpack,リュック,リュック,リュック,リュック,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bag,バッグ,バッグ,バッグ,バッグ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
ball,ボール,ボール,ボール,ボール,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bandages,包帯,包帯,包帯,包帯,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
barefoot,裸足,裸足,裸足,裸足,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
baseball_cap,野球帽,野球帽,野球帽,野球帽,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
beach,ビーチ,ビーチ,ビーチ,ビーチ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bed,ベッド,ベッド,ベッド,ベッド,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bed_sheet,シーツ,シーツ,シーツ,シーツ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bike_shorts,自転車用ショーツ,自転車用ショーツ,自転車用ショーツ,自転車用ショーツ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bikini,ビキニ,ビキニ,ビキニ,ビキニ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bird,鳥,鳥,鳥,鳥,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
black_background,黒い背景,黒い背景,黒い背景,黒い背景,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
black_belt,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_bodysuit,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_boots,黒いブーツ,黒いブーツ,黒いブーツ,黒いブーツ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
black_bow,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_bowtie,黒い蝶ネクタイ,黒い蝶ネクタイ,黒い蝶ネクタイ,黒い蝶ネクタイ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
black_eyes,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_gloves,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_hairband,黒いヘアバンド,黒いヘアバンド,黒いヘアバンド,黒いヘアバンド,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
black_hat,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_nails,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_panties,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_pantyhose,黒いパンスト,黒いパンスト,黒いパンスト,黒いパンスト,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
black_shoes,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_shorts,黒いショートパンツ,黒いショートパンツ,黒いショートパンツ,黒いショートパンツ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
black_thighhighs,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
black_vest,黒いベスト,黒いベスト,黒いベスト,黒いベスト,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
blazer,ブレザー,ブレザー,ブレザー,ブレザー,STRICT_ACCEPT,CARRY_FORWARD,PRIOR_CAMPAIGN_READY_CARRY_FORWARD,PRIOR_CAMPAIGN_READY_CARRY_FORWARD,LOW
blue_background,青い背景,青い背景,青い背景,青い背景,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
blue_bow,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
blue_bowtie,青い蝶ネクタイ,青い蝶ネクタイ,青い蝶ネクタイ,青い蝶ネクタイ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
blue_dress,青いドレス,青いドレス,青いドレス,青いドレス,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
blue_halo,青い光輪,青い光輪,青い光輪,青い光輪,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
blue_pants,青いズボン,青いズボン,青いズボン,青いズボン,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
blue_ribbon,青いリボン,青いリボン,青いリボン,青いリボン,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
blue_sailor_collar,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
blue_shorts,青いショートパンツ,青いショートパンツ,青いショートパンツ,青いショートパンツ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
blunt_bangs,ぱっつん前髪,ぱっつん前髪,ぱっつん前髪,ぱっつん前髪,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
blunt_ends,切りそろえた毛先,切りそろえた毛先,切りそろえた毛先,切りそろえた毛先,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
blurry,ぼやけた,ぼやけた,ぼやけた,ぼやけた,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
blurry_background,ぼやけた背景,ぼやけた背景,ぼやけた背景,ぼやけた背景,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
blush_stickers,頬染めシール,頬染めシール,頬染めシール,頬染めシール,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bob_cut,ボブカット,ボブカット,ボブカット,ボブカット,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
book,本,本,本,本,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
boots,ブーツ,ブーツ,ブーツ,ブーツ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
border,縁取り,縁取り,縁取り,縁取り,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bottle,ボトル,ボトル,ボトル,ボトル,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bowtie,蝶ネクタイ,蝶ネクタイ,蝶ネクタイ,蝶ネクタイ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
box,箱,箱,箱,箱,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bracelet,ブレスレット,ブレスレット,ブレスレット,ブレスレット,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
braid,三つ編み,三つ編み,三つ編み,三つ編み,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
breath,息,息,息,息,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
bright_pupils,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,LOW
brooch,ブローチ,ブローチ,ブローチ,ブローチ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
brown_background,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
brown_boots,茶色のブーツ,茶色のブーツ,茶色のブーツ,茶色のブーツ,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,MEDIUM
brown_gloves,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
brown_skirt,,,,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE,MEDIUM
bug,虫,虫,虫,虫,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
building,建物,建物,建物,建物,AUTO_ACCEPT,LIGHTWEIGHT,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LIGHTWEIGHT_ACCEPT_TRANSPARENT_MACHINE_RENDERING,LOW
