runtime_identity,runtime_is_general,runtime_is_special,source_identity_count,source_identities,special_ids,special_tags,chosen_canonical_tags,old_semantic_classes,final_sexual_intent,final_review_status,review_reason,mapping_quality,reviewer_action
defecating_self,YES,YES,2,defecating_self|pooping_self,2762,pooping self,defecating_self,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,loss of bowel control can be nonsexual accident or fetish depiction,VALID,RESOLVED
detached_sleeves,YES,YES,2,detached_sleeves|naked_sleeves,2530,naked sleeves,detached_sleeves,NON_SEXUAL|SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,detached sleeves are an ordinary clothing item but naked sleeves is not equivalent,SUSPECT,NEEDS_CANONICAL_FIX
downblouse,YES,YES,2,down_blouse|downblouse,2137|2741,down blouse|downblouse,downblouse,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,downblouse exposure has voyeuristic erotic and incidental clothing contexts,VALID,RESOLVED
drinking_pee,YES,YES,3,drinking_pee|pee_drink|urophagia,1977|2613|2719,drinking pee|pee drink|urophagia,drinking_pee,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,urine drinking is an explicit sexual fetish act,VALID,RESOLVED
egg_laying,YES,YES,2,egg_laying|oviposition,1438,oviposition,egg_laying,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,egg laying is biological reproduction and also a sexualized fantasy use,VALID,RESOLVED
euphemism,YES,YES,2,euphemism|sexual_euphemism,1502,sexual euphemism,euphemism,NON_SEXUAL|SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,generic euphemism is not equivalent to the mapped sexual euphemism,SUSPECT,NEEDS_CANONICAL_FIX
extra_penises,YES,YES,2,extra_penises|multi_cock,589|1452,extra penises|multi cock,extra_penises,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,multiple penis anatomy is an explicit sexual body concept,VALID,RESOLVED
forced_partners,YES,YES,2,forced_partners|mutual_rape,1505,mutual rape,forced_partners,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,forced partners denotes coerced sexual pairing and assault,VALID,RESOLVED
foreskin_pull,YES,YES,2,foreskin_pull|foreskin_retraction,851|1468,foreskin pull|foreskin retraction,foreskin_pull,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,foreskin manipulation has medical or hygiene and sexual contexts,VALID,RESOLVED
futanari,YES,YES,3,dickgirl|futa|futanari,712|1601|1602,dickgirl|futa|futanari,futanari,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,futanari is a character or body trope with both nonsexual and sexual uses,VALID,RESOLVED
garter_belt,YES,YES,2,garter_belt|garterbelt,2100|2661,garter belt|garterbelt,garter_belt,CONTEXTUAL|NON_SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,garter belt is ordinary clothing despite erotic styling,VALID,RESOLVED
genderswap,YES,YES,2,genderswap|sex_change,1288,sex change,genderswap,NON_SEXUAL|SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,genderswap is a general transformation or story concept,VALID,RESOLVED
groping,YES,YES,4,fondle|fondling|grope|groping,35|1585|1586|1587,fondle|fondling|grope|groping,groping,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,groping denotes sexual touching or sexual assault,VALID,RESOLVED
have_to_pee,YES,YES,2,have_to_pee|need_to_pee,1979|2575,have to pee|need to pee,have_to_pee,CONTEXTUAL|NON_SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,need to urinate is an ordinary bodily state,VALID,RESOLVED
hitachi_magic_wand,YES,YES,2,hitachi_magic_wand|wand_vibrator,278|1380,hitachi magic wand|wand vibrator,hitachi_magic_wand,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,Hitachi magic wand is a sexual-use device,VALID,RESOLVED
horse_penis,YES,YES,3,horse_cock|horse_penis|horsecock,752|1388|1648,horse cock|horse penis|horsecock,horse_penis,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,horse penis is explicit sexual anatomy,VALID,RESOLVED
huge_nipples,YES,YES,2,huge_nipples|large_nipples,740|1352,huge nipples|large nipples,huge_nipples,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,nipple anatomy can be neutral appearance or sexual display,VALID,RESOLVED
interlocked_mars_and_venus_symbols,YES,YES,3,interlocked_mars_and_venus_symbols|male_symbol_penetrating_female_symbol|mars_symbol_penetrating_venus_symbol,1480|1481,male symbol penetrating female symbol|mars symbol penetrating venus symbol,interlocked_mars_and_venus_symbols,NON_SEXUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,interlocked sex symbols depict sexual union,VALID,RESOLVED
invisible_penis,YES,YES,2,invisible_penis|invisicock,577|595,invisible penis|invisicock,invisible_penis,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,invisible penis remains an explicit sexual anatomy concept,VALID,RESOLVED
josou_seme,YES,YES,4,assertive_trap|josou_seme|trap_penetrating|trapdom,1728|2371|2706|2707,assertive trap|josou seme|trap penetrating|trapdom,josou_seme,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,josou seme denotes a sexual role and interaction,VALID,RESOLVED
knot_gag,YES,YES,3,knot_gag|knot_gagged|knotgag,2512|2624|2733,knot gag|knot gagged|knotgag,knot_gag,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,gag restraint has safety or performance and sexual bondage contexts,VALID,RESOLVED
kyoudaidon,YES,YES,2,kyoudaidon|kyoudaidon_(sex),1540,kyoudaidon (sex),kyoudaidon,NON_SEXUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,kyoudaidon is an intrinsically incest-sex concept,VALID,RESOLVED
lactation,YES,YES,2,lactation|milk_breasts,2194|2668,lactation|milk breasts,lactation,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,lactation is ordinary physiology and also sexualized,VALID,RESOLVED
leaf_censor,YES,YES,2,leaf_censor|leaf_on_nipple,1541,leaf on nipple,leaf_censor,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,leaf censorship can be artistic moderation or sexual nudity concealment,VALID,RESOLVED
loli,YES,YES,3,loli|lolicon|rori,722|1575|1576,loli|lolicon|rori,loli,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,loli denotes a character type with nonsexual and sexualized uses,SUSPECT,NEEDS_CANONICAL_FIX
male_underwear_peek,YES,YES,2,male_underwear_peek|underwear_peek_(male),2524|2729,male underwear peek|underwear peek (male),male_underwear_peek,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,underwear exposure can be incidental or erotic,VALID,RESOLVED
mamono_with_mamono,YES,YES,2,mamono_with_mamono|monster_people_sex,1503,monster people sex,mamono_with_mamono,NON_SEXUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,monster people sex is an explicit sexual interaction,VALID,RESOLVED
mesugaki,YES,YES,2,bitch_brat|mesugaki,2695,bitch brat,mesugaki,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,bratty-girl archetype can be nonsexual characterization or sexualized,VALID,RESOLVED
mind_control,YES,YES,2,brainwashing|mind_control,2322|2552,brainwashing|mind control,mind_control,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,mind control is a general fiction device with sexual coercion uses,VALID,RESOLVED
nipple_indents,YES,YES,2,innie_nipples|nipple_indents,762|1407,innie nipples|nipple indents,nipple_indents,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,nipple anatomy can be neutral appearance or sexual display,VALID,RESOLVED
nipple_rings,YES,YES,2,nipple_ring|nipple_rings,744|1369,nipple ring|nipple rings,nipple_rings,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,nipple jewelry has ordinary body-art and sexual-fetish uses,VALID,RESOLVED
nipple_torture,YES,YES,2,nipple_pain|nipple_torture,420|2610,nipple pain|nipple torture,nipple_torture,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,nipple torture denotes an explicit sexual-fetish act,VALID,RESOLVED
no_male_underwear,YES,YES,4,no_briefs|no_male_underwear|no_underwear|no_underwear_(male),2125|2525|2731|2732,no briefs|no male underwear|no underwear|no underwear (male),no_male_underwear,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,underwear absence is ordinary clothing state and erotic exposure,VALID,RESOLVED
no_panties,YES,YES,2,no_panties|nopan,2111|2124,no panties|nopan,no_panties,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,underwear absence is ordinary clothing state and erotic exposure,VALID,RESOLVED
omanko_mark,YES,YES,2,omanko_mark|pussy_(symbol),1551,pussy (symbol),omanko_mark,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,genital symbol can be art or sexualized iconography,VALID,RESOLVED
one_breast_out,YES,YES,2,breast_outside|one_breast_out,1727|2727,breast outside|one breast out,one_breast_out,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,partial breast exposure has ordinary and erotic contexts,VALID,RESOLVED
open_shirt,YES,YES,2,open_shirt|shirt_open,2279,shirt open,open_shirt,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,open shirt is ordinary clothing and can be erotic exposure,VALID,RESOLVED
over_the_mouth_gag,YES,YES,2,over_the_mouth_gag|over_the_mouth_gagged,2514|2601,over the mouth gag|over the mouth gagged,over_the_mouth_gag,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,gag restraint has safety or performance and sexual bondage contexts,VALID,RESOLVED
over_the_nose_gag,YES,YES,2,over_the_nose_gag|over_the_nose_gagged,2515|2603,over the nose gag|over the nose gagged,over_the_nose_gag,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,gag restraint has safety or performance and sexual bondage contexts,VALID,RESOLVED
pantyhose_pull,YES,YES,3,pantyhose_down|pantyhose_pull|pantyhosepull,2239|2677|2678,pantyhose down|pantyhose pull|pantyhosepull,pantyhose_pull,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,pantyhose removal is ordinary clothing action and erotic exposure,VALID,RESOLVED
pantyshot,YES,YES,4,panchira|panty_flash|panty_shot|pantyshot,645|1594|1595|1596,panchira|panty flash|panty shot|pantyshot,pantyshot,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,pantyshot denotes intentional underwear exposure with sexualized meaning,VALID,RESOLVED
pearl_thong,YES,YES,2,beaded_panties|pearl_thong,2115|2709,beaded panties|pearl thong,pearl_thong,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,thong clothing can be fashion and sexual-fetish display,VALID,RESOLVED
pectoral_cleavage,YES,YES,3,cleavage_(male)|male_cleavage|pectoral_cleavage,2544|2545,cleavage (male)|male cleavage,pectoral_cleavage,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,cleavage anatomy can be neutral appearance or erotic display,VALID,RESOLVED
peeing_self,YES,YES,3,peeing_panties|peeing_pants|peeing_self,1982|2565|2566,peeing panties|peeing pants|peeing self,peeing_self,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,urination accident can be nonsexual or fetish depiction,VALID,RESOLVED
pelvic_curtain,YES,YES,2,pelvic_curtain|pussy_veil,1285,pussy veil,pelvic_curtain,NON_SEXUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,pussy veil is an explicit genital-covering fetish concept,VALID,RESOLVED
penis,YES,YES,5,cock|cocks|dick|dicks|penis,578|1246|1247|1572|1573,cock|cocks|dick|dicks|penis,penis,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,penis anatomy has medical or educational and sexual contexts,VALID,RESOLVED
penis_and_testicles_touching,YES,YES,2,penis_and_testicles_touching|testicles_and_penis_touching,957|1513,penis and testicles touching|testicles and penis touching,penis_and_testicles_touching,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,genital contact is an explicit sexual interaction,VALID,RESOLVED
penis_doodle,YES,YES,2,penis_doodle|penis_drawing,1168|1565,penis doodle|penis drawing,penis_doodle,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,penis drawing can be nonsexual art or sexualized humor,VALID,RESOLVED
penis_out,YES,YES,2,penis_out|penis_outside,587|1394,penis out|penis outside,penis_out,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,genital exposure has medical or incidental and sexual contexts,VALID,RESOLVED
phallic_tattoo,YES,YES,2,penis-shaped_tattoo|phallic_tattoo,1555,penis-shaped tattoo,phallic_tattoo,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,phallic body art can be nonsexual design or sexual symbolism,VALID,RESOLVED
piper_perri_surrounded_(meme),YES,YES,2,orgy_is_the_new_black|piper_perri_surrounded_(meme),1512,orgy is the new black,piper_perri_surrounded_(meme),CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,the referenced meme encodes an orgy concept,VALID,RESOLVED
public_indecency,YES,YES,2,public_indecency|public_sex,662|2151,public indecency|public sex,public_indecency,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,public indecency includes sexual and nonsexual public violations,VALID,RESOLVED
pussy,YES,YES,4,manko|pussy|vagina|vulva,509|1248|1249|1574,manko|pussy|vagina|vulva,pussy,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,vulva anatomy has medical or educational and sexual contexts,VALID,RESOLVED
pussy_jewelry,YES,YES,2,pussy_jewelry|vaginal_jewelry,917|1499,pussy jewelry|vaginal jewelry,pussy_jewelry,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,genital jewelry is an explicitly sexual-use adornment,VALID,RESOLVED
randoseru,YES,YES,2,naked_randoseru|randoseru,2546,naked randoseru,randoseru,NON_SEXUAL|SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,randoseru is an ordinary school bag but naked randoseru is not equivalent,SUSPECT,NEEDS_CANONICAL_FIX
revealing_clothes,YES,YES,2,revealing_clothes|slutty_clothing,2116|2776,revealing clothes|slutty clothing,revealing_clothes,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,revealing clothing is ordinary fashion with sexualized uses,VALID,RESOLVED
rope,YES,YES,2,rope|ropes,2652,ropes,rope,CONTEXTUAL|NON_SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,rope is a general object despite bondage use,VALID,RESOLVED
severed_penis,YES,YES,2,penectomy|severed_penis,1184|1792,penectomy|severed penis,severed_penis,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,penis injury is body horror or medical and can be fetishized,VALID,RESOLVED
sexually_suggestive,YES,YES,2,innuendo|sexually_suggestive,2728,innuendo,sexually_suggestive,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,sexually suggestive denotes explicit sexual implication,VALID,RESOLVED
shibari,YES,YES,3,rope_bondage|ropebondage|shibari,1929|1942|2669,rope bondage|ropebondage|shibari,shibari,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,shibari has artistic or performance and erotic bondage contexts,VALID,RESOLVED
shrug_(clothing),YES,YES,2,naked_shrug|shrug_(clothing),2537,naked shrug,shrug_(clothing),NON_SEXUAL|SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,shrug is ordinary clothing but naked shrug is not equivalent,SUSPECT,NEEDS_CANONICAL_FIX
sideboob,YES,YES,4,side_boob|side_boobs|sideboob|sideboobs,2173|2639|2640|2641,side boob|side boobs|sideboob|sideboobs,sideboob,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,side breast exposure has ordinary anatomy and erotic display contexts,VALID,RESOLVED
sitting_on_face,YES,YES,4,face_sitting|facesitting|sit_on_face|sitting_on_face,129|139|140|1644,face sitting|facesitting|sit on face|sitting on face,sitting_on_face,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,sitting on face denotes an explicit sexual position,VALID,RESOLVED
smelling_pantyhose,YES,YES,2,pantyhose_sniffing|smelling_pantyhose,2335|2726,pantyhose sniffing|smelling pantyhose,smelling_pantyhose,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,smelling worn pantyhose denotes a sexual fetish act,VALID,RESOLVED
socks,YES,YES,2,naked_socks|socks,2531,naked socks,socks,NON_SEXUAL|SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,socks are ordinary clothing but naked socks is not equivalent,SUSPECT,NEEDS_CANONICAL_FIX
spanked,YES,YES,3,red_butt|slap_mark_on_ass|spanked,1934|2689|2690,red butt|slap mark on ass|spanked,spanked,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,spanking can be discipline or assault and erotic activity,VALID,RESOLVED
suspended_congress,YES,YES,2,stand_and_carry|suspended_congress,133|135,stand and carry|suspended congress,suspended_congress,NON_SEXUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,suspended congress denotes an explicit sexual position,VALID,RESOLVED
tape_maebari,YES,YES,2,tape_maebari|tape_on_pussy,2416|2608,tape maebari|tape on pussy,tape_maebari,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,tape maebari denotes explicit genital concealment in sexual imagery,VALID,RESOLVED
tentacles_on_male,YES,YES,2,tentacles_on_male|tentacles_with_male,1850|2585,tentacles on male|tentacles with male,tentacles_on_male,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,tentacle contact can be fantasy action or sexualized interaction,VALID,RESOLVED
testicles,YES,YES,2,balls|testicles,2039|2043,balls|testicles,testicles,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,testicle anatomy has medical or educational and sexual contexts,VALID,RESOLVED
testicles_on_face,YES,YES,3,teabagging|teabagging_(sexual)|testicles_on_face,960|1516|1683,teabagging|teabagging (sexual)|testicles on face,testicles_on_face,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,testicles on face denotes an explicit sexual act,VALID,RESOLVED
