identity_key,is_general,is_special,general_canonical,general_status,general_primary_path,general_secondary_paths,general_confidence,special_id,special_tag,generation_family,generation_role,promotion_status,meaning_status,issue104_reviewed,issue104_review_source,issue104_product_fit_decision,issue104_adult_domains,issue104_post_count,sample_stratum,sample_rank,candidate_class,candidate_status,reviewed_class,review_reason,signal_conflict
bandaid_on_breast,YES,NO,bandaid_on_breast,PROPOSED,BODY_PART,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,278,ISSUE104_REVIEWED_RISK,0c17f0e2b71a112b9fbaca6d11d06338dead7c2d246026959e4666a338a663e4,,,,,
saliva_on_breasts,YES,YES,saliva_on_breasts,PROPOSED,BODY_PART,[],HIGH,3033,saliva_on_breasts,FLUID_STATE_ACTION,effect_or_action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,325,ISSUE104_REVIEWED_RISK,0d157044ffdf656a8c400604919c1b17d42d51b4babdad1ad60898323e9fb1b6,,,,,
breast_envy,YES,NO,breast_envy,PROPOSED,EXPRESSION_EMOTION,"[""BODY_PART""]",MEDIUM,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,8037,ISSUE104_REVIEWED_RISK,0d9f2244ddfcad60f2c3d89505b10b299f78822b45bba74759f489b4de429937,,,,,
cheek-to-breast,YES,NO,cheek-to-breast,PROPOSED,ACTION_CONTACT/INTERACTION,"[""BODY_PART""]",HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,216,ISSUE104_REVIEWED_RISK,0efa9db3b9f1a58004bb511dc49be2a56a34ad58acc864b4a87170fa24f3eb68,,,,,
face_to_breasts,YES,YES,face_to_breasts,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,2992,face_to_breasts,DIRECT_COMPOSITE,spatial_relation,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,3675,ISSUE104_REVIEWED_RISK,1094453fc128177d78fa8a089d26a7c61328cceb161e36705853b64f89788e23,,,,,
black_leash,YES,NO,black_leash,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BDSM_RESTRAINT,82,ISSUE104_REVIEWED_RISK,10dfc386afa8887151692090ba46162adb80996efc4198ba92e76d8ee8412a91,,,,,
breast_pillow,YES,YES,breast_pillow,PROPOSED,ACTION_CONTACT/INTERACTION,"[""BODY_PART""]",HIGH,3014,breast_pillow,ACTION_INTERACTION,action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,800,ISSUE104_REVIEWED_RISK,110a19b8a41d1b6c9d854e0ab62d82bd6585399b4ccd904b7ab89f39a1d1d5a3,,,,,
breast_on_breast,YES,YES,breast_on_breast,PROPOSED,ACTION_CONTACT/INTIMATE,[],HIGH,3040,breast_on_breast,ACTION_INTERACTION,action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,263,ISSUE104_REVIEWED_RISK,1463f93b14a1369582644057d64b750321677880191c1f1157cd92bcd15d6ae2,,,,,
breasts_in_a_box,YES,NO,breasts_in_a_box,PROPOSED,ACTION_CONTACT/INTERACTION,"[""BODY_PART""]",HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,61,ISSUE104_REVIEWED_RISK,150e9c95fd5c7bfb81064ebaf6ec5b002d444867d00442f44ea725aa8a02cefc,,,,,
poking_another's_breast,YES,YES,poking_another's_breast,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,3010,poking_another's_breast,ACTION_INTERACTION,action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,1048,ISSUE104_REVIEWED_RISK,1639726e6fe5ebae9c70d47fae4f859bf976ff47824d35757d6ca7991f9b2ca8,,,,,
fluid_on_breasts,YES,YES,fluid_on_breasts,PROPOSED,BODY_PART,[],MEDIUM,3083,fluid_on_breasts,FLUID_STATE_ACTION,effect_or_action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,63,ISSUE104_REVIEWED_RISK,16427c143284c7c21ac92381291365291444e61e460dac999261c28deca98ea7,,,,,
extreme_gaping,YES,YES,extreme_gaping,PROPOSED,BODY_PART,[],MEDIUM,3028,extreme_gaping,BODY_STATE,body_state,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,ANAL_RECTAL,341,ISSUE104_REVIEWED_RISK,17667dbd5ee2bdd8ba7965fee19b2f600a61fffc99df9d973b12b1d0e6d7a26d,,,,,
handcuff_dangle,YES,NO,handcuff_dangle,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BDSM_RESTRAINT,257,ISSUE104_REVIEWED_RISK,1814f7ee1600eb45f781c73ad8e8c546d95ab2459d59a7f806c37307e95dd06e,,,,,
bullet_wound,YES,NO,bullet_wound,PROPOSED,BODY_PART,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,R18G_INJURY,54,ISSUE104_REVIEWED_RISK,18a301613026325407f487a6246e5417c59b97e1528224d9a85716dd6d5f744f,,,,,
condom_pull,YES,YES,condom_pull,PROPOSED,ACTION_CONTACT/INTIMATE,[],MEDIUM,3052,condom_pull,ACTION_INTERACTION,action,APPROVED_STATIC,SOURCE_CLEAR,YES,HIGH_FREQUENCY_UNFLAGGED_RESCUE,SPECIAL_CANDIDATE,,169,ISSUE104_REVIEWED_RISK,18ca81e3c2e96440e728509228fa5efe106328a9d212d24171d6232777771cf8,,,,,
slapping_with_breasts,YES,YES,slapping_with_breasts,PROPOSED,ACTION_CONTACT/INTIMATE,[],HIGH,3074,slapping_with_breasts,ACTION_INTERACTION,action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,78,ISSUE104_REVIEWED_RISK,195db47b7e4d0495fd2d08c0d30420ea873e45e6a6f6eda4cf19d18e7afb8b98,,,,,
oppai_challenge,YES,NO,oppai_challenge,PROPOSED,ACTION_CONTACT/INTERACTION,[],MEDIUM,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,290,ISSUE104_REVIEWED_RISK,19dd1a70f2860a53897d5344a532f26e5f772ad4c8e8171f3c3bb371d44093e7,,,,,
ribbon_between_breasts,YES,NO,ribbon_between_breasts,PROPOSED,CLOTHING/ACCESSORY,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,798,ISSUE104_REVIEWED_RISK,1a9f8bc1f7d1281194d8812096697f10d550e45b182699a4bda2473372211d7d,,,,,
asymmetrical_breasts,YES,YES,asymmetrical_breasts,PROPOSED,BODY_PART,[],HIGH,3024,asymmetrical_breasts,BODY_ATTRIBUTE,body_target_or_attribute,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,361,ISSUE104_REVIEWED_RISK,1c4c83fad3d53f35a3d6f660d57b7e5d66a5311993c8accac45a743416b48fc4,,,,,
drinking_from_condom,YES,YES,drinking_from_condom,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,3057,drinking_from_condom,ACTION_INTERACTION,action,APPROVED_STATIC,SOURCE_CLEAR,YES,HIGH_FREQUENCY_UNFLAGGED_RESCUE,SPECIAL_CANDIDATE,,149,ISSUE104_REVIEWED_RISK,1d2374e96945a50282eb0302b0deab2065b12cba7e09184a0b5f71a201f5475d,,,,,
servants_holding_aphrodite's_breasts_(meme),YES,NO,servants_holding_aphrodite's_breasts_(meme),UNRESOLVED,,[],LOW,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,REJECT_NONCONTENT_REASON,BREAST_NIPPLE_AREOLA,68,ISSUE104_REVIEWED_RISK,1ec8037a7ef06573af00b7f0121e8b0ccff8718c7f1eeb23fa036c87c44b6c6f,,,,,
breasts_on_thighs,YES,YES,breasts_on_thighs,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,3079,breasts_on_thighs,DIRECT_COMPOSITE,spatial_relation,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,66,ISSUE104_REVIEWED_RISK,215d9ac2d7873eeba5b726c0c07922fc331b0a40960e79dc56ff328e716e4aab,,,,,
breast_crush,YES,YES,breast_crush,PROPOSED,ACTION_CONTACT/INTIMATE,[],HIGH,3085,breast_crush,DAMAGE_STATE_ACTION,state_or_action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,58,ISSUE104_REVIEWED_RISK,21c4ab4f7bd437955c75120abc1b98634a52c65174c6b8a4fa7ffddcaa0a6e07,,,,,
shared_handcuffs,YES,YES,shared_handcuffs,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,3044,shared_handcuffs,RESTRAINT_IMPLEMENT,restraint_implement,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BDSM_RESTRAINT,215,ISSUE104_REVIEWED_RISK,236f367f4919a87824599de4d6a6391057e9e2bdb3fa007d7bb6f8c2fd5fbf9a,,,,,
breast_size_switch,YES,YES,breast_size_switch,PROPOSED,BODY_PART,[],HIGH,3070,breast_size_switch,ACTION_INTERACTION,action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,96,ISSUE104_REVIEWED_RISK,28437e9afc1afb2d0cf7bf5b1d64f636b56960dd0a624da7336030666a45514a,,,,,
pointy_breasts,YES,YES,pointy_breasts,PROPOSED,BODY_PART,[],HIGH,2999,pointy_breasts,BODY_ATTRIBUTE,body_target_or_attribute,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,2272,ISSUE104_REVIEWED_RISK,294267340dd44e0cbf3583cc0c52f570f8657560d63a0d38b5e47af2fe17873d,,,,,
boobs_in_book_(meme),YES,NO,boobs_in_book_(meme),PROPOSED,STYLE_QUALITY_META,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,REJECT_NONCONTENT_REASON,BREAST_NIPPLE_AREOLA,654,ISSUE104_REVIEWED_RISK,2a9678098be350d928802999f994d49f8b8abd19235617e9d85c321c65153670,,,,,
huge_breasts,YES,NO,huge_breasts,PROPOSED,BODY_PART,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,325713,ISSUE104_REVIEWED_RISK,2b047cc606895d3a88acc93e09e670631b22af1c876dd4c1dc22b2e738ddd00a,,,,,
breast_size_difference,YES,YES,breast_size_difference,PROPOSED,BODY_PART,[],HIGH,3032,breast_size_difference,BODY_ATTRIBUTE,body_target_or_attribute,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,325,ISSUE104_REVIEWED_RISK,2b6f69ecd949c68bad136fb2cfea1d16bb7621433ccf2949fc90572de6d062e8,,,,,
oversized_breast_cup,YES,NO,oversized_breast_cup,PROPOSED,CLOTHING/EVERYDAY,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,1763,ISSUE104_REVIEWED_RISK,2b93d0ad1af5fdb0423c7035bc7414e92fd0411991ff11f3d630f814df211af8,,,,,
fanning_breasts,YES,NO,fanning_breasts,PROPOSED,ACTION_CONTACT/OBJECT_USE,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,60,ISSUE104_REVIEWED_RISK,2df03900618ab130f98f167a915b9ea8144806f1d43c470b964d9da0326f1823,,,,,
japan-korea_yuri_(meme),YES,NO,japan-korea_yuri_(meme),UNRESOLVED,,[],LOW,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,REJECT_NONCONTENT_REASON,OPAQUE_ADULT_SURFACE,235,ISSUE104_REVIEWED_RISK,2fac580a4696240252dcc127cf86c5f0f0f7a94c544c52b1d689652e063a5210,,,,,
convenient_breasts,YES,NO,convenient_breasts,PROPOSED,CLOTHING_STATE_EXPOSURE,[],MEDIUM,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,167,ISSUE104_REVIEWED_RISK,318a0f4cbbe84fa5fb3bc5dd193f18dbe89b2bdec3b212c875d7826e0cd2e117,,,,,
breast_curtains,YES,YES,breast_curtains,PROPOSED,CLOTHING/EVERYDAY,"[""CLOTHING_STATE_EXPOSURE""]",HIGH,2985,breast_curtains,CLOTHING_EXPOSURE,visual_state,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,9137,ISSUE104_REVIEWED_RISK,3218487acc2574f32a6c615a22e90f8a85911cb3374ec42f3825d4c3e80da443,,,,,
breasts_on_glass,YES,YES,breasts_on_glass,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,2990,breasts_on_glass,DIRECT_COMPOSITE,spatial_relation,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,4505,ISSUE104_REVIEWED_RISK,33285df916eb81b2930163b7ed4edffcd6e43159ba99dc3c805026e4c5eedf98,,,,,
foot_on_another's_breast,YES,YES,foot_on_another's_breast,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,3067,foot_on_another's_breast,DIRECT_COMPOSITE,spatial_relation,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,101,ISSUE104_REVIEWED_RISK,34a2a9fdf69929671e9d83754b8ef8e9d797408c6f5833a447074a755aaa7503,,,,,
standing_restraints,YES,YES,standing_restraints,PROPOSED,POSE_MOVEMENT,[],HIGH,3054,standing_restraints,RESTRAINT_ACTION,restraint_action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BDSM_RESTRAINT,166,ISSUE104_REVIEWED_RISK,34eba20e3c57b51d507ddec0fe473288f688cace1bc6ad6dd43fbe372a036cf1,,,,,
breast_awe,YES,NO,breast_awe,PROPOSED,EXPRESSION_EMOTION,"[""BODY_PART""]",MEDIUM,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,776,ISSUE104_REVIEWED_RISK,3603bef8dd2a38315fa0cc0a303520defb09f350ab6c8c04418f307cee8d13a0,,,,,
sweaty_feet,YES,YES,sweaty_feet,PROPOSED,BODY_PART,[],HIGH,3017,sweaty_feet,BODY_STATE,body_state,APPROVED_STATIC,SOURCE_CLEAR,YES,HIGH_FREQUENCY_UNFLAGGED_RESCUE,SPECIAL_CANDIDATE,,589,ISSUE104_REVIEWED_RISK,36214775a166376cd9851d77dd5eaef93be087b2998074c5746e5672f42fe11f,,,,,
breasts_on_another's_back,YES,NO,breasts_on_another's_back,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,646,ISSUE104_REVIEWED_RISK,37d58cdefcc3297dca27568e161596dbb9e8523df297be2b6ed4f74f60a6e368,,,,,
red_leash,YES,NO,red_leash,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BDSM_RESTRAINT,299,ISSUE104_REVIEWED_RISK,383f394bd73b97415199bc2c4f44e63afaa71a21a03e98793db8d9f64a67abf8,,,,,
sloppy_blowjob_devil_(meme),YES,NO,sloppy_blowjob_devil_(meme),UNRESOLVED,,[],LOW,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,REJECT_NONCONTENT_REASON,SEX_ACT_RELATION,73,ISSUE104_REVIEWED_RISK,389670b93c95a314bb2e6d1aa97fcfdd8463cc7ba043acb09f3462b208d1f91b,,,,,
blood_from_ears,YES,NO,blood_from_ears,PROPOSED,BODY_PART,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,R18G_INJURY,56,ISSUE104_REVIEWED_RISK,39d86997b1ab581effd200042a433c6ac60479d0401a0452b4772e10e80d4378,,,,,
gunshot_wound,YES,NO,gunshot_wound,PROPOSED,BODY_PART,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,R18G_INJURY,262,ISSUE104_REVIEWED_RISK,3b6336a71ad670893f3ec0c138cc2d354a092942ca20e6fa64679617043737ab,,,,,
breast_mousepad,YES,NO,breast_mousepad,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,549,ISSUE104_REVIEWED_RISK,3c2e1c35978d837547324734bfef6df7c72ba1e4f58a8bf30d27ee3cc4600a7d,,,,,
imminent_grope,YES,NO,imminent_grope,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,SEX_ACT_RELATION,101,ISSUE104_REVIEWED_RISK,3d99feea301dc6ace5f1c5ed8d257d2a509791d8c98d3691b2dc4c251c95add7,,,,,
edging_underwear,YES,NO,edging_underwear,PROPOSED,CLOTHING_STATE_EXPOSURE,[],HIGH,,,,,,,YES,HIGH_FREQUENCY_UNFLAGGED_RESCUE,GENERAL_ONLY_APPROPRIATE,,211,ISSUE104_REVIEWED_RISK,3dfe95d84b5cddb1aaa8e9a5a2e4e9de66a7460292abdc84a6c4c2750d429047,,,,,
deep_wound,YES,NO,deep_wound,PROPOSED,BODY_PART,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,R18G_INJURY,957,ISSUE104_REVIEWED_RISK,3f1ded0990ae0bc3c511ca84b087fc18a32f3c43eb9bc85656d6936c8a72d6a7,,,,,
stained_panties,YES,YES,stained_panties,PROPOSED,CLOTHING/EVERYDAY,[],HIGH,2998,stained_panties,CLOTHING_EXPOSURE,visual_state,APPROVED_STATIC,SOURCE_CLEAR,YES,HIGH_FREQUENCY_UNFLAGGED_RESCUE,SPECIAL_CANDIDATE,,2998,ISSUE104_REVIEWED_RISK,3fb40f71ccf62ffae8cea85a18e8a0f1679782cafe157af3ea84c8500c19eb94,,,,,
broken_handcuffs,YES,NO,broken_handcuffs,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BDSM_RESTRAINT,199,ISSUE104_REVIEWED_RISK,4049d7b0b143cfcdd19f2daa6a7cb158c173ac133fdf440fd7ee851f52ace795,,,,,
single_breast_curtain,YES,YES,single_breast_curtain,PROPOSED,CLOTHING/EVERYDAY,[],HIGH,2995,single_breast_curtain,ACTION_INTERACTION,action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,3129,ISSUE104_REVIEWED_RISK,406fff9d193c21ea927513a6012d6f28bb120d38011e720c71a84b2936e70d02,,,,,
tied_breast,YES,YES,tied_breast,PROPOSED,BODY_PART,[],HIGH,3088,tied_breast,RESTRAINT_IMPLEMENT,restraint_implement,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,50,ISSUE104_REVIEWED_RISK,408fa733ad6065b6241b91cdbc700654cc3cd18f552c18b82b71ff13e4582833,,,,,
artificial_insemination,YES,YES,artificial_insemination,PROPOSED,ACTION_CONTACT/INTIMATE,[],HIGH,3076,artificial_insemination,ACTION_INTERACTION,action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,REPRODUCTION_PREGNANCY,71,ISSUE104_REVIEWED_RISK,42a9dd24e9bda764b1d7d55b3f5a990219f15a19e85aebef09eb2b15c3b159e9,,,,,
bottle_between_breasts,YES,NO,bottle_between_breasts,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,398,ISSUE104_REVIEWED_RISK,466f9fdaf2a86fcf741205f452bd5b56c587f4b12a3429bf97ecada76e523fd0,,,,,
smelling_armpit,YES,YES,smelling_armpit,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,3036,smelling_armpit,ACTION_INTERACTION,action,APPROVED_STATIC,SOURCE_CLEAR,YES,HIGH_FREQUENCY_UNFLAGGED_RESCUE,SPECIAL_CANDIDATE,,314,ISSUE104_REVIEWED_RISK,473263e212d65d7775cc64bc9e04cc8e21e3ec14d0592e17ecb164cff67bd5b5,,,,,
