row_id,canonical_tag,category,post_count,media_scope,confidence,scope_reason,evidence_refs,decision_source
I70-038978,project-sp,Copyright,263,IN_2D,HIGH,Chinese VTuber group; retained under the explicit VTuber and virtual-character rule.,https://virtualyoutuber.fandom.com/wiki/Project_SP,MANUAL_SCOPE_BATCH_040
I70-040664,treasure_cafe,Copyright,134,REAL_3D,HIGH,Enoshima Treasure Cafe is a real physical cafe and collaboration venue; excluded under the real-store and event rule.,https://treasurecafe.jp/,MANUAL_SCOPE_BATCH_040
I70-041275,daicon,Copyright,109,REAL_3D,HIGH,The DAICON tag denotes the real Japan SF Convention when held in Osaka; excluded as a real event.,https://cos.booru.nl/wiki_pages/daicon,MANUAL_SCOPE_BATCH_040
I70-041281,la_priere,Copyright,109,REAL_3D,HIGH,La priere is a real three-member female vocal unit; excluded under the real singer and music-group rule.,https://lapriere.jp/,MANUAL_SCOPE_BATCH_040
I70-041282,lavender_quartz,Copyright,109,IN_2D,HIGH,Fictional illustrated property with named characters; retained in 2D character scope.,https://safebooru.org/index.php?id=6004202&page=post&s=view,MANUAL_SCOPE_BATCH_040
I70-041299,blank_room_soup,Copyright,108,REAL_3D,HIGH,Live-action viral short video centered on real filmed performers; excluded as live-action-only media.,https://www.imdb.com/title/tt38935158/,MANUAL_SCOPE_BATCH_040
I70-041640,wild_wet_west,Copyright,99,IN_2D,HIGH,Released visual novel and dating-sim game; retained under the game and visual-novel rule.,https://gamefaqs.gamespot.com/pc/316212-wild-wet-west/data,MANUAL_SCOPE_BATCH_040
I70-042005,gardnerverse,Copyright,88,IN_2D,HIGH,Original-character fictional universe used for digital illustrations; retained as fictional illustrated content.,https://www.newgrounds.com/art/view/catinyt/lilian-gardner-and-maggie-o-brien,MANUAL_SCOPE_BATCH_040
I70-042250,3di_project,Copyright,82,IN_2D,HIGH,Virtual-YouTuber project identity; retained under the explicit VTuber rule.,https://safebooru.org/index.php?id=4133185&page=post&s=view,MANUAL_SCOPE_BATCH_040
I70-042257,bcy,Copyright,82,REAL_3D,HIGH,BCY is used as a real art-platform and source-site identity; excluded as a real web service.,https://safebooru.org/index.php?id=4400547&page=post&s=view,MANUAL_SCOPE_BATCH_040
I70-042513,icetea,Copyright,77,IN_2D,HIGH,VTuber studio and affiliation identity for virtual characters including Yomemi; retained under the explicit VTuber rule.,https://virtualyoutuber.fandom.com/wiki/Yomemi,MANUAL_SCOPE_BATCH_040
I70-043202,angel_notes,Copyright,65,IN_2D,HIGH,TYPE-MOON fictional prose setting and characters; retained as fictional illustrated and literary IP.,https://typemoon.wiki.cre.jp/wiki/Notes.,MANUAL_SCOPE_BATCH_040
I70-043250,the_sealed_esoteric_history,Copyright,65,IN_2D,HIGH,Touhou fan-animation project with fictional characters; retained as animated 2D content.,https://en.touhouwiki.net/wiki/Hifuu_Club_Activity_Record_~_The_Sealed_Esoteric_History,MANUAL_SCOPE_BATCH_040
I70-043347,koronba,Copyright,63,REAL_3D,HIGH,koronba is a real music artist and creator identity; excluded under the real musician rule.,https://music.apple.com/us/artist/koronba/1523661281,MANUAL_SCOPE_BATCH_040
I70-043368,versen,Copyright,63,IN_2D,HIGH,Virtual-YouTuber character property; retained under the explicit VTuber and virtual-character rule.,https://safebooru.org/index.php?id=6089077&page=post&s=view,MANUAL_SCOPE_BATCH_040
I70-043388,itemlabel,Copyright,62,REAL_3D,HIGH,itemLabel is a real merchandise brand and store identity selling physical products; excluded under the real-brand rule.,https://itemlabel.com/,MANUAL_SCOPE_BATCH_040
I70-043428,the_fire_rises,Copyright,62,IN_2D,HIGH,Hearts of Iron IV game mod with a fictionalized playable setting; retained under the game rule.,https://steamcommunity.com/sharedfiles/filedetails/3350890356,MANUAL_SCOPE_BATCH_040
I70-043452,chronicle_of_myers,Copyright,61,IN_2D,HIGH,Fictional original-character universe with an extensive named cast; retained in fictional 2D scope.,https://safebooru.donmai.us/wiki_pages/chronicle_of_myers,MANUAL_SCOPE_BATCH_040
I70-043620,japan_world_cup,Copyright,59,IN_2D,HIGH,Fictional CG horse-racing game and animation property; retained because 3D rendering alone is not an exclusion.,https://safebooru.org/index.php?id=6351526&page=post&s=view,MANUAL_SCOPE_BATCH_040
I70-043826,cloud_nine_inc,Copyright,56,REAL_3D,HIGH,Cloud Nine Inc. is a real artist-management company; excluded under the real-company rule.,https://cloud9pro.co.jp/company/,MANUAL_SCOPE_BATCH_040
I70-043945,neobaka,Copyright,55,IN_2D,HIGH,VTuber agency copyright identity used for its virtual members; retained under the explicit VTuber rule.,https://safebooru.donmai.us/wiki_pages/neobaka,MANUAL_SCOPE_BATCH_040
I70-043954,power_of_three,Copyright,55,IN_2D,HIGH,Fictional Warriors novel arc with named cat characters; retained as fictional literary IP.,https://warriorcats.com/series/power-of-three,MANUAL_SCOPE_BATCH_040
I70-044083,battle_of_titans,Copyright,53,IN_2D,HIGH,Released mecha action video game; retained under the game rule.,https://apps.apple.com/jp/app/b-o-t/id1231732980,MANUAL_SCOPE_BATCH_040
I70-044157,airy_production,Copyright,52,IN_2D,HIGH,VTuber agency and virtual-character project; retained under the explicit VTuber rule.,https://airypro.jp/en/audition,MANUAL_SCOPE_BATCH_040
