special_id,primary_genre_id,primary_subgenre_id,secondary_paths,classification_status,ambiguity_note
2388,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>PUBIC_HAIR,HUMAN_REVIEWED,
738,NONHUMAN_TENTACLE_TRANSFORMATION,,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,
739,BODY_ANATOMY,ABSENCE_VARIANT,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
2740,BODY_ANATOMY,PUBIC_HAIR,,HUMAN_REVIEWED,
740,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,
2522,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,NUDITY_CLOTHING_EXPOSURE>UNDERWEAR_LINGERIE,HUMAN_REVIEWED,
741,NUDITY_CLOTHING_EXPOSURE,COVERED_CONCEALED,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
742,BODY_ANATOMY,ABSENCE_VARIANT,BODY_ANATOMY>FEMALE_GENITAL,HUMAN_REVIEWED,
2777,BODY_ANATOMY,PUBIC_HAIR,,HUMAN_REVIEWED,
2507,BONDAGE_BDSM_DOMINATION,GAG_MOUTH_RESTRAINT,,HUMAN_REVIEWED,
743,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,
744,BODY_ANATOMY,BODY_ADORNMENT_MARK,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
745,SEXUAL_ACTIVITY_STIMULATION,IMPLIED_GESTURE,POSE_POSITION_COMPOSITION,HUMAN_REVIEWED,
2526,NUDITY_CLOTHING_EXPOSURE,REVEALING_OUTFIT,,HUMAN_REVIEWED,
1241,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>FEMALE_GENITAL,HUMAN_REVIEWED,
746,BODY_ANATOMY,BODY_ADORNMENT_MARK,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
747,TOOLS_TOYS_MACHINES,,CONTACT_INSERTION_BODY_SITE>EXTERNAL_CONTACT | BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,
748,META_RATING,,NUDITY_CLOTHING_EXPOSURE>COVERED_CONCEALED | BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
2389,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,PERSON_RELATION_ROLE,HUMAN_REVIEWED,
2631,BODY_ANATOMY,BREAST_NIPPLE,,AUTO_INHERITED_ALIAS,
2170,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,
2636,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>BREAST_NIPPLE,AUTO_INHERITED_ALIAS,
2171,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
1245,BODY_ANATOMY,BREAST_NIPPLE,,AUTO_INHERITED_ALIAS,
665,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,
2637,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,AUTO_INHERITED_ALIAS,
2112,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,
1246,BODY_ANATOMY,MALE_GENITAL,,AUTO_INHERITED_ALIAS,
578,BODY_ANATOMY,MALE_GENITAL,,HUMAN_REVIEWED,
1248,BODY_ANATOMY,FEMALE_GENITAL,,AUTO_INHERITED_ALIAS,
509,BODY_ANATOMY,FEMALE_GENITAL,,HUMAN_REVIEWED,
1250,FLUID_EXCRETION_SOILING,,,AUTO_INHERITED_ALIAS,
337,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,
546,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,CONTACT_INSERTION_BODY_SITE>FEMALE_GENITAL_SITE,AUTO_INHERITED_ALIAS,
541,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,CONTACT_INSERTION_BODY_SITE>FEMALE_GENITAL_SITE,HUMAN_REVIEWED,
2768,NUDITY_CLOTHING_EXPOSURE,THROUGH_CLOTHING_VISIBILITY,,AUTO_INHERITED_ALIAS,
2120,NUDITY_CLOTHING_EXPOSURE,THROUGH_CLOTHING_VISIBILITY,,HUMAN_REVIEWED,
1575,PERSON_RELATION_ROLE,,,AUTO_INHERITED_ALIAS,年齢制限参照。Prompt利用可否はUIジャンルとは別レイヤーで管理。
722,PERSON_RELATION_ROLE,,,HUMAN_REVIEWED,年齢制限参照。Prompt利用可否はUIジャンルとは別レイヤーで管理。
1578,META_RATING,,,AUTO_INHERITED_ALIAS,
1693,META_RATING,,,HUMAN_REVIEWED,
1580,BODY_ANATOMY,BUTTOCK_ANUS,,AUTO_INHERITED_ALIAS,
1,BODY_ANATOMY,BUTTOCK_ANUS,,HUMAN_REVIEWED,
2639,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>BREAST_NIPPLE,AUTO_INHERITED_ALIAS,
2173,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
1258,FLUID_EXCRETION_SOILING,,,AUTO_INHERITED_ALIAS,
557,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,
1260,BODY_ANATOMY,MALE_GENITAL,,AUTO_INHERITED_ALIAS,
684,BODY_ANATOMY,MALE_GENITAL,,HUMAN_REVIEWED,
388,FLUID_EXCRETION_SOILING,,NUDITY_CLOTHING_EXPOSURE>COVERED_CONCEALED,HUMAN_REVIEWED,衣服内という条件は副経路。主題は射精。
409,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,
2400,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,PERSON_RELATION_ROLE,HUMAN_REVIEWED,
1056,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,NUDITY_CLOTHING_EXPOSURE>THROUGH_CLOTHING_VISIBILITY | BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
937,SEXUAL_ACTIVITY_STIMULATION,RUBBING_GRINDING,NUDITY_CLOTHING_EXPOSURE>THROUGH_CLOTHING_VISIBILITY,HUMAN_REVIEWED,
2283,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,素材/付着物の細部より裸体表現を最初の入口とする暫定判定。
808,PERSON_RELATION_ROLE,,SEXUAL_ACTIVITY_STIMULATION>COOPERATIVE_MULTI_ACT,HUMAN_REVIEWED,家族関係・参加者構成が検索意図の中心。
492,NONHUMAN_TENTACLE_TRANSFORMATION,,CONTACT_INSERTION_BODY_SITE>GENERAL_INSERTION,HUMAN_REVIEWED,
262,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,
332,NONHUMAN_TENTACLE_TRANSFORMATION,,CONTACT_INSERTION_BODY_SITE>GENERAL_INSERTION,HUMAN_REVIEWED,
324,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,
168,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,CONTACT_INSERTION_BODY_SITE>ANAL_SITE,HUMAN_REVIEWED,
625,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,TOOLS_TOYS_MACHINES,HUMAN_REVIEWED,
750,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,
317,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,
1845,BONDAGE_BDSM_DOMINATION,CHASTITY_CONTROL,TOOLS_TOYS_MACHINES,HUMAN_REVIEWED,
1218,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,
1924,BONDAGE_BDSM_DOMINATION,BONDAGE_STATE,SITUATION_SCENE,HUMAN_REVIEWED,publicは状況副経路。拘束そのものが主題。
282,SITUATION_SCENE,,TOOLS_TOYS_MACHINES,HUMAN_REVIEWED,公共の場という状況が差分の中心。
796,META_RATING,,FLUID_EXCRETION_SOILING,HUMAN_REVIEWED,検閲表現が主題、体液は副経路。
1084,,,,REVIEW_REQUIRED,`arm slave (mecha)` の実identity/日本語説明が不明瞭。旧説明だけでUI経路を確定しない。
1716,META_RATING,,BODY_ANATOMY>FEMALE_GENITAL | BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,
660,SITUATION_SCENE,,SEXUAL_ACTIVITY_STIMULATION>MASTURBATION,HUMAN_REVIEWED,
2788,META_RATING,,,HUMAN_REVIEWED,
1770,INJURY_R18G,,,HUMAN_REVIEWED,
1768,INJURY_R18G,,,HUMAN_REVIEWED,
758,INJURY_R18G,,,HUMAN_REVIEWED,
1777,INJURY_R18G,,,HUMAN_REVIEWED,
1778,INJURY_R18G,,,HUMAN_REVIEWED,
476,INJURY_R18G,,,HUMAN_REVIEWED,
333,TOOLS_TOYS_MACHINES,,NONHUMAN_TENTACLE_TRANSFORMATION,HUMAN_REVIEWED,性具としての閲覧を優先、触手意匠を副経路。
1233,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,
1234,PERSON_RELATION_ROLE,,SEXUAL_ACTIVITY_STIMULATION>COOPERATIVE_MULTI_ACT,HUMAN_REVIEWED,関係/参加者構成が主題。年齢適格性は別レイヤー。
1235,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,
1236,SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,SEXUAL_ACTIVITY_STIMULATION>IMPLIED_GESTURE,HUMAN_REVIEWED,`事後` を扱うため時間軸を絶頂と分離。
2028,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,,HUMAN_REVIEWED,
2072,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,
2504,BONDAGE_BDSM_DOMINATION,BONDAGE_STATE,NONHUMAN_TENTACLE_TRANSFORMATION,HUMAN_REVIEWED,植物素材は副次、拘束が主題。
44,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,
1227,,,,REVIEW_REQUIRED,`cum on fourth wall` は物理付着/メタ演出のどちらを主閲覧にするか要追加確認。
256,SEXUAL_ACTIVITY_STIMULATION,COOPERATIVE_MULTI_ACT,PERSON_RELATION_ROLE,HUMAN_REVIEWED,
2380,PERSON_RELATION_ROLE,,,HUMAN_REVIEWED,年齢制限参照。Prompt利用可否は別レイヤー。
165,CONTACT_INSERTION_BODY_SITE,ANAL_SITE,SEXUAL_ACTIVITY_STIMULATION>LOCAL_STIMULATION,HUMAN_REVIEWED,
1705,META_RATING,,,HUMAN_REVIEWED,
81,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,,HUMAN_REVIEWED,
251,PERSON_RELATION_ROLE,,SEXUAL_ACTIVITY_STIMULATION>COOPERATIVE_MULTI_ACT,HUMAN_REVIEWED,
2375,PERSON_RELATION_ROLE,,,HUMAN_REVIEWED,年齢制限参照。Prompt利用可否は別レイヤー。
630,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,
634,BONDAGE_BDSM_DOMINATION,RESTRAINT_DEVICE,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,
2063,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,
1499,BODY_ANATOMY,BODY_ADORNMENT_MARK,BODY_ANATOMY>FEMALE_GENITAL,AUTO_INHERITED_ALIAS,
2153,SITUATION_SCENE,,,HUMAN_REVIEWED,
2622,NONHUMAN_TENTACLE_TRANSFORMATION,,,AUTO_INHERITED_ALIAS,
1517,CONTACT_INSERTION_BODY_SITE,OTHER_BODY_SITE,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,AUTO_INHERITED_ALIAS,
848,CONTACT_INSERTION_BODY_SITE,FEMALE_GENITAL_SITE,,HUMAN_REVIEWED,
2053,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,
1307,FLUID_EXCRETION_SOILING,,,AUTO_INHERITED_ALIAS,
2784,BODY_ANATOMY,BREAST_NIPPLE,,AUTO_INHERITED_ALIAS,
491,NONHUMAN_TENTACLE_TRANSFORMATION,,CONTACT_INSERTION_BODY_SITE>GENERAL_INSERTION,HUMAN_REVIEWED,結節を伴う挿入は非人間系の自然な閲覧入口を暫定優先。
1206,NONHUMAN_TENTACLE_TRANSFORMATION,,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,
1483,CONTACT_INSERTION_BODY_SITE,MULTIPLE_DEEP_INSERTION,CONTACT_INSERTION_BODY_SITE>FEMALE_GENITAL_SITE,AUTO_INHERITED_ALIAS,
1125,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,
1058,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,
1358,NUDITY_CLOTHING_EXPOSURE,COVERED_CONCEALED,BODY_ANATOMY>BREAST_NIPPLE,AUTO_INHERITED_ALIAS,
1398,BONDAGE_BDSM_DOMINATION,FORCE_NONCONSENT,,AUTO_INHERITED_ALIAS,
374,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,
1077,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
1490,FLUID_EXCRETION_SOILING,,,AUTO_INHERITED_ALIAS,
1045,SITUATION_SCENE,,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,競争という状況差分が検索意図の中心。
1126,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,
