global_row,canonical,classification_status,primary_path,secondary_paths,confidence,classification_reason,source_batch,source_global_row,correction_ids
73,2022,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,73,[]
74,2023,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,74,[]
75,2024,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,75,[]
76,2024_attempted_assassination_of_donald_trump,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,76,[]
77,2024_niconico_cyberattack,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,77,[]
78,2024_pokemon_teraleak,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,78,[]
79,2025,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,79,[]
80,2026,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,80,[]
81,25-ji_nightcord_de._(project_sekai),PROPOSED,PERSON_COUNT,[],MEDIUM,人物・役柄・部隊/グループとして探す。,1,81,[]
82,2_fuel_4_ammo_11_steel,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,82,[]
83,2b_(nier:automata)_(cosplay),PROPOSED,CLOTHING/COSTUME,[],HIGH,明示的なコスプレ衣装として探す。,1,83,[]
84,2boys,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,84,[]
85,2d_dating,PROPOSED,ACTION_CONTACT/INTERACTION,[],MEDIUM,行為・接触・活動として探す。,1,85,[]
86,2girls,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,86,[]
87,2koma,PROPOSED,STYLE_QUALITY_META,[],HIGH,漫画・コマ構成という画面形式として探す。,1,87,[]
88,2nd_generation_(hololive),PROPOSED,PERSON_COUNT,[],MEDIUM,人物・役柄・部隊/グループとして探す。,1,88,[]
89,2nd_live_tour_~blooming_with_ooo~,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,89,[]
90,2others,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,90,[]
91,39,PROPOSED,TEXT_SYMBOL/TEXT,[],MEDIUM,数字表示として文字から探す。,1,91,[]
92,3:,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,92,[]
93,3;,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,93,[]
94,3_3,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,94,[]
95,3boys,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,95,[]
96,3d,PROPOSED,STYLE_QUALITY_META,[],HIGH,画風・表現形式として探す。,1,96,[]
97,3d_background,PROPOSED,PLACE_BACKGROUND,"[""STYLE_QUALITY_META""]",HIGH,背景を主に探し、3D表現は副経路。,1,97,[]
98,3d_glasses,PROPOSED,CLOTHING/ACCESSORY,[],HIGH,眼鏡・アイウェアとして衣装アクセサリから探す。,1,98,[]
99,3dio,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,日用品・小物・楽器/カード類として探す。,1,99,[]
100,3girls,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,100,[]
101,3koma,PROPOSED,STYLE_QUALITY_META,[],HIGH,漫画・コマ構成という画面形式として探す。,1,101,[]
102,3others,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,102,[]
103,3rd_live_tour_try_tri_unity!!!,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,103,[]
104,404_(girls'_frontline),PROPOSED,PERSON_COUNT,[],MEDIUM,人物・役柄・部隊/グループとして探す。,1,104,[]
105,404_logo_(girls'_frontline),PROPOSED,TEXT_SYMBOL/SYMBOL,[],HIGH,ロゴ・紋章・マークとして探す。,1,105,[]
106,40mm_grenade,PROPOSED,OBJECT_PROP/WEAPON,[],HIGH,武器・戦闘装備として探す。,1,106,[]
107,416_day,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,107,[]
108,4boys,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,108,[]
109,4girls,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,109,[]
110,4koma,PROPOSED,STYLE_QUALITY_META,[],HIGH,漫画・コマ構成という画面形式として探す。,1,110,[]
111,4others,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,111,[]
112,4th_live_dream_~bloom_the_dream_believers~,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,112,[]
113,4th_match_flame_(e.g.o),PROPOSED,CLOTHING/COSTUME,"[""OBJECT_PROP/WEAPON""]",MEDIUM,E.G.O装備/衣装を主、武装要素を副にする。,1,113,[]
114,5-string_bass_guitar,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,日用品・小物・楽器/カード類として探す。,1,114,[]
115,500_dollar_four_foot_tall_mareep_(meme),PROPOSED,STYLE_QUALITY_META,[],HIGH,ミーム・定型画面表現として探す。,1,115,[]
116,501st_joint_fighter_wing,PROPOSED,PERSON_COUNT,[],MEDIUM,人物・役柄・部隊/グループとして探す。,1,116,[]
117,501st_joint_fighter_wing_(emblem),PROPOSED,TEXT_SYMBOL/SYMBOL,[],HIGH,ロゴ・紋章・マークとして探す。,1,117,[]
118,502nd_joint_fighter_wing,PROPOSED,PERSON_COUNT,[],MEDIUM,人物・役柄・部隊/グループとして探す。,1,118,[]
119,5boys,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,119,[]
120,5girls,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,120,[]
121,5koma,PROPOSED,STYLE_QUALITY_META,[],HIGH,漫画・コマ構成という画面形式として探す。,1,121,[]
122,5others,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,122,[]
123,5th_live_tour_~4pair_power_spread!!!!~,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,123,[]
124,6+boys,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,124,[]
125,6+girls,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,125,[]
126,6+others,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,126,[]
127,666,PROPOSED,TEXT_SYMBOL/TEXT,[],MEDIUM,数字表示として文字から探す。,1,127,[]
128,67_(meme),PROPOSED,STYLE_QUALITY_META,[],HIGH,ミーム・定型画面表現として探す。,1,128,[]
129,69,PROPOSED,ACTION_CONTACT/INTIMATE,[],HIGH,性的行為またはその前後の文脈として探す。,1,129,[]
130,69_(meme),PROPOSED,STYLE_QUALITY_META,[],HIGH,ミーム・定型画面表現として探す。,1,130,[]
131,6_9,PROPOSED,EXPRESSION_EMOTION,[],HIGH,目の表情・見え方として探す。,1,131,[]
132,6koma,PROPOSED,STYLE_QUALITY_META,[],HIGH,漫画・コマ構成という画面形式として探す。,1,132,[]
133,6th_live_dream_~bloom_garden_party~,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,133,[]
134,7-string_guitar,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,日用品・小物・楽器/カード類として探す。,1,134,[]
135,777,PROPOSED,TEXT_SYMBOL/TEXT,[],MEDIUM,数字表示として文字から探す。,1,135,[]
136,777_(nikke),PROPOSED,PERSON_COUNT,[],MEDIUM,人物・役柄・部隊/グループとして探す。,1,136,[]
137,7_colored_flowers_(deltarune),PROPOSED,LIVING_NATURE/PLANT,"[""COLOR_APPEARANCE""]",MEDIUM,花を主、色の特徴を副にする。,1,137,[]
138,8-ball,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,日用品・小物・楽器/カード類として探す。,1,138,[]
139,8-bit,PROPOSED,STYLE_QUALITY_META,[],HIGH,画風・表現形式として探す。,1,139,[]
140,9/11,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,140,[]
141,9a-91,PROPOSED,OBJECT_PROP/WEAPON,[],HIGH,武器・戦闘装備として探す。,1,141,[]
142,9s_(nier:automata)_(cosplay),PROPOSED,CLOTHING/COSTUME,[],HIGH,明示的なコスプレ衣装として探す。,1,142,[]
143,:/,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,143,[]
144,:3,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,144,[]
145,:<,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,145,[]
146,:>,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,146,[]
147,:>=,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,147,[]
148,:c,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,148,[]
149,:d,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,149,[]
150,:i,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,150,[]
151,:o,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,151,[]
152,:p,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,152,[]
153,:q,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,153,[]
154,:s,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,154,[]
155,:t,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,155,[]
156,:v,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,156,[]
157,:|,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,157,[]
158,;(,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,158,[]
159,;),PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,159,[]
160,;/,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,160,[]
161,;3,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,161,[]
162,;<,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,162,[]
163,;>,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,163,[]
164,;d,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,164,[]
165,;i,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,165,[]
166,;o,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,166,[]
167,;p,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,167,[]
168,;q,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,168,[]
169,;t,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,169,[]
170,;|,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,170,[]
171,<o>_<o>,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,171,[]
172,<|>_<|>,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,172,[]
173,=_=,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,173,[]
174,>3<,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,174,[]
175,>:(,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,175,[]
176,>:),PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,176,[]
177,>:p,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,177,[]
178,>_<,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,178,[]
179,>_o,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,179,[]
180,?,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,180,[]
181,??,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,181,[]
182,?_block,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,ゲーム内の物体・ブロックとして探す。,1,182,[]
183,@_(symbol),PROPOSED,TEXT_SYMBOL/SYMBOL,[],HIGH,画面内の記号として探す。,1,183,[]
184,@_@,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,184,[]
185,\(^o^)/,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,185,[]
186,\\//,PROPOSED,TEXT_SYMBOL/SYMBOL,[],MEDIUM,記号列としての登録形を保守的に記号入口へ置く。意味が追加確認できれば再監査対象。,1,186,[]
187,\m/,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,手のサイン・しぐさとして探す。,1,187,[]
188,\n/,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,手のサイン・しぐさとして探す。,1,188,[]
189,\o/,PROPOSED,POSE_MOVEMENT,[],HIGH,両腕を上げる姿勢として探す。,1,189,[]
190,\||/,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,190,[]
191,^3^,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,191,[]
192,^^^,PROPOSED,TEXT_SYMBOL/SYMBOL,[],MEDIUM,記号列としての登録形を保守的に記号入口へ置く。意味が追加確認できれば再監査対象。,1,192,[]
193,^_^,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,193,[]
194,^q^,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,194,[]
195,^v^,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,195,[]
196,a-10_thunderbolt_ii,PROPOSED,OBJECT_PROP/VEHICLE,[],HIGH,乗り物として探す。,1,196,[]
197,a-line_dress,PROPOSED,CLOTHING/EVERYDAY,[],MEDIUM,日常衣類・履物として探す。,1,197,[]
198,a-pose,PROPOSED,POSE_MOVEMENT,[],HIGH,姿勢・身体動作として探す。,1,198,[]
199,a-rise,PROPOSED,PERSON_COUNT,[],MEDIUM,人物・役柄・部隊/グループとして探す。,1,199,[]
200,a2_(nier:automata)_(cosplay),PROPOSED,CLOTHING/COSTUME,[],HIGH,明示的なコスプレ衣装として探す。,1,200,[]
201,a5m,PROPOSED,OBJECT_PROP/VEHICLE,[],HIGH,乗り物として探す。,1,201,[]
202,a6m_zero,PROPOSED,OBJECT_PROP/VEHICLE,[],HIGH,乗り物として探す。,1,202,[]
203,a7m_reppuu,PROPOSED,OBJECT_PROP/VEHICLE,[],HIGH,乗り物として探す。,1,203,[]
204,a_(phrase),PROPOSED,TEXT_SYMBOL/TEXT,[],HIGH,語句・文章要素として探す。,1,204,[]
205,a_baoa_qu,PROPOSED,PLACE_BACKGROUND,[],MEDIUM,場所・背景・空間として探す。,1,205,[]
206,a_certain_high_school_gym_uniform,PROPOSED,CLOTHING/UNIFORM,[],HIGH,学校指定の服装として制服入口から探す。,1,206,[]
207,a_certain_high_school_uniform,PROPOSED,CLOTHING/UNIFORM,[],HIGH,制服・ユニフォームとして探す。,1,207,[]
208,a_flat_chest_is_a_status_symbol,PROPOSED,STYLE_QUALITY_META,"[""BODY_PART""]",MEDIUM,貧乳を題材にした定型ネタ・場面概念で、文字そのものより画面表現を主にする。,1,208,[]
209,a_grim_reminder,PROPOSED,STYLE_QUALITY_META,[],HIGH,ミーム・定型画面表現として探す。,1,209,[]
210,a_katakana_sign_(sarazanmai),PROPOSED,TEXT_SYMBOL/TEXT,[],HIGH,文字看板として探す。,1,210,[]
211,a_world_underneath,PROPOSED,PLACE_BACKGROUND,[],MEDIUM,場所・背景・空間として探す。,1,211,[]
212,aa-12,PROPOSED,OBJECT_PROP/WEAPON,[],HIGH,武器・戦闘装備として探す。,1,212,[]
213,aac_honey_badger,PROPOSED,OBJECT_PROP/WEAPON,[],HIGH,武器・戦闘装備として探す。,1,213,[]
214,abacus,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,日用品・小物・楽器/カード類として探す。,1,214,[]
215,abandoned,PROPOSED,PLACE_BACKGROUND,[],MEDIUM,場所・背景・空間として探す。,1,215,[]
216,abbreviated_karakusa,PROPOSED,COLOR_APPEARANCE,[],HIGH,模様として探す。,1,216,[]
217,abdomen_tail,PROPOSED,BODY_PART,[],MEDIUM,身体特徴・年齢/形態の状態変化として探す。,1,217,[]
218,abduction,PROPOSED,ACTION_CONTACT/INTERACTION,[],MEDIUM,行為・接触・活動として探す。,1,218,[]
219,abhaya_mudra,PROPOSED,ACTION_CONTACT/INTERACTION,[],MEDIUM,行為・接触・活動として探す。,1,219,[]
220,abigail_williams_(fate)_(cosplay),PROPOSED,CLOTHING/COSTUME,[],HIGH,明示的なコスプレ衣装として探す。,1,220,[]
221,ability_card_(touhou),PROPOSED,OBJECT_PROP/DAILY,[],HIGH,日用品・小物・楽器/カード類として探す。,1,221,[]
222,abortion_mark,PROPOSED,TEXT_SYMBOL/SYMBOL,[],HIGH,ロゴ・紋章・マークとして探す。,1,222,[]
223,above-cleavage_cutout,PROPOSED,CLOTHING/ACCESSORY,"[""BODY_PART""]",HIGH,衣服のカットアウト形状を主、胸部を副にする。,1,223,[]
224,above_clouds,PROPOSED,PLACE_BACKGROUND,[],HIGH,雲より上という背景・空間として探す。,1,224,[]
225,abs,PROPOSED,BODY_PART,[],MEDIUM,身体特徴・年齢/形態の状態変化として探す。,1,225,[]
226,abs_cutout,PROPOSED,CLOTHING/ACCESSORY,"[""BODY_PART""]",HIGH,衣服のカットアウト形状を主、腹部を副にする。,1,226,[]
