row_id,canonical_tag,category,post_count,current_display_ja,current_search_ja,current_status,audit_verdict,proposed_display_ja,proposed_search_ja,reason,confidence,evidence_url,audit_method
I70-036024,alien_stage,Copyright,15542,异形舞台,,REVIEW_REQUIRED,FIX_BOTH,ALIEN STAGE,ALIEN STAGE,Current display is a Chinese translation rather than the canonical property identity; preserve canonical brand pending external confirmation of Japanese localization.,MEDIUM,,source_evidence+triage
I70-036026,shingeki_no_kyojin,Copyright,15343,進撃の巨人,,REVIEW_REQUIRED,KEEP,,,Current display matches the established Japanese title and source evidence.,MEDIUM,,source_evidence+triage
I70-036027,code_geass,Copyright,15086,コードギアス,,REVIEW_REQUIRED,KEEP,,,Current series-level display is appropriate and source search evidence is consistent.,MEDIUM,,source_evidence+triage
I70-036028,mahou_shoujo_no_majo_saiban,Copyright,14889,魔法少女ノ魔女裁判,,REVIEW_REQUIRED,KEEP,,,Current display exactly matches source Japanese candidate.,MEDIUM,,source_evidence+triage
I70-036032,dc_comics,Copyright,14643,DCコミック,,REVIEW_REQUIRED,FIX_BOTH,DCコミックス,DCコミックス | DCコミック,Source evidence contains the conventional plural Japanese company/property rendering; current singular form is less standard.,MEDIUM,,source_evidence+triage
I70-036033,lucky_star,Copyright,14632,らき☆すた,,REVIEW_REQUIRED,KEEP,,,Current display matches established Japanese title and source evidence.,MEDIUM,,source_evidence+triage
I70-036035,neptune_(series),Copyright,14429,ネプテューヌ,,REVIEW_REQUIRED,NEEDS_EXTERNAL_CHECK,ネプテューヌシリーズ,ネプテューヌシリーズ | ネプテューヌ,Canonical is explicitly a series tag; verify whether product display should use series suffix or common short franchise name.,MEDIUM,,source_evidence+triage
I70-036037,higurashi_no_naku_koro_ni,Copyright,14008,ひぐらし,,REVIEW_REQUIRED,FIX_BOTH,ひぐらしのなく頃に,ひぐらしのなく頃に | ひぐらし,Current display is only an abbreviation; source evidence contains the full Japanese title.,MEDIUM,,source_evidence+triage
I70-036038,saibou_shinkyoku,Copyright,14001,さぼしき,,REVIEW_REQUIRED,FIX_BOTH,細胞神曲,細胞神曲 | さぼしき,Current display is only a shorthand; source candidate evidence contains the full Japanese title.,MEDIUM,,source_evidence+triage
I70-036045,ranma_1/2,Copyright,13626,らんま1/2,,REVIEW_REQUIRED,KEEP,,,Current display matches established Japanese title form and source evidence.,MEDIUM,,source_evidence+triage
I70-036047,ensemble_stars!,Copyright,13254,あんさんぶるスターズ,,REVIEW_REQUIRED,FIX_BOTH,あんさんぶるスターズ！,あんさんぶるスターズ！ | あんスタ,Canonical includes the original exclamation-mark identity; current display drops it and source evidence contains the punctuated title.,MEDIUM,,source_evidence+triage
I70-036048,darkstalkers,Copyright,13242,ダークストーカーズ,,REVIEW_REQUIRED,NEEDS_EXTERNAL_CHECK,,,Japanese localization/franchise naming differs from the English Darkstalkers umbrella; verify whether ヴァンパイア or a bilingual surface best matches canonical scope.,LOW,,source_evidence+triage
I70-036049,cho_kaguya-hime!,Copyright,13201,超かぐや姫!,,REVIEW_REQUIRED,NEEDS_EXTERNAL_CHECK,超かぐや姫！,超かぐや姫！,Current text is likely correct except punctuation normalization; verify official full-width punctuation.,MEDIUM,,source_evidence+triage
I70-036050,assault_lily,Copyright,13155,アサルトリリィ,,REVIEW_REQUIRED,KEEP,,,Current display matches established Japanese property title and source evidence.,MEDIUM,,source_evidence+triage
I70-036055,eiyuu_densetsu,Copyright,12902,英雄伝説,,REVIEW_REQUIRED,KEEP,,,Current display matches established Japanese franchise title and source evidence.,MEDIUM,,source_evidence+triage
I70-036058,rwby,Copyright,12800,rwby,,REVIEW_REQUIRED,FIX_BOTH,RWBY,RWBY,Canonical brand is all-uppercase; current display incorrectly lowercases it.,MEDIUM,,source_evidence+triage
I70-036059,monster_hunter_(series),Copyright,12409,モンスターハンター,,REVIEW_REQUIRED,KEEP,,,Current series display matches Japanese franchise naming and source evidence.,MEDIUM,,source_evidence+triage
I70-036061,nikki_(series),Copyright,12274,ニキシリーズ,,REVIEW_REQUIRED,NEEDS_EXTERNAL_CHECK,ニキシリーズ,ニキシリーズ,Current display may already be correct for the umbrella tag; verify official/common Japanese franchise naming across entries.,MEDIUM,,source_evidence+triage
I70-036062,umineko_no_naku_koro_ni,Copyright,12267,うみねこのなく頃に,,REVIEW_REQUIRED,KEEP,,,Current display matches established Japanese title and source evidence.,MEDIUM,,source_evidence+triage
I70-036064,cookie_(touhou),Copyright,12161,クッキー☆,,REVIEW_REQUIRED,KEEP,,,Current display is the established identity of the Touhou-derived Cookie☆ copyright tag; source search evidence supports it.,MEDIUM,,source_evidence+triage
I70-036080,atelier_(series),Copyright,10890,アトリエ,,REVIEW_REQUIRED,NEEDS_EXTERNAL_CHECK,アトリエシリーズ,アトリエシリーズ | アトリエ,Canonical is explicitly a series tag; verify whether series suffix should be visible in display.,MEDIUM,,source_evidence+triage
I70-036081,guilty_gear_strive,Copyright,10791,ギルティギアストライヴ,,REVIEW_REQUIRED,NEEDS_EXTERNAL_CHECK,ギルティギア ストライヴ,ギルティギア ストライヴ | GUILTY GEAR -STRIVE-,Current Japanese rendering is plausible while official branding is Latin; verify Japanese display normalization/spacing policy.,MEDIUM,,source_evidence+triage
I70-036090,hololive_dev_is,Copyright,10276,ホロライブDEV_IS,,REVIEW_REQUIRED,NEEDS_EXTERNAL_CHECK,hololive DEV_IS,hololive DEV_IS | ホロライブDEV_IS,Official branding uses hololive DEV_IS but Japanese-first display policy may justify phonetic ホロライブ; verify consistency before changing.,MEDIUM,,source_evidence+triage
