identity_key,general_path,general_status,general_confidence,token_count
argyle_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
argyle_scarf,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arm_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arm_bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arm_cuffs,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arm_garter,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arm_holster,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arm_piercing,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arm_pouch,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arm_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arm_scarf,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arm_scrunchie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arm_sling,CLOTHING/ACCESSORY,PROPOSED,MEDIUM,2
arm_strap,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
armband,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
armlet,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
arrow_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
arrow_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
arrow_symbol_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,4
artist_glove,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
award_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
back_bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
back_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bag_charm,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bamboo_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
banana_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bandaid_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bandaid_on_clothes,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bandana,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
bandana_around_arm,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bandana_around_neck,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bandana_over_mouth,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bandolier,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
bangle,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
baozi_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
barbell_piercing,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
barefoot_sandals_(jewelry),CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bat_brooch,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bat_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bat_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bat_hat_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bat_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bat_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
battle_effectiveness_award,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bead_anklet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bead_armlet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bead_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bead_bracelet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bead_choker,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bead_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bead_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bear_charm,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bear_ear_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bear_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bee_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bell_bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bell_ear_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bell_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bell_piercing,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
belly_chain,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
belt_bag,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
belt_bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
belt_buckle,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
belt_charm,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
belt_pouch,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
belt_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
belt_slit,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bicep_strap,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bicorne,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
bicycle_helmet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bindi,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
bird_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bird_hat_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bird_pin,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
birthday_glasses,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
birthday_sash,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black-framed_eyewear,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
black_arm_garter,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
black_armband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_armlet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_ascot,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_assault_visor,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
black_bandages,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_bandana,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_bonnet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_bowtie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_bracer,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_bridal_gauntlets,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
black_choker,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_cross_tie,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
black_crown,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_garter,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_garter_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
black_garter_straps,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
black_gauntlets,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_headband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_headdress,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_headscarf,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_helm,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_helmet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_hijab,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_lace_trim,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
black_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_sash,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_scarf,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_scrunchie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_thighlet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_tiara,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_trim,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_veil,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
black_visor_cap,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
black_wrist_cuffs,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
blanket_veil,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue-framed_eyewear,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
blue-tinted_eyewear,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
blue_armband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_ascot,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_bandana,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_bonnet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_bowtie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_choker,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_cross_tie,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
blue_crown,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_garter,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_garter_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
blue_garter_straps,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
blue_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_headband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_headdress,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_headscarf,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_helmet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_hijab,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_sash,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_scarf,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_scrunchie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_tiara,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_trim,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_veil,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_visor,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
blue_visor_cap,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
blue_wrist_cuffs,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
blueberry_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
boater_hat,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bobby_pin,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
body_chain,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
body_jewelry,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bolkki,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
bolt_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bomb_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bone_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bone_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bone_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bone_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bonnet,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
boost_buckle,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
boot_straps,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
borrowed_accessory,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
boulder_badge,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
boutonniere,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
bow_button,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bow_choker,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bow_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bow_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bow_headband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bow_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bow_on_wing,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
bow_ring,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bracelet,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
bracer,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
bridal_veil,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bridge_piercing,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
broken_eyewear,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
broken_goggles,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
broken_halo,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
broken_heart_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,4
broken_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
brooch,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
brown-framed_eyewear,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
brown-tinted_eyewear,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
brown_armband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
brown_bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
brown_bracelet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
brown_choker,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
brown_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
brown_halo,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
brown_headband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
brown_headdress,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
brown_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
brown_scrunchie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
brown_wrist_cuffs,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
buckle,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
bullet_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bullet_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bun_cover,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
bunny_headphones,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
burger_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
burger_king_crown,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
butterfly_brooch,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
butterfly_choker,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
butterfly_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
butterfly_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
butterfly_hat_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
butterfly_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
butterfly_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
butterfly_ring,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
button_badge,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
button_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
buttoned_cuffs,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cake_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
calflet,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
candy_apple_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,4
candy_cane_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,4
candy_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
cape_clasp,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
capotain,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
captive_bead_ring,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
card_holster,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
card_pendant,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
carrot_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
carrot_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
carrot_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
carrot_pin,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cat-shaped_eyewear,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
cat_brooch,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cat_choker,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cat_ear_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
cat_ear_headphones,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
cat_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cat_eye-framed_eyewear,CLOTHING/ACCESSORY,PROPOSED,HIGH,4
cat_face_sticker,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
cat_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
cat_hat,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cat_hat_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
cat_helmet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cat_hood,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cat_mask,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cat_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cat_o-ring,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
cat_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cat_pendant,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cat_zipper,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
cavalier_hat,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
center_cross_lace,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
center_frills,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
chain_around_arm,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
chain_around_neck,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
chain_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
chain_bracelet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
chain_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
chain_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
chain_headband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
chain_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
chain_necktie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
championship_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
changmingsuo,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
chaperon_hat,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
character_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
character_hat,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
character_hat_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
character_hood,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
character_mask,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
character_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkerboard_cookie_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,4
checkered_armband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_ascot,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_bandana,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_bowtie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_bracelet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_hat,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_neckerchief,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_necktie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_sash,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_scarf,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
checkered_wristband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
