special_id,old_body_facet_id,old_body_facet_ja,new_body_facet_id,new_body_facet_ja,audit_subintent,audit_status
168,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
192,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
200,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
264,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
266,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
267,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
268,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
300,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
339,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
407,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
601,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
644,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
692,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
710,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
756,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
757,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
763,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
775,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
778,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
787,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
795,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
839,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
857,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
877,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
911,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
922,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
935,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
948,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
962,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1009,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1035,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1074,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1123,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1144,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1158,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1216,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1286,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1316,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1317,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1318,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1319,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1344,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
1349,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1350,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1355,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1357,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1390,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1391,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1400,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1459,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1461,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1466,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1475,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1562,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1580,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1581,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1582,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1583,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1629,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1632,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1636,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1650,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1651,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
1652,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
1653,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
1654,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
1671,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
1809,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BOTH,RESOLVED
1810,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
2005,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
2069,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
2071,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
2140,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
2359,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
2523,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
2540,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
2638,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
2660,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
2689,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
2690,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
2702,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
2767,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
