lane_local_index,review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
12,35,6+others,YES,主対象以外に6人以上の人物がいる人数構成,BROWSE_WORTHY,PEOPLE_COUNT,CORE,人数・群集構成として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
13,38,erection,YES,陰茎が勃起している状態,BROWSE_WORTHY,BODY_SITE,CORE,男性器の状態として探すのが自然,,,,,,,[],"[""MALE_GENITAL""]",[],NO,,CHECKED,[],
14,41,men's_toilet_symbol,YES,男性用トイレを示すピクトグラム・記号,BROWSE_WORTHY,TEXT_SYMBOL,CORE,視覚記号として探すのが自然,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,CHECKED,[],
15,44,pulley,YES,滑車,BROWSE_WORTHY,TOOL_OBJECT,CORE,道具・機械部品としてシーンに置く対象,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
16,47,stretch_action,YES,身体を伸ばすストレッチ動作,BROWSE_WORTHY,POSE_POSITION,CORE,身体の動き・姿勢として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
17,50,media_player_interface,YES,動画・音楽プレイヤーの再生ボタンやシークバー等の画面UI表現,BROWSE_WORTHY,COMPOSITION_CAMERA,CORE,画面上に重なる表示・構成要素として探すのが比較的自然,,,,,,,[],[],[],YES,UI・画面オーバーレイを直接表す既存トップレベル入口がなく、構図だけでは意味がずれる,CHECKED,[],
18,53,kawaii_kaiwai,YES,楽曲「Kawaii Kaiwai」やその映像・流行に由来する固有参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://natalie.mu/music/news/632639""]",
19,56,majima_everywhere,YES,『龍が如く 極』の「どこでも真島」に由来する固有ゲーム内システム・ミーム,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://knowyourmeme.com/memes/majima-everywhere""]",
20,59,snowflake_liliput_(idolmaster),YES,『アイドルマスター』の固有衣装「Snowflake Liliput」,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://www.theidolmaster.info/special-idols/mizutani-eri""]",
21,62,vibrator,YES,性的刺激に使うバイブレーター,BROWSE_WORTHY,TOOL_OBJECT,CORE,性具という小物・道具として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
22,65,elbows_on_knees,YES,肘を膝の上に置く姿勢,BROWSE_WORTHY,POSE_POSITION,CORE,腕と脚の配置を含む姿勢そのものが主要な視覚要素,,,,,,,[],[],[],NO,,CHECKED,[],
23,68,unworn_bloomers,YES,着用されず脱いだ状態で描かれるブルマー,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣類とその非着用状態として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
24,71,military_operator,YES,軍事・戦術任務に従事するオペレーター／兵士役の人物,BROWSE_WORTHY,RELATION_ROLE,CORE,軍事的な人物役割として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
25,74,neptune_symbol,YES,海王星を表す天文学・占星術の記号,BROWSE_WORTHY,TEXT_SYMBOL,CORE,記号として探すのが自然,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,CHECKED,[],
26,77,biting_neck,YES,相手の首を噛む行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,噛む接触行為として探すのが自然,BODY_SITE,SUPPORTING,首という身体部位も視覚的に中心,,,,"[""ACTION_CONTACT/INTERACTION""]",[],[],NO,,CHECKED,[],
27,80,vivienne_westwood,YES,ファッションブランド「Vivienne Westwood」に由来する意匠・アイテム参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
28,83,wet_kimono,YES,濡れている着物,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,着物とその濡れた衣服状態が主要な見た目,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
29,86,legs_together,YES,両脚をそろえた姿勢,BROWSE_WORTHY,POSE_POSITION,CORE,脚の配置そのものを指定するポーズ,,,,,,,[],[],[],NO,,CHECKED,[],
30,89,diagonal-striped_bowtie,YES,斜め縞模様の蝶ネクタイ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,蝶ネクタイという服飾小物から探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
31,92,flipped_hair,YES,外側などに跳ね返った髪の形,BROWSE_WORTHY,HAIR_FACE,CORE,髪型・毛先の形状として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
32,95,bycocket,YES,前方が尖り後ろのつばが反り上がる中世風の帽子「バイコケット」,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,帽子の種類として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/Bycocket""]",
33,98,blue_tongue,YES,青い舌,BROWSE_WORTHY,BODY_SITE,CORE,舌という身体部位の見た目が中心,,,,,,,[],[],[],NO,,CHECKED,[],
34,101,pool_party_(league),YES,『League of Legends』の「Pool Party」スキン系列・テーマ,MIXED,CLOTHING_EXPOSURE,CORE,水着・夏向け衣装テーマとして視覚的にも探せる,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,RESEARCHED,"[""https://bo3.gg/fr/lol/articles/league-of-legends-pool-party-skins""]",
35,104,poverty,YES,貧困状態を表す場面・人物設定,BROWSE_WORTHY,,,,,,,,,,[],[],[],YES,社会・生活状態を直接表す既存トップレベル入口がなく、役割や背景だけでは貧困という概念を十分に表せない,CHECKED,[],
36,107,red_queen_(sword),YES,『Devil May Cry』でネロが使う固有武器「Red Queen」,MIXED,TOOL_OBJECT,CORE,剣・武器として視覚的に探せる,,,,,,,"[""OBJECT_PROP/WEAPON""]",[],[],NO,,RESEARCHED,"[""https://devilmaycry.fandom.com/wiki/Red_Queen""]",
37,110,no_necktie,YES,ネクタイを着けていない服装状態,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の有無・着用状態として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
38,113,yoshi_egg,YES,『ヨッシー』シリーズの特徴的な斑点模様の卵,MIXED,TOOL_OBJECT,CORE,画面内の固有小物として探せる,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
39,116,underground,YES,地下・地中の場所や空間,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,場所・環境として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
40,119,oversplit,YES,通常の開脚より大きく脚を開いたオーバースプリット姿勢,BROWSE_WORTHY,POSE_POSITION,CORE,脚の開き方を指定するポーズとして探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
41,122,holding_hair_tie,YES,ヘアゴムを手に持っている状態,BROWSE_WORTHY,ACTION_CONTACT,CORE,小物を持つ行為として探すのが自然,TOOL_OBJECT,SUPPORTING,ヘアゴム自体も意図的に置く小物,,,,"[""ACTION_CONTACT/OBJECT_USE"", ""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
42,125,lap_pillow,YES,他人の膝を枕にして頭を乗せる膝枕,BROWSE_WORTHY,POSE_POSITION,CORE,二人の身体配置が主要な視覚,RELATION_ROLE,SUPPORTING,親密な二者関係の場面としても探し得る,,,,[],[],[],NO,,CHECKED,[],
43,128,balding,YES,髪が薄くなっている・禿げかけている状態,BROWSE_WORTHY,HAIR_FACE,CORE,頭髪の外観として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
44,131,sea_cucumber,YES,ナマコ,BROWSE_WORTHY,LIVING,CORE,生物としてシーンに加える対象,,,,,,,"[""LIVING_NATURE/CREATURE""]",[],[],NO,,CHECKED,[],
45,134,strawberry_bag,YES,イチゴを意匠にしたバッグ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,バッグという身につける服飾小物として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
46,137,ueda_masashi_(style),YES,漫画家・植田まさしの作風を模した絵柄,BROWSE_WORTHY,STYLE_PROCESSING,CORE,特定作家風の描画スタイルとして探すのが自然,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/Kobo,_the_Li%27l_Rascal""]",
47,140,notched_ear,YES,耳の縁が欠けた・切れ込みのある形状,BROWSE_WORTHY,HAIR_FACE,CORE,耳を含む顔まわりの外観特徴として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
48,143,youtube_username,YES,YouTubeのユーザー名が画面内に表示された表現,BROWSE_WORTHY,TEXT_SYMBOL,CORE,表示文字として探すのが自然,,,,,,,"[""TEXT_SYMBOL/TEXT""]",[],[],NO,,CHECKED,[],
49,146,toy_car,YES,おもちゃの車,BROWSE_WORTHY,TOOL_OBJECT,CORE,玩具・小物としてシーンに置く対象,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
50,149,critical_hit,YES,ゲーム等の「クリティカルヒット」を示す演出・表示,BROWSE_WORTHY,,,,,,,,,,[],[],[],YES,ゲーム的な状態・戦闘エフェクトを直接表す既存入口がなく、文字や行為だけでは概念を十分に表せない,CHECKED,[],
51,152,star_brooch,YES,星形のブローチ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,身につける装飾品として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
52,155,hooded_bodysuit,YES,フードが付いたボディスーツ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣装の種類として探すのが自然,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,CHECKED,[],
53,158,speckled_areolae,YES,斑点・まだら模様の乳輪,BROWSE_WORTHY,BODY_SITE,CORE,乳輪の外観特徴として探すのが自然,,,,,,,[],"[""BREAST_NIPPLE""]",[],NO,,CHECKED,[],
54,161,ptrd-41,YES,ソ連の対戦車ライフルPTRD-41,MIXED,TOOL_OBJECT,CORE,銃器・武器として視覚的に探せる,,,,,,,"[""OBJECT_PROP/WEAPON""]",[],[],NO,,CHECKED,[],
55,164,lifeguard,YES,監視・救助を担うライフガード役の人物,BROWSE_WORTHY,RELATION_ROLE,CORE,人物の職業・役割として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
56,167,holding_drink,YES,飲み物を手に持つ行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,飲み物を持つ行為として探すのが自然,TOOL_OBJECT,SUPPORTING,飲料自体も場面の小物として意図される,,,,"[""ACTION_CONTACT/OBJECT_USE"", ""OBJECT_PROP/FOOD""]",[],[],NO,,CHECKED,[],
57,170,demon_tail,YES,悪魔を思わせる尻尾,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,人外・悪魔的な身体特徴として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
58,173,oh?_you're_approaching_me?_(meme),YES,『ジョジョの奇妙な冒険』由来の「お前から近づいてくるのか」ミーム,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
59,176,legs_over_head,YES,両脚を頭より上へ持ち上げた姿勢,BROWSE_WORTHY,POSE_POSITION,CORE,脚と上半身の位置関係が主要なポーズ,,,,,,,[],[],[],NO,,CHECKED,[],
60,179,checkered_print,YES,格子状のチェック柄,BROWSE_WORTHY,COLOR_PATTERN_SHAPE,CORE,柄そのものを指定する視覚属性,,,,,,,[],[],[],NO,,CHECKED,[],
61,182,arms_behind_back,YES,両腕を背中側に回した姿勢,BROWSE_WORTHY,POSE_POSITION,CORE,腕の配置そのものを指定するポーズ,,,,,,,[],[],[],NO,,CHECKED,[],
62,185,miniboy,YES,周囲と比べて極端に小さく描かれた男性キャラクター,BROWSE_WORTHY,,,,,,,,,,[],[],[],YES,人物の体格・サイズ差を直接表す既存トップレベル入口がない,RESEARCHED,"[""https://tags.latent.moe/en/t/miniboy""]",
63,188,iei,YES,「iei」という短い固有表記・参照,SEMANTIC_UNRESOLVED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/IEI""]",短い表記で多数の意味があり、このidentityだけではDanbooru上の意図を安全に特定できない
64,191,dvd_cover,YES,DVDパッケージの表紙・ジャケット風の構成,BROWSE_WORTHY,COMPOSITION_CAMERA,CORE,パッケージ表紙としての画面構成を指定する意図が中心,,,,,,,[],[],[],NO,,CHECKED,[],
65,194,j-core,YES,日本発のハードコアテクノ系音楽ジャンル「J-core」,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/J-core""]",
66,197,fur-trimmed_shirt,YES,毛皮・ファーで縁取りされたシャツ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の種類・装飾として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
67,200,gift_box,YES,贈り物用の箱・ギフトボックス,BROWSE_WORTHY,TOOL_OBJECT,CORE,小物としてシーンに置く対象,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
68,203,kirima_syaro_(cosplay),YES,桐間紗路の衣装を再現したコスプレ,MIXED,CLOTHING_EXPOSURE,CORE,キャラクター衣装のコスプレとして視覚的に探せる,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,CHECKED,[],
69,206,double-sided_wrench,YES,両端に工具部を持つ両口レンチ,BROWSE_WORTHY,TOOL_OBJECT,CORE,工具としてシーンに置く対象,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
70,209,jelleton,YES,『Splatoon 3: Side Order』に登場する人工的な敵「Jelleton」,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://splatoonwiki.org/wiki/Jelleton""]",
71,212,alternate_universe,YES,原作とは異なる設定・世界線のオルタナティブユニバース,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
72,215,onikiri_yasutsuna_(fate),YES,『Fate』作品内の固有武器・刀「鬼切安綱」参照,MIXED,TOOL_OBJECT,CORE,刀・武器として視覚的に探せる,,,,,,,"[""OBJECT_PROP/WEAPON""]",[],[],NO,,CHECKED,[],
73,218,blacked_male,YES,黒人男性を性的組み合わせの役割として強調する成人向け概念,BROWSE_WORTHY,RELATION_ROLE,CORE,性的場面における人物属性・役割の組み合わせとして探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
74,221,pee_puddle,YES,尿が水たまり状に溜まった表現,BROWSE_WORTHY,FLUID_EXCRETION,CORE,排尿・尿の視覚表現として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
75,224,cigarette_burn,YES,タバコの火で付けた火傷・焼け跡,BROWSE_WORTHY,BODY_SITE,CORE,身体の損傷状態として探す入口が比較的自然,,,,,,,[],[],"[""INJURY_R18G""]",NO,,CHECKED,[],
76,227,donkey,YES,ロバ,BROWSE_WORTHY,LIVING,CORE,動物としてシーンに加える対象,,,,,,,"[""LIVING_NATURE/CREATURE""]",[],[],NO,,CHECKED,[],
77,230,cinq_association_south_uniform,YES,『Limbus Company』の南部シンク協会の固有制服,MIXED,CLOTHING_EXPOSURE,CORE,制服・衣装として視覚的に探せる,,,,,,,"[""CLOTHING/UNIFORM""]",[],[],NO,,CHECKED,[],
78,233,purple_pajamas,YES,紫色のパジャマ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,パジャマという衣服から探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
79,236,unlimited_shining,YES,『イナズマイレブンGO』の固有チーム「Unlimited Shining」,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://www.jeuxvideo.com/forums/1-25974-384624-1-0-1-0-officiel-les-differences-des-deux-jeux.htm""]",
80,239,collar_tug,YES,襟・カラーを引っ張る行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,衣服を引く動作として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTERACTION""]",[],[],NO,,CHECKED,[],
81,242,looking_at_ass,YES,尻を見ている視線,BROWSE_WORTHY,EXPRESSION_GAZE,CORE,視線の向き・注視対象として探すのが自然,BODY_SITE,SUPPORTING,尻が明示的な注視対象,,,,"[""GAZE_ORIENTATION/""]","[""BUTTOCK_ANAL""]",[],NO,,CHECKED,[],
82,245,see-through_kimono,YES,透けて見える着物,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の透け・露出状態として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
83,248,other_with_female,YES,女性と「other」カテゴリ人物が同時にいる人物構成,BROWSE_WORTHY,PEOPLE_COUNT,CORE,人物の組み合わせ・人数構成として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
84,251,after_kiss,YES,キスをした直後の状態・場面,BROWSE_WORTHY,ACTION_CONTACT,CORE,キス前後の親密な行為文脈として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTIMATE""]",[],[],NO,,CHECKED,[],
85,254,yellow_gloves,YES,黄色の手袋,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,手袋という服飾品から探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
86,257,neck_pillow,YES,首を支えるネックピロー,BROWSE_WORTHY,TOOL_OBJECT,CORE,日用品・小物としてシーンに置く対象,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
87,260,dress_bow,YES,ドレスに付いたリボン・蝶結び装飾,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣装の装飾ディテールとして探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
88,263,super_earth_salute_(helldivers),YES,『Helldivers』のスーパーアース式敬礼ポーズ,MIXED,POSE_POSITION,CORE,特徴的な身体ポーズとして視覚的に探せる,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://helldivers.wiki.gg/wiki/Salute""]",
89,266,yellow_tang,YES,キイロハギなど黄色いニザダイ科の魚,BROWSE_WORTHY,LIVING,CORE,魚・生物としてシーンに加える対象,,,,,,,"[""LIVING_NATURE/CREATURE""]",[],[],NO,,CHECKED,[],
90,269,supporting_another's_weight,YES,他人の体重を支えている姿勢・動作,BROWSE_WORTHY,POSE_POSITION,CORE,二人の身体配置と支え方が主要な視覚,ACTION_CONTACT,SUPPORTING,相手を支える相互作用としても探し得る,,,,[],[],[],NO,,CHECKED,[],
91,272,vietnamese_text,YES,ベトナム語で書かれた文字・文章,BROWSE_WORTHY,TEXT_SYMBOL,CORE,言語付きの表示文字として探すのが自然,,,,,,,"[""TEXT_SYMBOL/TEXT""]",[],[],NO,,CHECKED,[],
92,275,yasuhiko_yoshikazu_(style),YES,安彦良和の作風を模した絵柄,BROWSE_WORTHY,STYLE_PROCESSING,CORE,特定作家風の描画スタイルとして探すのが自然,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/Yoshikazu_Yasuhiko""]",
93,278,shishi_odoshi,YES,水で動いて音を鳴らす鹿威し,BROWSE_WORTHY,TOOL_OBJECT,CORE,庭園の小物・装置としてシーンに置く対象,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
94,281,hand_on_bed,YES,手をベッドの上に置いている状態,BROWSE_WORTHY,POSE_POSITION,CORE,手・腕の配置を指定するポーズとして探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
95,284,time_machine,YES,タイムマシン,BROWSE_WORTHY,TOOL_OBJECT,CORE,装置・乗り物的な小道具としてシーンに置く対象,,,,,,,[],[],[],NO,,CHECKED,[],
96,287,loose_pants,YES,ゆったりした・緩いズボン,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,ズボンの形状・衣服として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
97,290,wing_hair_ornament,YES,翼を意匠にした髪飾り,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,髪に付けるアクセサリーとして探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
98,293,ear_chain,YES,耳に付けるチェーン状アクセサリー,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,装身具として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
99,296,shooting_star,YES,流れ星,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,空・背景に置く場面要素として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
100,299,sleeveless_robe,YES,袖のないローブ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の種類として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
101,302,vgen_username,YES,画像内にVGenのユーザー名を表示する作者・投稿者表記,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
102,305,hoshino_(blue_archive)_(cosplay),YES,ブルーアーカイブのホシノ衣装を再現したコスプレ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣装として探すのが自然,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,CHECKED,[],
103,308,rose_print,YES,薔薇の花を使ったプリント柄,BROWSE_WORTHY,COLOR_PATTERN_SHAPE,CORE,柄そのものが主要な視覚要素,,,,,,,[],[],[],NO,,CHECKED,[],
104,311,green_eyeshadow,YES,緑色のアイシャドウ,BROWSE_WORTHY,HAIR_FACE,CORE,顔まわりの外観として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
105,314,torn_unitard,YES,破れたユニタードを着た状態,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服状態として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
106,317,heart-shaped_speech_bubble,YES,ハート形の吹き出し,BROWSE_WORTHY,TEXT_SYMBOL,CORE,吹き出し形状として探すのが自然,,,,,,,"[""TEXT_SYMBOL/LAYOUT""]",[],[],NO,,CHECKED,[],
107,320,detached_hood,YES,衣服本体から分離したフード,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣装部品として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
108,323,lightning_bolt_symbol,YES,稲妻形の記号,BROWSE_WORTHY,TEXT_SYMBOL,CORE,記号として探すのが自然,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,CHECKED,[],
109,326,shamisen,YES,三味線,BROWSE_WORTHY,TOOL_OBJECT,CORE,楽器という物体として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
110,329,coffee,YES,コーヒー,BROWSE_WORTHY,TOOL_OBJECT,CORE,飲食物として探すのが自然,,,,,,,"[""OBJECT_PROP/FOOD""]",[],[],NO,,CHECKED,[],
111,332,putting_on_condom,YES,コンドームを装着している動作,BROWSE_WORTHY,ACTION_CONTACT,CORE,性的な装着行為として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTIMATE""]",[],[],NO,,CHECKED,[],
112,335,qinghua_(porcelain),YES,青花磁器の青白い陶磁器意匠,MIXED,COLOR_PATTERN_SHAPE,CORE,色柄の意匠として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
113,338,clacker,YES,振ると打ち合って音が鳴るクラッカー玩具,BROWSE_WORTHY,TOOL_OBJECT,CORE,小物として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
114,341,splat_bomb_(splatoon),YES,Splatoonの投擲武器スプラッシュボム,MIXED,TOOL_OBJECT,CORE,武器・道具として探すのが自然,,,,,,,"[""OBJECT_PROP/WEAPON""]",[],[],NO,,CHECKED,[],
115,344,looking_at_mirror,YES,鏡を見ている人物の状態,BROWSE_WORTHY,EXPRESSION_GAZE,CORE,視線の対象として探すのが自然,,,,,,,"[""GAZE_ORIENTATION/""]",[],[],NO,,CHECKED,[],
