identity_key,reviewed_class,pilot_review_status,review_reason
sweaty_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
food_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
viewer_holding_leash,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breasts_on_tray,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
covering_one_breast,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
looking_at_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
inconvenient_breasts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
light_areolae,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
medium_breasts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_zipper,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
cooperative_buttjob,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
condom_on_tongue,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
male_with_breasts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
slapping_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
daijoubu?_oppai_momu?_(meme),SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
used_condom_in_clothes,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
armpit_focus,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
implied_egg_laying,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
hose_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
futa_without_balls,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breast_drop,,UNCLASSIFIED,opaque/named-reference semantics are insufficient from current accepted evidence; do not force a class
uterus_pose,,UNCLASSIFIED,opaque/named-reference semantics are insufficient from current accepted evidence; do not force a class
black_saliva,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
money_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
dark_areolae,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
weighing_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
saliva_swap,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
straitjacket,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
