canonical_tag,v2_home,v2_resolution_route,authority_scope,authority_type,source_provenance,evidence_url,evidence_claim,family,base_character,pre_repair_rejection_reason,primary_migration_loss_reason,repair_status,current_v3_rejection_reason,difference_class,v3_home,evidence_path
88_flak_(ash_arms),ash_arms,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,ash_arms,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,ash_arms,"[{""home"":""ash_arms"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-d12dbb9fb76c25ca5fdf2cc5"",""ev3-ccaec7771cda801c7671c2c8""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""88_flak_(ash_arms)"",""object_key"":""ash_arms"",""evidence_id"":""ev3-d12dbb9fb76c25ca5fdf2cc5""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""ash_arms"",""object_key"":""ash_arms"",""evidence_id"":""ev3-ccaec7771cda801c7671c2c8""}]}]"
9a-91_(girls'_frontline),girls'_frontline,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,girls'_frontline,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,girls'_frontline,"[{""home"":""girls'_frontline"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-0c8d9af3247d5547215033ad"",""ev3-2979ddebbb9bc103b48fee7a""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""9a-91_(girls'_frontline)"",""object_key"":""girls'_frontline"",""evidence_id"":""ev3-0c8d9af3247d5547215033ad""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""girls'_frontline"",""object_key"":""girls'_frontline"",""evidence_id"":""ev3-2979ddebbb9bc103b48fee7a""}]}]"
9s_(nier:automata),nier:automata,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,nier:automata,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,nier:automata,"[{""home"":""nier:automata"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-0e1e138bb86ac387e3921f15"",""ev3-17d2d63f2ec7529c4e32b9e9""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""9s_(nier:automata)"",""object_key"":""nier:automata"",""evidence_id"":""ev3-0e1e138bb86ac387e3921f15""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""nier:automata"",""object_key"":""nier:automata"",""evidence_id"":""ev3-17d2d63f2ec7529c4e32b9e9""}]}]"
???_(assault_lily),assault_lily,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,assault_lily,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,assault_lily,"[{""home"":""assault_lily"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-f57fccbbe08e9215370749a8"",""ev3-89a79e3d79a9ec8ace80d16e""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""???_(assault_lily)"",""object_key"":""assault_lily"",""evidence_id"":""ev3-f57fccbbe08e9215370749a8""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""assault_lily"",""object_key"":""assault_lily"",""evidence_id"":""ev3-89a79e3d79a9ec8ace80d16e""}]}]"
a'gen_(the_legend_of_luoxiaohei),the_legend_of_luo_xiaohei,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,the_legend_of_luoxiaohei,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,the_legend_of_luo_xiaohei,"[{""home"":""the_legend_of_luo_xiaohei"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-64dbb9382edf3485ddeab8b8"",""ev3-eb16e3cabec01c0813651cd5""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""a'gen_(the_legend_of_luoxiaohei)"",""object_key"":""the_legend_of_luoxiaohei"",""evidence_id"":""ev3-64dbb9382edf3485ddeab8b8""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""the_legend_of_luoxiaohei"",""object_key"":""the_legend_of_luo_xiaohei"",""evidence_id"":""ev3-eb16e3cabec01c0813651cd5""}]}]"
a-37_(mahjong_soul),mahjong_soul,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,mahjong_soul,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,mahjong_soul,"[{""home"":""mahjong_soul"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-c4e98cd0ef6ad92d222bb870"",""ev3-d8749555f9e3621d4907f01d""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""a-37_(mahjong_soul)"",""object_key"":""mahjong_soul"",""evidence_id"":""ev3-c4e98cd0ef6ad92d222bb870""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""mahjong_soul"",""object_key"":""mahjong_soul"",""evidence_id"":""ev3-d8749555f9e3621d4907f01d""}]}]"
a-91_(girls'_frontline),girls'_frontline,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,girls'_frontline,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,girls'_frontline,"[{""home"":""girls'_frontline"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-0ae2e2535cfff5dace71f26f"",""ev3-2979ddebbb9bc103b48fee7a""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""a-91_(girls'_frontline)"",""object_key"":""girls'_frontline"",""evidence_id"":""ev3-0ae2e2535cfff5dace71f26f""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""girls'_frontline"",""object_key"":""girls'_frontline"",""evidence_id"":""ev3-2979ddebbb9bc103b48fee7a""}]}]"
a-chan_(hololive),hololive,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,hololive,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,hololive,"[{""home"":""hololive"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-1f9abddf1344632cc2f4a1ff"",""ev3-97e04beebe483e54ca019efa""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""a-chan_(hololive)"",""object_key"":""hololive"",""evidence_id"":""ev3-1f9abddf1344632cc2f4a1ff""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""hololive"",""object_key"":""hololive"",""evidence_id"":""ev3-97e04beebe483e54ca019efa""}]}]"
a-chan_(little_busters!),little_busters!,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,little_busters!,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,little_busters!,"[{""home"":""little_busters!"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-e8401fe653adfcac65ec02b0"",""ev3-f59e114477ba9bf27a8846c5""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""a-chan_(little_busters!)"",""object_key"":""little_busters!"",""evidence_id"":""ev3-e8401fe653adfcac65ec02b0""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""little_busters!"",""object_key"":""little_busters!"",""evidence_id"":""ev3-f59e114477ba9bf27a8846c5""}]}]"
a.k.i._(street_fighter),street_fighter,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv,https://www.streetfighter.com/6/ja-jp/character,Reviewed reusable qualifier-family authority,street_fighter,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,street_fighter,"[{""home"":""street_fighter"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-0c105dce2d10d00295e55369"",""ev3-2c90b705bd98d3b4624770c4""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""a.k.i._(street_fighter)"",""object_key"":""street_fighter"",""evidence_id"":""ev3-0c105dce2d10d00295e55369""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""street_fighter"",""object_key"":""street_fighter"",""evidence_id"":""ev3-2c90b705bd98d3b4624770c4""}]}]"
a2_(nier:automata),nier:automata,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,nier:automata,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,nier:automata,"[{""home"":""nier:automata"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-ff40decbaee338619b58c3fb"",""ev3-17d2d63f2ec7529c4e32b9e9""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""a2_(nier:automata)"",""object_key"":""nier:automata"",""evidence_id"":""ev3-ff40decbaee338619b58c3fb""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""nier:automata"",""object_key"":""nier:automata"",""evidence_id"":""ev3-17d2d63f2ec7529c4e32b9e9""}]}]"
a_(show_by_rock!!),show_by_rock!!,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,show_by_rock!!,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,show_by_rock!!,"[{""home"":""show_by_rock!!"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-0eac90f52ab53e37c53be82f"",""ev3-881966d026d4f46c09c5e519""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""a_(show_by_rock!!)"",""object_key"":""show_by_rock!!"",""evidence_id"":""ev3-0eac90f52ab53e37c53be82f""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""show_by_rock!!"",""object_key"":""show_by_rock!!"",""evidence_id"":""ev3-881966d026d4f46c09c5e519""}]}]"
a_knight_(reverse:1999),reverse:1999,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv,https://re1999.bluepoch.com/,Reviewed reusable qualifier-family authority,reverse:1999,,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv; no validated v3 path to old HOME.,FAMILY_FASTPATH_NOT_MIGRATED,RECOVERED_SAME_HOME,,,reverse:1999,"[{""home"":""reverse:1999"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-06b52b8aecbf9b5474e1f9de"",""ev3-88d99f4adea132484a82ebcc""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""a_knight_(reverse:1999)"",""object_key"":""reverse:1999"",""evidence_id"":""ev3-06b52b8aecbf9b5474e1f9de""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""reverse:1999"",""object_key"":""reverse:1999"",""evidence_id"":""ev3-88d99f4adea132484a82ebcc""}]}]"
