unit_id,member_ids_sha256,classification,examined_paths,candidate_roots,rejection_reason,terminal_reason
ru3-a3b265d01fc82431a987,35e2dbad0ae8ca942c5a16ed651f34dc8fd28a10e8093446372d234bf124b65b,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""2.5_jigen_no_ririsa""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-7276e2787e074169db8a,c5eaf30b8a50c49bbb2401c921ea9ed7f1db2a3fc1d4522fc70e49bdc49032fe,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""2026_fifa_world_cup""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-9f91794940ba7d81d5f0,d529be761945b43aff742b6f6e07a5428241f966e73830d1f824a18cb6a3f128,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""22/7""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-f2b721889cae811d26b6,9438fa076f8ccb62ded199d26e35ed90d42bd3cf2384a946f02256d1da786184,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""2ch.ru""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-1e3f35c7bcbbf69678a9,7e21099fe1283f951c748b18450fa22ad8192f856d7df40510887708d0b26836,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""2channel""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-b2645366a5ef72f700c2,af398de803564198863a02a18172c6a76a0115c7ee339acc98fb4bb0a82106f6,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""3am""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-95c7bcda137e459d53e8,0fe7fae9ba9fee41d82f8e4f024295fbf7aaa839c9cd186a3347a359e06543e6,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""3ldkm""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-bc4b32ff6cf501d33c38,049d364fa1cd297ef20e275e65b37173b7d9e5dcc999aaa6444020e413e28080,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""428:_fuusa_sareta_shibuya_de""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-3d27bcdf1fe0a4cfb1ef,4478f187241f544b031c990cef69477a5553e4508c43767f5ad79e0420c9c32c,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""4chan""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-1a718b16beb3d845302a,dc886f54ad48c31a041afba2aa87dc65d38a0ae5e27da827d1f9a09ec3321f56,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""7th_dragon_(series)""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-ba58516401b62c9e5e7e,331e83656b38f63cb9da626e5671d2621cbe3940cb33cf13dc2aafae126861fb,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""9-nine-""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-a1ac53c39b8579caf324,a59d29ad4d54381c69a4468667c614a072ee905f90f5efb354ec099999f947f2,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""a.i._voice""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-6509ff1163b332951daa,47ea8229fc1fc250989e2973fae2789ed0ea309187e0d03d69f6d7e75323395a,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""a_channel""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-b38e3ee69cdd6079519f,55dd2fd0b2b83bb71cb8592dbf078fb87db7af7fede47d5967e7da5a727e8b5a,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""a_deer_of_nine_colors""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-1df3c4597eea530c32cc,961e93f215a7289a26c377c6bbc66d69d1abe9a07681d25710cb2ce83642d5aa,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""a_hat_in_time""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-b52f02c9ed9828e7aa15,2bcae1a2778edc78e1a64e42b044408477398c1a00b7249501a56bd49cbc998e,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""a_nightmare_on_elm_street""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-0b8154038cc2dfe80c4d,73a316f41aec78d630c660e003273c90347989750a0d0bdd2782c03e6f11ad9f,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""a_song_of_ice_and_fire""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-c29126136f68e8aa70d1,992fa3b05492e7892f7db10624a63d09d0ad106db0d67bd08c8cb28f7ea5e065,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""aa_megami-sama""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-0d3e2489b35200dbf5db,8c019abab03086bbf272116db42ea75e2224cff8efb26de4da1d6f5148efbeb1,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""abenobashi_mahou_shoutengai""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-899ac46af288b9030177,2ac277508ec6d757853c669515e63e6440f83491be2d56b1d4a33922c4be0402,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""absolute_duo""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-f0b12840406379cf325a,103f5c307bc639c92449df5f7375737c38364af13ddc5e1bc066340858b58121,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""ac_japan""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-843ba3e192e74228d9d0,35b2257dc5d92c728cbe42e5fd8faac6dde699d517b979ec3bbd34ecce5ee9c5,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""accel_world""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-e9cfcf54660d5a0b0c3a,0b661cf95f372327123e5089528271aefe78f42ff20eed0f6f4e126aaaac1730,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""acchi_kocchi""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-c1ff6b6075e93f9615ae,8bc64943d9ba8f134442eaa1479ae72e6ba1f5e0eedf2f5f6e560597a63fbe8c,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""ace_attorney""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-485954b7f334f0fed97d,92ee1de0f3a4bdb33ee7c06f203fbd2b5ffadcd94ab26d7ff3239f54476edda7,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""ace_combat""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-e47f4671267b1338243e,db149acad5b175ace7183e783c3512929f67e62cb8d7ab8aad4b3afb63d9b0eb,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""acfun""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-bcae585cf772d62eaea3,efc3f760b80278cefc1e794da71137d5367601b53ac24f85420f8e5ac858e6b3,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""act-age""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-11859fe46f3444078526,7ebcca8fa67b4ad82f8e83b61bdd82659a023e39f5ee78d5d3c672eb63b7462c,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""adachi_to_shimamura""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-4ba3327edf91fd9d072b,18f05a6c17e1c0459cf8284a0c223c466ad333098bea13da20e19e75248b594a,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""ado_(utaite)""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-340a646b1628b8befac3,17d523a86a373dc57c3c5c6944c9a8bf7d34ab7000bc6189a2ef829a7c7f5a62,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""advance_of_zeta""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-dd40c18e88f3506abd4d,a18f7d96623f35b1059280625678ebed748574d00b220de55090943c44db1b37,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""adventure_time""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-3d97eea5cdc98711239a,5ea2f006004403582be97fc7821a3f3286dc0dfa6270cb006d7209ae53ad71a3,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""afraid_of_monsters""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-74efc54548c14a9dde9b,e650a3297c5949ca465be113540387396959f74318ac2c35216e1480d287b2c2,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""after_(game)""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-00667ecef6efc11957db,243f1414a0f75a787d09acecad20d0df9b99a750d48a2b260d9213110e618848,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""after_war_gundam_x""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-e12fa90a81cdda7db139,dee3b19a0cbcd550b7eab1435d6153a70677deeea3bea8899955904ee81d2f91,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""agatha_christie_no_meitantei_poirot_to_marple""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-ac7787a496c97bd207f8,4d4b85cdafbe41b341e9dc1f9304483f36aa6d7c46d7913f42ca932f034c0886,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""agent_aika""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-fb5c6310f37e8ac69fe0,9a82e287e958bfb882c77358ce1a4d7fb2f2bb4c8f81bb727ef014effce73670,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""aggressive_retsuko""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-bb4c7fd8f656a4b9db0a,6b57c64915d24dff029e4cb381086fd9fd0bc0cdee422803b50dd8827239c9d3,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""aharen-san_wa_hakarenai""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-49461b8c6a29a07c8daf,56bb0b4e083e0cffc97a34954eacbac1a62350d2a020ee8660dfde4f9440af0f,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""ai_tenshi_densetsu_wedding_peach""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-35b9b36739698f7f222a,c1fdad4e6518b86a1e197f3652211c5e07613aa9f94c29ec0b27528b7c03e7c6,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""ai_the_somnium_files""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-e7b0c6d589441c79e040,ce850861fbf8054ce2e5cfd6cd2f9e592366c1c7ff81612aa12d78c493b33442,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""ai_yori_aoshi""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-d0ce0fd2bf77656720b0,33a0e76070bfd61e8578b135683adbc5fdfe3a5dae3b541d7b7d4799951eca1f,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""aigan_tenshi_cheery_pink""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-0d84ed9585802e40a25b,07457cf7c92d5ea60e1f792de54cdbb30d1125cbf50b21e501c04c1001d7e126,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""aika_(series)""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-2ad10a77e218f7d8910a,01e24670c4a5df6325d1b48d93f1f3699bc2b6c41648bb3c4583811037f578cd,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""aikatsu!""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-620c5d3260d539c94e5a,f91b7e4b0a04c7565c93bdff6f28bee69d9def332a0eaa184015b28d0ea18b20,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""aikatsu!_(series)""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-16ba519ceea24886bcfa,3147bc2bcb11895027bda2d946100a65b1ff216a16e83288240f42ec14fe7aba,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""air_(visual_novel)""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-0940dc86686da3225e15,f4223e3877df2c5dd4e207d685fdd53fcd2686db92b47253ee15c49dd2fde486,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""air_gear""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-8b43d92fe5d822101612,10fb9e61c550feb3ee5eb26d47d507c9c4adc6ac00b93bcaef52d35d6c319d43,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""aitsu_no_kanojo""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-b7b5f033da7c22d67b09,7489c26e34682f505ca08a4cb9ffc034b328ea3976f3a054a45aab4757d6845a,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""akagi:_yami_ni_oritatta_tensai""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-56ebe578c77e69a33aab,83e7a4703257e8f5444f9630e15482d732e0045533df90431dfd13ade6e5f76c,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""akai_ito""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
