proposed_special_id,canonical_tag,post_count,proposed_layer,canonical_aliases,concept_area,nearest_existing_special,issue94_reason,kind_id,body_site_ids,theme_ids,display_ja,search_ja,browse_status,duplicate_guard,validation_status,source_issue94_commit,source_candidate_blob,notes
2806,blood_on_clothes,35529,Core,bloody_clothes|blood-stained_clothes,SPECIAL_R18G_BODY_STATE,cum on clothes (SpecialID 351; score=0.663),localized blood-on-material state; distinct from broad blood and useful in R18G discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2807,arm_under_breasts,34473,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,penis under breasts (SpecialID 1180; score=0.683),specific body-part/breast spatial relation useful for pose discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2808,midriff_peek,31330,Core,stomach_peek|belly_peek,SPECIAL_EXPOSURE_CLOTHING_STATE,midriff (SpecialID 2228; score=0.782),specific partial-exposure state; distinct from generic midriff,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2809,pov_crotch,31126,Core,,GENERAL_OTHER,crotch (SpecialID 2361; score=0.787),specific camera/body-site composition identity,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2810,crotch_seam,29610,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,crotch (SpecialID 2361; score=0.768),specific garment/body-site structural feature useful in clothing/exposure discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2811,highleg_panties,28671,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,panties (SpecialID 2112; score=0.736),specific revealing garment structure rather than color/style-only underwear variant,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2812,hanging_breasts,27904,Core,hanging_boob|hangingboob,SPECIAL_EXPOSURE_CLOTHING_STATE,breasts (SpecialID 2170; score=0.736),specific breast shape/state identity beyond generic breasts,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2813,panties_around_one_leg,27261,Core,panties_around_leg|/paol,SPECIAL_EXPOSURE_CLOTHING_STATE,skirt around one leg (SpecialID 2249; score=0.725),specific displaced-garment/body relation; Special already supports analogous around-one-leg clothing states,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2814,highleg_one-piece_swimsuit,26852,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,one-piece swimsuit pull (SpecialID 2231; score=0.713),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2815,highleg_bikini,23531,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,crotchless bikini (SpecialID 2089; score=0.532),specific revealing garment subtype rather than a color/style-only variant,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2816,clothes_between_breasts,18555,Core,clothing_between_breasts,SPECIAL_EXPOSURE_CLOTHING_STATE,cum between breasts (SpecialID 1290; score=0.698),specific clothing/body spatial relation distinct from generic clothes or breasts,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2817,micro_shorts,18389,Core,,SPECIAL_GARMENT_SUBTYPE,micro pasties (SpecialID 2439; score=0.566),specific micro-garment subtype; distinct canonical discovery term,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2818,blood_on_hand,18256,Core,blood_on_hands|blood_on_fingers|bloody_hands|bloody_fingers,GENERAL_OBJECT_OR_ACTION_PLACEMENT,blood (SpecialID 2164; score=0.667),specific localized blood/body-site state for deep R18G discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2819,gigantic_breasts,16189,Core,gigantic_breast,BOUNDARY_CONCEPT,breasts (SpecialID 2170; score=0.724),"extreme morphology may fit Special depth, but boundary with broad General size vocabulary needs consistency review",,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2820,arms_under_breasts,14767,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,penis under breasts (SpecialID 1180; score=0.698),specific multi-arm/breast spatial relation useful for pose discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2821,breast_rest,12595,Core,,BOUNDARY_CONCEPT,breast (SpecialID 2632; score=0.768),"likely specific breast/support relation, but surface meaning is terse enough to require semantic-boundary review",,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2822,blood_from_mouth,12426,Core,bloody_mouth|mouthbleed,SPECIAL_R18G_BODY_STATE,blood from vagina (SpecialID 1174; score=0.633),specific bleeding source/body-site relation for deep R18G discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2823,bikini_bottom_only,11780,Core,bikini_bottom,SPECIAL_EXPOSURE_CLOTHING_STATE,bikini bottom aside (SpecialID 2044; score=0.674),specific partial-garment/exposure state rather than ordinary bikini identity,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2824,bra_visible_through_clothes,11756,Core,bra_through_clothes,SPECIAL_EXPOSURE_CLOTHING_STATE,tribadism through clothes (SpecialID 937; score=0.659),specific visibility-through-clothing relation distinct from generic see-through clothes,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2825,hand_on_own_ass,10594,Core,hand_on_ass,SPECIAL_BODY_RELATION_STATE,hand on own penis (SpecialID 797; score=0.748),specific self-contact/body-site pose relation not covered by generic ass identity,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2826,sagging_breasts,10045,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,breasts (SpecialID 2170; score=0.736),specific breast shape/state identity beyond baseline size vocabulary,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2827,grabbing_own_ass,9301,Core,,SPECIAL_BODY_RELATION_STATE,grabbing own breast (SpecialID 2030; score=0.719),specific self-contact action; Special has grabbing another person and other own-ass actions but not this identity,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2828,breast_lift,9093,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,breast (SpecialID 2632; score=0.768),specific breast manipulation/position state beyond generic breast identity,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2829,mole_on_thigh,8976,Core,,SPECIAL_INTIMATE_ADORNMENT_STATE,cum on thigh (SpecialID 1275; score=0.693),specific body-mark + site relation; analogous site-specific body-mark identities exist in Special,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2830,breast_tattoo,8521,Core,tattooed_breast,SPECIAL_INTIMATE_ADORNMENT_STATE,breast (SpecialID 2632; score=0.734),specific body-mark + site identity; fits deep anatomy/adornment discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2831,bursting_breasts,8434,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,breasts (SpecialID 2170; score=0.724),specific extreme breast-state/action concept rather than baseline morphology,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2832,breast_suppress,8344,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,breast (SpecialID 2632; score=0.707),specific breast compression/concealment state useful for deep body/clothing discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2833,armpit_peek,8023,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,armpit sex (SpecialID 11; score=0.585),specific partial-visibility body-site state; fits deep exposure/visibility discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2834,tail_through_clothes,7638,Core,tail_slit_clothes|tail_cutout,SPECIAL_EXPOSURE_CLOTHING_STATE,lactation through clothes (SpecialID 2192; score=0.713),specific body/clothing structural relation; distinct from ordinary tail or clothing identities,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2835,bikini_top_lift,7366,Core,bikini_lift,SPECIAL_EXPOSURE_CLOTHING_STATE,untied bikini top (SpecialID 2061; score=0.615),specific garment displacement/exposure action beyond ordinary bikini identity,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2836,grabbing_another's_thighs,7269,Core,holding_another's_thighs,SPECIAL_BODY_RELATION_STATE,grabbing another's penis (SpecialID 687; score=0.768),specific actor/body-site contact action beyond generic grabbing or thigh identity,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2837,framed_breasts,7268,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,breasts (SpecialID 2170; score=0.750),specific composition/exposure framing state involving breasts,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2838,hand_under_clothes,7084,Core,hands_under_clothes,GENERAL_OBJECT_OR_ACTION_PLACEMENT,handjob under clothes (SpecialID 1103; score=0.749),specific body-part/clothing spatial relation useful for action/exposure discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2839,unaligned_breasts,6846,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,breasts (SpecialID 2170; score=0.713),specific asymmetrical breast-position state,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2840,blood_from_eyes,4970,Core,bloody_tears|crying_blood|blood_tears,SPECIAL_R18G_BODY_STATE,blood from vagina (SpecialID 1174; score=0.643),specific bleeding source/body-site relation for deep R18G discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2841,cloth_gag,4746,Core,otm_gag,SPECIAL_BDSM_RESTRAINT,gag (SpecialID 1825; score=0.675),real gag subtype; Special has a deep gag device family but not this canonical subtype,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2842,head_between_breasts,4475,Core,head_in_breasts,SPECIAL_EXPOSURE_CLOTHING_STATE,cum between breasts (SpecialID 1290; score=0.703),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2843,mole_on_ass,3593,Core,,SPECIAL_INTIMATE_ADORNMENT_STATE,mole on pussy (SpecialID 791; score=0.708),site-specific intimate mark/adornment is more specialized than ordinary General appearance,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2844,blood_on_arm,3449,Core,bloody_arm,SPECIAL_R18G_BODY_STATE,blood (SpecialID 2164; score=0.681),concrete blood/body-site state fits the content-neutral R18G body-state discovery family,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2845,tail_around_own_leg,3398,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,skirt around one leg (SpecialID 2249; score=0.588),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2846,projectile_lactation,3294,Core,,SPECIAL_REPRODUCTION_FLUID,lactation (SpecialID 2194; score=0.729),specific lactation behavior/visual subtype beyond generic lactation,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2847,presenting_own_ass,3204,Core,presenting_ass,SPECIAL_BODY_RELATION_STATE,presenting own anus (SpecialID 839; score=0.747),body-site relation/state is structurally specific and may be hard to discover from General,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2848,micro_panties,3160,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,panties (SpecialID 2112; score=0.765),specific micro-garment subtype; distinct canonical discovery term,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2849,hands_on_own_ass,3021,Core,,SPECIAL_BODY_RELATION_STATE,hands on penis (SpecialID 928; score=0.643),body-site relation/state is structurally specific and may be hard to discover from General,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2850,bouncing_ass,2995,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,ass (SpecialID 2359; score=0.630),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2851,arm_between_breasts,2580,Core,hand_between_breasts,SPECIAL_EXPOSURE_CLOTHING_STATE,cum between breasts (SpecialID 1290; score=0.736),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2852,presenting_own_breasts,2518,Core,presenting_breasts,SPECIAL_BODY_RELATION_STATE,presenting own anus (SpecialID 839; score=0.707),body-site relation/state is structurally specific and may be hard to discover from General,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2853,tail_between_legs,2245,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,between testicles (SpecialID 1108; score=0.516),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2854,leotard_peek,2186,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,leotard pull (SpecialID 2225; score=0.579),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
