special_id,primary_genre_id,primary_subgenre_id,secondary_paths,classification_status,ambiguity_note,v2_kind_id,v2_kind_ja,v2_body_sites,v2_body_sites_ja,v2_themes,v2_themes_ja,v2_status,v2_reason,v2_review_note
11,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
12,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,BODY_ANATOMY>BUTTOCK_ANUS,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,BUTTOCK_ANAL | MALE_GENITAL,尻・肛門 | 男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
13,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
14,SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,NUDITY_CLOTHING_EXPOSURE>COVERED_CONCEALED,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,,,,,AUTO_CANDIDATE,direct_primary_genre,
15,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,NUDITY_CLOTHING_EXPOSURE>COVERED_CONCEALED,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,,,,,AUTO_CANDIDATE,direct_primary_genre,
16,SEXUAL_ACTIVITY_STIMULATION,COOPERATIVE_MULTI_ACT,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
17,SEXUAL_ACTIVITY_STIMULATION,COOPERATIVE_MULTI_ACT,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
18,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>FEMALE_GENITAL | BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,FEMALE_GENITAL | MALE_GENITAL,女性器 | 男性器,,,AUTO_CANDIDATE,direct_primary_genre,
19,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
20,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
21,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
22,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,,,,,AUTO_CANDIDATE,direct_primary_genre,
23,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,,,,,AUTO_CANDIDATE,direct_primary_genre,
24,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
25,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
26,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
27,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
28,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
29,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
30,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
31,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
32,SEXUAL_ACTIVITY_STIMULATION,RUBBING_GRINDING,BODY_ANATOMY>FEMALE_GENITAL | BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,FEMALE_GENITAL | MALE_GENITAL,女性器 | 男性器,,,AUTO_CANDIDATE,direct_primary_genre,
33,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre,
34,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,BODY_ANATOMY>BUTTOCK_ANUS,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,BUTTOCK_ANAL,尻・肛門,,,AUTO_CANDIDATE,direct_primary_genre,
35,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,,,,,AUTO_CANDIDATE,direct_primary_genre,
36,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>FEMALE_GENITAL | BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,FEMALE_GENITAL | MALE_GENITAL,女性器 | 男性器,,,AUTO_CANDIDATE,direct_primary_genre,
37,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
38,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
39,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,,,,,AUTO_CANDIDATE,direct_primary_genre,
40,SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,MOUTH_ORAL?INVALID,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MOUTH_ORAL,口・口内,,,AUTO_CANDIDATE,direct_primary_genre,
