identity_key,general_path,general_confidence,lex_flags,cluster_key,cluster_size,phase
soju,OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,DISCOVERY
mint,OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,DISCOVERY
soft_serve,OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,DISCOVERY
fruit_tart,OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,DISCOVERY
wasabi,OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,DISCOVERY
sponge_cake,OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,HOLDOUT
pancake,OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,HOLDOUT
taiyaki,OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,HOLDOUT
cheese_wheel,OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,HOLDOUT
mont_blanc_(food),OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,HOLDOUT
surstromming,OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,HOLDOUT
