semantic_id,special_id,semantic_term,ja_label,en_concept,candidate_canonical,relation_type,notes,review_status
SEM0025,112,after oral,口淫・オーラルセックスの直後,after oral,,UNMAPPED,口淫・オーラルセックスの直後（after oral）,UNREVIEWED
SEM0026,113,deep throat,深いフェラチオの表記揺れ,deep throat,,UNMAPPED,深いフェラチオの表記揺れ（deep throat）,UNREVIEWED
SEM0027,114,facefucking,口への強い挿入を伴う性行為の俗語,facefucking,,UNMAPPED,口への強い挿入を伴う性行為の俗語（facefucking）,UNREVIEWED
SEM0028,115,oral sex,口淫全般,oral sex,,UNMAPPED,口淫全般（oral sex）,UNREVIEWED
SEM0029,116,rimming,肛門への口淫,rimming,,UNMAPPED,肛門への口淫（rimming）,UNREVIEWED
SEM0030,142,anvil position,脚を高く上げる性交体位,anvil position,,UNMAPPED,脚を高く上げる性交体位（anvil position）,UNREVIEWED
SEM0031,143,mating press position,脚を強く折り畳む性交体位の説明的表記,mating press position,,UNMAPPED,脚を強く折り畳む性交体位の説明的表記（mating press position）,UNREVIEWED
SEM0032,144,missionary sex,正常位での性交,missionary sex,,UNMAPPED,正常位での性交（missionary sex）,UNREVIEWED
SEM0033,160,anal stretching,肛門拡張,anal stretching,,UNMAPPED,肛門拡張（anal stretching）,UNREVIEWED
SEM0034,161,anal training,アナル拡張・訓練表現,anal training,,UNMAPPED,アナル拡張・訓練表現（anal training）,UNREVIEWED
SEM0035,162,gaping anus,拡張された肛門,gaping anus,,UNMAPPED,拡張された肛門（gaping anus）,UNREVIEWED
SEM0036,163,anal play,肛門への性的刺激全般,anal play,,UNMAPPED,肛門への性的刺激全般（anal play）,UNREVIEWED
SEM0037,164,ass fuck,アナル性交の露骨な俗語,ass fuck,,UNMAPPED,アナル性交の露骨な俗語（ass fuck）,UNREVIEWED
SEM0038,165,ass play,肛門周辺への性的刺激,ass play,,UNMAPPED,肛門周辺への性的刺激（ass play）,UNREVIEWED
SEM0039,166,assfuck,アナル性交の俗語,assfuck,,UNMAPPED,アナル性交の俗語（assfuck）,UNREVIEWED
SEM0040,167,buttfuck,アナル性交の俗語,buttfuck,,UNMAPPED,アナル性交の俗語（buttfuck）,UNREVIEWED
SEM0041,168,buttsex,アナル性交の俗語,buttsex,,UNMAPPED,アナル性交の俗語（buttsex）,UNREVIEWED
SEM0042,188,robot penetration,ロボットによる挿入,robot penetration,,UNMAPPED,ロボットによる挿入（robot penetration）,UNREVIEWED
SEM0043,189,deep insertion,深い挿入,deep insertion,,UNMAPPED,深い挿入（deep insertion）,UNREVIEWED
SEM0044,190,multiple insertion,複数挿入の表記揺れ,multiple insertion,,UNMAPPED,複数挿入の表記揺れ（multiple insertion）,UNREVIEWED
SEM0045,191,object penetration,物体による挿入,object penetration,,UNMAPPED,物体による挿入（object penetration）,UNREVIEWED
SEM0046,203,double fisting,二つの拳を使う・二か所同時のフィスト挿入,double fisting,,UNMAPPED,二つの拳を使う・二か所同時のフィスト挿入（double fisting）,UNREVIEWED
SEM0047,204,extreme stretching,極端な拡張,extreme stretching,,UNMAPPED,極端な拡張（extreme stretching）,UNREVIEWED
SEM0048,205,genital stretching,性器の拡張,genital stretching,,UNMAPPED,性器の拡張（genital stretching）,UNREVIEWED
SEM0049,206,oversized insertion,大型物体などの極端な挿入,oversized insertion,,UNMAPPED,大型物体などの極端な挿入（oversized insertion）,UNREVIEWED
SEM0050,215,urethral strap-on,尿道関連のストラップオン器具,urethral strap-on,,UNMAPPED,尿道関連のストラップオン器具（urethral strap-on）,UNREVIEWED
SEM0051,216,after urethral,尿道挿入・尿道プレイの直後,after urethral,,UNMAPPED,尿道挿入・尿道プレイの直後（after urethral）,UNREVIEWED
SEM0052,217,urethral dilation,尿道拡張,urethral dilation,,UNMAPPED,尿道拡張（urethral dilation）,UNREVIEWED
SEM0053,218,urethral play,尿道への性的刺激,urethral play,,UNMAPPED,尿道への性的刺激（urethral play）,UNREVIEWED
SEM0054,219,urethral sounding,尿道サウンディング,urethral sounding,,UNMAPPED,尿道サウンディング（urethral sounding）,UNREVIEWED
SEM0055,220,sounding rod,尿道挿入用の棒状器具を示す語,sounding rod,,UNMAPPED,尿道挿入用の棒状器具を示す語（sounding rod）,UNREVIEWED
SEM0056,221,urethra insertion,尿道挿入の表記揺れ,urethra insertion,,UNMAPPED,尿道挿入の表記揺れ（urethra insertion）,UNREVIEWED
SEM0057,222,urethra play,尿道への性的刺激,urethra play,,UNMAPPED,尿道への性的刺激（urethra play）,UNREVIEWED
SEM0058,223,urethral rod,尿道挿入用の棒状器具を示す説明語,urethral rod,,UNMAPPED,尿道挿入用の棒状器具を示す説明語（urethral rod）,UNREVIEWED
SEM0059,246,ccc threesome,3人での性行為（CCC threesome）,ccc threesome,,UNMAPPED,3人での性行為（CCC threesome）（ccc threesome）,UNREVIEWED
SEM0060,247,ffc threesome,3人での性行為（FFC threesome）,ffc threesome,,UNMAPPED,3人での性行為（FFC threesome）（ffc threesome）,UNREVIEWED
SEM0061,248,ffo threesome,3人での性行為（FFO threesome）,ffo threesome,,UNMAPPED,3人での性行為（FFO threesome）（ffo threesome）,UNREVIEWED
SEM0062,249,mcc threesome,3人での性行為（MCC threesome）,mcc threesome,,UNMAPPED,3人での性行為（MCC threesome）（mcc threesome）,UNREVIEWED
SEM0063,250,mfo threesome,3人での性行為（MFO threesome）,mfo threesome,,UNMAPPED,3人での性行為（MFO threesome）（mfo threesome）,UNREVIEWED
SEM0064,251,mmc threesome,3人での性行為（MMC threesome）,mmc threesome,,UNMAPPED,3人での性行為（MMC threesome）（mmc threesome）,UNREVIEWED
SEM0065,252,mmo threesome,3人での性行為（MMO threesome）,mmo threesome,,UNMAPPED,3人での性行為（MMO threesome）（mmo threesome）,UNREVIEWED
SEM0066,253,oof threesome,3人での性行為（OOF threesome）,oof threesome,,UNMAPPED,3人での性行為（OOF threesome）（oof threesome）,UNREVIEWED
SEM0067,254,oom threesome,3人での性行為（OOM threesome）,oom threesome,,UNMAPPED,3人での性行為（OOM threesome）（oom threesome）,UNREVIEWED
SEM0068,255,fourway,4人での性行為の俗語,fourway,,UNMAPPED,4人での性行為の俗語（fourway）,UNREVIEWED
SEM0069,256,multi partner sex,複数相手との性行為,multi partner sex,,UNMAPPED,複数相手との性行為（multi partner sex）,UNREVIEWED
SEM0070,257,multi penetration,複数挿入の短縮表現,multi penetration,,UNMAPPED,複数挿入の短縮表現（multi penetration）,UNREVIEWED
SEM0071,258,three way,3人での性行為の表記揺れ,three way,,UNMAPPED,3人での性行為の表記揺れ（three way）,UNREVIEWED
SEM0072,259,threeway,3人での性行為の俗語,threeway,,UNMAPPED,3人での性行為の俗語（threeway）,UNREVIEWED
SEM0073,300,anal dildo,肛門用ディルド,anal dildo,,UNMAPPED,肛門用ディルド（anal dildo）,UNREVIEWED
SEM0074,301,butterfly vibrator,蝶型の装着式バイブレーター,butterfly vibrator,,UNMAPPED,蝶型の装着式バイブレーター（butterfly vibrator）,UNREVIEWED
SEM0075,302,love egg,エッグ型バイブ,love egg,,UNMAPPED,エッグ型バイブ（love egg）,UNREVIEWED
SEM0076,303,sex tool,性行為・性的刺激に用いる道具,sex tool,,UNMAPPED,性行為・性的刺激に用いる道具（sex tool）,UNREVIEWED
SEM0077,304,vibrating dildo,振動式ディルド,vibrating dildo,,UNMAPPED,振動式ディルド（vibrating dildo）,UNREVIEWED
SEM0078,305,adult toy,成人向け性具,adult toy,,UNMAPPED,成人向け性具（adult toy）,UNREVIEWED
SEM0079,306,adult toys,成人向け性具の複数形,adult toys,,UNMAPPED,成人向け性具の複数形（adult toys）,UNREVIEWED
SEM0080,307,toy insertion,性具・玩具の挿入,toy insertion,,UNMAPPED,性具・玩具の挿入（toy insertion）,UNREVIEWED
SEM0081,308,vibro,バイブレーターの略称,vibro,,UNMAPPED,バイブレーターの略称（vibro）,UNREVIEWED
SEM0082,316,spanking machine,自動でスパンキング・打撃を行う機械,spanking machine,,UNMAPPED,自動でスパンキング・打撃を行う機械（spanking machine）,UNREVIEWED
SEM0083,317,fuck machine,自動的に性交動作を行う機械,fuck machine,,UNMAPPED,自動的に性交動作を行う機械（fuck machine）,UNREVIEWED
SEM0084,318,machine penetration,機械による挿入,machine penetration,,UNMAPPED,機械による挿入（machine penetration）,UNREVIEWED
SEM0085,319,mechanical sex,機械による性行為,mechanical sex,,UNMAPPED,機械による性行為（mechanical sex）,UNREVIEWED
SEM0086,320,automatic dildo,自動動作するディルドを示す語,automatic dildo,,UNMAPPED,自動動作するディルドを示す語（automatic dildo）,UNREVIEWED
SEM0087,321,fucking machine,性交機械の俗称,fucking machine,,UNMAPPED,性交機械の俗称（fucking machine）,UNREVIEWED
SEM0088,322,fuckmachine,性交機械の綴り違い,fuckmachine,,UNMAPPED,性交機械の綴り違い（fuckmachine）,UNREVIEWED
SEM0089,323,robotic sex,ロボット・機械との性行為,robotic sex,,UNMAPPED,ロボット・機械との性行為（robotic sex）,UNREVIEWED
SEM0090,324,sex robot,性行為用ロボット,sex robot,,UNMAPPED,性行為用ロボット（sex robot）,UNREVIEWED
SEM0091,328,sex tentacles,性的な触手を示す表現,sex tentacles,,UNMAPPED,性的な触手を示す表現（sex tentacles）,UNREVIEWED
SEM0092,329,tentacle fuck,触手性交の露骨な俗語,tentacle fuck,,UNMAPPED,触手性交の露骨な俗語（tentacle fuck）,UNREVIEWED
SEM0093,330,tentacle fucking,触手性交の露骨な俗語,tentacle fucking,,UNMAPPED,触手性交の露骨な俗語（tentacle fucking）,UNREVIEWED
SEM0094,332,tentacle penetration,触手挿入,tentacle penetration,,UNMAPPED,触手挿入（tentacle penetration）,UNREVIEWED
SEM0095,407,creampie,膣内・肛門内への射精,creampie,,UNMAPPED,膣内・肛門内への射精（creampie）,UNREVIEWED
SEM0096,408,multiple cumshots,複数回の射精描写,multiple cumshots,,UNMAPPED,複数回の射精描写（multiple cumshots）,UNREVIEWED
SEM0097,409,covered in cum,精液まみれの描写,covered in cum,,UNMAPPED,精液まみれの描写（covered in cum）,UNREVIEWED
SEM0098,410,cream pie,体内射精を指す表記揺れ,cream pie,,UNMAPPED,体内射精を指す表記揺れ（cream pie）,UNREVIEWED
SEM0099,411,cum shot,射精描写の表記揺れ,cum shot,,UNMAPPED,射精描写の表記揺れ（cum shot）,UNREVIEWED
SEM0100,412,cum shots,複数の射精描写,cum shots,,UNMAPPED,複数の射精描写（cum shots）,UNREVIEWED
SEM0101,413,facial cum,顔への精液,facial cum,,UNMAPPED,顔への精液（facial cum）,UNREVIEWED
SEM0102,414,internal ejaculation,体内射精,internal ejaculation,,UNMAPPED,体内射精（internal ejaculation）,UNREVIEWED
SEM0103,415,jizz,精液の俗語,jizz,,UNMAPPED,精液の俗語（jizz）,UNREVIEWED
SEM0104,418,sexual bondage,性的拘束,sexual bondage,,UNMAPPED,性的拘束（sexual bondage）,UNREVIEWED
SEM0105,419,sexual torture,性的拷問,sexual torture,,UNMAPPED,性的拷問（sexual torture）,UNREVIEWED
SEM0106,423,autoerotic asphyxiation,性的目的の窒息・酸素制限。傷害・死亡リスクがある高危険行為,autoerotic asphyxiation,,UNMAPPED,性的目的の窒息・酸素制限。傷害・死亡リスクがある高危険行為（autoerotic asphyxiation）,UNREVIEWED
SEM0107,424,erotic asphyxiation,性的窒息・酸素制限,erotic asphyxiation,,UNMAPPED,性的窒息・酸素制限（erotic asphyxiation）,UNREVIEWED
SEM0108,425,genital torture,性器への拷問的刺激,genital torture,,UNMAPPED,性器への拷問的刺激（genital torture）,UNREVIEWED
SEM0109,438,attempted rape,強姦未遂,attempted rape,,UNMAPPED,強姦未遂（attempted rape）,UNREVIEWED
SEM0110,439,forced feminization,強制要素を含むフェティッシュ。性/非合意文脈で判定,forced feminization,,UNMAPPED,強制要素を含むフェティッシュ。性/非合意文脈で判定（forced feminization）,UNREVIEWED
SEM0111,440,forced sex,強制性交,forced sex,,UNMAPPED,強制性交（forced sex）,UNREVIEWED
SEM0112,441,non-consensual,非合意,non-consensual,,UNMAPPED,非合意（non-consensual）,UNREVIEWED
SEM0113,442,sexual assault,性的暴行,sexual assault,,UNMAPPED,性的暴行（sexual assault）,UNREVIEWED
SEM0114,443,tentacle rape,触手による強制的性行為,tentacle rape,,UNMAPPED,触手による強制的性行為（tentacle rape）,UNREVIEWED
SEM0115,444,dubcon,同意が曖昧な性的状況を示す俗語,dubcon,,UNMAPPED,同意が曖昧な性的状況を示す俗語（dubcon）,UNREVIEWED
SEM0116,445,dubious consent,同意が曖昧な性的状況,dubious consent,,UNMAPPED,同意が曖昧な性的状況（dubious consent）,UNREVIEWED
SEM0117,446,forced intercourse,強制性交,forced intercourse,,UNMAPPED,強制性交（forced intercourse）,UNREVIEWED
SEM0118,447,non con,非合意を示す略語の表記揺れ,non con,,UNMAPPED,非合意を示す略語の表記揺れ（non con）,UNREVIEWED
SEM0119,448,non consensual,非合意の表記揺れ,non consensual,,UNMAPPED,非合意の表記揺れ（non consensual）,UNREVIEWED
SEM0120,449,noncon,非合意を示す略語,noncon,,UNMAPPED,非合意を示す略語（noncon）,UNREVIEWED
SEM0121,450,nonconsensual,非合意,nonconsensual,,UNMAPPED,非合意（nonconsensual）,UNREVIEWED
SEM0122,451,rape play,強制性交を模した成人向けロールプレイ,rape play,,UNMAPPED,強制性交を模した成人向けロールプレイ（rape play）,UNREVIEWED
SEM0123,459,coprophagia,糞食,coprophagia,,UNMAPPED,糞食（coprophagia）,UNREVIEWED
SEM0124,460,defecation,排便,defecation,,UNMAPPED,排便（defecation）,UNREVIEWED
SEM0125,461,feces,糞便,feces,,UNMAPPED,糞便（feces）,UNREVIEWED
SEM0126,462,pooping,排便,pooping,,UNMAPPED,排便（pooping）,UNREVIEWED
SEM0127,463,scat fetish,スカトロ嗜好,scat fetish,,UNMAPPED,スカトロ嗜好（scat fetish）,UNREVIEWED
SEM0128,464,soiled diaper,汚れたおむつ,soiled diaper,,UNMAPPED,汚れたおむつ（soiled diaper）,UNREVIEWED
SEM0129,465,coprophilia,スカトロ嗜好,coprophilia,,UNMAPPED,スカトロ嗜好（coprophilia）,UNREVIEWED
SEM0130,466,fecal,糞便に関する語,fecal,,UNMAPPED,糞便に関する語（fecal）,UNREVIEWED
SEM0131,467,feces play,糞便を使う性的プレイ,feces play,,UNMAPPED,糞便を使う性的プレイ（feces play）,UNREVIEWED
SEM0132,468,scat play,糞便を使う性的プレイ,scat play,,UNMAPPED,糞便を使う性的プレイ（scat play）,UNREVIEWED
SEM0133,472,amputation,四肢切断,amputation,,UNMAPPED,四肢切断（amputation）,UNREVIEWED
SEM0134,473,dissection,解剖,dissection,,UNMAPPED,解剖（dissection）,UNREVIEWED
SEM0135,474,exposed organs,内臓露出,exposed organs,,UNMAPPED,内臓露出（exposed organs）,UNREVIEWED
SEM0136,475,eye gouging,眼球損傷,eye gouging,,UNMAPPED,眼球損傷（eye gouging）,UNREVIEWED
SEM0137,476,impalement,串刺し,impalement,,UNMAPPED,串刺し（impalement）,UNREVIEWED
SEM0138,477,vivisection,生体解剖,vivisection,,UNMAPPED,生体解剖（vivisection）,UNREVIEWED
SEM0139,482,eye sex,眼部への性的挿入,eye sex,,UNMAPPED,眼部への性的挿入（eye sex）,UNREVIEWED
SEM0140,483,corpse sex,死体との性行為を示す説明的俗語,corpse sex,,UNMAPPED,死体との性行為を示す説明的俗語（corpse sex）,UNREVIEWED
SEM0141,484,dead body sex,死体との性行為を示す説明的俗語,dead body sex,,UNMAPPED,死体との性行為を示す説明的俗語（dead body sex）,UNREVIEWED
SEM0142,485,guro sex,グロテスク表現を伴う性行為,guro sex,,UNMAPPED,グロテスク表現を伴う性行為（guro sex）,UNREVIEWED
SEM0143,486,sexual gore,性とグロを組み合わせた表現,sexual gore,,UNMAPPED,性とグロを組み合わせた表現（sexual gore）,UNREVIEWED
SEM0144,487,sexual mutilation,性的文脈での身体損壊,sexual mutilation,,UNMAPPED,性的文脈での身体損壊（sexual mutilation）,UNREVIEWED
SEM0145,488,xray sex,性交の内部透視描写,xray sex,,UNMAPPED,性交の内部透視描写（xray sex）,UNREVIEWED
SEM0146,489,internal penetration,内部への挿入描写,internal penetration,,UNMAPPED,内部への挿入描写（internal penetration）,UNREVIEWED
SEM0147,497,animal sex,人と動物の性行為,animal sex,,UNMAPPED,人と動物の性行為（animal sex）,UNREVIEWED
SEM0148,498,beast sex,獣・動物との性行為を示す俗語,beast sex,,UNMAPPED,獣・動物との性行為を示す俗語（beast sex）,UNREVIEWED
SEM0149,505,extreme fetish,極端な特殊性的嗜好を示す一般語,extreme fetish,,UNMAPPED,極端な特殊性的嗜好を示す一般語（extreme fetish）,UNREVIEWED
SEM0150,506,hard fetish,ハードな特殊性的嗜好を示す一般語,hard fetish,,UNMAPPED,ハードな特殊性的嗜好を示す一般語（hard fetish）,UNREVIEWED
SEM0151,507,human furniture fetish,人を家具として扱う性的嗜好,human furniture fetish,,UNMAPPED,人を家具として扱う性的嗜好（human furniture fetish）,UNREVIEWED
SEM0152,519,bare pussy,女性器露出を強調する俗語,bare pussy,,UNMAPPED,女性器露出を強調する俗語（bare pussy）,UNREVIEWED
SEM0153,520,labia,陰唇,labia,,UNMAPPED,陰唇（labia）,UNREVIEWED
SEM0154,537,boobjob,胸を使った性的刺激の俗称,boobjob,,UNMAPPED,胸を使った性的刺激の俗称（boobjob）,UNREVIEWED
SEM0155,538,breastjob,胸を使った性的刺激の俗称,breastjob,,UNMAPPED,胸を使った性的刺激の俗称（breastjob）,UNREVIEWED
SEM0156,543,piv sex,陰茎と膣による性交を示す略語,piv sex,,UNMAPPED,陰茎と膣による性交を示す略語（piv sex）,UNREVIEWED
SEM0157,544,vaginal intercourse,膣性交,vaginal intercourse,,UNMAPPED,膣性交（vaginal intercourse）,UNREVIEWED
SEM0158,551,cervix penetration,子宮頸部への貫入の表記揺れ,cervix penetration,,UNMAPPED,子宮頸部への貫入の表記揺れ（cervix penetration）,UNREVIEWED
SEM0159,575,breast enlargement pump,乳房に吸引圧をかけるポンプ器具,breast enlargement pump,,UNMAPPED,乳房に吸引圧をかけるポンプ器具（breast enlargement pump）,UNREVIEWED
SEM0160,576,clitoris pump,陰核に吸引刺激を与えるポンプ器具,clitoris pump,,UNMAPPED,陰核に吸引刺激を与えるポンプ器具（clitoris pump）,UNREVIEWED
SEM0161,596,bare penis,陰茎露出を強調する俗語,bare penis,,UNMAPPED,陰茎露出を強調する俗語（bare penis）,UNREVIEWED
SEM0162,598,saggy balls,垂れた睾丸を指す俗語的な実用Prompt表現,saggy balls,,UNMAPPED,垂れた睾丸を指す俗語的な実用Prompt表現（saggy balls）,UNREVIEWED
SEM0163,599,big saggy balls,大きく垂れた睾丸を指す実用Prompt表現,big saggy balls,,UNMAPPED,大きく垂れた睾丸を指す実用Prompt表現（big saggy balls）,UNREVIEWED
SEM0164,610,penis pump,陰茎に吸引圧をかけるポンプ器具,penis pump,,UNMAPPED,陰茎に吸引圧をかけるポンプ器具（penis pump）,UNREVIEWED
SEM0165,611,ass onahole,尻・臀部型の男性用自慰器具,ass onahole,,UNMAPPED,尻・臀部型の男性用自慰器具（ass onahole）,UNREVIEWED
SEM0166,612,electric onahole,電動男性用自慰器具,electric onahole,,UNMAPPED,電動男性用自慰器具（electric onahole）,UNREVIEWED
SEM0167,625,ball busting machine,睾丸への打撃・圧迫を機械で行う装置,ball busting machine,,UNMAPPED,睾丸への打撃・圧迫を機械で行う装置（ball busting machine）,UNREVIEWED
SEM0168,626,testicle crusher,睾丸への強い圧迫器具,testicle crusher,,UNMAPPED,睾丸への強い圧迫器具（testicle crusher）,UNREVIEWED
SEM0169,627,dildo ball busting,ディルド等を使った睾丸への打撃・苦痛表現,dildo ball busting,,UNMAPPED,ディルド等を使った睾丸への打撃・苦痛表現（dildo ball busting）,UNREVIEWED
SEM0170,628,self ball busting,自分自身の睾丸へ苦痛を与える表現,self ball busting,,UNMAPPED,自分自身の睾丸へ苦痛を与える表現（self ball busting）,UNREVIEWED
SEM0171,629,testicle weights,睾丸に重量をかけるBDSM器具,testicle weights,,UNMAPPED,睾丸に重量をかけるBDSM器具（testicle weights）,UNREVIEWED
SEM0172,630,cock and ball torture,男性器への拷問的刺激,cock and ball torture,,UNMAPPED,男性器への拷問的刺激（cock and ball torture）,UNREVIEWED
SEM0173,634,leash on penis,陰茎側の器具につなぐリード,leash on penis,,UNMAPPED,陰茎側の器具につなぐリード（leash on penis）,UNREVIEWED
SEM0174,640,bare naked,全裸を強調する俗語,bare naked,,UNMAPPED,全裸を強調する俗語（bare naked）,UNREVIEWED
SEM0175,641,full nudity,全裸・完全な裸体,full nudity,,UNMAPPED,全裸・完全な裸体（full nudity）,UNREVIEWED
SEM0176,642,fully naked,完全な裸体,fully naked,,UNMAPPED,完全な裸体（fully naked）,UNREVIEWED
SEM0177,643,fully nude,完全な裸体,fully nude,,UNMAPPED,完全な裸体（fully nude）,UNREVIEWED
SEM0178,651,climaxing,絶頂中,climaxing,,UNMAPPED,絶頂中（climaxing）,UNREVIEWED
SEM0179,652,cumming,射精・絶頂を示す俗語,cumming,,UNMAPPED,射精・絶頂を示す俗語（cumming）,UNREVIEWED
SEM0180,653,orgasm face,絶頂時の表情,orgasm face,,UNMAPPED,絶頂時の表情（orgasm face）,UNREVIEWED
SEM0181,654,orgasmic,絶頂状態・絶頂的,orgasmic,,UNMAPPED,絶頂状態・絶頂的（orgasmic）,UNREVIEWED
SEM0182,655,orgasmic expression,絶頂時の表情,orgasmic expression,,UNMAPPED,絶頂時の表情（orgasmic expression）,UNREVIEWED
SEM0183,656,pleasure face,性的快感の表情,pleasure face,,UNMAPPED,性的快感の表情（pleasure face）,UNREVIEWED
SEM0184,672,breast out one,片乳を露出,breast out one,,UNMAPPED,片乳を露出（breast out one）,UNREVIEWED
SEM0185,673,bare breasts,乳房露出,bare breasts,,UNMAPPED,乳房露出（bare breasts）,UNREVIEWED
SEM0186,674,exposed breasts,乳房露出,exposed breasts,,UNMAPPED,乳房露出（exposed breasts）,UNREVIEWED
SEM0187,675,exposed nipples,乳首露出,exposed nipples,,UNMAPPED,乳首露出（exposed nipples）,UNREVIEWED
SEM0188,676,visible nipples,乳首が見える描写,visible nipples,,UNMAPPED,乳首が見える描写（visible nipples）,UNREVIEWED
SEM0189,677,breeding sex,妊娠・繁殖を目的とした性行為の俗語,breeding sex,,UNMAPPED,妊娠・繁殖を目的とした性行為の俗語（breeding sex）,UNREVIEWED
SEM0190,678,impregnation sex,妊娠させることを強調した性行為,impregnation sex,,UNMAPPED,妊娠させることを強調した性行為（impregnation sex）,UNREVIEWED
SEM0191,717,cuntboy with cuntboy,cuntboy同士の性的組み合わせ,cuntboy with cuntboy,,UNMAPPED,cuntboy同士の性的組み合わせ（cuntboy with cuntboy）,UNREVIEWED
SEM0192,718,cuntboy with female,cuntboyと女性の性的組み合わせ,cuntboy with female,,UNMAPPED,cuntboyと女性の性的組み合わせ（cuntboy with female）,UNREVIEWED
SEM0193,719,futa with cuntboy,ふたなりとcuntboyの性的組み合わせ,futa with cuntboy,,UNMAPPED,ふたなりとcuntboyの性的組み合わせ（futa with cuntboy）,UNREVIEWED
SEM0194,721,sexualized,性的に強調された,sexualized,,UNMAPPED,性的に強調された（sexualized）,UNREVIEWED
SEM0195,1691,femdom rape,女性側による強制性交,femdom rape,,UNMAPPED,女性側による強制性交（femdom rape）,UNREVIEWED
SEM0196,1694,18+,18歳以上向け,18+,,UNMAPPED,18歳以上向け（18+）,UNREVIEWED
SEM0197,1695,adult content,成人向けコンテンツ,adult content,,UNMAPPED,成人向けコンテンツ（adult content）,UNREVIEWED
SEM0198,1696,adult only,成人限定,adult only,,UNMAPPED,成人限定（adult only）,UNREVIEWED
SEM0199,1697,ecchi,性的ニュアンスの俗語。単独は軽度の場合あり,ecchi,,UNMAPPED,性的ニュアンスの俗語。単独は軽度の場合あり（ecchi）,UNREVIEWED
SEM0200,1698,ero,エロ・成人向けを示す俗語,ero,,UNMAPPED,エロ・成人向けを示す俗語（ero）,UNREVIEWED
SEM0201,1699,erotic,性的・官能的,erotic,,UNMAPPED,性的・官能的（erotic）,UNREVIEWED
SEM0202,1700,erotic content,性的・官能的内容,erotic content,,UNMAPPED,性的・官能的内容（erotic content）,UNREVIEWED
SEM0203,1701,explicit,露骨・明示的な成人向け,explicit,,UNMAPPED,露骨・明示的な成人向け（explicit）,UNREVIEWED
SEM0204,1702,explicit sexual content,露骨な性的内容,explicit sexual content,,UNMAPPED,露骨な性的内容（explicit sexual content）,UNREVIEWED
