special_id,special_term_snapshot,review_decision,review_reason_ja,evidence_ref,review_batch_id,note
94,table humping,SUPPORT_DEFINED,Stage8C Phase1 Pilot001の限定scopeでsupport relationを定義済み。,STAGE8C_PILOT001_SPECIAL_94,STAGE8C_PHASE1_PILOT001,
95,tail masturbation,SUPPORT_DEFINED,Stage8C Phase1 Pilot001の限定scopeでsupport relationを定義済み。,STAGE8C_PILOT001_SPECIAL_95,STAGE8C_PHASE1_PILOT001,
96,jerkoff,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
97,self pleasure,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
98,self stimulation,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
99,solo masturbation,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
100,after fellatio,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
101,anilingus,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
102,cooperative fellatio,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
103,deepthroat,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
104,fellatio,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
105,implied fellatio,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
106,irrumatio,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
107,oral sandwich,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
108,rusty trombone,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
109,blowjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
110,face fucking,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
111,rimjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
112,after oral,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
113,deep throat,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
114,facefucking,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
115,oral sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
116,rimming,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
117,69,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
118,amazon position,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
119,cowgirl position,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
120,doggystyle,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
121,mating press,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
122,missionary,SUPPORT_DEFINED,Stage 8B Pilotのenabled profileを現resolverで確認済み。,STAGE8B_PILOT,STAGE8C_PHASE0_SEED,
123,prone bone,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
124,reverse cowgirl position,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
125,reverse squatting cowgirl position,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
126,reverse suspended congress,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
127,reverse upright straddle,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
128,sex from behind,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
129,sitting on face,SUPPORT_DEFINED,Exit PilotでSpecial固有relationを定義。Family共通化はせず、元Special identityと複合意味を保持する。,STAGE8C_EXIT_PILOT_SPECIAL_129,STAGE8C_EXIT_PILOT_001,relation count is not a success metric; Special identity remains authoritative
130,squatting cowgirl position,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
131,standing missionary,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
132,standing sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
133,suspended congress,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
134,top-down bottom-up,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
135,stand and carry,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
136,missionary position,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
137,cowgirl,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
138,doggy style,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
139,face sitting,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
140,facesitting,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
141,reverse cowgirl,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
142,anvil position,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
143,mating press position,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
144,missionary sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
145,anal prolapse,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
146,after anal,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
147,anal,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
148,anal fingering,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
149,anal object insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
150,double anal,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
151,imminent anal,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
152,multiple anal,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
153,pegging,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
154,triple anal,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
155,anal only,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
156,anal invitation,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
157,anal grip,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
158,anal insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
159,anal sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
160,anal stretching,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
161,anal training,SUPPORT_DEFINED,Stage 8B Pilotのenabled profileを現resolverで確認済み。,STAGE8B_PILOT,STAGE8C_PHASE0_SEED,
162,gaping anus,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
163,anal play,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
164,ass fuck,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
165,ass play,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
166,assfuck,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
167,buttfuck,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
168,buttsex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
169,after fingering,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
170,after insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
171,covered penetration,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
172,deep penetration,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
173,double penetration,SUPPORT_DEFINED,Stage 8B Pilotのenabled profileを現resolverで確認済み。,STAGE8B_PILOT,STAGE8C_PHASE0_SEED,
174,fingering,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
175,fingering through clothes,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
176,fingering through panties,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
177,food insertion,NO_SUGGESTION,安全な補助relationを追加するとgeneric化・意味変質・過剰固定の危険があるため、追加しないことを正常結果として確定。,STAGE8C_EXIT_PILOT_SPECIAL_177,STAGE8C_EXIT_PILOT_001,0 rows by design; no fabricated coverage
178,guided penetration,NO_SUGGESTION,安全な補助relationを追加するとgeneric化・意味変質・過剰固定の危険があるため、追加しないことを正常結果として確定。,STAGE8C_EXIT_PILOT_SPECIAL_178,STAGE8C_EXIT_PILOT_001,0 rows by design; no fabricated coverage
179,imminent penetration,NO_SUGGESTION,安全な補助relationを追加するとgeneric化・意味変質・過剰固定の危険があるため、追加しないことを正常結果として確定。,STAGE8C_EXIT_PILOT_SPECIAL_179,STAGE8C_EXIT_PILOT_001,0 rows by design; no fabricated coverage
180,implied fingering,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
181,multiple penetration,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
182,object insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
183,tail insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
184,triple penetration,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
185,versatile slime penetration,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
186,assisted penetration,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
187,insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
188,robot penetration,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
189,deep insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
190,multiple insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
191,object penetration,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
192,anal fisting,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
193,fisting,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
194,large insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
195,multiple insertions,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
196,nipple penetration,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
197,self fisting,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
198,inflation,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
199,stomach bulge,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
200,rectal prolapse,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
201,extreme insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
202,huge insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
203,double fisting,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
204,extreme stretching,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
205,genital stretching,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
206,oversized insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
207,catheter,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
208,cum in urethra,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
209,urethral beads,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
210,urethral fingering,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
211,urethral insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
212,urethral penetration,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
213,urethra,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
214,urethral object push,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
215,urethral strap-on,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
216,after urethral,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
217,urethral dilation,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
218,urethral play,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
219,urethral sounding,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
220,sounding rod,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
221,urethra insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
222,urethra play,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
223,urethral rod,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
224,ddd threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
225,fdd threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
226,ffd threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
227,fff threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
228,ffm threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
229,fivesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
230,foursome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
231,gangbang,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
232,group sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
233,love train,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
234,mdd threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
235,mfd threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
236,mmd threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
237,mmf threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
238,mmm threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
239,orgy,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
240,reverse spitroast,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
241,shimaidon,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
242,spitroast,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
243,threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
244,shimaidon (sex),UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
245,groupsex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
246,ccc threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
247,ffc threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
248,ffo threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
249,mcc threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
250,mfo threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
251,mmc threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
252,mmo threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
253,oof threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
254,oom threesome,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
255,fourway,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
256,multi partner sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
257,multi penetration,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
258,three way,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
259,threeway,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
260,sex doll,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
261,sex toy,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
262,too many sex toys,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
263,vibrator,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
264,vibrator in anus,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
265,vibrator on nipple,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
266,anal beads,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
267,anal tail,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
268,butt plug,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
269,dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
270,dildo gag,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
271,dildo harness,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
272,dildo riding,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
273,dildo under mask,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
274,dildo under panties,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
275,double dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
276,dragon dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
277,egg vibrator,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
278,hitachi magic wand,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
279,horse dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
280,huge dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
281,jewel butt plug,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
282,public vibrator,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
283,rabbit vibrator,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
284,remote control vibrator,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
285,spiked dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
286,squirting dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
287,strap-on,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
288,suction cup dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
289,vibrator in thigh strap,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
290,vibrator in thighhighs,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
291,vibrator under clothes,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
292,vibrator under panties,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
293,vibrator under pantyhose,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
294,animal dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
295,dildo under clothes,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
296,knotted dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
297,implied vibrator,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
298,ejaculating dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
299,sex toys,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
300,anal dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
301,butterfly vibrator,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
302,love egg,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
303,sex tool,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
304,vibrating dildo,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
305,adult toy,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
306,adult toys,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
307,toy insertion,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
308,vibro,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
309,mecha on girl,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
310,milking machine,SUPPORT_DEFINED,Stage8C Phase1 Pilot001の限定scopeでsupport relationを定義済み。,STAGE8C_PILOT001_SPECIAL_310,STAGE8C_PHASE1_PILOT001,
311,riding machine,UNRESOLVED,Pilot001で語義を確認したが、共通または安全な個別補助relationを確定できない。,STAGE8C_PILOT001_SPECIAL_311,STAGE8C_PHASE1_PILOT001,support rows=0; no fabricated generic coverage
312,sex machine,SUPPORT_DEFINED,Stage 8B Pilotのenabled profileを現resolverで確認済み。,STAGE8B_PILOT,STAGE8C_PHASE0_SEED,
313,sybian,SUPPORT_DEFINED,Stage8C Phase1 Pilot001の限定scopeでsupport relationを定義済み。,STAGE8C_PILOT001_SPECIAL_313,STAGE8C_PHASE1_PILOT001,
314,robot sex,SUPPORT_DEFINED,Stage8C Phase1 Pilot001の限定scopeでsupport relationを定義済み。,STAGE8C_PILOT001_SPECIAL_314,STAGE8C_PHASE1_PILOT001,
315,dildo machine,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
316,spanking machine,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
317,fuck machine,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
