proposed_special_id,canonical_tag,display_ja,search_ja,ja_status,ja_note
2911,grabbed_breast_over_shoulder,肩越しに胸を掴まれる,肩越し胸掴み|後ろから肩越しに胸を掴む,PROPOSED_HUMAN,
2912,scar_on_thigh,太ももの傷跡,腿の傷跡|太ももの傷,PROPOSED_HUMAN,
2913,clitoral_stimulation_through_clothes,服越しのクリトリス刺激,服の上からクリ刺激|服越しクリ刺激|服越し陰核刺激,PROPOSED_HUMAN,
2914,head_under_another's_clothes,他人の服の中に頭,相手の服の中に頭|他人の服の下に頭,PROPOSED_HUMAN,
2915,toe_sucking,足指を吸う,つま先吸い|足の指しゃぶり|足指しゃぶり,PROPOSED_HUMAN,
2916,explosion_gag,爆発型の猿轡,爆発ギャグ|爆発型ギャグ,PROPOSED_HUMAN,canonical名を保守的に直訳
2917,thigh_freckles,太もものそばかす,腿のそばかす,PROPOSED_HUMAN,
2918,bikini_bottom_around_leg,片脚に引っかかったビキニボトム,ビキニボトムを片脚に掛ける|片脚だけビキニボトム,PROPOSED_HUMAN,
2919,bikini_bottom_lift,ビキニボトムを持ち上げる,ビキニ下を持ち上げる|ビキニボトム上げ,PROPOSED_HUMAN,
2920,bite_mark_on_ass,尻の噛み跡,お尻の噛み跡|尻に歯形,PROPOSED_HUMAN,
2921,applying_gag,猿轡を装着する,ギャグを付ける|猿轡を付ける|ギャグ装着,PROPOSED_HUMAN,
2922,removing_bra_under_shirt,シャツの下でブラを外す,服の中でブラを外す|シャツ越しにブラを脱ぐ,PROPOSED_HUMAN,
2923,blood_on_shoulder,肩に血,血まみれの肩|肩の血,PROPOSED_HUMAN,
2924,public_urination,人前で排尿,公開排尿|公衆の場で排尿|人前でおしっこ,PROPOSED_HUMAN,
2925,spread_eagle_position,スプレッドイーグル姿勢,大の字ポーズ|手足を広げた姿勢|スプレッドイーグル,PROPOSED_HUMAN,
2926,hands_on_own_crotch,自分の股間に両手,股間に両手|自分のクロッチに両手,PROPOSED_HUMAN,
2927,biting_breast,胸を噛む,乳房を噛む|胸噛み,PROPOSED_HUMAN,
2928,male_pregnancy,男性妊娠,男の妊娠|男性が妊娠|mpreg,PROPOSED_HUMAN,
2929,unworn_butt_plug,未装着のアナルプラグ,外したアナルプラグ|装着していない尻栓|未使用アナルプラグ,PROPOSED_HUMAN,
2930,pregnancy_halo,胎児の後光,妊娠ハロー|胎児ハロー|妊娠の後光,PROPOSED_HUMAN,fetus_halo aliasを優先した日本語
2931,imminent_breast_grab,胸を掴む直前,胸掴み寸前|胸を掴みそう|乳房を掴む直前,PROPOSED_HUMAN,
2932,mole_under_breast,胸の下のほくろ,乳房の下のほくろ|アンダーバストのほくろ,PROPOSED_HUMAN,
2933,licking_leg,脚を舐める,足を舐める|脚舐め,PROPOSED_HUMAN,
2934,blood_on_stomach,腹部に血,お腹に血|腹の血,PROPOSED_HUMAN,
2935,bloomers_around_one_leg,片脚に引っかかったブルーマー,ブルーマーを片脚に掛ける|片脚だけブルーマー,PROPOSED_HUMAN,burumaとはcanonicalを分離
