row_id,canonical_tag,identity_verdict,display_verdict,search_verdict,ranking_verdict,scope_verdict,relation_note,confidence,evidence_refs,proposed_display,proposed_search,reviewer_note,second_review_required
I70-000445,medusa_(fate),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,Fate qualifier is semantically useful; ASCII franchise label is not itself a translation error. Check collision behavior with other Medusa identities.,false
I70-000852,elizabeth_bathory_(fate),PASS,PASS,FAIL_DUPLICATE_NOISE,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,エリザベート・バートリー（Fate） | エリザベート・バートリー,Full-width/ASCII-parenthesis Fate variants are formatting duplicates; alias collision/ranking should be checked.,true
I70-002544,kei_(aris)_(blue_archive),PASS,REVIEW,REVIEW,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,WEB:current Blue Archive community references identify ケイ/天童ケイ; official verification pending,,,Current display 天童ケイ（aris） mixes a now-used full name with raw canonical qualifier. Do not auto-rewrite until official/current identity policy is verified.,true
I70-002725,mudrock_(elite_ii)_(arknights),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Display leaves elite ii untranslated while current search already carries 昇進2. Exact final display format needs second review.,true
I70-003159,eve_(stellar_blade),PASS,PASS,FAIL_DUPLICATE_NOISE,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,イヴ | イヴ（Stellar Blade） | EVE,Stellar Blade vs Stellar_Blade and parenthesis variants are formatting duplicates.,true
I70-003656,captain_nemo_(fate),PASS,PASS,FAIL_DUPLICATE_NOISE,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Several Fate formatting variants duplicate the same retrieval surface; preserve キャプテン alias but deduplicate formatting.,true
I70-004202,hilda_valentine_goneril_(timeskip),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,ヒルダ＝ヴァレンティン＝ゴネリル（5年後）,,Current search supplies the Japanese qualifier 5年後 while display exposes raw timeskip.,true
I70-004416,cheval_grand_(grand_itineraire)_(umamusume),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,シュヴァルグラン（ウマ娘）（Grand Itinéraire）,,Raw lowercase qualifier is unsuitable; existing search contains the styled surface. Preserve both identity dimensions pending format review.,true
I70-006041,sherlock_holmes_(fate),PASS,PASS,FAIL_DUPLICATE_NOISE,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Japanese search contains multiple parenthesis-format duplicates for the same Fate qualifier.,true
I70-008266,soul_(character)_(deltarune),PASS,FAIL_TRANSLATION,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,ソウル（DELTARUNE）,,Current display is raw canonical fallback while search contains ソウル. Exact official capitalization/qualifier format needs second review.,true
I70-009997,gawr_gura_(party_dress),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,がうる・ぐら（パーティードレス）,,Current search already contains the Japanese qualifier; display exposes raw party dress.,true
I70-010173,zooey_(summer)_(granblue_fantasy),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,ゾーイ（グランブルーファンタジー）（水着）,,Current search already maps summer to 水着; display exposes raw summer.,true
I70-010317,winning_ticket_(get_to_winning!)_(umamusume),PASS,FAIL_TRANSLATION,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,ウイニングチケット（ウマ娘）（Go To Winning!）,,Display is canonical fallback; current search contains the localized character name and styled costume/title.,true
I70-011760,aubrey_(birthday)_(omori),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,オーブリー（OMORI）（誕生日）,,Current search already supplies 誕生日; display exposes raw birthday.,true
I70-024763,boy_vajra_(fate),PASS,FAIL_QUALIFIER,FAIL_COLLISION,FAIL_AMBIGUITY,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,"Boy/girl Vajra rows share the same display/search surface, losing the canonical sex distinction. Exact Japanese qualifier requires second review.",true
I70-035921,mahou_shoujo_madoka_magica_(anime),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,"Search surfaces are reasonable title abbreviations; collision with broader franchise needs ranking check, not automatic deletion.",false
I70-035964,pokemon_(anime),PASS,PASS,FAIL_NON_IDENTITY_TERM,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,アニポケ | ポケットモンスター（アニメ） | ポケットモンスター(アニポケ),"Search contains multiple character-scoped terms and movie terms, which are not aliases of the anime copyright itself.",true
I70-000041,link,PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Series suffix is useful disambiguation for a highly ambiguous common name despite unqualified canonical; do not remove automatically.,false
I70-000050,yuuka_(blue_archive),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Full-name surface is strong; short-name/context variants create expected collisions and need ranking check only.,false
I70-000072,gawr_gura,PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Display/search are good; short normalized surface collision should be tested in actual ranking.,false
I70-000090,trainer_(umamusume),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Generic identity requires work qualifier; collision on トレーナー is expected and should be evaluated by ranking.,false
I70-036057,kamen_rider,PASS,FAIL_NAME,FAIL_NON_IDENTITY_TERM,REVIEW,REVIEW,RELATION_UNKNOWN,HIGH,WEB:https://www.kamen-rider-official.com/series/maskedrider/ ; INTERNAL:canonical/search,仮面ライダー,仮面ライダー,Official series title is 仮面ライダー; current display オリジナルライダー is a different concept. Search mixes subgroups such as 女性/平成/昭和ライダー. Scope requires separate mixed-media/product-policy review.,true
I70-000127,aris_(blue_archive),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Canonical is qualified and display carries full character name + work; collision on アリス is expected.,false
I70-000267,shuten_douji_(fate),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Fate qualifier is useful disambiguation; ASCII franchise label is acceptable pending style consistency.,false
I70-036245,atelier_ryza,PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,"Display is full official-style title and search is common short title; collision should be handled by ranking, not deletion.",false
I70-000924,moria_luluka,PASS,REVIEW,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,Unqualified canonical gained work suffix. Could be useful disambiguation; independent justification needed before removing.,true
I70-001432,mortis_(costume)_(bang_dream!),PASS,FAIL_QUALIFIER,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,モーティス（BanG Dream!）（衣装）,,Current search already provides 衣装 while display exposes raw costume.,true
I70-001852,katsuragi_marina,PASS,REVIEW,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,Unqualified canonical gained work suffix; verify collision/disambiguation need independently.,true
I70-002140,ellen_joe_(on_campus),PASS,FAIL_QUALIFIER,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,エレン・ジョー（学園）,,Current search already maps on campus to 学園.,true
I70-002398,mita_(miside),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,MiSide is the work title and can remain Latin; check collision on ミタ only.,false
I70-002789,silica,PASS,REVIEW,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,"Unqualified canonical gained SAO work suffix; likely useful because シリカ is ambiguous, but needs independent disambiguation justification.",true
I70-037051,grandia,PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Identity/display/search look correct; collision likely reflects related franchise rows.,false
I70-003683,xu_fu_(fate),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Fate qualifier is useful disambiguation; no intrinsic display/search defect.,false
I70-037301,valkyrie_profile_(series),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Series identity/display look correct; alias collision is expected with franchise-related rows.,false
I70-004993,sayo_samonji,PASS,FAIL_OVERDISAMBIGUATION,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,WEB:https://www.toukenranbu.jp/character/083/ ; INTERNAL:canonical/display,小夜左文字,,Official character page identifies the character simply as 小夜左文字. The appended とうらぶ work abbreviation is not part of the name and canonical is unqualified.,true
I70-038159,tamagotchi_(classic),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,WEB:https://tamagotchi-official.com/jp/series/original/faq/ ; WEB:https://www.bandai.co.jp/press/2025/251119.php,初代たまごっち,,Canonical classic distinction is lost in current display. Official Bandai material explicitly uses 初代「たまごっち」.,true
I70-039837,lovely_x_cation_2,PASS,FAIL_NAME,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,WEB:https://www.hibiki-site.com/product.html ; WEB:https://www.hibiki-site.com/products/lc2re/index.html,ラブリケーション2,,Current display drops the sequel number. Official product name is LOVELY×CATION2; Japanese search already carries ラブリケーション2.,true
