proposed_special_id,canonical_tag,canonical_aliases,frozen_post_count_2026_09_02,proposed_layer,adult_domains,review_source,source_issue104_merge,metadata_status
2998,stained_panties,,2998,Core,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2999,pointy_breasts,"torpedo_breasts,very_perky_breasts",2272,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3000,hand_in_another's_panties,,2174,Core,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3001,futa_without_balls,,2021,Core,OPAQUE_ADULT_SURFACE,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3002,light_areolae,,1998,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3003,straitjacket,"straight_jacket,straightjacket",1907,Core,BDSM_RESTRAINT,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3004,speckled_areolae,,1839,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3005,handsfree_breast_squeeze,,1487,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3006,covering_one_breast,covering_breast,1485,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3007,breast_milk_in_container,breast_milk,1219,Core,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3008,pov_breasts,,1207,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3009,male_with_breasts,,1088,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3010,poking_another's_breast,,1048,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3011,viewer_on_leash,pov_leashed,1019,Core,BDSM_RESTRAINT,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3012,dark_areolae,,1012,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3013,breast_zipper,,968,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3014,breast_pillow,,800,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3015,extended_downblouse,,680,Extended,EXPOSURE_FETISH_CLOTHING,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3016,buttjob_over_clothes,,679,Extended,SEX_ACT_RELATION,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3017,sweaty_feet,sweaty_foot,589,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3018,rope_around_neck,,572,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3019,condom_thigh_strap,,568,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3020,rope_marks,,515,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3021,upright_restraints,,495,Extended,BDSM_RESTRAINT,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3022,male_underwear_aside,"boxers_aside,briefs_aside,underwear_aside_(male)",465,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3023,wet_male_underwear,wet_underwear_(male),377,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3024,asymmetrical_breasts,lopsided_breasts,361,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3025,used_condom_in_clothes,,354,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3026,condom_wrapper_in_clothes,condom_in_clothes,348,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3027,breast_drop,,341,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3028,extreme_gaping,,341,Extended,ANAL_RECTAL,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3029,groping_motion,,336,Extended,SEX_ACT_RELATION,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3030,extra_breasts,"multibreast,multiple_breasts,polymastia",332,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3031,electrostimulation,,327,Extended,SEX_DEVICE_IMPLEMENT,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3032,breast_size_difference,,325,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3033,saliva_on_breasts,,325,Extended,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3034,saliva_swap,,321,Extended,FLUID_EXCRETION,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3035,smelly_armpits,,319,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3036,smelling_armpit,,314,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3037,powerful_breasts,,312,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3038,broken_condom,torn_condom,294,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3039,sabotaged_condom,piercing_condom,266,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3040,breast_on_breast,,263,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3041,cooperative_buttjob,"multiple_buttjob,double_buttjob",263,Extended,SEX_ACT_RELATION,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3042,covering_another's_breasts,,229,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3043,mole_on_areola,,223,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3044,shared_handcuffs,,215,Extended,BDSM_RESTRAINT,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3045,tickling_breasts,,212,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3046,shackle_piercing,,206,Extended,BDSM_RESTRAINT,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3047,intestine_clothing,,194,Extended,R18G_INJURY,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3048,feet_on_another's_face,,192,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3049,breast_massage,,178,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3050,extended_upskirt,,178,Extended,EXPOSURE_FETISH_CLOTHING,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3051,buttjob_under_clothes,,171,Extended,SEX_ACT_RELATION,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3052,condom_pull,,169,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3053,unzipping_another's_clothes,,169,Extended,EXPOSURE_FETISH_CLOTHING,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3054,standing_restraints,,166,Extended,BDSM_RESTRAINT,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3055,slapping_breasts,,161,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3056,offering_leash,,159,Extended,BDSM_RESTRAINT,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3057,drinking_from_condom,,149,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3058,kissing_breast,breast_kiss,142,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3059,uterus_pose,,140,Extended,REPRODUCTION_PREGNANCY,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3060,single_breast,missing_breast,125,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3061,cospussy,,123,Extended,FEMALE_GENITAL;OPAQUE_ADULT_SURFACE,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3062,areola_measuring,,121,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3063,cunt_punt,,120,Extended,FEMALE_GENITAL,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3064,breast_reduction,shrinking_breasts,117,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3065,female_fertilization,,109,Extended,REPRODUCTION_PREGNANCY,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3066,open-chest_straitjacket,,104,Extended,BDSM_RESTRAINT,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3067,foot_on_another's_breast,"foot_on_breast,stepping_on_breasts",101,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3068,condom_on_ass,,100,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3069,lube_on_breasts,,97,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3070,breast_size_switch,,96,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3071,breast_pull,,91,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3072,putting_on_condom,condom_application,90,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3073,face_in_armpit,,78,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3074,slapping_with_breasts,,78,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3075,weighing_breasts,,72,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3076,artificial_insemination,insemination,71,Extended,REPRODUCTION_PREGNANCY,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3077,compressed_breasts,,69,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3078,shibarikini,,68,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3079,breasts_on_thighs,,66,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3080,condom_in_ass,,66,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3081,condom_on_tongue,,65,Extended,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3082,breast_punch,,64,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3083,fluid_on_breasts,,63,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3084,breast_implants,,62,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3085,breast_crush,,58,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3086,breast_shake,,55,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3087,implied_egg_laying,,50,Extended,NONHUMAN_TENTACLE,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
3088,tied_breast,,50,Extended,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
