row_id,canonical_tag,category,display_ja,search_ja,translation_status,translation_note
I70-047501,sin_mal0909,1,sin mal0909,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047519,otokamu,1,otokamu,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047520,sa-ya2,1,sa-ya2,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047521,sebu_illust,1,セブラスト,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047522,anzu_ame,1,Anzu Ame,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047523,arsenixc,1,arsenixc,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047524,c-button,1,Cボタン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047525,gin_moku,1,ジン・モク,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047526,hime_takeo,1,hime takeo,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047527,kannatsuki_noboru,1,カンナツキノボル,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047528,mel/a,1,メル/a,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047529,micosiva,1,ミコシバ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047530,ringo_sui,1,リンゴ・スイ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047531,shundou_heishirou,1,Shundou Heishirou,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047532,ubanis,1,ウバニス,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047533,yewang19,1,yewang19,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047534,fuusuke_(fusuke208),1,福（fusuke208）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047535,itolife,1,itolife,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047536,mataichi_mataro,1,マタイチマタロ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047537,osuwaani,1,osuwaani,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047538,yourfreakyneighbourh,1,あなたのフレアイン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047539,chata_maru_(irori_sabou),1,チャタマル（Irori Sabou）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047540,conto,1,コント,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047541,hagiya_masakage,1,hagiya masakage,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047542,itohana,1,itohana,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047543,kanna_(plum),1,カンナ（プラム）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047544,keihh,1,keihh,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047545,ko_yu,1,Ko Yu,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047546,mikeran_(mikelan),1,ミケラン（ミケラン）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047547,nishida_asako,1,麻木西田,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047548,niwashiro,1,z-epto（chat-noir86）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047549,onedoo,1,onedoo,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047550,pupps,1,子犬,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047551,saku_(osake_love),1,サク（オセケラブ）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047552,tokumi_yuiko,1,東京ユイコ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047553,aumann,1,オーマン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047554,ayase_hazuki,1,アヤゼ・ハズキ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047555,besmiled,1,busmiled,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047556,kazuma_kaneko,1,カズマカネコ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047557,megahiyo,1,メガヒヨ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047558,sp0i0ppp,1,sp0i0ppp,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047559,youzaiyouzai112,1,youzaiyouzai112,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047560,ame_(amechan17391739),1,AME（AMECHAN17391739）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047561,jianjia,1,jianjia,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047562,kouda_tomohiro,1,Kouda Tomohiro,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047563,lamb_(hitsujiniku),1,子羊（sujiniku）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047564,okitsugu,1,沖U,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047565,pepe_(jonasan),1,ペペ（ジョナサン）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047566,saeki_sora,1,Saeki Sora,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047567,satoupote,1,satoupote,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047568,fujishima_shinnosuke,1,藤島属,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047569,himonoata,1,himonoata,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047570,inoshira,1,イノシラ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047571,jiru_(jirufun),1,ジル（ジルフン）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047572,kafu_(logaemon),1,kafu (logaemon),,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047573,karasusou_nano,1,Karasusou nano,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047574,ken_(shutenndouji1),1,Ken（Shutenndouji1）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047575,mizuki_(flowerlanguage),1,ミズキ（フラワーランゲージ）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047576,mukka,1,ムッカ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047577,saeki_tatsuya,1,Saeki Tatsuya,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047578,shun_(rokudena-shi),1,shun（rokudena-shi）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047579,spykeee,1,スパイキー,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047580,takemori_shintarou,1,高星のshintarou,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047581,tsukino_(nakajimaseiki),1,ツキノ（ナカジマセイキ）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047582,yagami_(mukage),1,Yagami（Mukage）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047583,yamamoto_arifred,1,山本アリフレッド,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047584,kat_(bu-kunn),1,キャット（bu-kunn）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047585,koyama_hirokazu,1,小山hirokazu,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047586,laser-lance,1,laser-lance,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047587,leogust,1,regogust,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047588,owasaki,1,owasaki,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047589,pongldr,1,pongldr,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047590,tachibana_roku,1,タチバナロク,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047591,takaya_n,1,高山n,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047592,tama_(soon32281),1,タマ（SOON32281）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047593,teranen,1,テラネン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047594,go-1,1,go-1,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047595,henriiku_(ahemaru),1,Henriiku（Ahemaru）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047596,irohara,1,イロハラ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047597,jejejunum,1,jejejunum,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047598,kuroonehalf,1,クルーンハルフ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047599,lulalang,1,lulalang,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047600,mamimi_(mamamimi),1,マミミ（ママミミ）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047601,noukatu,1,ヌカツ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047602,nyaa_(nnekoron),1,Nyaa（Nnekoron）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047603,shinishi_chiho,1,shinishi chiho,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047604,shinomu_(cinomoon),1,シノム（シノムーン）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047605,sonao,1,ソナオ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047606,taiki_(6240taiki),1,タイキ（6240taiki）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047607,valefal_coneri,1,Valefal Coneri,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047608,vent_arbre,1,ベントアーブル,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047609,wasabi60,1,wasabi60,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047610,igayan,1,イガヤン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047611,imigimuru,1,イミギムル,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047612,interstellar,1,星間,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047613,kotobuki_(stealth_sendan),1,コトブキ（ステルスセンダン）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047614,kyousaru,1,kyousaru,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047615,seisui_bar,1,seisui bar,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047616,top-exerou,1,トップエクセロ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047617,yuama,1,ユマ（ドロップ）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047618,1ssakawaguchi,1,1Ssakawaguchi,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047619,bae.c,1,BAE.C,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047620,beritabo,1,ベリタボ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047621,bitseon,1,ビチオン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047622,carlo_montie,1,カルロモンティー,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047623,chocomiru,1,チョコミル,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047624,envenomist_(gengoroumaru),1,envenomist (gengoroumaru),,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047625,hogeroh,1,Hogeroh,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047626,jk_arts,1,jk arts,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047627,kaedeko_(kaedelic),1,Kaedeko（Kaedelic）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047628,karamoneeze,1,Karamoneeze,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047629,kion-kun,1,Kion-Kun,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047630,kobamiso_(kobalt),1,コバミソ（コバルト）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047631,kujira_naoto,1,Kujira Naoto,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047632,maccha,1,マッカ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047633,magowasabi,1,マゴワサビ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047634,ment,1,メント,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047635,nago_purin,1,nago purin,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047636,p19,1,p19,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047637,pandea_work,1,パンデアの仕事,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047638,ry_(yagoyago),1,ry（yagoyago）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047639,shooka,1,o（rakkasei）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047640,dodai_shouji,1,ドーダイ・ショウジ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047641,durindana_7,1,Durindana 7,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047642,kaidou_zx,1,kaidou zx,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047643,mapar,1,Mapar,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047644,mochiyuki,1,モチユキ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047645,namiki_(remiter00),1,namiki（Remiter00）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047646,nez-box,1,ネズボックス,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047647,panties_(pantsu-pirate),1,パンティー（パンツパイレート）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047648,shinmai_(kyata),1,shinmai（Kyata）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047649,shouji_ayumu,1,ayumu,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047650,siraha,1,シラハ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047651,special_cat,1,special cat,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047652,circussion,1,回心,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047653,goomrrat,1,Goomrrat,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047654,leon_(mikiri_hassha),1,レオン（ミキリ・ハッシャ）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047655,moshimoshibe,1,Moshimoshibe,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047656,philipp_urlich,1,フィリップ・ウルリッチ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047657,shigure_ui,1,シギュアUI,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047658,shu-mai,1,shu-mai,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047659,simao_(x_x36131422),1,Simao（x x36131422）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047660,suichuu_hanabi,1,Suichuu Hanabi,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047661,abbystea,1,アビーステア,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047662,aoi_manabu,1,aoi manabu,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047663,asaborakenoke,1,asaborakenoke,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047664,dr_yamero,1,dr yamero,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047665,efreezerarts,1,efreezerarts,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047666,georugu13,1,Georugu13,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047667,hanamiya_natsuka,1,ハナミヤ・ナツカ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047668,marimo_danshaku,1,マリモ・ダンシャク,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047669,silvertsuki,1,Silvertsuki,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047670,suzaku_(zaku6584),1,スザク（Zaku6584）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047671,udon_entertainment,1,ウドンエンターテインメント,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047672,yuugo_(atmosphere),1,ユウゴ（大気）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047673,119,1,119,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047674,accio,1,Accio,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047675,chomoran,1,チョモラン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047676,cocozasa,1,ココザサ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047677,flippy_(cripine111),1,Flippy（Cripine111）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047678,gentle_sasaki,1,穏やかな佐々木,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047679,heebee,1,ヒービー,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047680,hiiragi_hazime,1,hiiragi hazime,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047681,ichizen_(o_tori),1,ICHIZEN（O Tori）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047682,katsushika_yuki,1,katsushika yuki,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047683,marisasu_(marisa0904),1,Marisasu（Marisa0904）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047684,mizukoshi_(marumi),1,ミズコシ（マルミ）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047685,noto_kurumi,1,Noto kurumi,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047686,salmon88,1,salmon88,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047687,tatami_to_hinoki,1,タータミからヒノキ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047688,tsuutenkaaku,1,Tsuutenkaaku,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047689,hoppege,1,ホッページ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047690,kiman,1,キマン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047691,melaton,1,メラトン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047692,ninimo_nimo,1,ニニモニモ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047693,shirosuzu,1,shirosuzu,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047694,sob_(submar1089),1,sob（submar1089）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047695,asatsuki_(fgfff),1,麻酔（fgfff）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047696,datemegane,1,Datemegane,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047697,hyanna-natsu,1,ハイナナツ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047698,jaku_sono,1,ヤクソノ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047699,kisaragi_yuu_(fallen_sky),1,kisaragi yuu（fallen sky）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047700,kohinata_hoshimi,1,コヒナタ・ホシミ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047701,midori_foo,1,ミドリフー,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047702,nekozuki_yuki,1,ネコズキゆず,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047703,reel_(riru),1,リール（リル）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047704,sasahara_yuuki,1,ササハラユーキ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047705,shino_(eefy),1,シノ（efy）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047706,shinozuka_atsuto,1,Shinozuka atsuto,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047707,smgold,1,smgold,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047708,ura_(hamburg_oniku),1,ura (hamburg oniku),,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047709,yoshida_keiji,1,ヨシダケジ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047710,ayul_(ayulneri_92),1,ayul（ayulneri 92）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047711,bukimi_isan,1,ブキミ・イサン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047712,chance8000,1,chance8000,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047713,cherry-gig,1,チェリーギグ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047714,da-kuro,1,da-kuro,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047715,dandara_(karakure),1,ダンダラ（karakure）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047716,fbc,1,FBC,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047717,mibry_(phrysm),1,ミブリー（phrysm）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047718,nabe_puyo,1,nabe puyo,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047719,nbee_ya,1,nbee ya,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047720,ncontrail_(mgax7527),1,ncontrail（mgax7527）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047721,salt_(salty),1,塩（塩辛い）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047722,shinonome_sakura,1,shinonome sakura,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047723,shiraue_yuu,1,Shiraue Yuu,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047724,teranekosu,1,Teranekosu,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
