canonical_tag,post_count,aliases,adult_review_priority,adult_review_hits,coverage_status,human_review_status,notes
sakuya's_pads_(meme),115,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
round_shield,111,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
nikke_promo_parody,108,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
xiangyun_print,108,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
exceeds_uniform,105,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
open-chest_straitjacket,104,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
cropped_wetsuit,103,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
scoring_(sports),103,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
crosshair_halo,99,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
saab,96,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
the_nameless_(honkai:_star_rail),96,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
swirl_on_cheek,95,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
spa_headband,91,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
regulator_(ff14),89,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
black_dickey,88,,HIGH,dick,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
white_dickey,86,,HIGH,dick,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
multiple_moles_under_one_eye,81,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
alternate_eyebrow_color,80,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
outstretched_stomach,80,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
gessen_academy_school_uniform_(new_link),77,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
liella!_(year_3),77,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
support_servant_(fate),77,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
tied_from_afar,77,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
anti-magic_mask_(tensura),76,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
hanzou_academy_school_uniform_(new_link),75,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
anis_face_(nikke),72,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
nicorinpana_(love_live!),71,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
skeb_username,71,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
p30_device_(resident_evil),67,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
dixies_uniform,66,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
centered_hair_bow,65,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
poryphone,65,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
puchisshu,64,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
back_double_bow,63,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
kiss_22_title,62,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
reimu's_growing_gohei_(meme),61,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
gameplay_glitch,60,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
james_day,60,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
kaiser_pmc_corruption,59,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
omari_(omori),59,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
triangle_hair_bun_with_corners_toward_head,58,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
bamboo_branch,57,,HIGH,bra,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
nuanmao,57,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
angels_of_delusion_kfc_bag,56,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
patisserie_chuchu_uniform,56,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
art_styles_image_response,55,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
sock_tan,55,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
x-ray_electrocution,55,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
archer_summoning_day,54,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
mikagura_uniform_(new_link),54,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
black_bike_shorts,53,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
fake_television_screen,51,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
holding_pineapple,50,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
tea_party_militant_outfit_(blue_archive),50,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
