canonical_tag,post_count,aliases,adult_focused_relevance,decision,confidence,reason,evidence
collapsed_bipod,373,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
gender_transitioning_(ftm),346,,ADULT_ADJACENT_OR_NONADULT_GENERAL,GENERAL_GAP_CANDIDATE,HIGH,"Current Danbooru body/identity state is useful discovery vocabulary, but it is not an adult/fetish concept by itself; route to General freshness rather than sexual Special.",pinned canonical snapshot + product-layer review
unexpectedly_good,296,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
gender_transitioning_(mtf),277,,ADULT_ADJACENT_OR_NONADULT_GENERAL,GENERAL_GAP_CANDIDATE,HIGH,"Current Danbooru body/identity state is useful discovery vocabulary, but it is not an adult/fetish concept by itself; route to General freshness rather than sexual Special.",pinned canonical snapshot + product-layer review
gun_on_bipod,269,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
long_unitard,265,,ADULT_ADJACENT_OR_NONADULT_GENERAL,GENERAL_GAP_CANDIDATE,HIGH,"Ordinary garment subtype; useful General freshness item, not deep adult Special.",pinned canonical snapshot + product-layer review
anakt_arts_high_school_uniform,259,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
poke_doll,247,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
double_bowtie,239,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
catcher's_mitt,229,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
holding_hookah,220,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
shunryuu_kokubyou_senki,219,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
anakt_arts_high_school_uniform_(fading_youth),217,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
tenshi_day,207,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
supported_shooting,206,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
playing_other_gachas,200,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
strawberry_print_bra,195,,ADULT_ADJACENT_OR_NONADULT_GENERAL,GENERAL_GAP_CANDIDATE,HIGH,Underwear pattern is adult-adjacent but structurally ordinary clothing; General is the appropriate layer.,pinned canonical snapshot + product-layer review
mekakushi_dan_(kagerou_project),188,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
offering_collar,176,,BDSM_ADJACENT_AMBIGUOUS,NEEDS_SEMANTIC_REVIEW,MEDIUM,"Potential petplay/BDSM relation concept, but the canonical surface alone does not prove fetish semantics; verify Danbooru definition/examples before Special admission.",pinned canonical snapshot + bounded web/context review; definition-level confirmation still required
teto_day,176,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
intertwined_fate_(genshin_impact),171,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
unzipping_another's_clothes,169,,ADULT_ADJACENT_RELATION,SPECIAL_CANDIDATE,HIGH,Specific actor-target clothing-state action is harder to discover than generic unzipping/open-clothes and fits Special relation/exposure discovery.,pinned canonical snapshot + product-fit structural review
holding_chaos_emerald,163,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
manji,161,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
left-handed_pitcher,158,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
laurel_tattoo,153,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
first_class_mage_uniform,150,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
garden_chair,150,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
catcher_stance,145,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
kokona's_stamp_(blue_archive),144,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
print_dickey,141,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
fansub,140,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
twins_at_the_carousel_(meme),137,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
perversion_of_games,134,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
touhou_22nd_popularity_poll,131,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
ceremonial_sword_(manosaba),128,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
cospussy,123,,DIRECT_EXPLICIT_GENITAL,SPECIAL_CANDIDATE,HIGH,Explicit niche genital/cosplay concept; current Danbooru new-tag reporting confirms it as a General canonical surface and it is absent from both product dictionaries.,current Danbooru new-tag report + pinned canonical snapshot
fairy_(precure),121,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
hebijo_academy_school_uniform_(new_link),121,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
short_unitard,119,,ADULT_ADJACENT_OR_NONADULT_GENERAL,GENERAL_GAP_CANDIDATE,HIGH,"Ordinary garment subtype; useful General freshness item, not deep adult Special.",pinned canonical snapshot + product-layer review
bamboo_pole,115,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
sakuya's_pads_(meme),115,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
round_shield,111,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
nikke_promo_parody,108,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
xiangyun_print,108,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
exceeds_uniform,105,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
open-chest_straitjacket,104,,DIRECT_BDSM_RESTRAINT_EXPOSURE,SPECIAL_CANDIDATE,HIGH,Combines restraint equipment with explicit chest-access/exposure geometry and is a strong deep-fetish discovery concept rather than ordinary clothing.,pinned canonical snapshot + external semantic corroboration for open-chest straitjacket restraint/fetish use
cropped_wetsuit,103,,ADULT_ADJACENT_OR_NONADULT_GENERAL,GENERAL_GAP_CANDIDATE,HIGH,"Clothing/exposure-adjacent garment variant, but still broad clothing vocabulary suited to General.",pinned canonical snapshot + product-layer review
scoring_(sports),103,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
crosshair_halo,99,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
saab,96,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
the_nameless_(honkai:_star_rail),96,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
swirl_on_cheek,95,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
spa_headband,91,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
regulator_(ff14),89,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
black_dickey,88,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
white_dickey,86,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
multiple_moles_under_one_eye,81,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
alternate_eyebrow_color,80,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
outstretched_stomach,80,,BODY_STATE_AMBIGUOUS,NEEDS_SEMANTIC_REVIEW,MEDIUM,"Body-state wording can look fetish-relevant, but current indexed Danbooru context also places it in nonsexual taser/electrocution material; do not classify as adult without definition-level evidence.",pinned canonical snapshot + bounded web/context review; definition-level confirmation still required
gessen_academy_school_uniform_(new_link),77,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
liella!_(year_3),77,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
support_servant_(fate),77,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
tied_from_afar,77,,RESTRAINT_ADJACENT_AMBIGUOUS,NEEDS_SEMANTIC_REVIEW,MEDIUM,"Likely a remote/off-frame restraint topology concept and appears with ribbon-around-body material, but exact current semantics/status need direct verification before admission.",pinned canonical snapshot + bounded web/context review; definition-level confirmation still required
anti-magic_mask_(tensura),76,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
hanzou_academy_school_uniform_(new_link),75,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
anis_face_(nikke),72,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
nicorinpana_(love_live!),71,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
skeb_username,71,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
p30_device_(resident_evil),67,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
