cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,review_status,review_reason,evidence_refs,audit_note
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-041262,pokemon_ranger_1,Copyright,110,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005730,marie_antoinette_alter_(fate),Character,552,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005743,protagonist_2_(housamo),Character,551,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005745,ye_shunguang_(enlightened_state),Character,551,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005748,fujimaru_ritsuka_(female)_(brilliant_summer),Character,550,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005756,angel_dust,Character,549,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005770,jingburger,Character,548,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005774,smol_mari_(blue_archive)_(horuhara),Character,548,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005777,black-haired_demon_girl_(shimmer),Character,547,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005785,aang,Character,546,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005795,mademoiselle_crabaletta,Character,545,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005798,neutral_chao,Character,545,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005804,nier_(brother),Character,544,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005818,kotone_(blue_archive),Character,542,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005819,lambda-11,Character,542,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005820,marius_von_hagen_(tears_of_themis),Character,542,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005826,hasumi_souji_(eroe),Character,541,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005834,caleb_(love_and_deepspace),Character,540,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005838,matara_kan,Character,540,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
