identity_key,general_path,state
laddered_bodystocking,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
lantern_on_liquid,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
lipstick_tube,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
long_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
mahjong_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
memorial_on_desk,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
mini_person_on_head,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
multiple_condoms,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
okamoto_condoms,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_bag,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_book,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_box,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_can,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_cuffs,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_cylinder_(revolver),OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_drawer,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_gift,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_happi,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_magazine,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_poke_ball,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_sign,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
open_towel,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
operating_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
picnic_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
poker_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
pregnancy_test,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
pull_cord,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
roulette_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
round_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
shock_collar,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
sign_around_neck,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
string_around_finger,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
string_around_neck,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
string_around_wrist,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
string_pull,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
table_knife,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
table_tennis_ball,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
table_tennis_net,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
table_tennis_paddle,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
too_many_condoms,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
towel_around_neck,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
towel_around_waist,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
towel_on_arm,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
towel_on_head,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
towel_on_legs,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
towel_on_one_shoulder,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
traffic_cone_on_head,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
wooden_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
bucket_of_milk,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
chocolate-covered_food,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
chocolate_milk,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
coffee_milk,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
condensed_milk,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
dango_milk_(genshin_impact),OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double-decker_hamburger_bun,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double_popsicle,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
fried_egg_on_toast,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
ice_cream_cone_on_head,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
ice_cream_on_face,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
lon_lon_milk,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
mega_milk,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
meiji_milk_chocolate,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
milk,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
milk_bottle,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
milk_carton,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
milk_churn,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
milk_mustache,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
milk_tea,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
moomoo_milk,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
pineapple_on_pizza,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
spilled_milk,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
strawberry_milk,OBJECT_PROP/FOOD,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double-decker_bus,OBJECT_PROP/VEHICLE,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
exs-slave,OBJECT_PROP/VEHICLE,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
one-eyed_mecha,OBJECT_PROP/VEHICLE,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
one-finger_caress,OBJECT_PROP/VEHICLE,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
ride-on_toy_car,OBJECT_PROP/VEHICLE,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
vanity_table,OBJECT_PROP/VEHICLE,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
black_whip_(boku_no_hero_academia),OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
chain_whip,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double-barreled_shotgun,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double-sided_axe,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double-sided_polearm,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double_beam_cannon,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double_blade,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double_bladed_lightsaber,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double_soul_(mega_man),OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
energy_whip,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
extended_magazine,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
gun_between_thighs,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
gun_in_another's_mouth,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
gun_in_own_mouth,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
gun_on_back,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
gun_to_another's_head,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
gun_to_own_head,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
shield_on_back,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
weapon_on_floor,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
weapon_on_wall,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
whip_sword,OBJECT_PROP/WEAPON,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
