row_id,canonical_tag,post_count,display_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-004818,reu_(cookie),674,RU姉貴,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-004904,ichigo_(cookie),659,ICG姉貴,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-004990,conch_(gundam),646,コンチ,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005034,king_(aotu_world),640,金,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005062,kamio_reiji_(yua),636,カミオ・レイジ（ユア）,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005201,xia_fei,618,夏斐,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005431,aqua_(deltarune),587,ターコイズ（DELTARUNE）,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005502,trianne_(honkai:_star_rail),579,トリアン,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005529,arima_senne,575,アリマセン,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005555,luo_binghe,573,洛冰河,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005616,windsong_(reverse:1999),566,北方哨歌,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005687,trinnon_(honkai:_star_rail),558,トリノン,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005711,sakurai_touko,555,桜井桃子,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005729,luuk_herssen_(wuthering_waves),552,リューク・ヘルセン,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005774,smol_mari_(blue_archive)_(horuhara),548,ミニマリー,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005818,kotone_(blue_archive),542,淵上コトネ,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005834,caleb_(love_and_deepspace),540,マヒル,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005852,wang_(arknights),539,ウァン（アークナイツ）,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005877,marche_lorraine's_puppet,536,パペマル,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005886,abyssal_admiral_(kancolle),535,深海提督,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-005928,gecqua,531,ミオリー,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-007542,astolfo_(saber)_(first_ascension)_(fate),396,astolfo_(saber)_(first_ascension)_(fate),FIX_DISPLAY,アストルフォ（Fate）（saber / first ascension）,,NON_JA_VARIANT_TO_TRUSTED_BASE_PLUS_CANONICAL,HIGH,AUDIT_FIX_SEARCH; exact family base + canonical qualifier diff,raw/canonical風の非日本語表示を、検証済み基準キャラ日本語名＋canonical variant識別子へ直す。,PROPOSED
I70-007543,ayunda_risu_(1st_costume),396,ayunda_risu_(1st_costume),FIX_DISPLAY,アユンダ・リス（1st costume）,,NON_JA_VARIANT_TO_TRUSTED_BASE_PLUS_CANONICAL,HIGH,DIRECT_SOURCE_SUPPORT; exact family base + canonical qualifier diff,raw/canonical風の非日本語表示を、検証済み基準キャラ日本語名＋canonical variant識別子へ直す。,PROPOSED
I70-007615,mudrock_(obsidian)_(arknights),392,Mudrock（Obsidian）（Arknights）,FIX_DISPLAY,マドロック（アークナイツ）（obsidian）,,NON_JA_VARIANT_TO_TRUSTED_BASE_PLUS_CANONICAL,HIGH,DIRECT_SOURCE_SUPPORT; exact family base + canonical qualifier diff,raw/canonical風の非日本語表示を、検証済み基準キャラ日本語名＋canonical variant識別子へ直す。,PROPOSED
I70-007745,lilith_(statue)_(machikado_mazoku),384,lilith_(statue)_(machikado_mazoku),FIX_DISPLAY,リリス（まちカドまぞく）（statue）,,NON_JA_VARIANT_TO_TRUSTED_BASE_PLUS_CANONICAL,HIGH,AUDIT_FIX_DISPLAY; exact family base + canonical qualifier diff,raw/canonical風の非日本語表示を、検証済み基準キャラ日本語名＋canonical variant識別子へ直す。,PROPOSED
I70-007805,bronya_zaychik_(outstanding_attitude),380,bronya_zaychik_(outstanding_attitude),FIX_DISPLAY,ブローニャ・ザイチク（outstanding attitude）,,NON_JA_VARIANT_TO_TRUSTED_BASE_PLUS_CANONICAL,HIGH,DIRECT_SOURCE_SUPPORT; exact family base + canonical qualifier diff,raw/canonical風の非日本語表示を、検証済み基準キャラ日本語名＋canonical variant識別子へ直す。,PROPOSED
I70-010068,hk416_(mod3)_(girls'_frontline),279,HK416（MOD3）,FIX_DISPLAY,HK416（ドールズフロントライン）（mod3）,,NON_JA_VARIANT_TO_TRUSTED_BASE_PLUS_CANONICAL,HIGH,DIRECT_SOURCE_SUPPORT; exact family base + canonical qualifier diff,raw/canonical風の非日本語表示を、検証済み基準キャラ日本語名＋canonical variant識別子へ直す。,PROPOSED
