row_id,canonical_tag,display_ja,family_base_display_ja,audit_verdict,proposed_display_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-031983,weather_report_(stand),ウェザー・リポート,ウェザー・リポート,FIX_DISPLAY,ウェザー・リポート（スタンド）,VARIANT_ENTITY_TYPE_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-033319,ex_(original)_(grimms_notes),エクス(グリムノーツ),エクス(グリムノーツ),FIX_DISPLAY,エクス（グリムノーツ・オリジナル）,VARIANT_ORIGINAL_VISIBLE,MEDIUM,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-033726,callie_(young)_(splatoon),アオリ,アオリ,FIX_DISPLAY,アオリ（幼少期）,VARIANT_AGE_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-034472,tb_(type-s)_(azur_lane),TB(アズールレーン),TB(アズールレーン),FIX_DISPLAY,TB（アズールレーン・Type-S）,VARIANT_TYPE_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-034637,gelgoog_(gquuuuuux),ゲルググ,ゲルググ,FIX_DISPLAY,ゲルググ（GQuuuuuuX）,VARIANT_FRANCHISE_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-035037,chou-10cm-hou-chan_(fuyutsuki's),長10cm砲ちゃん,長10cm砲ちゃん,FIX_DISPLAY,長10cm砲ちゃん（冬月）,OWNER_QUALIFIER_VISIBLE,MEDIUM,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-001490,kaguya_(tsukuyomi)_(cho_kaguya-hime!),かぐや,かぐや（超かぐや姫!）,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-002758,mortis_(persona)_(bang_dream!),モーティス,モーティス,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-003672,phosphophyllite_(ll),フォスフォフィライト,フォスフォフィライト,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-005953,purple_heart_(lost_purple)_(neptunia),パープルハート,パープルハート,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-007477,clark_kent_(civilian),クラーク・ケント,クラーク・ケント,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
