row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000026,kagamine_rin,26130,鏡音リン,鏡音リン,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000027,inubashiri_momiji,26070,犬走椛,犬走椛,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000029,yakumo_ran,22748,八雲藍,八雲藍,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000030,kaenbyou_rin,22732,火焔猫燐,火焔猫燐,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000033,rumia,22166,ルーミア,ルーミア,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000035,raiden_shogun,22010,雷電将軍,雷電将軍,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000036,lumine_(genshin_impact),22008,蛍（原神）,蛍（原神）,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000037,moriya_suwako,21949,洩矢諏訪子,洩矢諏訪子,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000040,mash_kyrielight,20866,マシュ・キリエライト,マシュ・キリエライト | マシュ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000043,reiuji_utsuho,20621,霊烏路空,霊烏路空,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000044,chen,20572,橙,橙,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000045,kazami_yuuka,20246,風見幽香,風見幽香,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000046,ganyu_(genshin_impact),20177,甘雨（原神）,甘雨（原神） | 甘雨,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000047,miki_sayaka,20085,美樹さやか,美樹さやか,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000050,yuuka_(blue_archive),18836,早瀬ユウカ,早瀬ユウカ | ユウカ | ユウカ(ブルアカ) | ユウカ(ブルーアーカイブ),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000051,tatara_kogasa,18674,多々良小傘,多々良小傘,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000052,kawashiro_nitori,18651,河城にとり,河城にとり,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000053,asuna_(blue_archive),18338,一之瀬アスナ,一之瀬アスナ | アスナ | アスナ(ブルアカ),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000055,kasane_teto,18017,重音テト,重音テト,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000056,gotoh_hitori,17931,後藤ひとり,後藤ひとり,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000057,houraisan_kaguya,17925,蓬莱山輝夜,蓬莱山輝夜,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000058,houshou_marine,17912,宝鐘マリン,宝鐘マリン,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000059,hinanawi_tenshi,17868,比那名居天子,比那名居天子,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000060,kamishirasawa_keine,17856,上白沢慧音,上白沢慧音,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000062,gardevoir,17727,サーナイト,サーナイト | サーナイト♂,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000063,souryuu_asuka_langley,17460,惣流・アスカ・ラングレー,惣流・アスカ・ラングレー | アスカ | アスカ・ラングレー,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000064,pikachu,17407,ピカチュウ,ピカチュウ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000065,kagamine_len,17188,鏡音レン,鏡音レン,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000066,sakura_kyoko,17080,佐倉杏子,佐倉杏子,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000067,tifa_lockhart,16849,ティファ・ロックハート,ティファ・ロックハート | ティファ,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000068,tomoe_mami,16843,巴マミ,巴マミ | マミ | マミ(まどマギ),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000069,princess_zelda,16583,ゼルダ姫,ゼルダ姫 | ゼルダ | ゼルダ(ブレスオブザワイルド) | ゼルダ姫(知恵のかりもの),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000072,gawr_gura,16423,がうる・ぐら,がうる・ぐら,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000073,mystia_lorelei,16234,ミスティア・ローレライ,ミスティア・ローレライ | ミスティア,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000074,frieren,16158,フリーレン,フリーレン,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000076,nazrin,16113,ナズーリン,ナズーリン,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000078,ibuki_suika,15980,伊吹萃香,伊吹萃香,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000079,shirakami_fubuki,15932,白上フブキ,白上フブキ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000080,cloud_strife,15809,クラウド・ストライフ,クラウド・ストライフ | クラウド,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000081,inaba_tewi,15731,因幡てゐ,因幡てゐ | てゐ,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000082,inkling_player_character,15575,インクリング,インクリング,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000083,usami_renko,15465,宇佐見蓮子,宇佐見蓮子,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000084,hoshimachi_suisei,15211,星街すいせい,星街すいせい,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000085,hoshino_(blue_archive),15093,小鳥遊ホシノ,小鳥遊ホシノ | ホシノ | ホシノ(ブルーアーカイブ) | 小鳥遊ホシノ(過去),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000086,maribel_hearn,15092,マエリベリー・ハーン,マエリベリー・ハーン | マエリベリー,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000087,wanderer_(genshin_impact),15027,放浪者（原神）,放浪者（原神） | 放浪者,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000089,hijiri_byakuren,14653,聖白蓮,聖白蓮,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000091,hu_tao_(genshin_impact),14531,胡桃（原神）,胡桃（原神） | フータオ | 胡桃,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000092,ouro_kronii,14375,オーロ・クロニー,オーロ・クロニー,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000093,houjuu_nue,14064,封獣ぬえ,封獣ぬえ,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000096,megurine_luka,13893,巡音ルカ,巡音ルカ,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000097,aether_(genshin_impact),13891,空（原神）,空（原神）,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000099,nanami_chiaki,13831,七海千秋,七海千秋,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000102,inkling_girl,13493,イカガール,イカガール,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000103,yagokoro_eirin,13341,八意永琳,八意永琳,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000106,mizuhashi_parsee,13238,水橋パルスィ,水橋パルスィ | パルスィ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000108,yasaka_kanako,13182,八坂神奈子,八坂神奈子,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000112,kisaki_(blue_archive),12979,竜華キサキ,竜華キサキ | キサキ | キサキ(ブルーアーカイブ),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000116,ninomae_ina'nis,12626,一伊那尓栖,一伊那尓栖,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
