row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,related_copyright_top1,related_copyright_top1_coverage,copyright_display_context,duplicate_group_size,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-001208,leonardo_da_vinci_(fate),2592,レオナルド・ダ・ヴィンチ,レオナルド・ダ・ヴィンチ | ダ・ヴィンチちゃん,公式日本語名を採用,DISAMBIGUATOR_NOT_VISIBLE | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,fate_(series),1.0,Fateシリーズ,2,FIX_DISPLAY,レオナルド・ダ・ヴィンチ（Fateシリーズ）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-001214,liko_(pokemon),2581,リコ,リコ | リコ(ポケモン),公式日本語名を採用,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,pokemon,1.0,ポケットモンスター,5,FIX_DISPLAY,リコ（ポケットモンスター）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-001269,kero_(cardcaptor_sakura),2488,ケルベロス,ケルベロス | ケロちゃん,公式名と定着通称を整理,DISAMBIGUATOR_NOT_VISIBLE | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,cardcaptor_sakura,1.0,CCさくら,4,FIX_DISPLAY,ケルベロス（CCさくら）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-001305,lisa_(genshin_impact),2427,リサ,リサ | リサ(原神),公式日本語名を採用,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,genshin_impact,1.0,原神,3,FIX_DISPLAY,リサ（原神）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-001361,sinon,2367,シノン,シノン | 朝田詩乃,公式名と本名を整理,DUPLICATE_DISPLAY_WITHIN_CATEGORY,sword_art_online,1.0,ソードアートオンライン,2,FIX_DISPLAY,シノン（ソードアートオンライン）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-001374,sora_(kingdom_hearts),2348,ソラ,ソラ | ソラ(キングダムハーツ),公式日本語名を採用,DUPLICATE_DISPLAY_WITHIN_CATEGORY,kingdom_hearts,0.998012,キングダムハーツ,5,FIX_DISPLAY,ソラ（キングダムハーツ）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-001386,camellya_(wuthering_waves),2332,ツバキ,ツバキ | ツバキ(鳴潮),公式日本語名を採用,DUPLICATE_DISPLAY_WITHIN_CATEGORY,wuthering_waves,0.999555,鳴潮,3,FIX_DISPLAY,ツバキ（鳴潮）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-001451,nemona_(pokemon),2247,ネモ,ネモ | ネモ(ポケモン),公式日本語名を採用,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,pokemon,1.0,ポケットモンスター,4,FIX_DISPLAY,ネモ（ポケットモンスター）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-002523,senji_muramasa_(fate),1342,千子村正,千子村正 | 千子村正(Fate),AI監修：verified Alias・既存候補・作品関係を確認して採用,DUPLICATE_DISPLAY_WITHIN_CATEGORY,fate_(series),1.0,Fateシリーズ,2,FIX_DISPLAY,千子村正（Fateシリーズ）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-002618,ghost_(modern_warfare_2),1283,ゴースト,ゴースト | ゴースト(CoD:MWシリーズ) | サイモン・ライリー,AI監修：verified Alias・既存日本語候補・作品関係を確認して採用,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,call_of_duty,0.999198,コール オブ デューティ,5,FIX_DISPLAY,ゴースト（コール オブ デューティ）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-002654,isolde_(reverse:1999),1264,イゾルデ,イゾルデ | イゾルデ(リバース:1999),AI監修：既存候補・作品関係を確認し日本語名を採用,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,reverse:1999,1.0,リバース：1999,2,FIX_DISPLAY,イゾルデ（リバース：1999）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-002660,yui_(princess_connect!),1261,ユイ,ユイ | ユイ(プリコネ) | 草野優衣,AI監修：verified Alias・既存日本語候補・作品関係を確認して採用,DUPLICATE_DISPLAY_WITHIN_CATEGORY,princess_connect!,1.0,プリンセスコネクト！,2,FIX_DISPLAY,ユイ（プリンセスコネクト！）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003002,arcane_vi,1122,ヴァイ,ヴァイ | Vi | Arcane,,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,league_of_legends,1.0,リーグ・オブ・レジェンド,2,FIX_DISPLAY,ヴァイ（リーグ・オブ・レジェンド）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003019,vane_(granblue_fantasy),1116,ヴェイン,ヴェイン | ヴェイン(グラブル),,DUPLICATE_DISPLAY_WITHIN_CATEGORY,granblue_fantasy,0.999099,グランブルーファンタジー,2,FIX_DISPLAY,ヴェイン（グランブルーファンタジー）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003030,chou-10cm-hou-chan,1110,長10cm砲ちゃん,長10cm砲ちゃん | ちょうじゅっせんちほうちゃん,,DUPLICATE_DISPLAY_WITHIN_CATEGORY,kantai_collection,1.0,艦隊これくしょん,4,FIX_DISPLAY,長10cm砲ちゃん（艦隊これくしょん）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003038,clarisse_(granblue_fantasy),1108,クラリス,クラリス | クラリス(グラブル) | クラリス(グランブルーファンタジー),,DUPLICATE_DISPLAY_WITHIN_CATEGORY,granblue_fantasy,0.998165,グランブルーファンタジー,3,FIX_DISPLAY,クラリス（グランブルーファンタジー）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003047,assassin_(fate/zero),1105,百貌のハサン,百貌のハサン | アサシン(Fate/Zero),,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,fate_(series),0.999056,Fateシリーズ,2,FIX_DISPLAY,百貌のハサン（Fateシリーズ）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003053,lady_(devil_may_cry),1103,レディ,レディ | レディ(デビルメイクライ),,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,devil_may_cry_(series),1.0,デビルメイクライ,2,FIX_DISPLAY,レディ（デビルメイクライ）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003057,klukai_(girls'_frontline_2),1102,クルカイ,クルカイ | クルカイ(ドールズフロントライン2),,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,girls'_frontline,1.0,ドールズフロントライン,2,FIX_DISPLAY,クルカイ（ドールズフロントライン）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003073,mary_(ib),1095,メアリー,メアリー | メアリー(Ib),,DUPLICATE_DISPLAY_WITHIN_CATEGORY,ib_(kouri),1.0,Ib,2,FIX_DISPLAY,メアリー（Ib）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003076,lion_(kemono_friends),1094,ライオン,ライオン | ライオン(けものフレンズ),,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,kemono_friends,1.0,けものフレンズ,2,FIX_DISPLAY,ライオン（けものフレンズ）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003107,aki_(girls_und_panzer),1083,アキ,アキ | アキ(GuP),,DUPLICATE_DISPLAY_WITHIN_CATEGORY,girls_und_panzer,1.0,ガールズ＆パンツァー,2,FIX_DISPLAY,アキ（ガールズ＆パンツァー）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003122,lulu_(league),1079,ルル,ルル | Lulu,,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,league_of_legends,0.998955,リーグ・オブ・レジェンド,2,FIX_DISPLAY,ルル（リーグ・オブ・レジェンド）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003123,gawain_(fate),1078,ガウェイン,ガウェイン | ガウェイン(Fate),,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,fate_(series),1.0,Fateシリーズ,2,FIX_DISPLAY,ガウェイン（Fateシリーズ）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003132,aurora_(arknights),1076,オーロラ,オーロラ | オーロラ(アークナイツ),,DUPLICATE_DISPLAY_WITHIN_CATEGORY,arknights,1.0,アークナイツ,4,FIX_DISPLAY,オーロラ（アークナイツ）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003159,eve_(stellar_blade),1067,イヴ,イヴ | イヴ(Stellar Blade) | EVE,,DUPLICATE_DISPLAY_WITHIN_CATEGORY,stellar_blade,0.995776,Stellar Blade,6,FIX_DISPLAY,イヴ（Stellar Blade）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003165,blanc_(nikke),1065,ブラン,ブラン | ブラン(勝利の女神:NIKKE),,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,goddess_of_victory:_nikke,1.0,勝利の女神：NIKKE,2,FIX_DISPLAY,ブラン（勝利の女神：NIKKE）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003168,haunter,1065,ゴースト,ゴースト | ゴースト(ポケモン),,DUPLICATE_DISPLAY_WITHIN_CATEGORY,pokemon,1.0,ポケットモンスター,5,FIX_DISPLAY,ゴースト（ポケットモンスター）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003195,warlock_(ragnarok_online),1055,ウォーロック,ウォーロック,,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,ragnarok_online,1.0,ラグナロクオンライン,4,FIX_DISPLAY,ウォーロック（ラグナロクオンライン）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003221,robin_(dc),1044,ロビン,ロビン | ロビン(バットマン) | Robin,,DUPLICATE_DISPLAY_WITHIN_CATEGORY,dc_comics,1.0,DCコミック,4,FIX_DISPLAY,ロビン（DCコミック）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003233,knight_(hollow_knight),1039,騎士,騎士 | 主人公(Hollow Knight) | The Knight,,DUPLICATE_DISPLAY_WITHIN_CATEGORY,hollow_knight,1.0,ホロウナイト,4,FIX_DISPLAY,騎士（ホロウナイト）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003247,kisaragi_(azur_lane),1034,如月,如月 | 如月(アズールレーン),,DUPLICATE_DISPLAY_WITHIN_CATEGORY,azur_lane,1.0,アズールレーン,2,FIX_DISPLAY,如月（アズールレーン）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
I70-003257,klara_(pokemon),1032,クララ,クララ | クララ(トレーナー),,DUPLICATE_DISPLAY_WITHIN_CATEGORY,pokemon,1.0,ポケットモンスター,2,FIX_DISPLAY,クララ（ポケットモンスター）,,ADD_UNIQUE_COPYRIGHT_CONTEXT_TO_ACCEPTED_DUPLICATE_CHARACTER,HIGH,full-baseline duplicate group + unique related_copyright_top1 + coverage >=0.80,日本語名自体はACCEPTED_AIを維持。同名Characterが存在するが、この行の作品関係は同名群内で一意なので作品名を表示へ付与して識別性だけを改善。,PROPOSED
