row_id,canonical_tag,category,category_name,post_count,display_ja,search_ja,translation_status,translation_note,risk_score,risk_flags,impact_tier,audit_bucket,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_posts,related_copyright_top1_coverage,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,pattern_id,audit_round,approval_status
I70-035980,omori,3,Copyright,23416,OMORI,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,OMORI1000users入り | おもり,,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036014,spy_x_family,3,Copyright,16824,スパイファミリー,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,スパイファミリー | スパイファミリーファンアート,间谍过家家,,,,,,FIX_BOTH,SPY×FAMILY,スパイファミリー,COPYRIGHT_OFFICIAL_TITLE,HIGH,general_established,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036015,the_king_of_fighters,3,Copyright,16745,キングオブファイターズ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,キングオブファイターズ | ザ·キング·オブ·ファイターズ | ザ・キング・オブ・ファイターズ,,,,,,,FIX_DISPLAY,ザ・キング・オブ・ファイターズ,,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036017,touhou_(pc-98),3,Copyright,16614,東方旧作,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,,东方旧作 | 東方旧作,,,,,,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_JA_TERM,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036018,kill_la_kill,3,Copyright,16383,キルラキル,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,キルラキル,斩服少女,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036019,idolmaster_cinderella_girls_starlight_stage,3,Copyright,16319,スターライトステージ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,スターライトステージ | デレステ,,,,,,,FIX_BOTH,アイドルマスター シンデレラガールズ スターライトステージ,デレステ | スターライトステージ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036021,tsukihime,3,Copyright,16062,月姫,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,,月姫,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036025,kirby_(series),3,Copyright,15502,擬カビ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,カービィイラスト | 擬カビ | 星のカービィ,星之卡比,,,,,,FIX_DISPLAY,星のカービィ,,REMOVE_FAN_SUBTAG_AS_DISPLAY,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036026,shingeki_no_kyojin,3,Copyright,15343,進撃の巨人,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,進撃の巨人 | 進撃の巨人イラコン | 進撃の百合 | 進撃の腐人,进击的巨人 | 進擊的巨人,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036028,mahou_shoujo_no_majo_saiban,3,Copyright,14889,魔法少女ノ魔女裁判,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,,魔法少女ノ魔女裁判,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036029,bang_dream!_girls_band_party!,3,Copyright,14850,バンドリ!_ガールズバンドパーティ!,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,TOP_1_PERCENT,REVIEW_REQUIRED,,,,,バンドリ!_ガールズバンドパーティ!,,,,,,FIX_DISPLAY,バンドリ！ ガールズバンドパーティ！,,RAW_SEPARATOR_NORMALIZATION,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036032,dc_comics,3,Copyright,14643,DCコミック,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,DCコミック | DCコミックス,,,,,,,FIX_DISPLAY,DCコミックス,,COPYRIGHT_ESTABLISHED_JA_NAME,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036033,lucky_star,3,Copyright,14632,らき☆すた,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,らき☆すた | らきすた,幸运星,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036035,neptune_(series),3,Copyright,14429,ネプテューヌ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ネプテューヌ | ネプテューヌシリーズ | 超次元ゲイムネプテューヌ,,,,,,,FIX_BOTH,超次元ゲイム ネプテューヌ,ネプテューヌ | ネプテューヌシリーズ,COPYRIGHT_FULL_TITLE,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036036,idolmaster_million_live!_theater_days,3,Copyright,14325,アイドルマスターミリオンライブ!シアターデイズ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,アイドルマスターミリオンライブ!シアターデイズ | ミリシタ,,,,,,,FIX_BOTH,アイドルマスター ミリオンライブ！ シアターデイズ,ミリシタ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036037,higurashi_no_naku_koro_ni,3,Copyright,14008,ひぐらし,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ひぐらし | ひぐらしFA | ひぐらしのなく頃に,寒蝉鸣泣之时,,,,,,FIX_BOTH,ひぐらしのなく頃に,ひぐらし,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036038,saibou_shinkyoku,3,Copyright,14001,さぼしき,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,さぼしき,細胞神曲 | 細胞神曲-CoE- | 細胞神曲_-Cell_of_Empireo- | 細胞神曲【腐】 | 细胞神曲,,,,,,FIX_BOTH,細胞神曲,さぼしき,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036041,tokyo_afterschool_summoners,3,Copyright,13821,放サモ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,放サモ | 東京放課後サモナーズ,东京放课后,,,,,,FIX_BOTH,東京放課後サモナーズ,放サモ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036042,vspo!,3,Copyright,13782,ぶいすぽ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ぶいすぽ | ぶいすぽっ!,,,,,,,FIX_BOTH,ぶいすぽっ！,ぶいすぽ,COPYRIGHT_ESTABLISHED_JA_NAME,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036044,dragon_ball_z,3,Copyright,13737,この世で一番強いヤツ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,この世で一番強いヤツ | とびっきりの最強対最強 | オラの悟飯をかえせッ!! | ドラゴンボールZ | 危険なふたり!超戦士はねむれない | 地球まるごと超決戦 | 復活のフュージョン!!悟空とベジータ | 極限バトル!!三大超サイヤ人 | 激突!!100億パワーの戦士たち | 燃えつきろ!!熱戦・烈戦・超激戦 | 超サイヤ人だ孫悟空 | 超戦士撃破!!勝つのはオレだ | 銀河ギリギリ!!ぶっちぎりの凄い奴 | 龍拳爆発!!悟空がやらねば誰がやる,,,,,,,FIX_DISPLAY,ドラゴンボールZ,,REMOVE_DERIVATIVE_TITLE_AS_DISPLAY,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036049,cho_kaguya-hime!,3,Copyright,13201,超かぐや姫!,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,,超かぐや姫!,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036050,assault_lily,3,Copyright,13155,アサルトリリィ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,アサルトリリィ | アサルトリリィ_FA,突击莉莉,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036051,magia_record:_mahou_shoujo_madoka_magica_gaiden,3,Copyright,13089,マギアレコード,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,マギアレコード | マギレコ | 魔法少女まどか☆マギカ外伝,魔法纪录,,,,,,FIX_BOTH,マギアレコード 魔法少女まどか☆マギカ外伝,マギレコ | マギアレコード,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036053,fire_emblem_engage,3,Copyright,12949,FEエンゲージ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,FEエンゲージ | ファイアーエムブレムエンゲージ,火焰纹章engage,,,,,,FIX_BOTH,ファイアーエムブレム エンゲージ,FEエンゲージ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036055,eiyuu_densetsu,3,Copyright,12902,英雄伝説,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,,英雄伝説 | 英雄传说 | 英雄傳說,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036056,girls_band_cry,3,Copyright,12875,ガルクラ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ガルクラ | ガールズバンドクライ,,,,,,,FIX_BOTH,ガールズバンドクライ,ガルクラ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036057,kamen_rider,3,Copyright,12867,オリジナルライダー,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,オリジナルライダー | ライダーヒロイン | 仮面ライダー | 女性ライダー | 平成ライダー | 平成仮面ライダー | 新世ライダー | 新世仮面ライダー | 昭和ライダー | 昭和仮面ライダー,,,,,,,FIX_DISPLAY,仮面ライダー,,REMOVE_DERIVATIVE_SUBTAG_AS_DISPLAY,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036058,rwby,3,Copyright,12800,rwby,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,RWBYイラコン,,,,,,,KEEP,,,CURRENT_DISPLAY_IS_OFFICIAL_LATIN_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036059,monster_hunter_(series),3,Copyright,12409,モンスターハンター,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,モンスターハンター | モンハン,,,,,,,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_JA_SERIES_NAME,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036062,umineko_no_naku_koro_ni,3,Copyright,12267,うみねこのなく頃に,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,うみねこFA | うみねこのなく頃に,海猫鸣泣之时,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036064,cookie_(touhou),3,Copyright,12161,クッキー☆,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,クッキー☆ | クッキー☆☆ | 真夏の夜のクッキー迫真お絵描き | 魔理沙とアリスのクッキーKiss,東方蛮法天,,,,,,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_TAG_NAME,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036066,fate/kaleid_liner_prisma_illya,3,Copyright,12143,Fate/kaleidlinerプリズマ☆イリヤ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,Fate/kaleidlinerプリズマ☆イリヤ | プリズマ☆イリヤ,,,,,,,FIX_BOTH,Fate/kaleid liner プリズマ☆イリヤ,プリズマ☆イリヤ,COPYRIGHT_OFFICIAL_ORTHOGRAPHY,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036069,inazuma_eleven_(series),3,Copyright,12077,イナイレ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,イナイレ | イナイレ[腐] | イナイレ【腐】 | イナイレ百合 | イナズマイレブン,,,,,,,FIX_BOTH,イナズマイレブン,イナイレ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036070,gundam_suisei_no_majo,3,Copyright,11820,機動戦士ガンダム_水星の魔女,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,TOP_1_PERCENT,REVIEW_REQUIRED,,,,機動戦士ガンダム_水星の魔女 | 機動戦士ガンダム水星の魔女 | 水星の腐女 | 水星の魔女 | 水星の魔女最終回,水星的魔女,,,,,,FIX_BOTH,機動戦士ガンダム 水星の魔女,水星の魔女,RAW_SEPARATOR_NORMALIZATION,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036071,senki_zesshou_symphogear,3,Copyright,11745,シンフォギア,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,シンフォギア | 戦姫絶唱シンフォギア | 戦姫絶唱シンフォギアAXZ | 戦姫絶唱シンフォギアG | 戦姫絶唱シンフォギアGX | 戦姫絶唱シンフォギアXV,,,,,,,FIX_BOTH,戦姫絶唱シンフォギア,シンフォギア,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036072,super_smash_bros.,3,Copyright,11691,スマッシュブラザーズ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,スマッシュブラザーズ | スマブラ | スマブラ3DS/WiiU | スマブラ64 | スマブラDX | スマブラSP | スマブラX | スマブラfor3DS/WiiU | スマブラカウントダウン | 亜空の使者 | 大乱闘スマッシュブラザーズ | 大乱闘スマッシュブラザーズDX | 大乱闘スマッシュブラザーズSPECIAL | 大乱闘スマッシュブラザーズX | 大乱闘スマッシュブラザーズスペシャル | 灯火の星,,,,,,,FIX_BOTH,大乱闘スマッシュブラザーズ,スマブラ | スマッシュブラザーズ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
