row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_bucket,impact_tier,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_coverage,family_base_canonical,family_base_display_ja
I70-003184,kizuna_ai_(1st_costume),1060,キズナアイ（初期衣装）,キズナアイ | キズナアイ(初期衣装),,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,,,,kizuna_ai_inc.,0.999021,kizuna_ai,キズナアイ
I70-003489,scarlet_(nikke),966,紅蓮,紅蓮 | 紅蓮(NIKKE),,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,紅蓮(勝利の女神:NIKKE),紅蓮(NIKKE),홍련(NIKKE),goddess_of_victory:_nikke,1.0,,
I70-003506,lain_paterson,961,レイン・パターソン,レイン・パターソン,既存日本語候補を確認,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,レインの依頼書 | レイン・パターソン,,,nijisanji,0.998937,,
I70-003565,jessica_albert,941,ゼシカ・アルバート,ゼシカ・アルバート | ゼシカ,既存日本語候補を確認,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,ゼシカ | ゼシカ・アルバート,,,dragon_quest,1.0,,
I70-003605,kevin_kaslana,932,ケビン・カスラナ,ケビン・カスラナ,既存日本語候補を確認,,ACCEPTED_CLEAN_SAMPLE,REST,,,,ケビン・カスラナ,凯文·卡斯兰娜,kevinkaslana,honkai_(series),1.0,,
I70-003634,leone_abbacchio,923,レオーネ・アバッキオ,レオーネ・アバッキオ,既存日本語候補とAliasを確認,,ACCEPTED_CLEAN_SAMPLE,REST,leone_abbachio,leone abbachio,,レオーネ・アバッキオ,,,jojo_no_kimyou_na_bouken,1.0,,
I70-003764,okinami_(kancolle),886,沖波（艦これ）,沖波 | 沖波（艦これ）,既存日本語候補と作品文脈を確認,,ACCEPTED_CLEAN_SAMPLE,REST,okinami_(kantai_collection),okinami (kantai collection),,沖波(艦これ) | 沖波(艦隊これくしょん),沖波,,kantai_collection,1.0,,
I70-003810,tokitou_muichirou,873,時透無一郎,時透無一郎,既存日本語候補を確認,,ACCEPTED_CLEAN_SAMPLE,REST,,,,,时透无一郎 | 時透無一郎,,kimetsu_no_yaiba,1.0,,
I70-003839,hoppip,864,ハネッコ,ハネッコ,公式日本語名を確認,,ACCEPTED_CLEAN_SAMPLE,REST,,,,ハネッコ,,,pokemon,1.0,,
I70-003861,lady_maria_of_the_astral_clocktower,858,時計塔のマリア,時計塔のマリア,既存日本語候補と作品文脈を確認,,ACCEPTED_CLEAN_SAMPLE,REST,,,,時計塔のマリア,,,bloodborne,1.0,,
I70-003955,female_protagonist_(pokemon_go),837,女トレーナー（ポケモンGO）,女トレーナー（ポケモンGO）,既存日本語候補と作品文脈を確認,,ACCEPTED_CLEAN_SAMPLE,REST,,,,女トレーナー | 女トレーナー(ポケモンGO),,,pokemon,1.0,,
I70-004253,listener_(inugami_korone),776,ころねすきー,ころねすきー,,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,ころねすきー,,hololive,1.0,,
I70-005151,xavier_(love_and_deepspace),625,セイヤ,セイヤ,,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,セイヤ,,love_and_deepspace,1.0,,
I70-005295,argalia_(project_moon),605,アルガリア,アルガリア,,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,argalia_(library_of_ruina),argalia (library of ruina),,アルガリア,,,project_moon,1.0,,
I70-005457,shimushu_(kancolle),584,占守,占守,,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,shimushu_(kantai_collection),shimushu (kantai collection),,占守(艦これ) | 占守(艦隊これくしょん),占守,,kantai_collection,1.0,,
I70-005969,lethe_(fire_emblem),525,レテ,レテ,,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,レテ,,,fire_emblem,1.0,,
I70-006311,vlad_iii_(fate/apocrypha),492,ヴラド三世,ヴラド三世 | 黒のランサー,,DISAMBIGUATOR_NOT_VISIBLE | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,REST,,,,ヴラド三世(Fate) | 黒のランサー,,,fate_(series),1.0,,
I70-006561,sae_(hidamari_sketch),472,沙英,沙英,,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,sae,sae,,,沙英,,hidamari_sketch,1.0,,
I70-007389,chuck_(psg),407,チャック,チャック,,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,チャック,,,panty_&_stocking_with_garterbelt,1.0,,
I70-007409,gm_(mobile_suit),406,ジム（機動戦士ガンダム）,ジム（MS）,,DISPLAY_MISSING_FROM_SEARCH,ACCEPTED_CLEAN_SAMPLE,REST,,,,GM(機動戦士ガンダム) | ジム(機動戦士ガンダム) | ジムシリーズ,ジム(MS),,gundam,0.99734,,
I70-008804,hisako_(angel_beats!),327,ひさ子,渕田ひさ子,canonical Angel Beats! display name,DISPLAY_MISSING_FROM_SEARCH | DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,fuchida_hisako,fuchida hisako,,ひさ子 | 渕田ひさ子,,,angel_beats!,1.0,,
I70-009610,naruse_mio,294,成瀬澪,成瀬澪,AI監修：既存日本語候補を確認,,ACCEPTED_CLEAN_SAMPLE,REST,,,,,成瀬澪,,shinmai_maou_no_testament,1.0,,
I70-009684,eiai_nano,291,栄逢凪乃,栄逢凪乃,AI監修：既存日本語候補を確認,,ACCEPTED_CLEAN_SAMPLE,REST,,,,,栄逢凪乃,,kimi_no_koto_ga_dai_dai_dai_dai_daisuki_na_100-nin_no_kanojo,1.0,,
I70-009927,exeggutor,283,ナッシー,ナッシー,AI監修：日本版公式名を採用,,ACCEPTED_CLEAN_SAMPLE,REST,,,,ナッシー,,,pokemon,1.0,,
I70-010939,bambinata_(pgr),250,バンビナータ,琉璃 | 邦比娜塔,Japanese Punishing: Gray Raven character name,DISPLAY_MISSING_FROM_SEARCH | DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,bambinata_(punishing:_gray_raven),bambinata (punishing: gray raven),,バンビナータ,琉璃 | 邦比娜塔,밤비,punishing:_gray_raven,0.991071,,
I70-012055,touka_(utawarerumono),221,トウカ,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,touka_(utawareru_mono),touka (utawareru mono),,,トウカ,,utawarerumono_(series),1.0,,
I70-013025,maria_(fire_emblem:_shadow_dragon),200,マリア(ファイアーエムブレム),,single Japanese candidate with no conflicting evidence,CHARACTER_NO_COPYRIGHT_CONTEXT,ACCEPTED_CLEAN_SAMPLE,REST,,,,,マリア(ファイアーエムブレム),,,,,
I70-013319,boyd_(fire_emblem),194,ボーレ,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,ボーレ,,fire_emblem,1.0,,
I70-014328,nivora_(wuthering_waves),177,ニヴォラ,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,ニヴォラ,,wuthering_waves,1.0,,
I70-014360,calimero_(honey_come_chatka!!),176,カリメロ,カリメロ（ハニーカムチャットカ!!）,single Japanese candidate with no conflicting evidence,DISPLAY_MISSING_FROM_SEARCH | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,カリメロ（ハニーカムチャットカ!!）,,honey_come_chatka!!,1.0,,
I70-014643,seeking_the_pearl_(umamusume),172,シーキングザパール,シーキングザパール(ウマ娘),single Japanese candidate with no conflicting evidence,DISPLAY_MISSING_FROM_SEARCH | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,シーキングザパール(ウマ娘),,umamusume,1.0,,
I70-014659,yuzuki_yukari_(lin),172,結月ゆかり凛,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,結月ゆかり凛,,voiceroid,0.994152,yuzuki_yukari,結月ゆかり
I70-014850,dan'in-san_(shirogane_noel),168,団員さん,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,団員さん,,hololive,1.0,,
I70-015023,shifty_(nikke),166,シフティー,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,シフティー,,goddess_of_victory:_nikke,1.0,,
I70-016557,snowshine_(arknights),146,スノーシャイン,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,aurora_(arknights:_endfield),aurora (arknights: endfield),,,スノーシャイン,,arknights,1.0,,
I70-016862,leib_(housamo),142,レイヴ先輩,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,レイヴ先輩,,tokyo_afterschool_summoners,1.0,,
I70-017887,carol_(skullgirls),131,キャロル,キャロル（スカルガールズ）,single Japanese candidate with no conflicting evidence,DISPLAY_MISSING_FROM_SEARCH | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,キャロル（スカルガールズ）,,skullgirls,1.0,,
I70-018198,sleepy_mita_(miside),129,眠いミタ,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,眠いミタ,,miside,1.0,,
I70-019519,pirate_(sekaiju),117,パイレーツ,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,buccaneer_(sekaiju),buccaneer (sekaiju),,,パイレーツ,,sekaiju_no_meikyuu,1.0,,
I70-019661,takenaka_hanbee_(oda_nobuna_no_yabou),116,竹中半兵衛,竹中半兵衛(織田信奈の野望),single Japanese candidate with no conflicting evidence,DISPLAY_MISSING_FROM_SEARCH | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,REST,takenaka_hanbei_(oda_nobuna_no_yabou),takenaka hanbei (oda nobuna no yabou),,,竹中半兵衛(織田信奈の野望),,oda_nobuna_no_yabou,1.0,,
I70-021943,glasgow_(azur_lane),100,グラスゴー,グラスゴー(アズールレーン),single Japanese candidate with no conflicting evidence,DISPLAY_MISSING_FROM_SEARCH | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,グラスゴー(アズールレーン),,azur_lane,1.0,,
I70-022779,pulcinella_(genshin_impact),95,プルチネッラ,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,プルチネッラ,,genshin_impact,1.0,,
I70-023299,nagomi_(blue_archive),92,五百雀ナゴミ,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,五百雀ナゴミ,,blue_archive,1.0,,
I70-025198,yurisaki_mika_(maimai),83,百合咲ミカ,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,百合咲ミカ,,maimai_(game),1.0,,
I70-025347,patrasche_(re:zero),82,パトラッシュ,パトラッシュ(リゼロ),single Japanese candidate with no conflicting evidence,DISPLAY_MISSING_FROM_SEARCH | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,パトラッシュ(リゼロ),,re:zero_kara_hajimeru_isekai_seikatsu,1.0,,
I70-025609,vector_(yu-gi-oh!),81,ベクター,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,ベクター,,yu-gi-oh!,1.0,,
I70-026147,dragon_knight_(dota),78,ドラゴンナイト,ドラゴンナイト（ドータ）,single Japanese candidate with no conflicting evidence,DISPLAY_MISSING_FROM_SEARCH | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,REST,davion_(dota:dragon's_blood),davion (dota:dragon's blood),,,ドラゴンナイト（ドータ）,,dota_(series),1.0,,
I70-026233,morishima_hodaka_(tenki_no_ko),78,森嶋帆高,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,morisaki_hotaka,morisaki hotaka,,,森嶋帆高,,tenki_no_ko,1.0,,
I70-027696,lyra_(sygna_suit)_(pokemon),72,マジコスコトネ,,Japanese Pokemon form/name candidate consistent with franchise context,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,マジコスコトネ,,pokemon,1.0,lyra_(pokemon),コトネ
I70-027849,banshee_(last_origin),71,A-87バンシー,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,a-87_banshee,a-87 banshee,,,A-87バンシー,,last_origin,1.0,,
I70-029881,death_knight_(warcraft),64,デスナイト,デスナイト（ウォークラフト）,single Japanese candidate with no conflicting evidence,DISPLAY_MISSING_FROM_SEARCH | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,デスナイト（ウォークラフト）,,warcraft,0.93617,,
I70-030246,dr._weil_(mega_man),63,ドクターバイル,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,dr_vile,dr vile,,,ドクターバイル,,mega_man_(series),1.0,,
I70-031121,school_kid_(pokemon),61,塾がえり,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,塾がえり,,pokemon,1.0,,
I70-031181,wagner_(genshin_impact),61,ワーグナー,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,ワーグナー,,genshin_impact,1.0,,
I70-031502,saika_magoichi_(sengoku_basara),60,雑賀孫市,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,雑賀孫市,,sengoku_basara,1.0,,
I70-033461,l'audacieux_(azur_lane),55,ローダシュー,ローダシュー(アズールレーン),single Japanese candidate with no conflicting evidence,DISPLAY_MISSING_FROM_SEARCH | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,ローダシュー(アズールレーン),,azur_lane,1.0,,
I70-033740,count_of_monte_cristo_(gankutsuou),54,モンテ・クリスト伯爵,,single Japanese candidate with no conflicting evidence,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,モンテ・クリスト伯爵,,gankutsuou,1.0,,
I70-034033,tosh_(arc_the_lad),54,トッシュ,トッシュ（アーク・ザ・ラッド）,single Japanese candidate with no conflicting evidence,DISPLAY_MISSING_FROM_SEARCH | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,REST,,,,,トッシュ（アーク・ザ・ラッド）,,arc_the_lad,1.0,,
