row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_bucket,impact_tier,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_coverage,family_base_canonical,family_base_display_ja
I70-003299,gray_(fate),1018,グレイ,グレイ | グレイ(ロード・エルメロイII世の事件簿),,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,gray_(lord_el-melloi_ii),gray (lord el-melloi ii),,グレイ | グレイ(ロード・エルメロイII世の事件簿),,,fate_(series),1.0,,
I70-003300,hammann_(azur_lane),1018,ハムマン,ハムマン | ハムマン(アズールレーン),,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,ハマン(アズールレーン) | ハムマン | ハムマン(アズールレーン) | ハムマン改(アズールレーン) | ハンマン(アズールレーン),哈曼(碧蓝航线),,azur_lane,1.0,,
I70-003310,charmeleon,1014,リザード,リザード,,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,リザード,,,pokemon,1.0,,
I70-003419,mishaguji,985,ミシャグジさま,ミシャグジさま | ミシャグジ様 | 御射軍神さま,,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,ミシャグジさま | ミシャグジ様 | 土着神「御射軍神さま」 | 祟り神「赤口(ミシャグチ)さま」 | 祟符「ミシャグジさま」,,,touhou,0.980973,,
I70-003426,conte_di_cavour_(kancolle),983,コンテ・ディ・カブール,コンテ・ディ・カブール | カブール | カブール(艦これ),,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,カブール | カブール(艦これ) | カブール(艦隊これくしょん) | コンテ・ディ・カブール | コンテ・ディ・カブール(艦これ) | コンテ・ディ・カブール(艦隊これくしょん),,,kantai_collection,1.0,,
I70-004057,misdreavus,815,ムウマ,ムウマ,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,ムウマ,,,pokemon,0.99871,,
I70-004623,chii,703,ちぃ,ちぃ,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,ちぃ,,,chobits,0.990446,,
I70-004704,totooria_helmold,691,トトゥーリア・ヘルモルト,トトゥーリア・ヘルモルト,,,ACCEPTED_CLEAN_SAMPLE,REST,totori_(atelier),totori (atelier),,トトゥーリア・ヘルモルト | トトリ,,,atelier_(series),1.0,,
I70-005019,sasaki_chiho,643,佐々木千穂,佐々木千穂,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,,佐々木千穂,,hataraku_maou-sama!,1.0,,
I70-005082,natsuki_rin,633,夏木りん,夏木りん,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,夏木りん,,,precure,1.0,,
I70-005152,caro_ru_lushe,624,キャロ・ル・ルシエ,キャロ・ル・ルシエ,,,ACCEPTED_CLEAN_SAMPLE,REST,kyaro_lo_loussier,kyaro lo loussier,,キャロ・ル・ルシエ,,,lyrical_nanoha,1.0,,
I70-005253,ripple_star_queen,611,リップルスター女王,リップルスター女王,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,,リップルスター女王,,kirby_(series),1.0,,
I70-005591,mukaido_manaka,568,向井戸まなか,向井戸まなか,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,向井戸まなか,,,nagi_no_asukara,1.0,,
I70-005652,arcee,561,アーシー,アーシー,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,アーシー,,,transformers,1.0,,
I70-006099,roxanne_(pokemon),512,ツツジ,ツツジ | ツツジ（トレーナー）,,,ACCEPTED_CLEAN_SAMPLE,REST,tsutsuji_(pokemon),tsutsuji (pokemon),,ツツジ | ツツジ(トレーナー),,,pokemon,1.0,,
I70-006350,ana_coppola,488,アナ・コッポラ,アナ・コッポラ,,,ACCEPTED_CLEAN_SAMPLE,REST,ana_copolla,ana copolla,,アナ・コッポラ,,,ichigo_mashimaro,1.0,,
I70-006400,yuudachi_kai_ni_(swimsuit)_(kancolle),485,夕立改二（水着）,夕立改二（水着） | 夕立（水着）,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,,夕立(水着) | 夕立改二(水着),,kantai_collection,1.0,yuudachi_kai_ni_(kancolle),夕立改二
I70-006522,muten_roushi,475,亀仙人,亀仙人,,,ACCEPTED_CLEAN_SAMPLE,REST,"master_roshi,kame_sennin,muten_roshi",kame sennin | master roshi | muten roshi,,,亀仙人 | 武天老師,,dragon_ball,0.997429,,
I70-006629,tamada_tamaki,467,玉田環,玉田環,,,ACCEPTED_CLEAN_SAMPLE,REST,tamada_(girls_und_panzer),tamada (girls und panzer),,,玉田 | 玉田(GuP) | 玉田環 | 知波単学園,,girls_und_panzer,1.0,,
I70-006656,falulu,464,ファルル,ファルル,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,,ファルル,,pretty_series,0.997817,,
I70-006663,shigure_kai_san_(swimsuit)_(kancolle),464,時雨改三（水着）,時雨改三（水着）,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,,時雨改三(水着),,kantai_collection,1.0,shigure_kai_san_(kancolle),時雨改三
I70-006739,empoleon,457,エンペルト,エンペルト,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,エンペルト,,,pokemon,1.0,,
I70-006903,sophia_valentine,444,ソフィア・ヴァレンタイン,ソフィア・ヴァレンタイン,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,いらすたいん | ソフィア・ヴァレンタイン,,,nijisanji,1.0,,
I70-007065,miyanaga_teru,431,宮永照,宮永照,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,,宮永照,,saki_(manga),1.0,,
I70-007371,miyauchi_renge,410,宮内れんげ,宮内れんげ,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,宮内れんげ,,,non_non_biyori,0.992126,,
I70-007798,stella_unibell,381,ステラ・ユニベル,ステラ・ユニベル | ステラ | ステラユニベル,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,ステラ | ステラユニベル | ステラ・ユニベル,,stellaunivel | 스텔라 | 스텔라_유니벨 | 스텔라유니벨,soulworker,1.0,,
I70-007860,blue-eyes_white_dragon,377,ブルーアイズ・ホワイト・ドラゴン,ブルーアイズ・ホワイト・ドラゴン | ブルーアイズホワイトドラゴン | 社長の嫁 | 青眼の白龍,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,ブルーアイズホワイトドラゴン | ブルーアイズ・ホワイト・ドラゴン | 社長の嫁 | 青眼の白龍,,BEWD | BWD,yu-gi-oh!,0.9941,,
I70-007994,aki_rosenthal_(1st_costume),369,アキ・ローゼンタール(通常),アキ・ローゼンタール（通常）,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,アキ・ローゼンタール(通常),,,hololive,1.0,aki_rosenthal,アキ・ローゼンタール
I70-009083,ushiromiya_kyrie,315,右代宮霧江,右代宮霧江,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,,右代宮霧江,,umineko_no_naku_koro_ni,1.0,,
I70-009441,gastrodon,300,トリトドン,トリトドン,,,ACCEPTED_CLEAN_SAMPLE,REST,,,,トリトドン,,,pokemon,1.0,,
