row_id,canonical_tag,post_count,display_ja,related_copyright_top1,copyright_display_context,translation_note,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000136,nero_claudius_(fate),11374,ネロ・クラウディウス,fate_(series),Fateシリーズ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,ネロ・クラウディウス（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000139,mari_(blue_archive),11286,伊落マリー,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,伊落マリー（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000147,tohsaka_rin,10892,遠坂凛,fate_(series),Fateシリーズ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,遠坂凛（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000168,sakura_miko,10240,さくらみこ,hololive,ホロライブ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,さくらみこ（ホロライブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000169,koharu_(blue_archive),10229,下江コハル,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,下江コハル（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000178,yuudachi_kai_ni_(kancolle),9933,夕立改二,kantai_collection,艦隊これくしょん,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,夕立改二（艦隊これくしょん）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000188,march_7th_(honkai:_star_rail),9631,三月なのか,honkai_(series),崩壊,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,三月なのか（崩壊）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000193,rover_(wuthering_waves),9456,漂泊者,wuthering_waves,鳴潮,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,漂泊者（鳴潮）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000198,seia_(blue_archive),9300,百合園セイア,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,百合園セイア（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000213,cyrene_(honkai:_star_rail),8925,キュレネ,honkai_(series),崩壊,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,キュレネ（崩壊）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000224,sunny_(omori),8595,サニー,omori,OMORI,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,サニー（OMORI）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000229,noa_(blue_archive),8450,生塩ノア,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,生塩ノア（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000241,basil_(omori),8339,バジル,omori,OMORI,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,バジル（OMORI）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000255,okita_souji_(fate),7952,沖田総司,fate_(series),Fateシリーズ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,沖田総司（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000285,aru_(blue_archive),7626,陸八魔アル,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,陸八魔アル（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000290,hanako_(blue_archive),7557,浦和ハナコ,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,浦和ハナコ（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000303,female_byleth_(fire_emblem),7357,ベレス,fire_emblem,ファイアーエムブレム,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,ベレス（ファイアーエムブレム）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000304,sua_(alien_stage),7352,スア,alien_stage,异形舞台,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,スア（异形舞台）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000323,son_goku,7167,孫悟空,dragon_ball,ドラゴンボール,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,孫悟空（ドラゴンボール）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000326,junko_(touhou),7140,純狐,touhou,東方Project,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,純狐（東方Project）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000327,mizi_(alien_stage),7138,ミジ,alien_stage,异形舞台,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,ミジ（异形舞台）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000336,ako_(blue_archive),7025,天雨アコ,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,天雨アコ（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000339,meiko_(vocaloid),6980,MEIKO,vocaloid,ボーカロイド,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,MEIKO（ボーカロイド）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000343,hasumi_(blue_archive),6928,羽川ハスミ,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,羽川ハスミ（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000356,aqua_(konosuba),6755,アクア,kono_subarashii_sekai_ni_shukufuku_wo!,この素晴らしい世界に祝福を！,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,アクア（この素晴らしい世界に祝福を！）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000422,kris_(deltarune),5991,クリス,deltarune,デルタルーン,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,クリス（デルタルーン）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000458,raiden_mei,5729,雷電芽衣,honkai_(series),崩壊,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,雷電芽衣（崩壊）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000482,nakiri_ayame,5450,百鬼あやめ,hololive,ホロライブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,百鬼あやめ（ホロライブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000503,sanji_(one_piece),5295,ヴィンスモーク・サンジ,one_piece,ワンピース,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,ヴィンスモーク・サンジ（ワンピース）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000509,rotom,5251,ロトム,pokemon,ポケットモンスター,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,ロトム（ポケットモンスター）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000573,rosalina,4758,ロゼッタ,mario_(series),スーパーマリオ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,ロゼッタ（スーパーマリオ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000604,natsuiro_matsuri,4530,夏色まつり,hololive,ホロライブ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,夏色まつり（ホロライブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000610,faust_(project_moon),4505,ファウスト,project_moon,Project Moon,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,ファウスト（Project Moon）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000631,shampoo_(ranma_1/2),4405,シャンプー,ranma_1/2,らんま1/2,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,シャンプー（らんま1/2）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000668,takodachi_(ninomae_ina'nis),4207,タコダチ,hololive,ホロライブ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,タコダチ（ホロライブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000674,callie_(splatoon),4176,アオリ,splatoon_(series),スプラトゥーン,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,アオリ（スプラトゥーン）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000690,ivan_(alien_stage),4100,イヴァン,alien_stage,异形舞台,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,イヴァン（异形舞台）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000694,till_(alien_stage),4080,ティル,alien_stage,异形舞台,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,ティル（异形舞台）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000718,kay_(girls_und_panzer),3959,ケイ,girls_und_panzer,ガールズ＆パンツァー,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,ケイ（ガールズ＆パンツァー）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000720,alice_(alice_in_wonderland),3953,アリス,alice's_adventures_in_wonderland,不思議の国のアリス,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,アリス（不思議の国のアリス）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000743,azki_(hololive),3843,AZKi,hololive,ホロライブ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,AZKi（ホロライブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000798,lum,3628,ラム,urusei_yatsura,うる星やつら,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,ラム（うる星やつら）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000815,jinx_(league),3587,ジンクス,league_of_legends,リーグ・オブ・レジェンド,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,ジンクス（リーグ・オブ・レジェンド）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000828,anastasia_(idolmaster),3561,アナスタシア,idolmaster,アイドルマスター,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,アナスタシア（アイドルマスター）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000913,lilith_(darkstalkers),3284,リリス,darkstalkers,ヴァンパイアシリーズ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,リリス（ヴァンパイアシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000914,beatrice_(umineko),3280,ベアトリーチェ,umineko_no_naku_koro_ni,うみねこのなく頃に,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,ベアトリーチェ（うみねこのなく頃に）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000924,moria_luluka,3238,森亜るるか,precure,プリキュア,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,森亜るるか（プリキュア）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000966,boko_(girls_und_panzer),3124,ボコ,girls_und_panzer,ガールズ＆パンツァー,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,ボコ（ガールズ＆パンツァー）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-001002,albedo_(genshin_impact),3041,アルベド,genshin_impact,原神,既存日本語候補・作品文脈を確認,FIX_DISPLAY,アルベド（原神）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-001013,sonia_(pokemon),3004,ソニア,pokemon,ポケットモンスター,既存日本語候補・作品文脈を確認,FIX_DISPLAY,ソニア（ポケットモンスター）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-001018,specter_(arknights),2989,スペクター,arknights,アークナイツ,既存日本語候補・作品文脈を確認,FIX_DISPLAY,スペクター（アークナイツ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-001033,meisho_doto_(umamusume),2958,メイショウドトウ,umamusume,ウマ娘 プリティーダービー,既存日本語候補・作品文脈を確認,FIX_DISPLAY,メイショウドトウ（ウマ娘 プリティーダービー）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-001039,grass_wonder_(umamusume),2944,グラスワンダー,umamusume,ウマ娘 プリティーダービー,既存日本語候補・作品文脈を確認,FIX_DISPLAY,グラスワンダー（ウマ娘 プリティーダービー）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-001056,saratoga_(kancolle),2898,サラトガ,kantai_collection,艦隊これくしょん,既存日本語候補・作品文脈を確認,FIX_DISPLAY,サラトガ（艦隊これくしょん）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-001066,dante_(devil_may_cry),2878,ダンテ,devil_may_cry_(series),デビルメイクライ,既存日本語候補・作品文脈を確認,FIX_DISPLAY,ダンテ（デビルメイクライ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-001086,mortis_(bang_dream!),2850,モーティス,bang_dream!,BanG Dream!,既存日本語候補・作品文脈を確認,FIX_DISPLAY,モーティス（BanG Dream!）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
