row_id,canonical_tag,category_name,post_count,display_ja,search_ja,existing_search_ja,audit_verdict,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-037045,arms_(game),Copyright,1103,ARMS,,ARMS(ゲーム),FIX_SEARCH,ARMS(ゲーム),RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037054,charlotte_(anime),Copyright,1095,Charlotte,,Charlotte(アニメ) | シャーロット,FIX_SEARCH,Charlotte(アニメ) | シャーロット,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037100,line_(naver),Copyright,1029,LINE,,ライン,FIX_SEARCH,ライン,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037128,akira_(manga),Copyright,992,AKIRA,,アキラ,FIX_SEARCH,アキラ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037448,claymore_(series),Copyright,707,CLAYMORE,,クレイモア,FIX_SEARCH,クレイモア,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037603,helldivers_(series),Copyright,617,HELLDIVERS,,ヘルダイバー,FIX_SEARCH,ヘルダイバー,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037639,white_album_(series),Copyright,600,WHITE ALBUM,,ホワイトアルバム,FIX_SEARCH,ホワイトアルバム,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037951,citrus_(saburouta),Copyright,474,citrus,,シトラス,FIX_SEARCH,シトラス,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-035980,omori,Copyright,23416,OMORI,,OMORI1000users入り | おもり,FIX_SEARCH,OMORI1000users入り | おもり,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036004,toaru_kagaku_no_railgun,Copyright,17515,toaru kagaku no railgun,,とある科学の携帯怪獣 | とある科学の超電磁砲,FIX_SEARCH,とある科学の携帯怪獣 | とある科学の超電磁砲,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036380,girlfriend_(kari),Copyright,3302,girlfriend (kari),,GFイラコン | ガールフレンド(仮),FIX_SEARCH,GFイラコン | ガールフレンド(仮),RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036462,onmyoji,Copyright,2654,onmyoji,,陰陽師(ゲーム) | 陰陽師イラコン,FIX_SEARCH,陰陽師(ゲーム) | 陰陽師イラコン,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036580,arcaea,Copyright,2170,Arcaea,,アーケア,FIX_SEARCH,アーケア,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036581,free!,Copyright,2169,Free!,,Free!プラス,FIX_SEARCH,Free!プラス,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036585,va-11_hall-a,Copyright,2134,VA-11 Hall-A,,ヴァルハラ,FIX_SEARCH,ヴァルハラ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036588,d.gray-man,Copyright,2125,D.Gray-man,,ディー・グレイマン,FIX_SEARCH,ディー・グレイマン,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036593,darker_than_black,Copyright,2101,DARKER THAN BLACK,,流星の双子 | 黒の契約者,FIX_SEARCH,流星の双子 | 黒の契約者,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036600,sinoalice,Copyright,2084,SINoALICE,,シノアリス,FIX_SEARCH,シノアリス,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036605,among_us,Copyright,2066,Among Us,,アマングアス,FIX_SEARCH,アマングアス,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036612,hellsing,Copyright,2055,HELLSING,,ヘルシング,FIX_SEARCH,ヘルシング,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036622,team_fortress_2,Copyright,2031,Team Fortress 2,,チームフォートレス | チームフォートレス2,FIX_SEARCH,チームフォートレス | チームフォートレス2,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036627,dark_souls_iii,Copyright,2019,DARK SOULS III,,ダークソウル3,FIX_SEARCH,ダークソウル3,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036662,fate/extella,Copyright,1876,Fate/EXTELLA,,フェイト/エクステラ,FIX_SEARCH,フェイト/エクステラ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036693,kizuna_ai_inc.,Copyright,1812,Kizuna AI Inc.,,キズナアイ,FIX_SEARCH,キズナアイ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036694,guilty_gear_xx,Copyright,1810,GUILTY GEAR XX,,ギルティギアイグゼクス,FIX_SEARCH,ギルティギアイグゼクス,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036716,riddle_joker,Copyright,1753,RIDDLE JOKER,,リドルジョーカー,FIX_SEARCH,リドルジョーカー,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036737,rewrite,Copyright,1696,Rewrite,,リライト,FIX_SEARCH,リライト,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036758,wixoss,Copyright,1664,WIXOSS,,ウィクロス,FIX_SEARCH,ウィクロス,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036772,signalis,Copyright,1634,SIGNALIS,,シグナーリス,FIX_SEARCH,シグナーリス,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036778,youtube,Copyright,1615,YouTube,,ユーチューブ,FIX_SEARCH,ユーチューブ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036799,9-nine-,Copyright,1553,9-nine-,,9-nine-ここのつここのかここのいろ | 9-nine-そらいろそらうたそらのおと | 9-nine-はるいろはるこいはるのかぜ | 9-nine-ゆきいろゆきはなゆきのあと | 9ここいろ | 9そらいろ | 9はるいろ | 9ゆきいろ | 9ナイン,FIX_SEARCH,9-nine-ここのつここのかここのいろ | 9-nine-そらいろそらうたそらのおと | 9-nine-はるいろはるこいはるのかぜ | 9-nine-ゆきいろゆきはなゆきのあと | 9ここいろ | 9そらいろ | 9はるいろ | 9ゆきいろ | 9ナイン,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036814,dog_days,Copyright,1516,DOG DAYS,,ドッグデイズ,FIX_SEARCH,ドッグデイズ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036820,the_moon_studio,Copyright,1507,the moon studio,,ピンキーポップヘップバーン | ピンキー・ポップ・ヘップバーン,FIX_SEARCH,ピンキーポップヘップバーン | ピンキー・ポップ・ヘップバーン,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036838,d4dj,Copyright,1476,D4DJ,,グルミク,FIX_SEARCH,グルミク,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036843,ssss.dynazenon,Copyright,1472,SSSS.DYNAZENON,,ダイナゼノン,FIX_SEARCH,ダイナゼノン,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036846,valorant,Copyright,1469,VALORANT,,ヴァロラント,FIX_SEARCH,ヴァロラント,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036854,roblox,Copyright,1456,Roblox,,ロブロックス,FIX_SEARCH,ロブロックス,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036874,dead_or_alive_5,Copyright,1414,DEAD OR ALIVE 5,,デッドオアアライブ5,FIX_SEARCH,デッドオアアライブ5,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036888,stellar_blade,Copyright,1377,Stellar Blade,,ステラブレイド | ステラーブレイド,FIX_SEARCH,ステラブレイド | ステラーブレイド,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036891,z/x,Copyright,1367,Z/X,,未来エターナルアーク,FIX_SEARCH,未来エターナルアーク,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036923,robotics;notes,Copyright,1308,ROBOTICS;NOTES,,ロボティクス・ノーツ,FIX_SEARCH,ロボティクス・ノーツ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036947,pop'n_music,Copyright,1268,pop'n music,,ポップン | ポップンミュージック,FIX_SEARCH,ポップン | ポップンミュージック,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036966,sound_voltex,Copyright,1225,SOUND VOLTEX,,サウンドボルテックス,FIX_SEARCH,サウンドボルテックス,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036977,idoly_pride,Copyright,1208,IDOLY PRIDE,,アイドリープライド | アイプラ | アイプラ_FA | アイプラらくがき部,FIX_SEARCH,アイドリープライド | アイプラ | アイプラ_FA | アイプラらくがき部,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036999,occultic;nine,Copyright,1171,OCCULTIC;NINE,,オカルティックナイン | オカルティック・ナイン,FIX_SEARCH,オカルティックナイン | オカルティック・ナイン,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037002,shuffle!,Copyright,1166,SHUFFLE!,,シャッフル!,FIX_SEARCH,シャッフル!,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037069,dramatical_murder,Copyright,1072,DRAMAtical Murder,,ドラマダ,FIX_SEARCH,ドラマダ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037080,dark_souls_ii,Copyright,1059,DARK SOULS II,,ダークソウル2,FIX_SEARCH,ダークソウル2,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037123,dead_or_alive_xtreme,Copyright,995,DEAD OR ALIVE Xtreme,,デッドオアアライブエクストリ,FIX_SEARCH,デッドオアアライブエクストリ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037150,the_elder_scrolls_v:_skyrim,Copyright,971,The Elder Scrolls V: Skyrim,,スカイリム,FIX_SEARCH,スカイリム,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037156,sound_horizon,Copyright,965,Sound Horizon,,サンホラ,FIX_SEARCH,サンホラ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037165,dracu-riot!,Copyright,953,DRACU-RIOT!,,ドラクリオット,FIX_SEARCH,ドラクリオット,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037208,friday_night_funkin',Copyright,910,Friday Night Funkin',,フライデーナイトファンキン,FIX_SEARCH,フライデーナイトファンキン,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037215,gravity_daze,Copyright,908,GRAVITY DAZE,,グラビティデイズ | グラビティラッシュ,FIX_SEARCH,グラビティデイズ | グラビティラッシュ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037216,instagram,Copyright,908,Instagram,,いんすた,FIX_SEARCH,いんすた,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037269,silent_hill_2,Copyright,865,SILENT HILL 2,,サイレントヒル2,FIX_SEARCH,サイレントヒル2,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037272,dead_by_daylight,Copyright,861,Dead by Daylight,,DbDアートdbdfanart | デッドバイデイライト,FIX_SEARCH,DbDアートdbdfanart | デッドバイデイライト,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037287,god_eater_burst,Copyright,847,GOD EATER BURST,,ゴッドイーターバースト,FIX_SEARCH,ゴッドイーターバースト,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037307,vinesauce,Copyright,824,Vinesauce,,ヴァインソース,FIX_SEARCH,ヴァインソース,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037318,sakamoto_days,Copyright,811,SAKAMOTO DAYS,,サカモトデイズ,FIX_SEARCH,サカモトデイズ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037336,school_days,Copyright,796,School Days,,スクールデイズ,FIX_SEARCH,スクールデイズ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037337,hooters,Copyright,795,HOOTERS,,フーターズ,FIX_SEARCH,フーターズ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037355,metal_gear_solid_v:_the_phantom_pain,Copyright,774,METAL GEAR SOLID V: THE PHANTOM PAIN,,メタルギアソリッド5 | メタルギアソリッドVザ・ファントム・ペイン,FIX_SEARCH,メタルギアソリッド5 | メタルギアソリッドVザ・ファントム・ペイン,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037369,re:creators,Copyright,760,Re:CREATORS,,レクリエイターズ,FIX_SEARCH,レクリエイターズ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037397,fallout_4,Copyright,744,Fallout 4,,フォールアウト4,FIX_SEARCH,フォールアウト4,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037405,bilibili,Copyright,734,bilibili,,ビリビリ動画,FIX_SEARCH,ビリビリ動画,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037416,re:act,Copyright,728,Re:AcT,,カガスタ,FIX_SEARCH,カガスタ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037429,iriam,Copyright,721,IRIAM,,イリアム,FIX_SEARCH,イリアム,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037449,valkyrie_drive,Copyright,707,VALKYRIE DRIVE,,ヴァルキリードライヴ,FIX_SEARCH,ヴァルキリードライヴ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037468,zozotown,Copyright,692,ZOZOTOWN,,プロセカZOZOコラボ,FIX_SEARCH,プロセカZOZOコラボ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037477,new_horizon,Copyright,687,NEW HORIZON,,ニューホライズン,FIX_SEARCH,ニューホライズン,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037556,gantz,Copyright,637,GANTZ,,ガンツ,FIX_SEARCH,ガンツ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
