row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-041482,papers_please,103,"Papers, Please",,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-042301,world_of_darkness,82,World of Darkness,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-042829,daydream_mermaid,71,Daydream Mermaid,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-042951,2bro.,69,2BRO.,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-043052,orange_memories,68,Orange Memories,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-043862,men_play_channel,56,Men Play Channel,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-044009,hero_cantare,54,HERO CANTARE,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-044031,marble_creators,54,Marble Creators,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-044153,zenra_toukou_school,53,Zenra Toukou School,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-044238,threefold_recital,52,Threefold Recital,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
