row_id,canonical_tag,post_count,display_ja,search_ja,translation_status,translation_note,risk_flags,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_coverage,family_base_canonical,family_base_display_ja,has_stronger_ja_evidence
I70-015408,barghest_(swimsuit_archer)_(first_ascension)_(fate),160,UDK-バーゲスト,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,UDK-バーゲスト,,fate/grand_order,1.0,barghest_(fate),バーゲスト,false
I70-015511,tamamo_no_mae_(swimsuit_lancer)_(first_ascension)_(fate),159,Tamamo No Mae（水着ランサー）（最初の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Tamamo No Mae（水着ランサー）（最初の昇天）（運命）,,fate_(series),1.0,tamamo_no_mae_(fate),玉藻の前（Fate）,false
I70-015743,protoman.exe,156,ブルースEXE,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,blues_exe,blues exe,,,ブルースEXE,,mega_man_(series),1.0,,,false
I70-015813,mii_gunner_(smash_4),155,Mii Gunner（スマッシュ4）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Mii Gunner（スマッシュ4）,,super_smash_bros.,0.890756,mii_gunner,Miiファイター（射撃タイプ）,false
I70-015836,tk_(angel_beats!),155,TK（エンジェルビート！）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,TK（エンジェルビート！）,,angel_beats!,1.0,,,false
I70-015872,ki_(druaga),154,KI（ドルアーガ）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,KI（ドルアーガ）,,druaga_no_tou,1.0,,,false
I70-016022,hizack,152,RMS-106ハイザック,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,RMS-106ハイザック,,gundam,1.0,,,false
I70-016095,fugee_(granblue_fantasy),151,fugee（Granblueファンタジー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,fugee（Granblueファンタジー）,,granblue_fantasy,1.0,,,false
I70-016172,hiccup_horrendous_haddock_iii,150,しゃっくり恐ろしいハドックIII,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,しゃっくり恐ろしいハドックIII,,how_to_train_your_dragon_(series),1.0,,,false
I70-016230,ai_hyperion_lambda,149,AI・ハイペリオンΛ,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,AI・ハイペリオンΛ,,honkai_(series),1.0,,,false
I70-016368,nia_(fancy_sundress)_(xenoblade),148,nia（ファンシーサンドレス）（xenoblade）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,nia（ファンシーサンドレス）（xenoblade）,,xenoblade_chronicles_(series),1.0,nia_(xenoblade),ニア（ゼノブレイド2）,false
I70-016393,vigna_(casual_vacation)_(arknights),148,Vigna（カジュアルバケーション）（Arknights）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Vigna（カジュアルバケーション）（Arknights）,,arknights,1.0,vigna_(arknights),ヴィグナ,false
I70-016420,gundam_age-1,147,ガンダムAGE-1,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ガンダムAGE-1,,gundam,1.0,,,false
I70-016504,gilzaren_iii,146,ギルザレンIII世,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ギルザレンIII世,,nijisanji,1.0,,,false
I70-016569,yamifuka-san_(hoshi_san_3),146,闇深OL,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,闇深OL,,original,1.0,,,false
I70-016576,artoria_pendragon_(swimsuit_ruler)_(second_ascension)_(fate),145,Artoria Pendragon（水着の支配者）（2番目の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Artoria Pendragon（水着の支配者）（2番目の昇天）（運命）,,fate_(series),1.0,artoria_pendragon_(fate),アルトリア・ペンドラゴン,false
I70-016599,horizon_(counter:side),145,Horizo​​n（カウンター：サイド）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Horizo​​n（カウンター：サイド）,호라이즌,counter:side,1.0,,,false
I70-016619,mash_kyrielight_(swimsuit_of_perpetual_summer_ver.03),145,常夏の水着Ver.03,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | CHARACTER_NO_COPYRIGHT_CONTEXT,,,,,常夏の水着Ver.03,,,,,,false
I70-016622,mii_swordfighter,145,Miiファイター,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DUPLICATE_DISPLAY_WITHIN_CATEGORY,,,,,Miiファイター,,super_smash_bros.,0.934426,,,false
I70-016750,cavall_ii_(fate),143,カヴァスII世,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,cavall_the_2nd,cavall the 2nd,,,カヴァスII世,,fate_(series),1.0,,,false
I70-016782,meltryllis_(swimsuit_lancer)_(third_ascension)_(fate),143,Meltryllis（水着ランサー）（3回目の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Meltryllis（水着ランサー）（3回目の昇天）（運命）,,fate/grand_order,1.0,,,false
I70-016863,luna_aegis_(closers),142,Luna aegis（クローザー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Luna aegis（クローザー）,,closers,1.0,,,false
I70-016880,otomachi_una_(spicy),142,大omachi una（スパイシー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,大omachi una（スパイシー）,,vocaloid,1.0,otomachi_una,音街ウナ,false
I70-016981,rx_boss,141,RXボス,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,RXボス,,zannen_onna-kanbu_black_general-san,1.0,,,false
I70-017007,bronya_zaychik_(black_nucleus),140,Bronya Zaychik（黒核）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Bronya Zaychik（黒核）,,honkai_(series),1.0,bronya_zaychik,ブローニャ・ザイチク,false
I70-017041,kamen_rider_black_rx,140,仮面ライダーBLACKRX,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,仮面ライダーBLACKRX,,kamen_rider,0.983051,,,false
I70-017248,dj_octavio,137,DJタコワサ将軍,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,dj_takowasa,dj takowasa,,,DJタコワサ将軍,,splatoon_(series),1.0,,,false
I70-017249,dr._voir_(nanosheep),137,博士voir（nanosheep）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,博士voir（nanosheep）,,pokemon,1.0,,,false
I70-017295,nt-tan,137,NTたん,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,nt,nt,,,NTたん,,os-tan,0.992126,,,false
I70-017358,ethlyn_(fire_emblem),136,Ethlyn（火の紋章）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,ethlin_(fire_emblem),ethlin (fire emblem),,,Ethlyn（火の紋章）,,fire_emblem,1.0,,,false
I70-017413,mysterious_heroine_xx_alter_(fate),136,謎のヒロインXX〔オルタ〕,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,謎のヒロインXX〔オルタ〕,,fate/grand_order,1.0,,,false
I70-017485,jarvan_iv_(league),135,ジャーバンIV（リーグオブレジェンド）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,"jarvan_iv_(league_of_legends),jarvan_lightshield_iv",jarvan iv (league of legends) | jarvan lightshield iv,,,ジャーバンIV（リーグオブレジェンド）,,league_of_legends,1.0,,,false
I70-017494,kuroki_tsutomu,135,黒子tsutomu,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,黒子tsutomu,,shachiku_succubus_no_hanashi,1.0,,,false
I70-017543,two_(tsu_(lovesick1964)),135,2つ（TSU（Lovesick1964））,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,2つ（TSU（Lovesick1964））,,original,1.0,,,false
I70-017605,maru_(cookie),134,パーカーRIM,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,パーカーRIM,,cookie_(touhou),1.0,,,false
I70-017660,asatsuki_(cookie),133,ASTK姉貴,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,ASTK姉貴,,cookie_(touhou),1.0,,,false
I70-017805,ifrit_(sunburn)_(arknights),132,ifrit（日焼け）（arknights）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,ifrit（日焼け）（arknights）,,arknights,1.0,ifrit_(arknights),イフリータ,false
I70-017866,vira_(summer)_(granblue_fantasy),132,Vira（夏）（Granblueファンタジー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Vira（夏）（Granblueファンタジー）,,granblue_fantasy,1.0,vira_(granblue_fantasy),ヴィーラ,false
I70-017925,junior_clown_car,131,クッパJr.クラウン,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,クッパJr.クラウン,,mario_(series),1.0,,,false
I70-017926,kagamine_rin_(nt),131,鏡音リンNT,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,鏡音リンNT,,vocaloid,1.0,kagamine_rin,鏡音リン,false
I70-018052,ms._hades,130,Ms.ハーデス,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Ms.ハーデス,,disneyland,1.0,,,false
I70-018119,ex-s_gundam,129,Ex-Sガンダム,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Ex-Sガンダム,,gundam,1.0,,,false
I70-018156,medb_(first_ascension)_(fate),129,MEDB（最初の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,MEDB（最初の昇天）（運命）,,fate/grand_order,1.0,,,false
I70-018224,ajna_(indivisible),128,ajna（不可分）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ajna（不可分）,,indivisible,1.0,,,false
I70-018403,poppi_qt_(xenoblade),127,ハナJK,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,"hana_jk,poppi_qt",hana jk | poppi qt,,,ハナJK,,xenoblade_chronicles_(series),1.0,,,false
I70-018451,boudica_(third_ascension)_(fate),126,Boudica（3番目の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Boudica（3番目の昇天）（運命）,,fate/grand_order,1.0,,,false
I70-018554,zato-1,126,ザトー=ONE,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ザトー=ONE,,guilty_gear,1.0,,,false
I70-018599,jelee-chan,125,JELEEちゃん,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,JELEEちゃん,,yoru_no_kurage_wa_oyogenai,1.0,,,false
I70-018651,tifa_lockhart_(sporty_dress),125,Tifa Lockhartのスポーティなドレス,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,tifa_lockhart's_sporty_dress,tifa lockhart's sporty dress,,,Tifa Lockhartのスポーティなドレス,,final_fantasy,1.0,tifa_lockhart,ティファ・ロックハート,false
I70-018664,aerith_gainsborough_(white_floral_dress),124,LOVELESSの歌姫,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,LOVELESSの歌姫,,final_fantasy,1.0,aerith_gainsborough,エアリス・ゲインズブール,false
I70-018669,archetto_(publicity_strategy)_(arknights),124,Archetto（宣伝戦略）（Arknights）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Archetto（宣伝戦略）（Arknights）,,arknights,1.0,archetto_(arknights),アルケット,false
I70-018758,the_baddest_evelynn,124,最も悪いevelynn,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,最も悪いevelynn,,league_of_legends,1.0,,,false
I70-018760,tweyen_(eternal's_summer_vacation)_(granblue_fantasy),124,Tweyen（永遠の夏休み）（グランブルーファンタジー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Tweyen（永遠の夏休み）（グランブルーファンタジー）,,granblue_fantasy,1.0,tweyen_(granblue_fantasy),ソーン,false
I70-018770,acfun_girl,123,AC娘,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,AC娘,,acfun,1.0,,,false
I70-018779,cassiopeia_(league),123,Cassiopeia（リーグオブレジェンド）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,"cassiopeia_(league_of_legends),cassiopeia_du_couteau",cassiopeia (league of legends) | cassiopeia du couteau,,,Cassiopeia（リーグオブレジェンド）,,league_of_legends,1.0,,,false
I70-018821,mash_kyrielight_(enma-tei_uniform),123,MashKyrielight（Enma-Teiユニフォーム）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,MashKyrielight（Enma-Teiユニフォーム）,,fate/grand_order,1.0,,,false
I70-018827,mof's_silver_haired_twintailed_girl,123,MOFの銀髪の小売された少女,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,MOFの銀髪の小売された少女,,original,1.0,,,false
I70-018867,xerxes_break,123,xerxesが壊れます,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,xerxesが壊れます,,pandora_hearts,1.0,,,false
I70-018936,mordred_(swimsuit_rider)_(second_ascension)_(fate),122,mordred（水着ライダー）（2番目の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,mordred（水着ライダー）（2番目の昇天）（運命）,,fate_(series),1.0,mordred_(fate),モードレッド（Fate）,false
I70-018953,sten_mkii_(girls'_frontline),122,ステンMKII,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,"sten_mk2_(girls'_frontline),sten_mk2_(girls_frontline)",sten mk2 (girls frontline) | sten mk2 (girls' frontline),,,ステンMKII,,girls'_frontline,1.0,,,false
I70-018963,wester_(precure),122,WESTER（新鮮な精神！）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,wester_(fresh_precure!),wester (fresh precure!),,,WESTER（新鮮な精神！）,,fresh_precure!,1.0,,,false
I70-018995,fl-chan,121,FL-ちゃん,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,FL-ちゃん,,fl_studio,0.983051,,,false
I70-019048,qubeley_mk_ii,121,キュベレイMk-II,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,キュベレイMk-II,,gundam,0.99115,,,false
I70-019257,kiyohime_(third_ascension)_(fate),119,kiyohime（3番目の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,kiyohime（3番目の昇天）（運命）,,fate/grand_order,1.0,,,false
I70-019313,yuri_lowell_(reliable_senior),119,Yuri Lowell（信頼できるシニア）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Yuri Lowell（信頼できるシニア）,,tales_of_(series),1.0,yuri_lowell,ユーリ・ローウェル,false
I70-019406,samuel_b._roberts_mk_ii_(kancolle),118,サミュエル・B・ロバーツMk.II,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,サミュエル・B・ロバーツMk.II,,kantai_collection,1.0,,,false
I70-019424,v.iv_rusty,118,V.IVラスティ,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,V.IVラスティ,,armored_core,1.0,,,false
I70-019500,minamoto_no_raikou_(swimsuit_lancer)_(first_ascension)_(fate),117,鉱本no raikou（水着ランサー）（最初の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,鉱本no raikou（水着ランサー）（最初の昇天）（運命）,,fate/grand_order,1.0,minamoto_no_raikou_(swimsuit_lancer)_(fate),源頼光（水着）,false
I70-019545,tabris-xx,117,タブリスXX,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,タブリスXX,,neon_genesis_evangelion,1.0,,,false
I70-019550,usapyon,117,USAピョン,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,USAピョン,,youkai_watch,0.982456,,,false
I70-019664,torbjorn_(overwatch),116,Torbjorn（オーバーウォッチ）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,torbjorn_lindholm,torbjorn lindholm,,,Torbjorn（オーバーウォッチ）,,overwatch,1.0,,,false
I70-019670,ussr-tan,116,USSRたん,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,USSRたん,,everlasting_summer,0.912088,,,false
I70-019679,asselin_bb_ii,115,アスラン=ベルゼビュートII世,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,アスラン=ベルゼビュートII世,,idolmaster,1.0,,,false
I70-019705,fake_hisui_(cookie),115,偽物だがいいやつそうなHSIさん,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,偽物だがいいやつそうなHSIさん,,cookie_(touhou),1.0,,,false
I70-019770,rio_(g_(genesis1556)),115,リオ（g（genesis1556））,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,リオ（g（genesis1556））,,original,1.0,,,false
