row_id,canonical_tag,post_count,display_ja,search_ja,related_copyright_top1,related_copyright_top1_coverage,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-016084,armored_aircraft_carrier_princess,151,装甲空母姫,,kantai_collection,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-016118,narita_kyouji,151,成田狂児,,karaoke_iko!,0.9,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-016121,otosaka_ayumi,151,乙坂歩未,,charlotte_(anime),1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-016189,midorikawa_ryuuji,150,緑川リュウジ,,inazuma_eleven_(series),1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-016251,ha-re_the_sword_mikanko,149,剣の御巫ハレ,,yu-gi-oh!,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-016331,chroche_latel_pastalie,148,クローシェ・レーテル・パスタリエ,,ar_tonelico,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-017421,remilia_nephys,136,レミリア・ネフィス,,phase_connect,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-017936,kurama_norihito,131,倉間典人,,inazuma_eleven_(series),1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-018122,galactic_nova,129,ギャラクティック・ノヴァ,,kirby_(series),0.983607,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-018345,exs-tia_luna,127,エクスティア・ルーナ,,kouyoku_senki_exs-tia_concert,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-018374,kuchipatchi,127,くちぱっち,,tamagotchi,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-018446,arisia_hellioxenes,126,アリシア・ヘリオゼネス,,kourin_tenshi_en_ciel_rena,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-019435,alexander_anderson,117,アレクサンド・アンデルセン,,hellsing,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-019996,kunizuka_yayoi,113,六合塚弥生,,psycho-pass,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-020209,aihara_nana,111,相原菜々,,kimi_kiss,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-021226,theodor_bachstein,105,セオドール・バッハシュタイン,,original,0.990476,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-021627,kageyama_hikaru,102,影山輝,,inazuma_eleven_(series),1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-021713,weregarurumon,102,ワーガルルモン,,digimon,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-021969,kosaka_shunpei,100,コサカ・シュンペイ,,super_heroine_boy,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-021982,miku-oji,100,ミクおじ,,vocaloid,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-021983,miura_rinaldi,100,ミウラ・リナルディ,,lyrical_nanoha,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-022828,uvogin,95,ウボォーギン,,hunter_x_hunter,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-023195,akai_meganee,92,赤井めが姉ぇ,,pretty_series,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-023222,dean_stark,92,ディーン・スターク,,wild_arms,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-023261,kagami_tina,92,加賀美ティナ,,mushiking,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-023979,dreyfus_zweig,88,ドレフュス・ツヴァイク,,saibou_shinkyoku,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-024167,ennui_heiwa_miku,87,アンニュイへいわミク,,vocaloid,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-024358,chabashira_sae,86,茶柱佐枝,,youkoso_jitsuryoku_shijou_shugi_no_kyoushitsu_e,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-024950,ushiromiya_hideyoshi,84,右代宮秀吉,,umineko_no_naku_koro_ni,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-025041,hattori_toko,83,服部瞳子,,idolmaster,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-025073,kokuu_haruto,83,小空大翔,,touhou,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-025298,leo_aiolia,82,獅子座のアイオリア,,saint_seiya,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-025790,renjakuno_hatsumi,80,連尺野初魅,,world_dai_star,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-025860,aikawa_ayumu,79,相川歩,,kore_wa_zombie_desu_ka?,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-025880,blackwargreymon,79,ブラックウォーグレイモン,,digimon,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-026111,alias_anono,78,アリアス・アノノ,,v4mirai,0.984848,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-026159,gasper_vladi,78,ギャスパー・ヴラディ,,high_school_dxd,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-026242,nishikawa_youko,78,西川葉子,,sansha_san'you,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-026788,suna_rintarou,76,角名倫太郎,,haikyuu!!,0.985915,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-027109,el_mofus,74,エール・モフス,,rance_(series),1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-027606,dark_falz_apprentice,72,ダークファルス【若人】,,phantasy_star,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-028308,rindou_hazuki,70,凛藤はづき,,ikemen_joshi_to_josou_danshi,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-028525,maria_grace_fleed,69,グレース・マリア・フリード,,mazinger_(series),1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-028791,love_deluxe,68,紫色恋人,,jojo_no_kimyou_na_bouken,0.984848,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-028885,sandy_cheeks,68,サンディ・チークス,,spongebob_squarepants_(series),1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-028919,tone_rion,68,兎眠りおん,,vocaloid,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-029202,tsuruga_ami,67,鶴河秋水,,megami_no_cafe_terrace,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-029611,gekkogahara_miaya,65,月光ヶ原美彩,,danganronpa_(series),1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-029835,zoushi_kanai,65,ゾーシィ・カナイ,,tengen_toppa_gurren_lagann,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-030167,usamin,64,ウサミン,,shingeki_no_kyojin,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-030338,kousaka_rino,63,香坂理乃,,otome_function,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-030451,summoner_aldra,63,召喚士アルドラ,,queen's_blade,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-030519,ano_fuji,62,阿野藤,,okujou_no_yurirei-san,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-030587,getter_arc,62,ゲッターアーク,,getter_robo,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-030894,cyborg_ninja,61,サイボーグ忍者,,metal_gear_(series),1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-030982,isonokami_tao,61,磯野上タオ,,shin_megami_tensei,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
