row_id,canonical_tag,post_count,display_ja,family_base_canonical,family_base_display_ja,translation_note,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-008573,daiwa_scarlet_(scarlet_nuit_etoile)_(umamusume),338,緋色のニュイ・エトワレ,daiwa_scarlet_(umamusume),ダイワスカーレット（ウマ娘）,selected from contextual Japanese search evidence,FIX_DISPLAY,ダイワスカーレット（ウマ娘）（緋色のニュイ・エトワレ）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-008590,baltimore_(after-school_ace)_(azur_lane),337,エースの放課後,baltimore_(azur_lane),ボルチモア,selected from contextual Japanese search evidence,FIX_DISPLAY,ボルチモア（エースの放課後）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-008624,bardiche_(assault_form)_(nanoha),335,アサルトフォーム,bardiche_(nanoha),バルディッシュ,selected from contextual Japanese search evidence,FIX_DISPLAY,バルディッシュ（アサルトフォーム）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-008731,takao_(full_throttle_charmer)_(azur_lane),331,魅惑のフルドライブ,takao_(azur_lane),高雄,selected from contextual Japanese search evidence,FIX_DISPLAY,高雄（魅惑のフルドライブ）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-008848,mashiro_meme_(1st_costume),325,ましろ(通常),mashiro_meme,ましろ爻,selected from contextual Japanese search evidence,FIX_DISPLAY,ましろ爻（ましろ(通常)）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-008909,cherrim_(sunshine),322,ポジフォルム,cherrim,チェリム,selected from contextual Japanese search evidence,FIX_DISPLAY,チェリム（ポジフォルム）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-008945,rita_rossweisse_(umbral_rose),321,暗黒の薔薇,rita_rossweisse,リタ・ロスヴァイセ,selected from contextual Japanese search evidence,FIX_DISPLAY,リタ・ロスヴァイセ（暗黒の薔薇）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-008991,suomi_(midsummer_pixie)_(girls'_frontline),319,仲夏のエルフ,suomi_(girls'_frontline),スオミ,selected from contextual Japanese search evidence,FIX_DISPLAY,スオミ（仲夏のエルフ）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-010551,mash_kyrielight_(senpai_killer_outfit),263,先輩を殺す私服,mash_kyrielight,マシュ・キリエライト,selected from contextual Japanese search evidence,FIX_DISPLAY,マシュ・キリエライト（先輩を殺す私服）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-010602,bardiche_(zanber_form)_(nanoha),261,ザンバーフォーム,bardiche_(nanoha),バルディッシュ,selected from contextual Japanese search evidence,FIX_DISPLAY,バルディッシュ（ザンバーフォーム）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-010607,finana_ryugu_(1st_costume),261,フィナーナ・竜宮(通常),finana_ryugu,フィナーナ竜宮,selected from contextual Japanese search evidence,FIX_DISPLAY,フィナーナ竜宮（フィナーナ・竜宮(通常)）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-010639,illustrious_(morning_star_of_love_and_hope)_(azur_lane),260,愛と希望の暁星,illustrious_(azur_lane),イラストリアス（アズールレーン）,selected from contextual Japanese search evidence,FIX_DISPLAY,イラストリアス（アズールレーン）（愛と希望の暁星）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-010731,murata_himeko_(vermillion_knight),257,真紅の騎士・月蝕,murata_himeko,無量塔姫子,selected from contextual Japanese search evidence,FIX_DISPLAY,無量塔姫子（真紅の騎士・月蝕）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-010859,magical_mirai_miku_(2017),253,マジカルミライ2017,magical_mirai_miku,初音ミク（マジカルミライ）,selected from contextual Japanese search evidence,FIX_DISPLAY,初音ミク（マジカルミライ）（マジカルミライ2017）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-010907,shinano_(dreamy_white_sands)_(azur_lane),252,雅夢の白浜,shinano_(azur_lane),信濃,selected from contextual Japanese search evidence,FIX_DISPLAY,信濃（雅夢の白浜）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011002,theresa_apocalypse_(luna_kindred),249,月下の抱擁,theresa_apocalypse,テレサ・アポカリプス,selected from contextual Japanese search evidence,FIX_DISPLAY,テレサ・アポカリプス（月下の抱擁）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011015,inugami_korone_(dog),248,毛玉ころね,inugami_korone,戌神ころね,selected from contextual Japanese search evidence,FIX_DISPLAY,戌神ころね（毛玉ころね）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011055,li_shuwen_(young)_(fate),247,アサシン(Fate/EXTRA),li_shuwen_(fate),李書文（Fate）,selected from contextual Japanese search evidence,FIX_DISPLAY,李書文（Fate）（アサシン(Fate/EXTRA)）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011092,inari_one_(edomurasaki)_(umamusume),246,稲荷所縁江戸紫,inari_one_(umamusume),イナリワン,variant/form rendering plausible but not independently verified,FIX_DISPLAY,イナリワン（稲荷所縁江戸紫）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011104,russia_(female)_(hetalia),246,アーニャ・ブラギンスカヤ,russia_(hetalia),イヴァン・ブラギンスキ,variant/form rendering plausible but not independently verified,FIX_DISPLAY,イヴァン・ブラギンスキ（アーニャ・ブラギンスカヤ）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011114,alsace_(heat_beating_summer_sacrament)_(azur_lane),245,陽差しの秘蹟、過熱す,alsace_(azur_lane),アルザス,selected from contextual Japanese search evidence,FIX_DISPLAY,アルザス（陽差しの秘蹟、過熱す）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011139,mejiro_ryan_(down_the_line)_(umamusume),245,ストレート・ライン,mejiro_ryan_(umamusume),メジロライアン,variant/form rendering plausible but not independently verified,FIX_DISPLAY,メジロライアン（ストレート・ライン）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011215,august_von_parseval_(the_conquered_unhulde)_(azur_lane),242,御使い魔女,august_von_parseval_(azur_lane),アウグスト・フォン・パーセヴァル,selected from contextual Japanese search evidence,FIX_DISPLAY,アウグスト・フォン・パーセヴァル（御使い魔女）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011268,mejiro_mcqueen_(end_of_the_skies)_(umamusume),241,エンド・オブ・スカイ,mejiro_mcqueen_(umamusume),メジロマックイーン（ウマ娘）,variant/form rendering plausible but not independently verified,FIX_DISPLAY,メジロマックイーン（ウマ娘）（エンド・オブ・スカイ）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011274,scaramouche_(shouki_no_kami)_(genshin_impact),241,正机之神,scaramouche_(genshin_impact),スカラマシュ,variant/form rendering plausible but not independently verified,FIX_DISPLAY,スカラマシュ（正机之神）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011289,japan_(female)_(hetalia),240,にょ日,japan_(hetalia),本田菊,variant/form rendering plausible but not independently verified,FIX_DISPLAY,本田菊（にょ日）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011306,serika_(new_year)_(blue_archive),240,セリカ(正月),serika_(blue_archive),黒見セリカ,selected from contextual Japanese search evidence,FIX_DISPLAY,黒見セリカ（セリカ(正月)）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011359,illustrious_(maiden_lily's_radiance)_(azur_lane),238,オトメユリの輝き,illustrious_(azur_lane),イラストリアス（アズールレーン）,selected from contextual Japanese search evidence,FIX_DISPLAY,イラストリアス（アズールレーン）（オトメユリの輝き）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011410,raiden_mei_(valkyrie_bladestrike),237,戦乙女・強襲,raiden_mei,雷電芽衣,selected from contextual Japanese search evidence,FIX_DISPLAY,雷電芽衣（戦乙女・強襲）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011457,formidable_(timeless_classics)_(azur_lane),235,クラシック・ドレスアップ,formidable_(azur_lane),フォーミダブル（アズールレーン）,selected from contextual Japanese search evidence,FIX_DISPLAY,フォーミダブル（アズールレーン）（クラシック・ドレスアップ）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011487,carlotta_(splashing_summer)_(wuthering_waves),234,珂莱塔(夏日旖旎),carlotta_(wuthering_waves),カルロッタ,variant/form rendering plausible but not independently verified,FIX_DISPLAY,カルロッタ（珂莱塔(夏日旖旎)）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011625,mashiro_(swimsuit)_(blue_archive),231,マシロ（水着）,mashiro_(blue_archive),静山マシロ,AI監修：日本版公式衣装名を確認,FIX_DISPLAY,静山マシロ（マシロ（水着））,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011811,hanae_(christmas)_(blue_archive),226,ハナエ（クリスマス）,hanae_(blue_archive),朝顔ハナエ,AI監修：日本版公式衣装名を確認,FIX_DISPLAY,朝顔ハナエ（ハナエ（クリスマス））,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-011989,mimori_(swimsuit)_(blue_archive),222,ミモリ（水着）,mimori_(blue_archive),水羽ミモリ,AI監修：日本版公式衣装名を確認,FIX_DISPLAY,水羽ミモリ（ミモリ（水着））,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012048,shinano_(moonlit_chrome)_(azur_lane),221,寝待の銀輿,shinano_(azur_lane),信濃,selected from contextual Japanese search evidence,FIX_DISPLAY,信濃（寝待の銀輿）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012054,tosen_jordan_(jokester_vibes)_(umamusume),221,ポップス☆ジョーカー,tosen_jordan_(umamusume),トーセンジョーダン,variant/form rendering plausible but not independently verified,FIX_DISPLAY,トーセンジョーダン（ポップス☆ジョーカー）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012060,aerith_gainsborough_(pink_mermaid),220,ピンキーマーメイド,aerith_gainsborough,エアリス・ゲインズブール,selected from contextual Japanese search evidence,FIX_DISPLAY,エアリス・ゲインズブール（ピンキーマーメイド）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012062,bremerton_(day-off_date)_(azur_lane),220,ハッピーデーティング!,bremerton_(azur_lane),ブレマートン（アズールレーン）,selected from contextual Japanese search evidence,FIX_DISPLAY,ブレマートン（アズールレーン）（ハッピーデーティング!）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012110,bremerton_(relaxation_consultation)_(azur_lane),219,ゆったりリラックスタイム,bremerton_(azur_lane),ブレマートン（アズールレーン）,selected from contextual Japanese search evidence,FIX_DISPLAY,ブレマートン（アズールレーン）（ゆったりリラックスタイム）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012176,rita_rossweisse_(fallen_rosemary),218,ロストローズマリー,rita_rossweisse,リタ・ロスヴァイセ,selected from contextual Japanese search evidence,FIX_DISPLAY,リタ・ロスヴァイセ（ロストローズマリー）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012194,callie_(octo_idol_outfit)_(splatoon),217,タコリちゃん,callie_(splatoon),アオリ,variant/form rendering plausible but not independently verified,FIX_DISPLAY,アオリ（タコリちゃん）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012335,kearsarge_(all_night_charge)_(azur_lane),214,オールナイト・チャージ,kearsarge_(azur_lane),キアサージ,selected from contextual Japanese search evidence,FIX_DISPLAY,キアサージ（オールナイト・チャージ）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012356,tamamo_no_mae_(sable_mage)_(fate),214,漆黒の魔術服,tamamo_no_mae_(fate),玉藻の前（Fate）,selected from contextual Japanese search evidence,FIX_DISPLAY,玉藻の前（Fate）（漆黒の魔術服）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012366,baltimore_(black_ace)_(azur_lane),213,ブラックエース,baltimore_(azur_lane),ボルチモア,selected from contextual Japanese search evidence,FIX_DISPLAY,ボルチモア（ブラックエース）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012376,gilgamesh_(establishment)_(fate),213,エスタブリッシュメント,gilgamesh_(fate),ギルガメッシュ（Fate）,variant/form rendering plausible but not independently verified,FIX_DISPLAY,ギルガメッシュ（Fate）（エスタブリッシュメント）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-012448,shu_(bingwenyuyou)_(arknights),212,(冰纹玉釉),shu_(arknights),シュウ（アークナイツ）,variant/form rendering plausible but not independently verified,FIX_DISPLAY,シュウ（アークナイツ）（(冰纹玉釉)）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
