row_id,canonical_tag,category_name,post_count,display_ja,search_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-011234,lucio_(overwatch),Character,242,lucio (overwatch),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011288,iris_(asteroid_ill),Character,240,iris (asteroid ill),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011292,li_sushang_(jade_knight),Character,240,li sushang (jade knight),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011313,bunny_nun_(diva),Character,239,bunny nun (diva),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011323,hoshiguma_(ronin_huntress)_(arknights),Character,239,hoshiguma (ronin huntress) (arknights),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011325,ibuki_douji_(swimsuit_berserker)_(first_ascension)_(fate),Character,239,ibuki douji (swimsuit berserker) (first ascension) (fate),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011326,kama_(swimsuit_avenger)_(first_ascension)_(fate),Character,239,kama (swimsuit avenger) (first ascension) (fate),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011387,commander_shepard_(female),Character,237,commander shepard (female),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011393,erika_(popopoka),Character,237,erika (popopoka),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011397,inubashiri_momiji_(wolf),Character,237,inubashiri momiji (wolf),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011427,ereshkigal_(third_ascension)_(fate),Character,236,ereshkigal (third ascension) (fate),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011498,kama_(swimsuit_avenger)_(second_ascension)_(fate),Character,234,kama (swimsuit avenger) (second ascension) (fate),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012071,frillish_(female),Character,220,frillish (female),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012079,keith_(voltron),Character,220,keith (voltron),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012104,vander_(arcane),Character,220,vander (arcane),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012142,v_(devil_may_cry),Character,219,v (devil may cry),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012149,fiz_(fizintine),Character,218,fiz (fizintine),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012160,minion_1_(zannen_onna-kanbu_black_general-san),Character,218,minion 1 (zannen onna-kanbu black general-san),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012197,deerling_(spring),Character,217,deerling (spring),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012229,shameimaru_aya_(crow),Character,217,shameimaru aya (crow),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012244,goat-chan_(enarane),Character,216,goat-chan (enarane),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012262,nacchan_(ohisashiburi),Character,216,nacchan (ohisashiburi),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012266,protagonist_(light_and_night_love),Character,216,protagonist (light and night love),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012293,katsushika_hokusai_(third_ascension)_(fate),Character,215,katsushika hokusai (third ascension) (fate),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012331,indeedee_(female),Character,214,indeedee (female),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012339,lucina_(spring_exalt)_(fire_emblem),Character,214,lucina (spring exalt) (fire emblem),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012340,lunatic_(ragnarok_online),Character,214,lunatic (ragnarok online),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012375,gastrodon_(west),Character,213,gastrodon (west),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012382,hong_meiling_(panda),Character,213,hong meiling (panda),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012432,lanz_(xenoblade),Character,212,lanz (xenoblade),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012443,pippi_(osu!),Character,212,pippi (osu!),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012451,subaki_(fire_emblem),Character,212,subaki (fire emblem),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012483,micchan_(ohisashiburi),Character,211,micchan (ohisashiburi),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-012485,nicola_(granblue_fantasy),Character,211,nicola (granblue fantasy),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
