row_id,canonical_tag,post_count,display_ja,related_copyright_top1,copyright_display_context,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-014195,inari_(summer_pockets),179,イナリ,summer_pockets,Summer Pockets,FIX_DISPLAY,イナリ（Summer Pockets）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014218,reala_(tales),179,リアラ,tales_of_(series),テイルズ オブ シリーズ,FIX_DISPLAY,リアラ（テイルズ オブ シリーズ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014288,yona_(akatsuki_no_yona),178,ヨナ,akatsuki_no_yona,暁のヨナ,FIX_DISPLAY,ヨナ（暁のヨナ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014334,seer_(apex_legends),177,シーア,apex_legends,エーペックスレジェンズ,FIX_DISPLAY,シーア（エーペックスレジェンズ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014350,yasu_(umineko),177,ヤス,umineko_no_naku_koro_ni,うみねこのなく頃に,FIX_DISPLAY,ヤス（うみねこのなく頃に）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014358,bard_(sekaiju),176,バード,sekaiju_no_meikyuu,世界樹の迷宮,FIX_DISPLAY,バード（世界樹の迷宮）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014389,meto_(cat),176,メト,umamusume,ウマ娘 プリティーダービー,FIX_DISPLAY,メト（ウマ娘 プリティーダービー）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014396,seidr_(fire_emblem),176,セイズ,fire_emblem,ファイアーエムブレム,FIX_DISPLAY,セイズ（ファイアーエムブレム）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014416,clanne_(fire_emblem),175,クラン,fire_emblem,ファイアーエムブレム,FIX_DISPLAY,クラン（ファイアーエムブレム）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014442,kurama_(naruto),175,くらま,naruto_(series),ナルト,FIX_DISPLAY,くらま（ナルト）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014489,geno_(mario),174,ジーノ,mario_(series),スーパーマリオ,FIX_DISPLAY,ジーノ（スーパーマリオ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014516,raoh_(hokuto_no_ken),174,ラオウ,hokuto_no_ken,北斗の拳,FIX_DISPLAY,ラオウ（北斗の拳）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014546,devil_(housamo),173,エビル,tokyo_afterschool_summoners,放サモ,FIX_DISPLAY,エビル（放サモ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014606,clear_(dramatical_murder),172,クリア,dramatical_murder,DRAMAtical Murder,FIX_DISPLAY,クリア（DRAMAtical Murder）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014636,puss_in_boots_(shrek),172,プス,shrek_(series),シュレック,FIX_DISPLAY,プス（シュレック）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014700,shinobi_(sekaiju),171,シノビ,sekaiju_no_meikyuu,世界樹の迷宮,FIX_DISPLAY,シノビ（世界樹の迷宮）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014787,eusine_(pokemon),169,ミナキ,pokemon,ポケットモンスター,FIX_DISPLAY,ミナキ（ポケットモンスター）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014824,root_(stpri),169,るぅと,strawberry_prince,すとろべりーぷりんす,FIX_DISPLAY,るぅと（すとろべりーぷりんす）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014825,rosie_(animal_crossing),169,ブーケ,animal_crossing,どうぶつの森,FIX_DISPLAY,ブーケ（どうぶつの森）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014828,sigma_(mega_man),169,シグマ,mega_man_(series),ロックマン,FIX_DISPLAY,シグマ（ロックマン）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014839,a_(naruto),168,エー,naruto_(series),ナルト,FIX_DISPLAY,エー（ナルト）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-014878,limone_(simoun),168,リモネ,simoun,シムーン,FIX_DISPLAY,リモネ（シムーン）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015026,shuna_(tensura),166,シュナ,tensei_shitara_slime_datta_ken,転生したらスライムだった件,FIX_DISPLAY,シュナ（転生したらスライムだった件）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015061,cis_(tiger_&_bunny),165,シス,tiger_&_bunny,TIGER & BUNNY,FIX_DISPLAY,シス（TIGER & BUNNY）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015186,yuzu_(mahjong_soul),164,ゆず,mahjong_soul,雀魂,FIX_DISPLAY,ゆず（雀魂）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015255,yuuri_(saikin_yatotta_maid_ga_ayashii),163,ゆうり,saikin_yatotta_maid_ga_ayashii,最近雇ったメイドが怪しい,FIX_DISPLAY,ゆうり（最近雇ったメイドが怪しい）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015257,zena_(project_moon),163,ジェナ,project_moon,Project Moon,FIX_DISPLAY,ジェナ（Project Moon）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015299,mitsuki_(naruto),162,ミツキ,naruto_(series),ナルト,FIX_DISPLAY,ミツキ（ナルト）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015311,satella_(re:zero),162,サテラ,re:zero_kara_hajimeru_isekai_seikatsu,Re:ゼロから始める異世界生活,FIX_DISPLAY,サテラ（Re:ゼロから始める異世界生活）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015370,mothra,161,モスラ,godzilla_(series),ゴジラ,FIX_DISPLAY,モスラ（ゴジラ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015373,nice_(to_be_hero_x),161,ナイス,to_be_hero_x,TO BE HERO X,FIX_DISPLAY,ナイス（TO BE HERO X）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015404,ankh_(ooo),160,アンク,kamen_rider,オリジナルライダー,FIX_DISPLAY,アンク（オリジナルライダー）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015447,rem_(death_note),160,レム,death_note,デスノート,FIX_DISPLAY,レム（デスノート）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015529,dikke_(reverse:1999),158,パミエ,reverse:1999,リバース：1999,FIX_DISPLAY,パミエ（リバース：1999）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015571,sera_(mega_man),158,セラ,mega_man_(series),ロックマン,FIX_DISPLAY,セラ（ロックマン）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015623,kokoro_(doa),157,こころ,dead_or_alive,デッドオアアライブ,FIX_DISPLAY,こころ（デッドオアアライブ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015628,lime_(saber_j),157,ライム,saber_marionette_j,セイバーマリオネット,FIX_DISPLAY,ライム（セイバーマリオネット）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015646,pram_(phantom_kingdom),157,プラム,phantom_kingdom,ファントムキングダム,FIX_DISPLAY,プラム（ファントムキングダム）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015655,shigure_(fire_emblem),157,シグレ,fire_emblem,ファイアーエムブレム,FIX_DISPLAY,シグレ（ファイアーエムブレム）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015742,pitch_(kirby),156,ピッチ,kirby_(series),擬カビ,FIX_DISPLAY,ピッチ（擬カビ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015745,puui_(grandia),156,プーイ,grandia,グランディア,FIX_DISPLAY,プーイ（グランディア）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015762,yuna_(mega_man),156,ユウナ,mega_man_(series),ロックマン,FIX_DISPLAY,ユウナ（ロックマン）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015799,king_(nanatsu_no_taizai),155,キング,nanatsu_no_taizai,七つの大罪,FIX_DISPLAY,キング（七つの大罪）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015807,lif_(ragnarok_online),155,リーフ,ragnarok_online,ラグナロクオンライン,FIX_DISPLAY,リーフ（ラグナロクオンライン）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015824,rin_(girls_band_cry),155,リン,girls_band_cry,ガルクラ,FIX_DISPLAY,リン（ガルクラ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015826,samui_(naruto),155,サムイ,naruto_(series),ナルト,FIX_DISPLAY,サムイ（ナルト）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015856,chell,154,チェル,portal_(series),Portal,FIX_DISPLAY,チェル（Portal）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-015941,iroi_(nte),153,イロヒ,neverness_to_everness,Neverness to Everness,FIX_DISPLAY,イロヒ（Neverness to Everness）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-016016,gubo_(project_moon),152,グボ,project_moon,Project Moon,FIX_DISPLAY,グボ（Project Moon）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-016107,karin_(vrchat),151,カリン,vrchat,VRChat,FIX_DISPLAY,カリン（VRChat）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-016109,kea_(eiyuu_densetsu),151,キーア,eiyuu_densetsu,英雄伝説,FIX_DISPLAY,キーア（英雄伝説）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-016185,maguchi_(sakura_miko),150,まぐち,hololive,ホロライブ,FIX_DISPLAY,まぐち（ホロライブ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-016229,ai_(girls_band_cry),149,アイ,girls_band_cry,ガルクラ,FIX_DISPLAY,アイ（ガルクラ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
I70-016271,lala_(little_twin_stars),149,ララ,little_twin_stars,リトルツインスターズ,FIX_DISPLAY,ララ（リトルツインスターズ）,,ADD_COPYRIGHT_CONTEXT_TO_AMBIGUOUS_SHORT_CHARACTER_NAME,HIGH,current Japanese candidate + related_copyright_top1 + audited/frozen Copyright display,短い日本語名そのものは保持し、同名衝突/不可視disambiguatorだけを作品名で解消。variant identity欠落行は別laneへ除外。,PROPOSED
