row_id,canonical_tag,category,post_count,media_scope,confidence,decision_source,scope_reason,primary_copyright,primary_copyright_coverage,evidence_refs
I70-000042,shimakaze_(kancolle),Character,20670,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999900,kantai_collection,0.999900,
I70-000043,reiuji_utsuho,Character,20621,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999949,touhou,0.999949,
I70-000044,chen,Character,20572,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999898,touhou,0.999898,
I70-000045,kazami_yuuka,Character,20246,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999895,touhou,0.999895,
I70-000046,ganyu_(genshin_impact),Character,20177,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,genshin_impact,1.000000,
I70-000047,miki_sayaka,Character,20085,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,mahou_shoujo_madoka_magica,1.000000,
I70-000048,hina_(blue_archive),Character,19450,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,blue_archive,1.000000,
I70-000049,fujimaru_ritsuka_(male),Character,19021,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999668,fate_(series),0.999668,
I70-000050,yuuka_(blue_archive),Character,18836,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,blue_archive,1.000000,
I70-000051,tatara_kogasa,Character,18674,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999889,touhou,0.999889,
I70-000052,kawashiro_nitori,Character,18651,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999944,touhou,0.999944,
I70-000053,asuna_(blue_archive),Character,18338,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,blue_archive,1.000000,
I70-000054,hibiki_(kancolle),Character,18039,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999943,kantai_collection,0.999943,
I70-000055,kasane_teto,Character,18017,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,utau,1.000000,
I70-000056,gotoh_hitori,Character,17931,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999942,bocchi_the_rock!,0.999942,
I70-000057,houraisan_kaguya,Character,17925,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000058,houshou_marine,Character,17912,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,hololive,1.000000,
I70-000059,hinanawi_tenshi,Character,17868,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999883,touhou,0.999883,
I70-000060,kamishirasawa_keine,Character,17856,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999942,touhou,0.999942,
I70-000061,shigure_(kancolle),Character,17758,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000062,gardevoir,Character,17727,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,pokemon,1.000000,
I70-000063,souryuu_asuka_langley,Character,17460,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999873,neon_genesis_evangelion,0.999873,
I70-000064,pikachu,Character,17407,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,pokemon,1.000000,
I70-000065,kagamine_len,Character,17188,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999455,vocaloid,0.999455,
I70-000066,sakura_kyoko,Character,17080,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999938,mahou_shoujo_madoka_magica,0.999938,
I70-000067,tifa_lockhart,Character,16849,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999401,final_fantasy,0.999401,
I70-000068,tomoe_mami,Character,16843,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999874,mahou_shoujo_madoka_magica,0.999874,
I70-000069,princess_zelda,Character,16583,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,the_legend_of_zelda,1.000000,
I70-000070,firefly_(honkai:_star_rail),Character,16551,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,honkai_(series),1.000000,
I70-000071,fujimaru_ritsuka_(female),Character,16488,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999684,fate_(series),0.999684,
I70-000072,gawr_gura,Character,16423,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,hololive,1.000000,
I70-000073,mystia_lorelei,Character,16234,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000074,frieren,Character,16158,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999869,sousou_no_frieren,0.999869,
I70-000075,koakuma,Character,16126,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999935,touhou,0.999935,
I70-000076,nazrin,Character,16113,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999935,touhou,0.999935,
I70-000077,mika_(blue_archive),Character,16112,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999870,blue_archive,0.999870,
I70-000078,ibuki_suika,Character,15980,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000079,shirakami_fubuki,Character,15932,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,hololive,1.000000,
I70-000080,cloud_strife,Character,15809,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999796,final_fantasy,0.999796,
I70-000081,inaba_tewi,Character,15731,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999933,touhou,0.999933,
I70-000082,inkling_player_character,Character,15575,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999866,splatoon_(series),0.999866,
I70-000083,usami_renko,Character,15465,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000084,hoshimachi_suisei,Character,15211,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,hololive,1.000000,
I70-000085,hoshino_(blue_archive),Character,15093,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,blue_archive,1.000000,
I70-000086,maribel_hearn,Character,15092,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999857,touhou,0.999857,
I70-000087,wanderer_(genshin_impact),Character,15027,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999930,genshin_impact,0.999930,
I70-000088,rio_(blue_archive),Character,14738,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,blue_archive,1.000000,
I70-000089,hijiri_byakuren,Character,14653,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000090,trainer_(umamusume),Character,14545,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,umamusume,1.000000,
I70-000091,hu_tao_(genshin_impact),Character,14531,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,genshin_impact,1.000000,
I70-000092,ouro_kronii,Character,14375,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,hololive,1.000000,
I70-000093,houjuu_nue,Character,14064,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999925,touhou,0.999925,
I70-000094,kongou_(kancolle),Character,14043,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000095,agnes_tachyon_(umamusume),Character,13998,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,umamusume,1.000000,
I70-000096,megurine_luka,Character,13893,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,vocaloid,1.000000,
I70-000097,aether_(genshin_impact),Character,13891,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,genshin_impact,1.000000,
I70-000098,furina_(genshin_impact),Character,13879,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999925,genshin_impact,0.999925,
I70-000099,nanami_chiaki,Character,13831,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999925,danganronpa_(series),0.999925,
I70-000100,jeanne_d'arc_alter_(fate),Character,13754,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999695,fate_(series),0.999695,
I70-000101,inazuma_(kancolle),Character,13551,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000102,inkling_girl,Character,13493,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999846,splatoon_(series),0.999846,
I70-000103,yagokoro_eirin,Character,13341,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000104,elysia_(honkai_impact),Character,13337,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999921,honkai_(series),0.999921,
I70-000105,nahida_(genshin_impact),Character,13266,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,genshin_impact,1.000000,
I70-000106,mizuhashi_parsee,Character,13238,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000107,akemi_homura_(magical_girl),Character,13205,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,mahou_shoujo_madoka_magica,1.000000,
I70-000108,yasaka_kanako,Character,13182,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000109,manhattan_cafe_(umamusume),Character,13116,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,umamusume,1.000000,
I70-000110,stelle_(honkai:_star_rail),Character,13114,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,honkai_(series),1.000000,
I70-000111,akagi_(kancolle),Character,13001,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000112,kisaki_(blue_archive),Character,12979,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999918,blue_archive,0.999918,
I70-000113,fubuki_(kancolle),Character,12922,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000114,doctor_(arknights),Character,12902,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,arknights,1.000000,
I70-000115,abigail_williams_(fate),Character,12709,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999919,fate_(series),0.999919,
I70-000116,ninomae_ina'nis,Character,12626,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,hololive,1.000000,
I70-000117,mori_calliope,Character,12577,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,hololive,1.000000,
I70-000118,yae_miko,Character,12441,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999916,genshin_impact,0.999916,
I70-000119,2b_(nier:automata),Character,12353,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.996548,nier_(series),0.996548,
I70-000120,kagiyama_hina,Character,12213,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000121,yuudachi_(kancolle),Character,12159,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000122,amiya_(arknights),Character,12065,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,arknights,1.000000,
I70-000123,toki_(blue_archive),Character,12063,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,blue_archive,1.000000,
I70-000124,tenryuu_(kancolle),Character,11999,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000125,usada_pekora,Character,11930,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,hololive,1.000000,
I70-000126,aerith_gainsborough,Character,11782,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,final_fantasy,1.000000,
I70-000127,aris_(blue_archive),Character,11715,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999909,blue_archive,0.999909,
I70-000128,nekomata_okayu,Character,11661,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,hololive,1.000000,
I70-000129,shigure_kai_ni_(kancolle),Character,11590,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000130,producer_(idolmaster),Character,11507,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999911,idolmaster,0.999911,
I70-000131,shiroko_(blue_archive),Character,11488,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999909,blue_archive,0.999909,
I70-000132,toyosatomimi_no_miko,Character,11446,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000133,kayoko_(blue_archive),Character,11436,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,blue_archive,1.000000,
I70-000134,ikazuchi_(kancolle),Character,11435,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000135,yor_briar,Character,11386,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999156,spy_x_family,0.999156,
I70-000136,nero_claudius_(fate),Character,11374,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999356,fate_(series),0.999356,
I70-000137,daiyousei,Character,11310,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000138,togawa_sakiko,Character,11290,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999813,bang_dream!,0.999813,
I70-000139,mari_(blue_archive),Character,11286,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999814,blue_archive,0.999814,
I70-000140,manjuu_(azur_lane),Character,11189,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999621,azur_lane,0.999621,
I70-000141,kazusa_(blue_archive),Character,11104,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999810,blue_archive,0.999810,
I70-000142,illyasviel_von_einzbern,Character,11094,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999708,fate_(series),0.999708,
I70-000143,suzumiya_haruhi,Character,11067,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,suzumiya_haruhi_no_yuuutsu,1.000000,
I70-000144,nami_(one_piece),Character,10977,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999890,one_piece,0.999890,
I70-000145,makima_(chainsaw_man),Character,10969,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999802,chainsaw_man,0.999802,
I70-000146,kirby,Character,10901,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999128,kirby_(series),0.999128,
I70-000147,tohsaka_rin,Character,10892,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999798,fate_(series),0.999798,
I70-000148,hamakaze_(kancolle),Character,10885,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000149,misaka_mikoto,Character,10820,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999900,toaru_majutsu_no_index,0.999900,
I70-000150,megumin,Character,10813,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999502,kono_subarashii_sekai_ni_shukufuku_wo!,0.999502,
I70-000151,zuikaku_(kancolle),Character,10757,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999902,kantai_collection,0.999902,
I70-000152,akatsuki_(kancolle),Character,10681,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000153,nishizumi_miho,Character,10680,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999900,girls_und_panzer,0.999900,
I70-000154,hoshiguma_yuugi,Character,10633,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000155,kaname_madoka_(magical_girl),Character,10580,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999800,mahou_shoujo_madoka_magica,0.999800,
I70-000156,gold_ship_(umamusume),Character,10569,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,umamusume,1.000000,
I70-000157,akiyama_mio,Character,10564,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999791,k-on!,0.999791,
