row_id,pilot_reasons
I70-009997,CLEAN_CONTROL
I70-010173,CLEAN_CONTROL
I70-010317,CLEAN_CONTROL
I70-011760,CLEAN_CONTROL
I70-024763,CLEAN_CONTROL
I70-035964,CLEAN_CONTROL
I70-036057,CLEAN_CONTROL
I70-036245,CLEAN_CONTROL
I70-000924,CLEAN_CONTROL
I70-001432,CLEAN_CONTROL
I70-001852,CLEAN_CONTROL
I70-002140,CLEAN_CONTROL
I70-002398,CLEAN_CONTROL
I70-002789,CLEAN_CONTROL
I70-037051,CLEAN_CONTROL
I70-003683,CLEAN_CONTROL
I70-037301,CLEAN_CONTROL
I70-004993,CLEAN_CONTROL
I70-038159,CLEAN_CONTROL
I70-039837,CLEAN_CONTROL
I70-035918,CLEAN_CONTROL
I70-000701,CLEAN_CONTROL
I70-014123,CLEAN_CONTROL
I70-004657,CLEAN_CONTROL
I70-037933,CLEAN_CONTROL
I70-011999,CLEAN_CONTROL
I70-001291,CLEAN_CONTROL
I70-036381,CLEAN_CONTROL
I70-001936,CLEAN_CONTROL
I70-039746,CLEAN_CONTROL
I70-005577,CLEAN_CONTROL
I70-041937,CLEAN_CONTROL
I70-011947,CLEAN_CONTROL
I70-000658,CLEAN_CONTROL
I70-043087,CLEAN_CONTROL
I70-018724,CLEAN_CONTROL
I70-001571,CLEAN_CONTROL
I70-036854,CLEAN_CONTROL
I70-003616,CLEAN_CONTROL
I70-042475,CLEAN_CONTROL
I70-007411,CLEAN_CONTROL
I70-020631,CLEAN_CONTROL
I70-000522,CLEAN_CONTROL
I70-000804,CLEAN_CONTROL
I70-040993,CLEAN_CONTROL
I70-006929,CLEAN_CONTROL
I70-001298,CLEAN_CONTROL
I70-037230,CLEAN_CONTROL
I70-001625,CLEAN_CONTROL
I70-039204,CLEAN_CONTROL
I70-004829,CLEAN_CONTROL
I70-044378,CLEAN_CONTROL
I70-014982,CLEAN_CONTROL
I70-000415,CLEAN_CONTROL
I70-043763,CLEAN_CONTROL
I70-022059,CLEAN_CONTROL
I70-002075,CLEAN_CONTROL
I70-036320,CLEAN_CONTROL
I70-004482,CLEAN_CONTROL
I70-042703,CLEAN_CONTROL
I70-008515,CLEAN_CONTROL
I70-028750,CLEAN_CONTROL
I70-000668,CLEAN_CONTROL
I70-036171,CLEAN_CONTROL
I70-005712,CLEAN_CONTROL
I70-038678,CLEAN_CONTROL
I70-013324,CLEAN_CONTROL
I70-000368,CLEAN_CONTROL
I70-043988,CLEAN_CONTROL
I70-023066,CLEAN_CONTROL
I70-001990,CLEAN_CONTROL
I70-036735,CLEAN_CONTROL
I70-005048,CLEAN_CONTROL
I70-042807,CLEAN_CONTROL
I70-009119,CLEAN_CONTROL
I70-029708,CLEAN_CONTROL
I70-000790,CLEAN_CONTROL
I70-039043,CLEAN_CONTROL
I70-016704,CLEAN_CONTROL
I70-000340,CLEAN_CONTROL
I70-044044,CLEAN_CONTROL
I70-024518,CLEAN_CONTROL
I70-002230,CLEAN_CONTROL
I70-037639,CLEAN_CONTROL
I70-006265,CLEAN_CONTROL
I70-043016,CLEAN_CONTROL
I70-010877,CLEAN_CONTROL
I70-033441,CLEAN_CONTROL
I70-000876,CLEAN_CONTROL
I70-039437,CLEAN_CONTROL
I70-019763,CLEAN_CONTROL
I70-000381,CLEAN_CONTROL
I70-044284,CLEAN_CONTROL
I70-026423,CLEAN_CONTROL
I70-002529,CLEAN_CONTROL
I70-038055,CLEAN_CONTROL
I70-006910,CLEAN_CONTROL
I70-043358,CLEAN_CONTROL
I70-012677,CLEAN_CONTROL
I70-035044,CLEAN_CONTROL
I70-000941,CLEAN_CONTROL
I70-040248,CLEAN_CONTROL
I70-021243,CLEAN_CONTROL
I70-000441,CLEAN_CONTROL
I70-044335,CLEAN_CONTROL
I70-027628,CLEAN_CONTROL
I70-002702,CLEAN_CONTROL
I70-038395,CLEAN_CONTROL
I70-007497,CLEAN_CONTROL
I70-043902,CLEAN_CONTROL
I70-013892,CLEAN_CONTROL
I70-035380,CLEAN_CONTROL
I70-001053,CLEAN_CONTROL
I70-040667,CLEAN_CONTROL
I70-022560,CLEAN_CONTROL
I70-000525,CLEAN_CONTROL
I70-044363,CLEAN_CONTROL
I70-028136,CLEAN_CONTROL
I70-002912,CLEAN_CONTROL
I70-038649,CLEAN_CONTROL
I70-008161,CLEAN_CONTROL
I70-044180,CLEAN_CONTROL
I70-015094,CLEAN_CONTROL
I70-035741,CLEAN_CONTROL
I70-001202,CLEAN_CONTROL
I70-041133,CLEAN_CONTROL
I70-023964,CLEAN_CONTROL
I70-000589,CLEAN_CONTROL
I70-044405,CLEAN_CONTROL
I70-029204,CLEAN_CONTROL
I70-003163,CLEAN_CONTROL
I70-038922,CLEAN_CONTROL
I70-008925,CLEAN_CONTROL
I70-044422,CLEAN_CONTROL
I70-016037,CLEAN_CONTROL
I70-035963,CLEAN_CONTROL
I70-001365,CLEAN_CONTROL
I70-041471,CLEAN_CONTROL
I70-025107,CLEAN_CONTROL
I70-000645,CLEAN_CONTROL
I70-044423,CLEAN_CONTROL
I70-030123,CLEAN_CONTROL
I70-003425,CLEAN_CONTROL
I70-039267,CLEAN_CONTROL
I70-009709,CLEAN_CONTROL
I70-044424,CLEAN_CONTROL
I70-017159,CLEAN_CONTROL
I70-036239,CLEAN_CONTROL
I70-001527,CLEAN_CONTROL
I70-041784,CLEAN_CONTROL
I70-026671,CLEAN_CONTROL
I70-000738,CLEAN_CONTROL
I70-044425,CLEAN_CONTROL
I70-031301,CLEAN_CONTROL
I70-003776,CLEAN_CONTROL
I70-039649,CLEAN_CONTROL
I70-010499,CLEAN_CONTROL
I70-044426,CLEAN_CONTROL
I70-018191,CLEAN_CONTROL
I70-036654,CLEAN_CONTROL
I70-001716,CLEAN_CONTROL
I70-042034,CLEAN_CONTROL
I70-027945,CLEAN_CONTROL
I70-000856,CLEAN_CONTROL
I70-036997,CLEAN_CONTROL
I70-004101,CLEAN_CONTROL
I70-039965,CLEAN_CONTROL
I70-011476,CLEAN_CONTROL
I70-019654,CLEAN_CONTROL
I70-037364,CLEAN_CONTROL
I70-001984,CLEAN_CONTROL
I70-042257,CLEAN_CONTROL
I70-029225,CLEAN_CONTROL
I70-000987,CLEAN_CONTROL
I70-037730,CLEAN_CONTROL
I70-004441,CLEAN_CONTROL
I70-040221,CLEAN_CONTROL
I70-012628,CLEAN_CONTROL
I70-020900,CLEAN_CONTROL
I70-038164,CLEAN_CONTROL
I70-002306,CLEAN_CONTROL
I70-042436,CLEAN_CONTROL
I70-030531,CLEAN_CONTROL
I70-001145,CLEAN_CONTROL
I70-038525,CLEAN_CONTROL
I70-004811,CLEAN_CONTROL
I70-040518,CLEAN_CONTROL
I70-013897,CLEAN_CONTROL
I70-022255,CLEAN_CONTROL
I70-038916,CLEAN_CONTROL
I70-002649,CLEAN_CONTROL
I70-042625,CLEAN_CONTROL
I70-031950,CLEAN_CONTROL
I70-001355,CLEAN_CONTROL
I70-039327,CLEAN_CONTROL
I70-005169,CLEAN_CONTROL
I70-040815,CLEAN_CONTROL
I70-015051,CLEAN_CONTROL
I70-023547,CLEAN_CONTROL
I70-039712,CLEAN_CONTROL
I70-003006,CLEAN_CONTROL
I70-042734,CLEAN_CONTROL
I70-033083,CLEAN_CONTROL
I70-001617,CLEAN_CONTROL
I70-040107,CLEAN_CONTROL
I70-005536,CLEAN_CONTROL
I70-041061,CLEAN_CONTROL
I70-016362,CLEAN_CONTROL
I70-024999,CLEAN_CONTROL
I70-040136,CLEAN_CONTROL
I70-003373,CLEAN_CONTROL
I70-042823,CLEAN_CONTROL
I70-034412,CLEAN_CONTROL
I70-001891,CLEAN_CONTROL
I70-040466,CLEAN_CONTROL
I70-005862,CLEAN_CONTROL
I70-041295,CLEAN_CONTROL
I70-017525,CLEAN_CONTROL
I70-026763,CLEAN_CONTROL
I70-040507,CLEAN_CONTROL
I70-003762,CLEAN_CONTROL
I70-042914,CLEAN_CONTROL
I70-035819,CLEAN_CONTROL
I70-002179,CLEAN_CONTROL
I70-040770,CLEAN_CONTROL
I70-006183,CLEAN_CONTROL
I70-041495,CLEAN_CONTROL
I70-018648,CLEAN_CONTROL
I70-028760,CLEAN_CONTROL
I70-040850,CLEAN_CONTROL
I70-004198,CLEAN_CONTROL
I70-043020,CLEAN_CONTROL
I70-036105,CLEAN_CONTROL
I70-002472,CLEAN_CONTROL
I70-041074,CLEAN_CONTROL
I70-006489,CLEAN_CONTROL
I70-041698,CLEAN_CONTROL
I70-019919,CLEAN_CONTROL
I70-030785,CLEAN_CONTROL
I70-041159,CLEAN_CONTROL
I70-004648,CLEAN_CONTROL
I70-043115,CLEAN_CONTROL
I70-036395,CLEAN_CONTROL
I70-002811,CLEAN_CONTROL
I70-041376,CLEAN_CONTROL
I70-006811,CLEAN_CONTROL
I70-041880,CLEAN_CONTROL
I70-021218,CLEAN_CONTROL
I70-032815,CLEAN_CONTROL
I70-041448,CLEAN_CONTROL
I70-005097,CLEAN_CONTROL
I70-043207,CLEAN_CONTROL
I70-036695,CLEAN_CONTROL
I70-003185,CLEAN_CONTROL
I70-041681,CLEAN_CONTROL
I70-007164,CLEAN_CONTROL
I70-042050,CLEAN_CONTROL
I70-022704,CLEAN_CONTROL
I70-034868,CLEAN_CONTROL
I70-041747,CLEAN_CONTROL
I70-005592,CLEAN_CONTROL
I70-043291,CLEAN_CONTROL
I70-037057,CLEAN_CONTROL
I70-003593,CLEAN_CONTROL
I70-041969,CLEAN_CONTROL
I70-007533,CLEAN_CONTROL
I70-042204,CLEAN_CONTROL
I70-024205,CLEAN_CONTROL
I70-035890,CLEAN_CONTROL
I70-042056,CLEAN_CONTROL
I70-006076,CLEAN_CONTROL
I70-043385,CLEAN_CONTROL
I70-037407,CLEAN_CONTROL
I70-004052,CLEAN_CONTROL
I70-042231,CLEAN_CONTROL
I70-007924,CLEAN_CONTROL
I70-042375,CLEAN_CONTROL
I70-025697,CLEAN_CONTROL
I70-035891,CLEAN_CONTROL
I70-042350,CLEAN_CONTROL
I70-006634,CLEAN_CONTROL
I70-043481,CLEAN_CONTROL
I70-037754,CLEAN_CONTROL
I70-004548,CLEAN_CONTROL
I70-042486,CLEAN_CONTROL
I70-008337,CLEAN_CONTROL
I70-042566,CLEAN_CONTROL
I70-027217,CLEAN_CONTROL
I70-035892,CLEAN_CONTROL
I70-042638,CLEAN_CONTROL
I70-007200,CLEAN_CONTROL
I70-043590,CLEAN_CONTROL
I70-038110,CLEAN_CONTROL
I70-005082,CLEAN_CONTROL
I70-042725,CLEAN_CONTROL
I70-008754,CLEAN_CONTROL
I70-042760,CLEAN_CONTROL
I70-028721,CLEAN_CONTROL
I70-035894,CLEAN_CONTROL
I70-042918,CLEAN_CONTROL
I70-007794,CLEAN_CONTROL
I70-043689,CLEAN_CONTROL
I70-038431,CLEAN_CONTROL
I70-005689,CLEAN_CONTROL
I70-042960,CLEAN_CONTROL
I70-009189,CLEAN_CONTROL
I70-042936,CLEAN_CONTROL
I70-030237,CLEAN_CONTROL
I70-035898,CLEAN_CONTROL
I70-043214,CLEAN_CONTROL
I70-008395,CLEAN_CONTROL
I70-043791,CLEAN_CONTROL
I70-038771,CLEAN_CONTROL
I70-006317,CLEAN_CONTROL
I70-043197,CLEAN_CONTROL
I70-009634,CLEAN_CONTROL
I70-043086,CLEAN_CONTROL
I70-031783,CLEAN_CONTROL
I70-035899,CLEAN_CONTROL
I70-043507,CLEAN_CONTROL
I70-009034,CLEAN_CONTROL
I70-043891,CLEAN_CONTROL
I70-039109,CLEAN_CONTROL
I70-006973,CLEAN_CONTROL
I70-043434,CLEAN_CONTROL
I70-010111,CLEAN_CONTROL
I70-043227,CLEAN_CONTROL
I70-033289,CLEAN_CONTROL
I70-035900,CLEAN_CONTROL
I70-043810,CLEAN_CONTROL
I70-009695,CLEAN_CONTROL
I70-043989,CLEAN_CONTROL
I70-039443,CLEAN_CONTROL
I70-007666,CLEAN_CONTROL
I70-043670,CLEAN_CONTROL
I70-010604,CLEAN_CONTROL
I70-043363,CLEAN_CONTROL
I70-034651,CLEAN_CONTROL
I70-035901,CLEAN_CONTROL
I70-044119,CLEAN_CONTROL
I70-010363,CLEAN_CONTROL
I70-044084,CLEAN_CONTROL
I70-039771,CLEAN_CONTROL
I70-008384,CLEAN_CONTROL
I70-043890,CLEAN_CONTROL
I70-011120,CLEAN_CONTROL
I70-043498,CLEAN_CONTROL
I70-036018,CLEAN_CONTROL
I70-044294,CLEAN_CONTROL
I70-011077,CLEAN_CONTROL
I70-044176,CLEAN_CONTROL
I70-040095,CLEAN_CONTROL
I70-009160,CLEAN_CONTROL
I70-044105,CLEAN_CONTROL
I70-011660,CLEAN_CONTROL
I70-043643,CLEAN_CONTROL
I70-036019,CLEAN_CONTROL
I70-044424,CLEAN_CONTROL
I70-011784,CLEAN_CONTROL
I70-044266,CLEAN_CONTROL
I70-040412,CLEAN_CONTROL
I70-009967,CLEAN_CONTROL
I70-044296,CLEAN_CONTROL
I70-012205,CLEAN_CONTROL
I70-043789,CLEAN_CONTROL
I70-036020,CLEAN_CONTROL
I70-044425,CLEAN_CONTROL
I70-012518,CLEAN_CONTROL
I70-044353,CLEAN_CONTROL
I70-040731,CLEAN_CONTROL
I70-010804,CLEAN_CONTROL
I70-044377,CLEAN_CONTROL
I70-012779,CLEAN_CONTROL
I70-043954,CLEAN_CONTROL
I70-036021,CLEAN_CONTROL
I70-044426,CLEAN_CONTROL
I70-013249,CLEAN_CONTROL
I70-044439,CLEAN_CONTROL
I70-041041,CLEAN_CONTROL
I70-011660,CLEAN_CONTROL
I70-044458,CLEAN_CONTROL
I70-013367,CLEAN_CONTROL
I70-044103,CLEAN_CONTROL
I70-036022,CLEAN_CONTROL
I70-044427,CLEAN_CONTROL
I70-013979,CLEAN_CONTROL
I70-044527,CLEAN_CONTROL
I70-041345,CLEAN_CONTROL
I70-012559,CLEAN_CONTROL
I70-044539,CLEAN_CONTROL
I70-014144,CLEAN_CONTROL
I70-044241,CLEAN_CONTROL
I70-036023,CLEAN_CONTROL
I70-044428,CLEAN_CONTROL
I70-014702,CLEAN_CONTROL
I70-044615,CLEAN_CONTROL
I70-041651,CLEAN_CONTROL
I70-013489,CLEAN_CONTROL
I70-044619,CLEAN_CONTROL
I70-014924,CLEAN_CONTROL
I70-044383,CLEAN_CONTROL
I70-036024,CLEAN_CONTROL
I70-044429,CLEAN_CONTROL
I70-015426,CLEAN_CONTROL
I70-044704,CLEAN_CONTROL
I70-041954,CLEAN_CONTROL
I70-014443,CLEAN_CONTROL
I70-044699,CLEAN_CONTROL
I70-015716,CLEAN_CONTROL
I70-044526,CLEAN_CONTROL
I70-036025,CLEAN_CONTROL
I70-044430,CLEAN_CONTROL
I70-016167,CLEAN_CONTROL
I70-044798,CLEAN_CONTROL
I70-042257,CLEAN_CONTROL
I70-015452,CLEAN_CONTROL
I70-044779,CLEAN_CONTROL
I70-016508,CLEAN_CONTROL
I70-044668,CLEAN_CONTROL
I70-036026,CLEAN_CONTROL
I70-044431,CLEAN_CONTROL
I70-017001,CLEAN_CONTROL
I70-044888,CLEAN_CONTROL
I70-042556,CLEAN_CONTROL
I70-016479,CLEAN_CONTROL
I70-044859,CLEAN_CONTROL
I70-017314,CLEAN_CONTROL
I70-044815,CLEAN_CONTROL
I70-036027,CLEAN_CONTROL
I70-044432,CLEAN_CONTROL
I70-017847,CLEAN_CONTROL
I70-044977,CLEAN_CONTROL
I70-042854,CLEAN_CONTROL
I70-017539,CLEAN_CONTROL
I70-044939,CLEAN_CONTROL
I70-018111,CLEAN_CONTROL
I70-044955,CLEAN_CONTROL
I70-036028,CLEAN_CONTROL
I70-044433,CLEAN_CONTROL
I70-018681,CLEAN_CONTROL
I70-045066,CLEAN_CONTROL
I70-043151,CLEAN_CONTROL
I70-018587,CLEAN_CONTROL
I70-045019,CLEAN_CONTROL
I70-018964,CLEAN_CONTROL
I70-045096,CLEAN_CONTROL
I70-036029,CLEAN_CONTROL
I70-044434,CLEAN_CONTROL
I70-019574,CLEAN_CONTROL
I70-045154,CLEAN_CONTROL
I70-043448,CLEAN_CONTROL
I70-019638,CLEAN_CONTROL
I70-045099,CLEAN_CONTROL
I70-019817,CLEAN_CONTROL
I70-045235,CLEAN_CONTROL
I70-036030,CLEAN_CONTROL
I70-044435,CLEAN_CONTROL
I70-020507,CLEAN_CONTROL
I70-045242,CLEAN_CONTROL
I70-043745,CLEAN_CONTROL
I70-020689,CLEAN_CONTROL
I70-045179,CLEAN_CONTROL
I70-020668,CLEAN_CONTROL
I70-045372,CLEAN_CONTROL
I70-036031,CLEAN_CONTROL
I70-044436,CLEAN_CONTROL
I70-021519,CLEAN_CONTROL
I70-045330,CLEAN_CONTROL
I70-044042,CLEAN_CONTROL
I70-021738,CLEAN_CONTROL
I70-045259,CLEAN_CONTROL
I70-021563,CLEAN_CONTROL
I70-045509,CLEAN_CONTROL
I70-036032,CLEAN_CONTROL
I70-044437,CLEAN_CONTROL
I70-022606,CLEAN_CONTROL
I70-045419,CLEAN_CONTROL
I70-044339,CLEAN_CONTROL
I70-022784,CLEAN_CONTROL
I70-045339,CLEAN_CONTROL
I70-022507,CLEAN_CONTROL
I70-045646,CLEAN_CONTROL
I70-036033,CLEAN_CONTROL
I70-044438,CLEAN_CONTROL
I70-023783,CLEAN_CONTROL
I70-045507,CLEAN_CONTROL
I70-044636,CLEAN_CONTROL
I70-023829,CLEAN_CONTROL
I70-045419,CLEAN_CONTROL
I70-023451,CLEAN_CONTROL
I70-045783,CLEAN_CONTROL
I70-036034,CLEAN_CONTROL
I70-044439,CLEAN_CONTROL
I70-025038,CLEAN_CONTROL
I70-045596,CLEAN_CONTROL
I70-044933,CLEAN_CONTROL
I70-024873,CLEAN_CONTROL
I70-045499,CLEAN_CONTROL
I70-024395,CLEAN_CONTROL
I70-045920,CLEAN_CONTROL
I70-036035,CLEAN_CONTROL
I70-044440,CLEAN_CONTROL
I70-026331,CLEAN_CONTROL
I70-045684,CLEAN_CONTROL
I70-045230,CLEAN_CONTROL
I70-025916,CLEAN_CONTROL
I70-045579,CLEAN_CONTROL
I70-025393,CLEAN_CONTROL
I70-046057,CLEAN_CONTROL
I70-036036,CLEAN_CONTROL
I70-044441,CLEAN_CONTROL
I70-027731,CLEAN_CONTROL
I70-045773,CLEAN_CONTROL
I70-045527,CLEAN_CONTROL
I70-026957,CLEAN_CONTROL
I70-045659,CLEAN_CONTROL
I70-026390,CLEAN_CONTROL
I70-046194,CLEAN_CONTROL
I70-036037,CLEAN_CONTROL
I70-044442,CLEAN_CONTROL
I70-029208,CLEAN_CONTROL
I70-045861,CLEAN_CONTROL
I70-045824,CLEAN_CONTROL
I70-028029,CLEAN_CONTROL
I70-045739,CLEAN_CONTROL
I70-027368,CLEAN_CONTROL
I70-046331,CLEAN_CONTROL
I70-036038,CLEAN_CONTROL
I70-044443,CLEAN_CONTROL
I70-030763,CLEAN_CONTROL
I70-045950,CLEAN_CONTROL
I70-046121,CLEAN_CONTROL
I70-029132,CLEAN_CONTROL
I70-045819,CLEAN_CONTROL
I70-028342,CLEAN_CONTROL
I70-046468,CLEAN_CONTROL
I70-036039,CLEAN_CONTROL
I70-044444,CLEAN_CONTROL
I70-032397,CLEAN_CONTROL
I70-046038,CLEAN_CONTROL
I70-046418,CLEAN_CONTROL
I70-030240,CLEAN_CONTROL
I70-045899,CLEAN_CONTROL
I70-029341,CLEAN_CONTROL
I70-046605,CLEAN_CONTROL
I70-036040,CLEAN_CONTROL
I70-044445,CLEAN_CONTROL
I70-034112,CLEAN_CONTROL
I70-046127,CLEAN_CONTROL
I70-046715,CLEAN_CONTROL
I70-031422,CLEAN_CONTROL
I70-045979,CLEAN_CONTROL
I70-030380,CLEAN_CONTROL
I70-046742,CLEAN_CONTROL
