canonical_tag,post_count,aliases,prescreen_status,nearest_special_identity,reason,confidence,review_priority,concept_area,heuristic_score,heuristic_signals,calibration_anchor,content_filter_used
hand_on_own_chest,89241,hand_on_chest|hand_to_own_chest|hand_to_chest,LIKELY_CANDIDATE,hand on own penis (SpecialID 797; score=0.753),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
lifting_own_clothes,88148,lifted_by_self,LIKELY_CANDIDATE,living clothes (SpecialID 1870; score=0.580),Calibration anchor: self-actor + clothing-lift relation is more specific than generic clothes adjustment/removal,HIGH,P0,CLOTHING_EXPOSURE,3,relation/body-site; deep-concept; compound,YES,NO
hair_over_shoulder,78915,,LIKELY_CANDIDATE,off shoulder (SpecialID 2230; score=0.525),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
mole_under_mouth,77530,,LIKELY_CANDIDATE,under boob (SpecialID 2642; score=0.467),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
hand_on_own_face,72897,hand_to_own_face|hand_on_face|hand_to_face,LIKELY_CANDIDATE,hand on own tentacles (SpecialID 2495; score=0.747),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
one_eye_covered,72764,covered_eye,LIKELY_CANDIDATE,penis over one eye (SpecialID 823; score=0.504),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,4,relation/body-site; visual/state; compound; deep-area,NO,NO
arms_behind_head,72434,hands_behind_head,LIKELY_CANDIDATE,arms bound above head (SpecialID 2473; score=0.630),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
breast_press,68311,,LIKELY_CANDIDATE,breast (SpecialID 2632; score=0.750),Calibration anchor: specific body-contact/action concept rather than ordinary anatomy,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; action/contact; deep-area,YES,NO
between_breasts,64738,,LIKELY_CANDIDATE,cum between breasts (SpecialID 1290; score=0.880),Calibration anchor: generic between-breasts spatial relation; Special contains several object-specific variants but not the reusable relation identity,HIGH,P0,BODY_RELATION_STATE,2,relation/body-site; deep-area,YES,NO
breasts_apart,61893,,LIKELY_CANDIDATE,breasts (SpecialID 2170; score=0.765),Calibration anchor: specific breast-position/body-state identity not represented by generic breasts,HIGH,P0,BODY_RELATION_STATE,2,visual/state; deep-area,YES,NO
wet_clothes,61603,wet_clothing|wetclothes,LIKELY_CANDIDATE,open clothes (SpecialID 2049; score=0.594),specific clothing exposure subtype/state is difficult to discover from the ordinary General vocabulary,HIGH,P0,CLOTHING_EXPOSURE,3,visual/state; deep-concept; specific-state,NO,NO
micro_bikini,59624,microbikini,LIKELY_CANDIDATE,crotchless bikini (SpecialID 2089; score=0.552),Calibration anchor: specific clothing/exposure subtype,HIGH,P0,CLOTHING_EXPOSURE,2,visual/state; niche-modifier,YES,NO
blood_on_face,59531,bloody_face,LIKELY_CANDIDATE,blood (SpecialID 2164; score=0.667),Calibration anchor: localized blood/body-site state fits deep R18G discovery; broad blood does not identify the site relation,HIGH,P0,FLUID_REPRODUCTION,4,relation/body-site; deep-concept; compound; deep-area,YES,NO
mole_on_breast,58430,,LIKELY_CANDIDATE,breast (SpecialID 2632; score=0.687),Calibration anchor: specific body-mark + site relation; Special already carries analogous site-specific mole identities,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,YES,NO
crying_with_eyes_open,55140,,LIKELY_CANDIDATE,shorts open (SpecialID 2277; score=0.440),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,visual/state; compound; deep-area,NO,NO
arm_behind_back,54397,hand_behind_back,LIKELY_CANDIDATE,bare back (SpecialID 2208; score=0.525),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
hand_on_another's_head,52768,,LIKELY_CANDIDATE,peeing on another (SpecialID 2609; score=0.577),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
arm_behind_head,51578,hand_behind_head,LIKELY_CANDIDATE,severed head (SpecialID 1778; score=0.492),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
hair_behind_ear,51311,,LIKELY_CANDIDATE,hair bondage (SpecialID 2446; score=0.525),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
goggles_on_head,50961,goggle_on_head,LIKELY_CANDIDATE,penis on head (SpecialID 815; score=0.655),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
bikini_top_only,43620,bikini_top,LIKELY_CANDIDATE,untied bikini top (SpecialID 2061; score=0.615),Calibration anchor: specific partial-garment/exposure state rather than ordinary bikini identity,HIGH,P0,CLOTHING_EXPOSURE,1,compound,YES,NO
hand_on_another's_shoulder,43282,grabbing_another's_shoulder,LIKELY_CANDIDATE,penis on shoulder (SpecialID 1011; score=0.572),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
bags_under_eyes,43263,eye_bags|dark_circles|eyebags|eye_circles,LIKELY_CANDIDATE,rape eyes (SpecialID 1379; score=0.487),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
knees_together_feet_apart,41804,knees_touching,LIKELY_CANDIDATE,peeing together (SpecialID 1987; score=0.463),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,visual/state; compound; deep-area,NO,NO
holding_unworn_clothes,40907,holding_clothes,LIKELY_CANDIDATE,holding unworn chastity cage (SpecialID 1225; score=0.637),specific clothing exposure subtype/state is difficult to discover from the ordinary General vocabulary,HIGH,P0,CLOTHING_EXPOSURE,6,relation/body-site; action/contact; visual/state; deep-concept; niche-modifier; compound,NO,NO
bandaid_on_face,39540,,LIKELY_CANDIDATE,bandaid on nipple (SpecialID 1358; score=0.671),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
bouncing_breasts,38896,,LIKELY_CANDIDATE,breasts (SpecialID 2170; score=0.724),Calibration anchor: specific breast-motion state; Special has analogous bouncing penis/testicles but not breasts,HIGH,P0,BODY_RELATION_STATE,2,visual/state; deep-area,YES,NO
breasts_squeezed_together,37542,breast_squeeze|breasts_squeeze,LIKELY_CANDIDATE,breasts (SpecialID 2170; score=0.614),Calibration anchor: specific breast-position/compression state useful for body/pose discovery,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,YES,NO
hand_on_own_cheek,37420,hand_on_cheek|hand_to_cheek,LIKELY_CANDIDATE,hand on own penis (SpecialID 797; score=0.727),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
huge_ass,36503,thick_ass|big_ass|big_butt,LIKELY_CANDIDATE,ass (SpecialID 2359; score=0.695),Calibration anchor: specific body-morphology identity; Special already treats other huge anatomy variants as deep dictionary entries,HIGH,P0,BODY_MORPHOLOGY,0,,YES,NO
hand_between_own_legs,36500,hand_between_own_thighs|hand_between_thighs|arm_between_own_legs|hand_between_legs,LIKELY_CANDIDATE,hand on own penis (SpecialID 797; score=0.550),Calibration anchor: specific self body-part spatial pose relation beyond generic hand/leg pose tags,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,YES,NO
blood_on_clothes,35529,bloody_clothes|blood-stained_clothes,LIKELY_CANDIDATE,cum on clothes (SpecialID 351; score=0.663),Calibration anchor: localized blood-on-material state; distinct from broad blood and useful in R18G discovery,HIGH,P0,FLUID_REPRODUCTION,4,relation/body-site; deep-concept; compound; deep-area,YES,NO
panties_under_pantyhose,35495,panties_under_pantiehose|panties_behind_pantyhose|panties_below_pantyhose|panties_underneath_pantyhose,LIKELY_CANDIDATE,vibrator under pantyhose (SpecialID 293; score=0.678),Calibration anchor: specific layered-underwear relation difficult to discover from ordinary garment tags,HIGH,P0,CLOTHING_EXPOSURE,2,relation/body-site; compound,YES,NO
arm_under_breasts,34473,,LIKELY_CANDIDATE,penis under breasts (SpecialID 1180; score=0.683),Calibration anchor: specific body-part/breast spatial relation useful for pose discovery,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,YES,NO
hand_on_another's_face,31946,,LIKELY_CANDIDATE,peeing on another (SpecialID 2609; score=0.577),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
hair_over_eyes,31434,hair_covering_eyes,LIKELY_CANDIDATE,penis over eyes (SpecialID 772; score=0.675),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
midriff_peek,31330,stomach_peek|belly_peek,LIKELY_CANDIDATE,midriff (SpecialID 2228; score=0.782),Calibration anchor: specific partial-exposure state; distinct from generic midriff,HIGH,P0,ACTION_CONTACT,2,relation/body-site; specific-state,YES,NO
pov_crotch,31126,,LIKELY_CANDIDATE,crotch (SpecialID 2361; score=0.787),Calibration anchor: specific camera/body-site composition identity,HIGH,P0,BODY_MORPHOLOGY,2,deep-concept; pose/camera,YES,NO
covered_mouth,30294,hidden_mouth|mouth_covered,LIKELY_CANDIDATE,covered anus (SpecialID 795; score=0.566),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; visual/state; deep-area,NO,NO
crotch_seam,29610,,LIKELY_CANDIDATE,crotch (SpecialID 2361; score=0.768),Calibration anchor: specific garment/body-site structural feature useful in clothing/exposure discovery,HIGH,P0,BODY_RELATION_STATE,4,relation/body-site; deep-concept; specific-state; deep-area,YES,NO
hand_on_own_chin,29360,hand_on_chin|hand_to_chin,LIKELY_CANDIDATE,hand on own penis (SpecialID 797; score=0.737),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
food_on_face,28775,food_on_cheek,LIKELY_CANDIDATE,food on penis (SpecialID 1017; score=0.657),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
highleg_panties,28671,,LIKELY_CANDIDATE,panties (SpecialID 2112; score=0.736),Calibration anchor: specific revealing garment structure rather than color/style-only underwear variant,HIGH,P0,CLOTHING_EXPOSURE,2,visual/state; niche-modifier,YES,NO
bikini_under_clothes,28667,,LIKELY_CANDIDATE,penis under clothes (SpecialID 1439; score=0.703),Calibration anchor: specific garment-layer relation; fits deep clothing/exposure discovery,HIGH,P0,CLOTHING_EXPOSURE,3,relation/body-site; deep-concept; compound,YES,NO
mask_on_head,28228,,LIKELY_CANDIDATE,penis on head (SpecialID 815; score=0.657),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
hanging_breasts,27904,hanging_boob|hangingboob,LIKELY_CANDIDATE,breasts (SpecialID 2170; score=0.736),Calibration anchor: specific breast shape/state identity beyond generic breasts,HIGH,P0,BODY_RELATION_STATE,2,visual/state; deep-area,YES,NO
covered_eyes,27323,obscured_eyes|eyes_covered,LIKELY_CANDIDATE,covered penis (SpecialID 683; score=0.602),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; visual/state; deep-area,NO,NO
panties_around_one_leg,27261,panties_around_leg|/paol,LIKELY_CANDIDATE,skirt around one leg (SpecialID 2249; score=0.725),Calibration anchor: specific displaced-garment/body relation; Special already supports analogous around-one-leg clothing states,HIGH,P0,CLOTHING_EXPOSURE,2,relation/body-site; compound,YES,NO
highleg_one-piece_swimsuit,26852,,LIKELY_CANDIDATE,one-piece swimsuit pull (SpecialID 2231; score=0.713),specific clothing exposure concept has discovery value beyond ordinary General lookup,HIGH,P0,CLOTHING_EXPOSURE,3,visual/state; niche-modifier; compound,NO,NO
hands_on_own_face,25968,hands_on_face|hands_to_face,LIKELY_CANDIDATE,penis on face (SpecialID 691; score=0.613),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
holding_animal,25374,holding_bat_(animal),LIKELY_CANDIDATE,holding dildo (SpecialID 1381; score=0.575),specific nonhuman transform concept has discovery value beyond ordinary General lookup,HIGH,P0,NONHUMAN_TRANSFORM,3,relation/body-site; action/contact; deep-area,NO,NO
hand_on_headwear,25183,hand_on_hat,LIKELY_CANDIDATE,cum on headwear (SpecialID 959; score=0.682),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
holding_stuffed_toy,25013,holding_teddy_bear|holding_plush|holding_stuffed_animal,LIKELY_CANDIDATE,holding sex toy (SpecialID 750; score=0.704),specific device adornment concept has discovery value beyond ordinary General lookup,HIGH,P0,DEVICE_ADORNMENT,5,relation/body-site; action/contact; deep-concept; compound; deep-area,NO,NO
hand_on_own_head,24262,,LIKELY_CANDIDATE,hand on own penis (SpecialID 797; score=0.737),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
bandaid_on_leg,23885,,LIKELY_CANDIDATE,bandaid on nipple (SpecialID 1358; score=0.711),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
highleg_bikini,23531,,LIKELY_CANDIDATE,crotchless bikini (SpecialID 2089; score=0.532),Calibration anchor: specific revealing garment subtype rather than a color/style-only variant,HIGH,P0,CLOTHING_EXPOSURE,2,visual/state; niche-modifier,YES,NO
clothes_around_waist,23118,,LIKELY_CANDIDATE,clothes removed (SpecialID 2068; score=0.508),specific clothing exposure concept has discovery value beyond ordinary General lookup,HIGH,P0,CLOTHING_EXPOSURE,3,relation/body-site; deep-concept; compound,NO,NO
long_hair_between_eyes,22656,,LIKELY_CANDIDATE,between testicles (SpecialID 1108; score=0.446),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
animal_ear_piercing,22586,,LIKELY_CANDIDATE,piercing (SpecialID 1833; score=0.683),specific nonhuman transform concept has discovery value beyond ordinary General lookup,HIGH,P0,NONHUMAN_TRANSFORM,3,deep-concept; compound; deep-area,NO,NO
grabbing_another's_arm,22237,,LIKELY_CANDIDATE,grabbing another's ass (SpecialID 34; score=0.792),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,4,relation/body-site; action/contact; compound; deep-area,NO,NO
holding_own_dress,21520,,LIKELY_CANDIDATE,holding tentacle (SpecialID 1868; score=0.498),specific clothing exposure concept has discovery value beyond ordinary General lookup,HIGH,P0,CLOTHING_EXPOSURE,3,relation/body-site; action/contact; compound,NO,NO
hand_on_own_arm,21414,holding_own_arm|grabbing_own_arm|holding_arm,LIKELY_CANDIDATE,hand on own penis (SpecialID 797; score=0.720),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
leg_lift,21408,leg_raised|leg_raise|raised_leg,LIKELY_CANDIDATE,cape lift (SpecialID 2212; score=0.559),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; visual/state; deep-area,NO,NO
skin-covered_horns,21098,,LIKELY_CANDIDATE,covered anus (SpecialID 795; score=0.525),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,4,relation/body-site; visual/state; compound; deep-area,NO,NO
headphones_around_neck,21040,,LIKELY_CANDIDATE,tentacle around neck (SpecialID 1879; score=0.655),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
hands_on_own_chest,20913,hands_on_chest|hands_to_chest,LIKELY_CANDIDATE,hands on penis (SpecialID 928; score=0.623),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
see-through_shirt,20396,transparent_shirt,LIKELY_CANDIDATE,see-through (SpecialID 2135; score=0.837),specific action contact subtype/state is difficult to discover from the ordinary General vocabulary,HIGH,P0,ACTION_CONTACT,3,relation/body-site; visual/state; compound,NO,NO
see-through_sleeves,19841,sheer_sleeves|transparent_sleeves,LIKELY_CANDIDATE,see-through (SpecialID 2135; score=0.813),specific action contact subtype/state is difficult to discover from the ordinary General vocabulary,HIGH,P0,ACTION_CONTACT,3,relation/body-site; visual/state; compound,NO,NO
holding_another's_wrist,19515,wrist_grab|grabbing_another's_wrist,LIKELY_CANDIDATE,grabbing another's breast (SpecialID 2029; score=0.560),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,4,relation/body-site; action/contact; compound; deep-area,NO,NO
swimsuit_under_clothes,18977,/suc,LIKELY_CANDIDATE,paizuri under clothes (SpecialID 532; score=0.689),Calibration anchor: specific garment-layer relation difficult to infer from ordinary swimsuit/clothes identities,HIGH,P0,CLOTHING_EXPOSURE,3,relation/body-site; deep-concept; compound,YES,NO
clothes_between_breasts,18555,clothing_between_breasts,LIKELY_CANDIDATE,cum between breasts (SpecialID 1290; score=0.698),Calibration anchor: specific clothing/body spatial relation distinct from generic clothes or breasts,HIGH,P0,CLOTHING_EXPOSURE,3,relation/body-site; deep-concept; compound,YES,NO
micro_shorts,18389,,LIKELY_CANDIDATE,micro pasties (SpecialID 2439; score=0.566),Calibration anchor: specific micro-garment subtype; distinct canonical discovery term,HIGH,P0,CLOTHING_EXPOSURE,2,visual/state; niche-modifier,YES,NO
animal_on_head,18279,,LIKELY_CANDIDATE,penis on head (SpecialID 815; score=0.667),specific nonhuman transform concept has discovery value beyond ordinary General lookup,HIGH,P0,NONHUMAN_TRANSFORM,3,relation/body-site; compound; deep-area,NO,NO
blood_on_hand,18256,blood_on_hands|blood_on_fingers|bloody_hands|bloody_fingers,LIKELY_CANDIDATE,blood (SpecialID 2164; score=0.667),Calibration anchor: specific localized blood/body-site state for deep R18G discovery,HIGH,P0,FLUID_REPRODUCTION,4,relation/body-site; deep-concept; compound; deep-area,YES,NO
hand_on_own_knee,18145,hand_on_knee,LIKELY_CANDIDATE,hand on own penis (SpecialID 797; score=0.737),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
weapon_on_back,17044,,LIKELY_CANDIDATE,cum on back (SpecialID 348; score=0.621),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
necktie_between_breasts,15420,,LIKELY_CANDIDATE,cum between breasts (SpecialID 1290; score=0.698),Calibration anchor: specific object/body spatial relation; a concrete reusable composition concept,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,YES,NO
arms_under_breasts,14767,,LIKELY_CANDIDATE,penis under breasts (SpecialID 1180; score=0.698),Calibration anchor: specific multi-arm/breast spatial relation useful for pose discovery,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,YES,NO
bandaid_on_nose,14221,,LIKELY_CANDIDATE,bandaid on nipple (SpecialID 1358; score=0.699),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
scar_on_arm,13723,arm_scar,LIKELY_CANDIDATE,cum on arm (SpecialID 1265; score=0.676),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
hand_on_another's_cheek,13291,,LIKELY_CANDIDATE,peeing on another (SpecialID 2609; score=0.570),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
unworn_panties,13158,panties_removed|panties_off,LIKELY_CANDIDATE,panties (SpecialID 2112; score=0.750),Calibration anchor: specific unworn garment state; Special already treats unworn device states as discoverable identities,HIGH,P0,CLOTHING_EXPOSURE,2,visual/state; niche-modifier,YES,NO
holding_unworn_hat,13124,holding_hat,LIKELY_CANDIDATE,holding unworn chastity cage (SpecialID 1225; score=0.666),specific action contact subtype/state is difficult to discover from the ordinary General vocabulary,HIGH,P0,ACTION_CONTACT,5,relation/body-site; action/contact; visual/state; niche-modifier; compound,NO,NO
leaf_on_head,13023,,LIKELY_CANDIDATE,penis on head (SpecialID 815; score=0.657),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
hand_on_own_stomach,12818,hand_on_stomach|hand_on_belly|hand_on_own_belly,LIKELY_CANDIDATE,hand on own tentacles (SpecialID 2495; score=0.720),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
scar_on_chest,12571,chest_scar,LIKELY_CANDIDATE,cum on chest (SpecialID 350; score=0.693),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
weapon_over_shoulder,12550,,LIKELY_CANDIDATE,off shoulder (SpecialID 2230; score=0.506),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
blood_from_mouth,12426,bloody_mouth|mouthbleed,LIKELY_CANDIDATE,blood from vagina (SpecialID 1174; score=0.633),Calibration anchor: specific bleeding source/body-site relation for deep R18G discovery,HIGH,P0,FLUID_REPRODUCTION,4,relation/body-site; deep-concept; compound; deep-area,YES,NO
mole_on_neck,12353,,LIKELY_CANDIDATE,cum on neck (SpecialID 1124; score=0.686),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
hand_on_another's_chin,12150,finger_to_another's_chin,LIKELY_CANDIDATE,peeing on another (SpecialID 2609; score=0.577),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
object_on_head,11908,,LIKELY_CANDIDATE,penis on head (SpecialID 815; score=0.633),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
bikini_bottom_only,11780,bikini_bottom,LIKELY_CANDIDATE,bikini bottom aside (SpecialID 2044; score=0.674),Calibration anchor: specific partial-garment/exposure state rather than ordinary bikini identity,HIGH,P0,CLOTHING_EXPOSURE,1,compound,YES,NO
