canonical_tag,post_count,aliases,v2_status,v2_priority,concept_area,human_review_status,human_review_reason,v2_reason,nearest_special_identity,queue_reason
cooperative_breast_sucking,390,double_breast_sucking,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,breast sucking (SpecialID 2026; score=0.798),V2_CANDIDATE
grabbing_another's_thighs,7269,holding_another's_thighs,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,CANDIDATE,specific actor/body-site contact action beyond generic grabbing or thigh identity,body-site relation/state is structurally specific and may be hard to discover from General,grabbing another's penis (SpecialID 687; score=0.768),V2_CANDIDATE
grabbing_multiple_others'_breasts,419,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,grabbing breasts (SpecialID 2649; score=0.744),V2_CANDIDATE
grabbing_own_ass,9301,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,CANDIDATE,specific self-contact action; Special has grabbing another person and other own-ass actions but not this identity,body-site relation/state is structurally specific and may be hard to discover from General,grabbing own breast (SpecialID 2030; score=0.719),V2_CANDIDATE
grabbing_own_thigh,1007,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,grabbing own breast (SpecialID 2030; score=0.674),V2_CANDIDATE
hand_grabbing_both_breasts,50,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,grabbing breasts (SpecialID 2649; score=0.793),V2_CANDIDATE
hand_on_own_ass,10594,hand_on_ass,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,CANDIDATE,specific self-contact/body-site pose relation not covered by generic ass identity,body-site relation/state is structurally specific and may be hard to discover from General,hand on own penis (SpecialID 797; score=0.748),V2_CANDIDATE
hand_on_own_crotch,1483,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,hand on own penis (SpecialID 797; score=0.691),V2_CANDIDATE
hand_on_own_leg,6911,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,hand on own penis (SpecialID 797; score=0.748),V2_CANDIDATE
hands_on_own_ass,3021,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,hands on penis (SpecialID 928; score=0.643),V2_CANDIDATE
hands_on_own_crotch,232,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,crotch (SpecialID 2361; score=0.616),V2_CANDIDATE
hands_on_own_leg,407,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,hands on penis (SpecialID 928; score=0.613),V2_CANDIDATE
hands_on_own_legs,1609,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,hands on penis (SpecialID 928; score=0.633),V2_CANDIDATE
hands_on_own_thigh,62,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,hands on penis (SpecialID 928; score=0.623),V2_CANDIDATE
hands_on_own_thighs,5001,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,hands on penis (SpecialID 928; score=0.641),V2_CANDIDATE
holding_another's_leg,6168,grabbing_another's_leg,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,grabbing another's penis (SpecialID 687; score=0.542),V2_CANDIDATE
holding_another's_legs,2295,grabbing_another's_legs,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,grabbing another's penis (SpecialID 687; score=0.555),V2_CANDIDATE
holding_another's_legs_back,69,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,grabbing another's penis (SpecialID 687; score=0.514),V2_CANDIDATE
holding_own_leg,3969,grabbing_own_leg,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,holding tentacle (SpecialID 1868; score=0.544),V2_CANDIDATE
holding_own_leg_back,80,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,holding tentacle (SpecialID 1868; score=0.490),V2_CANDIDATE
holding_own_legs_back,1710,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,holding tentacle (SpecialID 1868; score=0.483),V2_CANDIDATE
hugging_own_leg,271,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,bound leg (SpecialID 2441; score=0.450),V2_CANDIDATE
hugging_own_legs,19575,leg_hug|hugging_legs|hugging_knees|knee_hug,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,open legs (SpecialID 2760; score=0.477),V2_CANDIDATE
imminent_breast_grab,222,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,breast grab (SpecialID 2647; score=0.803),V2_CANDIDATE
licking_ass,151,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,ass (SpecialID 2359; score=0.643),V2_CANDIDATE
licking_breast,1093,breast_licking|breast_lick,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,breast (SpecialID 2632; score=0.720),V2_CANDIDATE
licking_leg,214,leg_licking|leg_lick,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,licking nipple (SpecialID 751; score=0.602),V2_CANDIDATE
licking_thigh,163,thigh_licking,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,licking foot (SpecialID 46; score=0.566),V2_CANDIDATE
mutual_breast_sucking,103,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,breast sucking (SpecialID 2026; score=0.843),V2_CANDIDATE
poking_own_breast,171,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,grabbing own breast (SpecialID 2030; score=0.683),V2_CANDIDATE
presenting_own_ass,3204,presenting_ass,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,presenting own anus (SpecialID 839; score=0.747),V2_CANDIDATE
presenting_own_breasts,2518,presenting_breasts,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,presenting own anus (SpecialID 839; score=0.707),V2_CANDIDATE
spreading_own_ass,824,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,spreading own anus (SpecialID 778; score=0.745),V2_CANDIDATE
sucking_on_multiple_breasts,126,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,sucking breasts (SpecialID 2673; score=0.771),V2_CANDIDATE
sucking_own_breasts,598,self_breast_sucking,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,sucking breasts (SpecialID 2673; score=0.880),V2_CANDIDATE
touching_another's_crotch,68,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,touching another's chastity cage (SpecialID 1194; score=0.710),V2_CANDIDATE
bikini_bottom_under_shorts,2528,bikini_under_shorts,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,bikini bottom aside (SpecialID 2044; score=0.633),V2_CANDIDATE
bikini_top_under_shirt,1194,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,untied bikini top (SpecialID 2061; score=0.544),V2_CANDIDATE
bikini_under_clothes,28667,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,CANDIDATE,specific garment-layer relation; fits deep clothing/exposure discovery,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,penis under clothes (SpecialID 1439; score=0.703),V2_CANDIDATE
bikini_under_skirt,681,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,bikini aside (SpecialID 2735; score=0.495),V2_CANDIDATE
bodysuit_under_clothes,6319,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,CANDIDATE,specific garment-layer relation useful for niche clothing discovery,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,cum under clothes (SpecialID 1338; score=0.679),V2_CANDIDATE
buruma_under_skirt,273,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,buruma aside (SpecialID 2210; score=0.495),V2_CANDIDATE
head_under_another's_clothes,288,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,penis under another's clothes (SpecialID 798; score=0.808),V2_CANDIDATE
head_under_skirt,416,head_up_skirt,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,open skirt (SpecialID 2235; score=0.502),V2_CANDIDATE
leotard_under_clothes,10499,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,CANDIDATE,specific garment-layer relation useful for niche clothing discovery,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,dildo under clothes (SpecialID 295; score=0.693),V2_CANDIDATE
panties_under_bike_shorts,337,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,panties (SpecialID 2112; score=0.597),V2_CANDIDATE
panties_under_bloomers,62,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,panties (SpecialID 2112; score=0.634),V2_CANDIDATE
panties_under_bodysuit,61,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,bodysuit (SpecialID 2078; score=0.657),V2_CANDIDATE
panties_under_buruma,1786,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,panties (SpecialID 2112; score=0.650),V2_CANDIDATE
panties_under_leotard,136,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,panties (SpecialID 2112; score=0.642),V2_CANDIDATE
panties_under_pantyhose,35495,panties_under_pantiehose|panties_behind_pantyhose|panties_below_pantyhose|panties_underneath_pantyhose,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,CANDIDATE,specific layered-underwear relation difficult to discover from ordinary garment tags,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,vibrator under pantyhose (SpecialID 293; score=0.678),V2_CANDIDATE
panties_under_shorts,1325,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,panties (SpecialID 2112; score=0.650),V2_CANDIDATE
panties_under_swimsuit,135,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,vibrator under swimsuit (SpecialID 1065; score=0.673),V2_CANDIDATE
pantyhose_under_buruma,166,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,vibrator under pantyhose (SpecialID 293; score=0.509),V2_CANDIDATE
pantyhose_under_leotard,109,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,pantyhose pull (SpecialID 2239; score=0.517),V2_CANDIDATE
pantyhose_under_pants,200,pantyhose_under_trousers,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,vibrator under pantyhose (SpecialID 293; score=0.633),V2_CANDIDATE
pantyhose_under_shorts,17521,legwear_under_shorts,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,vibrator under pantyhose (SpecialID 293; score=0.509),V2_CANDIDATE
pantyhose_under_swimsuit,1065,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,vibrator under swimsuit (SpecialID 1065; score=0.678),V2_CANDIDATE
swimsuit_under_clothes,18977,/suc,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,CANDIDATE,specific garment-layer relation difficult to infer from ordinary swimsuit/clothes identities,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,paizuri under clothes (SpecialID 532; score=0.689),V2_CANDIDATE
swimsuit_under_swimsuit,81,,LIKELY_CANDIDATE,P1,SPECIAL_CLOTHING_BODY_RELATION,,,body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,vibrator under swimsuit (SpecialID 1065; score=0.816),V2_CANDIDATE
arm_between_another's_legs,76,thighs_around_another's_arm,LIKELY_CANDIDATE,P1,SPECIAL_EXPOSURE_CLOTHING_STATE,,,"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",grabbing another's penis (SpecialID 687; score=0.520),V2_CANDIDATE
arm_between_breasts,2580,hand_between_breasts,LIKELY_CANDIDATE,P1,SPECIAL_EXPOSURE_CLOTHING_STATE,,,"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",cum between breasts (SpecialID 1290; score=0.736),V2_CANDIDATE
arm_under_breasts,34473,,LIKELY_CANDIDATE,P1,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific body-part/breast spatial relation useful for pose discovery,"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",penis under breasts (SpecialID 1180; score=0.683),V2_CANDIDATE
armpit_hair_peek,1220,,LIKELY_CANDIDATE,P1,SPECIAL_EXPOSURE_CLOTHING_STATE,,,"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",pubic hair peek (SpecialID 2388; score=0.682),V2_CANDIDATE
armpit_peek,8023,,LIKELY_CANDIDATE,P1,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific partial-visibility body-site state; fits deep exposure/visibility discovery,"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",armpit sex (SpecialID 11; score=0.585),V2_CANDIDATE
arms_between_legs,2651,,LIKELY_CANDIDATE,P1,SPECIAL_EXPOSURE_CLOTHING_STATE,,,"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",between testicles (SpecialID 1108; score=0.516),V2_CANDIDATE
