identity_key,general_path,confidence,risk_tokens,candidate_class,risk_families
cross_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
diamond_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
dss_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
eyepatch_slingshot_swimsuit,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,SEXUALIZED_COSTUME
feather_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
gold_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
green_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
grey_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
head_cage,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL,TARGETED_RESTRAINT_RISK
heart_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
heart_ring_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
key_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
lace-trimmed_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
lace-trimmed_garter_belt,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR
lace_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
lace_garter_belt,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR
leather_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
multiple_condoms,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL,CONTRACEPTION_SEX_RELATED
neck_corset,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
neck_garter,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR
nontraditional_playboy_bunny,CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL,SEXUALIZED_COSTUME
o-ring_arm_strap,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,O_RING_GARMENT_RISK
o-ring_belly_chain,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,O_RING_GARMENT_RISK
o-ring_bottom,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,O_RING_GARMENT_RISK
o-ring_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
o-ring_dress,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,O_RING_GARMENT_RISK
o-ring_garter_belt,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR|O_RING_GARMENT_RISK
o-ring_garter_straps,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR|O_RING_GARMENT_RISK
o-ring_harness,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,O_RING_GARMENT_RISK
o-ring_legwear,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,O_RING_GARMENT_RISK
o-ring_legwear_garter,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR|O_RING_GARMENT_RISK
o-ring_leotard,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,O_RING_GARMENT_RISK
o-ring_necktie,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,O_RING_GARMENT_RISK
o-ring_slingshot_swimsuit,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,O_RING_GARMENT_RISK|SEXUALIZED_COSTUME
o-ring_thigh_strap,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,O_RING_GARMENT_RISK
o-ring_top,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,O_RING_GARMENT_RISK
oiran,PERSON_COUNT,HIGH,,NON_SEXUAL,SEXUAL_MEDIA_OR_ROLE
okamoto_condoms,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL,CONTRACEPTION_SEX_RELATED
pearl_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
pendant_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
pink_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
playboy_bunny,CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL,SEXUALIZED_COSTUME
playboy_bunny_swimsuit,CLOTHING/COSTUME,HIGH,,NON_SEXUAL,SEXUALIZED_COSTUME
playboy_bunny_vest,CLOTHING/COSTUME,HIGH,,NON_SEXUAL,SEXUALIZED_COSTUME
pornstar,PERSON_COUNT,HIGH,,NON_SEXUAL,SEXUAL_MEDIA_OR_ROLE
print_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
ribbon-trimmed_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
ribbon_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
silver_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
single_garter_strap,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR
skull_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
snowflake_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
spiked_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
spiked_legwear_garter,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR
star_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
string_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
striped_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
stripper,PERSON_COUNT,HIGH,,NON_SEXUAL,STRIPPER_RISK
stripper_pole,PERSON_COUNT,HIGH,,NON_SEXUAL,STRIPPER_RISK
studded_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
studded_garter_belt,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR
suspender_corset,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
tactical_playboy_bunny,CLOTHING/COSTUME,HIGH,,NON_SEXUAL,SEXUALIZED_COSTUME
tailcoat_playboy_bunny,CLOTHING/COSTUME,HIGH,,NON_SEXUAL,SEXUALIZED_COSTUME
tassel_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
tattoo_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
thigh_corset,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
too_many_condoms,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL,CONTRACEPTION_SEX_RELATED
