slice_index,row_id,canonical_tag,category,post_count,review_result,review_note
57,I70-020243,girlfriend_(yoru_mac),Character,111,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
58,I70-020265,kadou_mikaru_(1st_costume),Character,111,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
59,I70-020473,shinbashi_(ooe),Character,110,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
60,I70-021454,jellie_(hermitcraft),Character,103,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_058
61,I70-021654,munin_(silver_palace),Character,102,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
62,I70-021664,poyoroid_sou,Character,102,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
63,I70-021864,simon_jackson,Character,101,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
64,I70-021926,eclipse_shadow,Character,100,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
65,I70-022066,beri_(beribug),Character,99,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
66,I70-022092,grady_sisters_(the_shining),Character,99,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_058
67,I70-022233,he_mingshuo,Character,98,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
68,I70-022392,hikoboshi,Character,97,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
69,I70-022429,mikuni_miku,Character,97,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_058
70,I70-022637,souei_yuyu,Character,96,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
71,I70-022733,kano_(yuanfen)_(utaite),Character,95,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_058
72,I70-022888,etsushimaru_yakuko,Character,94,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
73,I70-023177,uncle_sam,Character,93,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
74,I70-023288,megohime_(nashi),Character,92,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
75,I70-023308,piapi_ufo,Character,92,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
76,I70-023312,reglush_lionheart,Character,92,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
77,I70-023404,father_(yoru_mac),Character,91,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
78,I70-023679,sakurai_hana,Character,90,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
79,I70-024144,arihara_yuuna_(hanauna),Character,87,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
80,I70-024428,mikado_akira_(real)_(cho_kaguya-hime!),Character,86,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
81,I70-024772,chikafuji_lisa,Character,84,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
82,I70-024948,tsukisita_mika_(sakamata),Character,84,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
83,I70-025381,tama_tamara_tabasa_(manjuverunu),Character,82,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
84,I70-025513,koropokkuru,Character,81,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
85,I70-025551,nikaido_reika,Character,81,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
86,I70-025666,divine_heart_makina_(character),Character,80,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
87,I70-026197,kin_(senukin),Character,78,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
88,I70-026443,kamogumi_(kanna_yanagi),Character,77,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
89,I70-026509,rudy_(rariatto),Character,77,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
90,I70-026775,shimon_(shimotsuma),Character,76,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
91,I70-026797,tiona_(rumie),Character,76,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
92,I70-026956,moneko_(kokaki_mumose),Character,75,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
93,I70-027047,xingye_(xing),Character,75,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
94,I70-027075,arya_kuroha,Character,74,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
95,I70-027146,ice_god_(jimini_shijimi),Character,74,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
96,I70-027283,tanaka_keiko_(ado),Character,74,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
97,I70-027553,tougetsu_matsuri,Character,73,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
98,I70-027596,cheemsburger_(doge),Character,72,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
99,I70-027690,lin_lihua,Character,72,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
100,I70-027945,izumida_kyoka,Character,71,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
