row_number,canonical,display_ja,checks,already_overridden
7081,artoria_pendragon_(swimsuit_ruler)_(fate)_(cosplay),artoria pendragon (swimsuit ruler) (fate) (cosplay),ASCII_WORD,false
7088,as_val,AS Val,ASCII_WORD,true
7102,ash_baby_(meme),ash baby (meme),ASCII_WORD,false
7113,asmr,ASMR,ASCII_WORD,true
7176,at-at,AT-AT,ASCII_WORD,true
7177,at4,at4,ASCII_WORD,false
7193,atsuko's_grin_(meme),atsuko's grin (meme),ASCII_WORD,false
7246,ave_mujica_(bang_dream!),Ave Mujica（BanG Dream!）,ASCII_WORD,true
7295,azure_(armor),azure (armor),ASCII_WORD,true
7296,azurelight_(genshin_impact),azurelight (genshin impact),ASCII_WORD,false
7351,bad_apple!!,Bad Apple!!,ASCII_WORD,true
7396,baking_my_long_distance_bf_into_a_cookie_because_i_miss_him_(meme),baking my long distance bf into a cookie because i miss him (meme),ASCII_WORD,false
7400,bakushin_o_armpit_gif_(meme),bakushin o armpit gif (meme),ASCII_WORD,false
7431,balmung_(fate),balmung (fate),ASCII_WORD,false
7432,balmung_kriemhild_(fate),balmung kriemhild (fate),ASCII_WORD,false
7433,baltimore_(azur_lane)_(cosplay),baltimore (azur lane) (cosplay),ASCII_WORD,false
7537,barbie_mugshot_(meme),barbie mugshot (meme),ASCII_WORD,false
7638,bb_(fate)_(cosplay),bb (fate) (cosplay),ASCII_WORD,false
7639,bb_(swimsuit_mooncancer)_(second_ascension)_(fate)_(cosplay),bb (swimsuit mooncancer) (second ascension) (fate) (cosplay),ASCII_WORD,false
7640,bb_dubai_(fate)_(cosplay),bb dubai (fate) (cosplay),ASCII_WORD,false
7651,beacon_of_the_reed_sea_(genshin_impact),beacon of the reed sea (genshin impact),ASCII_WORD,false
7689,bear_position,bear position,ASCII_WORD,true
7704,beats_by_dr._dre,Beats by Dr. Dre,ASCII_WORD,true
7725,beelstarmon_(cosplay),beelstarmon (cosplay),ASCII_WORD,false
7743,beit_(idolmaster),beit (idolmaster),ASCII_WORD,false
7758,belle_(disney)_(cosplay),belle (disney) (cosplay),ASCII_WORD,false
7770,beloved_zofia,Beloved Zofia,ASCII_WORD,true
7806,beta_pollux,Beta Pollux,ASCII_WORD,true
7815,bf_109,Bf 109,ASCII_WORD,true
7840,big_onis_of_gensokyo_(touhou),big onis of gensokyo (touhou),ASCII_WORD,false
7912,bird_youkai_group_(touhou),bird youkai group (touhou),ASCII_WORD,false
7978,blabla_(nikke),BlaBla（NIKKE）,ASCII_WORD,true
8067,black_rock_shooter_(character)_(cosplay),black rock shooter (character) (cosplay),ASCII_WORD,false
8114,blackcliff_slasher_(genshin_impact),blackcliff slasher (genshin impact),ASCII_WORD,false
8125,blacktober,Blacktober,ASCII_WORD,true
8128,blade_lineage_(identity)_(project_moon),blade lineage (identity) (project moon),ASCII_WORD,false
8150,blender_(software),blender (software),ASCII_WORD,true
8414,bmw,BMW,ASCII_WORD,true
8416,bmw_m3,BMW M3,ASCII_WORD,true
8466,boko_(girls_und_panzer)_(cosplay),boko (girls und panzer) (cosplay),ASCII_WORD,false
8475,bolkki,bolkki,ASCII_WORD,false
8483,bolverk,bolverk,ASCII_WORD,false
8511,boobs?_wanna_touch_boobs?_(meme),boobs? wanna touch boobs? (meme),ASCII_WORD,false
8512,boobs_in_book_(meme),boobs in book (meme),ASCII_WORD,false
8538,boqta,boqta,ASCII_WORD,false
8576,boundless_creation_(eve_online),boundless creation (eve online),ASCII_WORD,false
8578,bourbon_(kirby),Bourbon（Kirby）,ASCII_WORD,true
8614,box_lottery_(fate/grand_order),box lottery (fate/grand order),ASCII_WORD,false
8663,brazilian_miku_(cosplay),brazilian miku (cosplay),ASCII_WORD,false
8732,bridget_(guilty_gear)_(cosplay),bridget (guilty gear) (cosplay),ASCII_WORD,false
8795,brooklyn_sweater,Brooklyn sweater,ASCII_WORD,true
8914,bruno_mars_(cosplay),bruno mars (cosplay),ASCII_WORD,false
8926,brynhildr_(fire_emblem),brynhildr (fire emblem),ASCII_WORD,false
8927,bt-42,bt-42,ASCII_WORD,false
8932,bubble_head_nurse_(cosplay),bubble head nurse (cosplay),ASCII_WORD,false
8992,bunbunmaru,bunbunmaru,ASCII_WORD,true
9051,buster_bros!!!,Buster Bros!!!,ASCII_WORD,true
9055,but_you_can't_prove_it_(meme),but you can't prove it (meme),ASCII_WORD,false
9112,bygone_days_(e.g.o),bygone days (e.g.o),ASCII_WORD,false
9147,caladbolg_(fate),caladbolg (fate),ASCII_WORD,false
9152,caldari_state_(eve_online),caldari state (eve online),ASCII_WORD,false
9154,calflet,calflet,ASCII_WORD,true
9158,calico_m950,Calico M950,ASCII_WORD,true
9184,camera_hold_pose_(han-0v0),camera hold pose（han-0v0）,ASCII_WORD,true
9190,cammy_stretch_(meme),cammy stretch (meme),ASCII_WORD,false
9230,canari_(pokemon)_(cosplay),canari (pokemon) (cosplay),ASCII_WORD,false
9237,candied_ajilenakh_nut_(genshin_impact),candied ajilenakh nut (genshin impact),ASCII_WORD,false
9291,capote_(e.g.o),capote (e.g.o),ASCII_WORD,false
9384,carthum_conglomerate_(eve_online),carthum conglomerate (eve online),ASCII_WORD,false
9423,cat_covering_ears_(meme),cat covering ears (meme),ASCII_WORD,false
9448,cat_refusing_to_be_petted_(meme),cat refusing to be petted (meme),ASCII_WORD,false
9455,cat_under_faucet_(meme),cat under faucet (meme),ASCII_WORD,false
9469,cathead,cathead,ASCII_WORD,true
9479,catwoman_(cosplay),catwoman (cosplay),ASCII_WORD,false
9488,caved_(touhou),caved (touhou),ASCII_WORD,false
9493,cbj-ms,CBJ-MS,ASCII_WORD,true
9494,cbt_press,cbt press,ASCII_WORD,true
9495,cd,CD,ASCII_WORD,true
9573,chajinbou,chajinbou,ASCII_WORD,false
9603,changing_seasons_(touhou),changing seasons (touhou),ASCII_WORD,false
9667,charo_(meme),charo (meme),ASCII_WORD,false
9689,checkered_bra,checkered bra,ASCII_WORD,false
9781,cheshire_(azur_lane)_(cosplay),cheshire (azur lane) (cosplay),ASCII_WORD,false
9813,cheytac_m200,CheyTac M200,ASCII_WORD,true
9828,chicken-mushroom_skewer_(genshin_impact),chicken-mushroom skewer (genshin impact),ASCII_WORD,false
9913,chloe_von_einzbern_(archer_install)_(cosplay),chloe von einzbern (archer install) (cosplay),ASCII_WORD,false
9930,chocolate_lady_no_karasawagi,Chocolate Lady no Karasawagi,ASCII_WORD,true
9960,chopper_crying_(meme),chopper crying (meme),ASCII_WORD,false
9966,choso_giving_toudou_a_haircut_(meme),choso giving toudou a haircut (meme),ASCII_WORD,false
9969,chouzetsusaikawa_tenshi-chan_(cosplay),chouzetsusaikawa tenshi-chan (cosplay),ASCII_WORD,false
9972,christmas_nightmare_(e.g.o),christmas nightmare (e.g.o),ASCII_WORD,false
10008,cinderella_(fairy_tale_character)_(cosplay),cinderella (fairy tale character) (cosplay),ASCII_WORD,false
10016,cinnamoroll_(cosplay),cinnamoroll (cosplay),ASCII_WORD,false
10227,code:escape_(idolmaster),code:escape (idolmaster),ASCII_WORD,false
10286,colonel_sanders_(cosplay),colonel sanders (cosplay),ASCII_WORD,false
10335,columbina_(genshin_impact)_(cosplay),columbina (genshin impact) (cosplay),ASCII_WORD,false
10383,completionist_cape_(runescape),Completionist Cape（RuneScape）,ASCII_WORD,true
10437,contempt_awe_(e.g.o),contempt awe (e.g.o),ASCII_WORD,false
10478,cool_s,Cool S,ASCII_WORD,true
10522,cortisol_level_(meme),cortisol level (meme),ASCII_WORD,false
10554,cover_bikini_girl_(gta_vi)_(cosplay),cover bikini girl (gta vi) (cosplay),ASCII_WORD,false
10615,cpu,CPU,ASCII_WORD,true
10695,creeper_(cosplay),creeper (cosplay),ASCII_WORD,false
10698,creodron_(eve_online),creodron (eve online),ASCII_WORD,false
10729,crimson_scar_(e.g.o),crimson scar (e.g.o),ASCII_WORD,false
10794,cross_calibur_(fate),cross calibur (fate),ASCII_WORD,false
10837,crow's_eye_view_(e.g.o),crow's eye view (e.g.o),ASCII_WORD,false
10893,cs/ls06,CS/LS06,ASCII_WORD,true
10894,cu_chulainn_(lancer)_(fate)_(cosplay),cu chulainn (lancer) (fate) (cosplay),ASCII_WORD,false
10946,cunny_(meme),cunny (meme),ASCII_WORD,false
10961,cure_arcana_shadow_(cosplay),cure arcana shadow (cosplay),ASCII_WORD,false
10985,curren_chan_(umamusume)_(cosplay),curren chan (umamusume) (cosplay),ASCII_WORD,false
11039,cynthia_(pokemon)_(cosplay),cynthia (pokemon) (cosplay),ASCII_WORD,false
11041,cz_75,CZ 75,ASCII_WORD,true
11042,cz_805_bren,CZ 805 BREN,ASCII_WORD,true
11056,da_capo_(e.g.o),da capo (e.g.o),ASCII_WORD,false
11063,daewoo_k1,Daewoo K1,ASCII_WORD,true
11064,daewoo_k2,Daewoo K2,ASCII_WORD,true
11078,daitouren_(fate),daitouren (fate),ASCII_WORD,false
11156,dawn_office_(identity)_(project_moon),dawn office (identity) (project moon),ASCII_WORD,false
11201,deel,deel,ASCII_WORD,false
11214,deez_nuts_(meme),deez nuts (meme),ASCII_WORD,false
11380,did_you_want_to_talk?_(meme),did you want to talk? (meme),ASCII_WORD,false
11427,dior,Dior,ASCII_WORD,true
11433,dipper,dipper,ASCII_WORD,true
11497,diverdiva,DiverDiva,ASCII_WORD,true
11504,divine_water_(fate),divine water (fate),ASCII_WORD,false
11519,dj,DJ,ASCII_WORD,true
11562,doll_(nikke),Doll（NIKKE）,ASCII_WORD,true
11622,dorothea_arnault_(plegian)_(cosplay),dorothea arnault (plegian) (cosplay),ASCII_WORD,false
11691,down_boy!!_(meme),down boy!! (meme),ASCII_WORD,false
11699,dp-27,DP-27,ASCII_WORD,true
11778,dream-space_occult_class_(touhou),dream-space occult class (touhou),ASCII_WORD,false
11863,dshk,DShK,ASCII_WORD,true
11865,dsr-50,DSR-50,ASCII_WORD,true
11908,durex,Durex,ASCII_WORD,true
11924,duvolle_laboratories_(eve_online),duvolle laboratories (eve online),ASCII_WORD,false
11930,dvddvd_(meme),dvddvd (meme),ASCII_WORD,false
11931,dx,DX,ASCII_WORD,true
11940,dyson_(company),dyson (company),ASCII_WORD,false
11947,e.g.o_(project_moon),e.g.o (project moon),ASCII_WORD,false
12019,edel_note,Edel Note,ASCII_WORD,true
12150,em-2,EM-2,ASCII_WORD,true
12246,enter_enter_mission!,Enter Enter MISSION!,ASCII_WORD,true
12254,eotech,EOTech,ASCII_WORD,true
12255,eotech_exps3,EOTech EXPS3,ASCII_WORD,true
12285,esrb,ESRB,ASCII_WORD,true
12288,eternal_moon_article,Eternal Moon Article,ASCII_WORD,true
12338,excuse_me_he_asked_for_no_pickles_(meme),excuse me he asked for no pickles (meme),ASCII_WORD,false
12370,expression_35,expression 35,ASCII_WORD,true
12476,fabarm_fp6/sdass,FABARM FP6/SDASS,ASCII_WORD,true
12524,faint_aroma_(e.g.o),faint aroma (e.g.o),ASCII_WORD,false
12656,fdd_threesome,fdd threesome,ASCII_WORD,true
12757,fg204,FG204,ASCII_WORD,true
12758,fg42,FG42,ASCII_WORD,true
12854,fingering_gesture,fingering gesture,ASCII_WORD,true
12891,firelock,firelock,ASCII_WORD,true
12893,fireseal,fireseal,ASCII_WORD,true
12984,flamestrider_(genshin_impact),flamestrider (genshin impact),ASCII_WORD,false
13044,fling_posse,Fling Posse,ASCII_WORD,true
13204,flowjob,flowjob,ASCII_WORD,true
13214,fluid_sac_(e.g.o),fluid sac (e.g.o),ASCII_WORD,false
13239,fn_f2000,FN F2000,ASCII_WORD,true
13240,fn_fal,FN FAL,ASCII_WORD,true
13242,fn_fnc,FN FNC,ASCII_WORD,true
13243,fn_mag,FN MAG,ASCII_WORD,true
13245,fn_mk_20_ssr,FN Mk 20 SSR,ASCII_WORD,true
13246,fn_p90,FN P90,ASCII_WORD,true
13247,fn_scar,FN SCAR,ASCII_WORD,true
13248,fn_scar_16,FN SCAR 16,ASCII_WORD,true
13249,fn_scar_17,FN SCAR 17,ASCII_WORD,true
13383,forest_for_the_flames_(e.g.o),forest for the flames (e.g.o),ASCII_WORD,false
13442,fraid,fraid,ASCII_WORD,true
13481,freudian_switch,Freudian switch,ASCII_WORD,true
13583,frolicking_fairies_of_gensokyo_(touhou),frolicking fairies of gensokyo (touhou),ASCII_WORD,false
13636,fuck-me_pasties,fuck-me pasties,ASCII_WORD,true
13776,future_fish,FUTURE FISH,ASCII_WORD,true
13788,fw_190,Fw 190,ASCII_WORD,true
13789,g'ie_(hundred_line),G'ie（HUNDRED LINE）,ASCII_WORD,true
13931,geissele_urg-i,Geissele URG-I,ASCII_WORD,true
14028,gibson_brands_inc,Gibson Brands,ASCII_WORD,true
14029,gibson_es-335,Gibson ES-335,ASCII_WORD,true
14130,gloria_the_scot,Gloria the Scot,ASCII_WORD,true
14319,golden_shrimp_balls_(genshin_impact),golden shrimp balls (genshin impact),ASCII_WORD,false
14353,goodyear,Goodyear,ASCII_WORD,true
14367,goslingposting_(meme),goslingposting (meme),ASCII_WORD,false
14382,gp-25,GP-25,ASCII_WORD,true
14383,gps,GPS,ASCII_WORD,true
14449,grado_labs,Grado Labs,ASCII_WORD,true
14488,grassrunner,grassrunner,ASCII_WORD,true
14513,great_trichiliocosm_(e.g.o),great trichiliocosm (e.g.o),ASCII_WORD,false
14788,grind_fiction,Grind Fiction,ASCII_WORD,true
14824,gudok,gudok,ASCII_WORD,false
14838,guilty_gear_strive_x_tower_records,GUILTY GEAR STRIVE × TOWER RECORDS,ASCII_WORD,true
14890,gyaru_w,gyaru w,ASCII_WORD,true
14908,h&k_hk33,H&K HK33,ASCII_WORD,true
14909,h&k_hk416,H&K HK416,ASCII_WORD,true
14910,h&k_hk417,H&K HK417,ASCII_WORD,true
14911,h&k_mark_23,H&K Mark 23,ASCII_WORD,true
14912,h&k_mg5,H&K MG5,ASCII_WORD,true
14913,h&k_mp5,H&K MP5,ASCII_WORD,true
14914,h&k_mp5k,H&K MP5K,ASCII_WORD,true
14915,h&k_mp5sd,H&K MP5SD,ASCII_WORD,true
14916,h&k_mp7,H&K MP7,ASCII_WORD,true
14918,h&k_psg1,H&K PSG1,ASCII_WORD,true
14919,h&k_ump,H&K UMP,ASCII_WORD,true
14920,h&k_usp,H&K USP,ASCII_WORD,true
14921,h&k_vp70,H&K VP70,ASCII_WORD,true
14922,h&k_vp9,H&K VP9,ASCII_WORD,true
14923,h&k_xm8,H&K XM8,ASCII_WORD,true
15062,hamedoori_template_(meme),hamedoori template (meme),ASCII_WORD,false
15203,handjob_gesture_(not_ok),handjob gesture（not ok）,ASCII_WORD,true
15562,heartsteel_(league),HEARTSTEEL（League of Legends）,ASCII_WORD,true
15607,heishou_pack-si_branch_(identity)_(project_moon),heishou pack-si branch (identity) (project moon),ASCII_WORD,false
15608,heishou_pack-wei_branch_(identity)_(project_moon),heishou pack-wei branch (identity) (project moon),ASCII_WORD,false
15609,heishou_pack-wu_branch_(identity)_(project_moon),heishou pack-wu branch (identity) (project moon),ASCII_WORD,false
15610,heishou_pack-you_branch_(identity)_(project_moon),heishou pack-you branch (identity) (project moon),ASCII_WORD,false
15622,hellfire_gala,Hellfire Gala,ASCII_WORD,true
15628,hellomegu!,hellomegu!,ASCII_WORD,true
15667,hewlett-packard,Hewlett-Packard,ASCII_WORD,true
15817,hoeh_(meme),hoeh (meme),ASCII_WORD,false
16407,holoarmis,holoarmis,ASCII_WORD,false
16418,holoh3roes,holoh3roes,ASCII_WORD,false
16474,hongyuan_(identity)_(project_moon),hongyuan (identity) (project moon),ASCII_WORD,false
16501,hook_office_(identity)_(project_moon),hook office (identity) (project moon),ASCII_WORD,false
16516,horn_(e.g.o),horn (e.g.o),ASCII_WORD,false
16534,hornet_(e.g.o),hornet (e.g.o),ASCII_WORD,false
16535,hornet_(hollow_knight)_(cosplay),hornet (hollow knight) (cosplay),ASCII_WORD,false
16596,hounskull,Hounskull,ASCII_WORD,true
16619,hoyofair,HoYoFair,ASCII_WORD,true
16624,hsien-ko_(cosplay),hsien-ko (cosplay),ASCII_WORD,false
16625,http_404,HTTP 404,ASCII_WORD,true
16638,huge_ass_lying_on_couch_pose_(meme),huge ass lying on couch pose (meme),ASCII_WORD,false
16657,huh?_cat_(meme),huh? cat (meme),ASCII_WORD,false
16688,hundred-footed_death_maggot_(e.g.o),hundred-footed death maggot (e.g.o),ASCII_WORD,false
16695,huntrix,huntrix,ASCII_WORD,false
16700,husbant_(meme),husbant (meme),ASCII_WORD,false
16728,hypnoshades_(splatoon),Hypnoshades（Splatoon）,ASCII_WORD,true
16735,i'll_go_fer_scissors._how_'bout_you?_(e.g.o),i'll go fer scissors. how 'bout you? (e.g.o),ASCII_WORD,false
16738,i'm_stuff_(meme),i'm stuff (meme),ASCII_WORD,false
16751,ibispaint,ibisPaint,ASCII_WORD,true
16848,imac,iMac,ASCII_WORD,true
16849,imadake_dabuchi_tabemi_(cosplay),imadake dabuchi tabemi (cosplay),ASCII_WORD,false
16861,imijikarishi_valentine,Imijikarishi Valentine,ASCII_WORD,true
17035,index_(identity)_(project_moon),index (identity) (project moon),ASCII_WORD,false
17187,ipad,iPad,ASCII_WORD,true
17188,iphone_11_pro,iPhone 11 Pro,ASCII_WORD,true
17189,iphone_x,iPhone X,ASCII_WORD,true
17190,ipod,iPod,ASCII_WORD,true
17192,ipod_classic,iPod classic,ASCII_WORD,true
17193,ipod_nano,iPod nano,ASCII_WORD,true
17194,ipod_nano_2g,iPod nano 2G,ASCII_WORD,true
17195,ipod_nano_3g,iPod nano 3G,ASCII_WORD,true
17196,ipod_nano_4g,iPod nano 4G,ASCII_WORD,true
17197,ipod_nano_5g,iPod nano 5G,ASCII_WORD,true
17198,ipod_shuffle,iPod shuffle,ASCII_WORD,true
17199,ipod_touch,iPod touch,ASCII_WORD,true
17232,is-2,is-2,ASCII_WORD,false
17241,ishukone_corporation_(eve_online),ishukone corporation (eve online),ASCII_WORD,false
17289,j-core,J-core,ASCII_WORD,true
17469,ju_87,Ju 87,ASCII_WORD,true
17523,k_corp._(identity)_(project_moon),k corp. (identity) (project moon),ASCII_WORD,false
17524,kaalakiota_corporation_(eve_online),kaalakiota corporation (eve online),ASCII_WORD,false
17550,kagurabachi_pose_(meme),kagurabachi pose (meme),ASCII_WORD,false
17681,kazuya_guy_(meme),kazuya guy (meme),ASCII_WORD,false
17699,kel-tec_ksg,Kel-Tec KSG,ASCII_WORD,true
17700,kel-tec_rfb,Kel-Tec RFB,ASCII_WORD,true
17723,key_coffee_(meme),key coffee (meme),ASCII_WORD,false
17732,kfp,KFP,ASCII_WORD,true
17748,kid_taped_to_wall_(meme),kid taped to wall (meme),ASCII_WORD,false
17759,killkiss_(bang_dream!),KILLKISS（BanG Dream!）,ASCII_WORD,true
17792,kinktober,Kinktober,ASCII_WORD,true
17987,korg,KORG,ASCII_WORD,true
17988,korg_rk-100,KORG RK-100,ASCII_WORD,true
18009,koyukkuri,koyukkuri,ASCII_WORD,false
18017,kriss_vector,KRISS Vector,ASCII_WORD,true
18018,ksvk_12.7,KSVK 12.7,ASCII_WORD,true
18032,kunchim2_cat_transformation_template_(meme),kunchim2 cat transformation template (meme),ASCII_WORD,false
18058,kv-1,kv-1,ASCII_WORD,false
18059,kv-2,kv-2,ASCII_WORD,false
18077,la_manchaland_(identity)_(project_moon),la manchaland (identity) (project moon),ASCII_WORD,false
18078,la_sangre_de_sancho_(e.g.o),la sangre de sancho (e.g.o),ASCII_WORD,false
18160,laetitia_(e.g.o),laetitia (e.g.o),ASCII_WORD,false
18175,lamp_(e.g.o),lamp (e.g.o),ASCII_WORD,false
18183,land_of_illusion_(e.g.o),land of illusion (e.g.o),ASCII_WORD,false
18196,lantern_(e.g.o),lantern (e.g.o),ASCII_WORD,false
18239,lashers,lashers,ASCII_WORD,true
18272,lauren_phillips_lifting_alice_merchesi_(meme),lauren phillips lifting alice merchesi (meme),ASCII_WORD,false
18295,layered_sideboob,layered sideboob,ASCII_WORD,true
18298,lazulight,lazulight,ASCII_WORD,false
18302,lcd,LCD,ASCII_WORD,true
18303,lce_(identity)_(project_moon),lce (identity) (project moon),ASCII_WORD,false
18304,lcl,LCL,ASCII_WORD,true
18383,led,LED,ASCII_WORD,true
18491,liberty's_tail_(nikke),Liberty's Tail（NIKKE）,ASCII_WORD,true
18551,lifetime_stew_(e.g.o),lifetime stew (e.g.o),ASCII_WORD,false
18581,lightning_crotch_(meme),lightning crotch (meme),ASCII_WORD,false
18665,liu_association_south_(identity)_(project_moon),liu association south (identity) (project moon),ASCII_WORD,false
18702,locker_foot_kabedon_(meme),locker foot kabedon (meme),ASCII_WORD,false
18809,lorem_ipsum,Lorem ipsum,ASCII_WORD,true
18836,love_live!_series_asia_tour_2024,Love Live! Series Asia Tour 2024,ASCII_WORD,true
18857,lpvo,LPVO,ASCII_WORD,true
18897,luxiem,Luxiem,ASCII_WORD,true
18917,m110_sass,M110 SASS,ASCII_WORD,true
18933,m202_flash,M202 FLASH,ASCII_WORD,true
18937,m249_saw,M249 SAW,ASCII_WORD,true
18948,ma5,ma5,ASCII_WORD,false
18949,mab_pa-15,MAB PA-15,ASCII_WORD,true
18951,mac-10/11,MAC-10/11,ASCII_WORD,true
18998,magik's_crown,Magik's Crown,ASCII_WORD,true
19028,majesty_palm,majesty palm,ASCII_WORD,true
19107,mane_ax_(deltarune),Mane Ax（DELTARUNE）,ASCII_WORD,true
19206,marshall_amplification,Marshall Amplification,ASCII_WORD,true
19248,mastercard,Mastercard,ASCII_WORD,true
19268,material_growth,material growth,ASCII_WORD,true
19292,maxillary_rictus,maxillary rictus,ASCII_WORD,true
19314,mazepynka,mazepynka,ASCII_WORD,false
19319,mdd_threesome,mdd threesome,ASCII_WORD,true
19360,mechanix_wear,Mechanix Wear,ASCII_WORD,true
19377,medium_support_(meme),medium support (meme),ASCII_WORD,false
19450,mercedes-benz_amg_gt,Mercedes-Benz AMG GT,ASCII_WORD,true
19467,meslamtaea_(fate),meslamtaea (fate),ASCII_WORD,false
19509,mfd_threesome,mfd threesome,ASCII_WORD,true
19510,mg3,mg3,ASCII_WORD,false
19511,mg34,mg34,ASCII_WORD,false
19512,mg42,mg42,ASCII_WORD,false
19514,mi-24,mi-24,ASCII_WORD,false
19547,mig-29,mig-29,ASCII_WORD,false
19573,mikumikudance,MikuMikuDance,ASCII_WORD,true
19614,mimicry_(e.g.o),mimicry (e.g.o),ASCII_WORD,false
19753,mixed_maids,mixed maids,ASCII_WORD,true
19755,mixed_signals,mixed signals,ASCII_WORD,true
19781,mk_14_ebr,MK 14 EBR,ASCII_WORD,true
19782,mlg,MLG,ASCII_WORD,true
19784,mmd_threesome,mmd threesome,ASCII_WORD,true
19823,molar_boatworks_(identity)_(project_moon),molar boatworks (identity) (project moon),ASCII_WORD,false
19824,molar_office_(identity)_(project_moon),molar office (identity) (project moon),ASCII_WORD,false
19986,motivator_(meme),motivator (meme),ASCII_WORD,false
20035,mp40,mp40,ASCII_WORD,false
20039,muchourin,muchourin,ASCII_WORD,false
20132,multicrack_office_(identity)_(project_moon),multicrack office (identity) (project moon),ASCII_WORD,false
20267,mvp,MVP,ASCII_WORD,true
20272,myers-briggs_type_indicator,MBTI,ASCII_WORD,true
