cluster_id,cluster_rows,semantic_bucket,generation_family,general_root,identity_key,priority_band,is_general,is_special,general_primary_path,special_id,issue104_risk,reviewed_class,review_status,review_note
C005,35,EXPOSURE_CLOTHING,,(none),above_cleavage_cutout,P1_SPECIAL_OR_OVERLAP,NO,YES,,2587,NO,,,
C005,35,EXPOSURE_CLOTHING,,(none),bare_naked,P1_SPECIAL_OR_OVERLAP,NO,YES,,640,NO,,,
C005,35,EXPOSURE_CLOTHING,,(none),beaded_panties,P1_SPECIAL_OR_OVERLAP,NO,YES,,2709,NO,,,
C005,35,EXPOSURE_CLOTHING,,(none),transparent_cleavage,P1_SPECIAL_OR_OVERLAP,NO,YES,,2554,NO,,,
C006,32,GENITAL,,BODY_PART,beaded_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1022,NO,,,
C006,32,GENITAL,,BODY_PART,blood_from_vagina,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1174,NO,,,
C006,32,GENITAL,,BODY_PART,blue_anus,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,962,NO,,,
C006,32,GENITAL,,BODY_PART,yellow_nipples,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1104,NO,,,
C007,32,OTHER,CLOTHING_EXPOSURE,CLOTHING_STATE_EXPOSURE,backless_outfit,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2206,NO,,,
C007,32,OTHER,CLOTHING_EXPOSURE,CLOTHING_STATE_EXPOSURE,backless_pants,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2075,NO,,,
C007,32,OTHER,CLOTHING_EXPOSURE,CLOTHING_STATE_EXPOSURE,bare_back,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2208,NO,,,
C007,32,OTHER,CLOTHING_EXPOSURE,CLOTHING_STATE_EXPOSURE,wings_through_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2950,NO,,,
C008,25,RESTRAINT_BDSM,,(none),aqua_blindfold,P1_SPECIAL_OR_OVERLAP,NO,YES,,2592,NO,,,
C008,25,RESTRAINT_BDSM,,(none),ballgag,P1_SPECIAL_OR_OVERLAP,NO,YES,,2681,NO,,,
C008,25,RESTRAINT_BDSM,,(none),blindfolded,P1_SPECIAL_OR_OVERLAP,NO,YES,,2663,NO,,,
C008,25,RESTRAINT_BDSM,,(none),yellow_blindfold,P1_SPECIAL_OR_OVERLAP,NO,YES,,2600,NO,,,
C009,19,OTHER,ACTION_INTERACTION,ACTION_CONTACT,anilingus,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,101,NO,,,
C009,19,OTHER,ACTION_INTERACTION,ACTION_CONTACT,asymmetrical_docking,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2382,NO,,,
C009,19,OTHER,ACTION_INTERACTION,ACTION_CONTACT,biting_foreskin,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1134,NO,,,
C010,17,OTHER,RESTRAINT_ACTION,ACTION_CONTACT,asphyxiation,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1956,NO,,,
C010,17,OTHER,RESTRAINT_ACTION,ACTION_CONTACT,ball_busting,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,616,NO,,,
C010,17,OTHER,RESTRAINT_ACTION,ACTION_CONTACT,bound,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1898,NO,,,
C011,17,SEX_ACT,ACTION_INTERACTION,ACTION_CONTACT,autopaizuri,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2023,NO,,,
C011,17,SEX_ACT,ACTION_INTERACTION,ACTION_CONTACT,female_footjob,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,528,NO,,,
C011,17,SEX_ACT,ACTION_INTERACTION,ACTION_CONTACT,footjob,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,24,NO,,,
C012,16,GENITAL,ACTION_INTERACTION,ACTION_CONTACT,biting_breast,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2927,NO,,,
C012,16,GENITAL,ACTION_INTERACTION,ACTION_CONTACT,breast_rest,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2821,NO,,,
C012,16,GENITAL,ACTION_INTERACTION,ACTION_CONTACT,caressing_testicles,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,685,NO,,,
C013,16,GENITAL,BODY_ATTRIBUTE,BODY_PART,backboob,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2168,NO,,,
C013,16,GENITAL,BODY_ATTRIBUTE,BODY_PART,clitoris,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2016,NO,,,
C013,16,GENITAL,BODY_ATTRIBUTE,BODY_PART,clitoris_slip,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,521,NO,,,
C014,15,OTHER,CLOTHING_EXPOSURE,CLOTHING,babydoll,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2073,NO,,,
C014,15,OTHER,CLOTHING_EXPOSURE,CLOTHING,bitchsuit,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/COSTUME,2076,NO,,,
C014,15,OTHER,CLOTHING_EXPOSURE,CLOTHING,bustier,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2083,NO,,,
C015,14,GENITAL,DIRECT_COMPOSITE,ACTION_CONTACT,chocolate_on_nipples,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,829,NO,,,
C015,14,GENITAL,DIRECT_COMPOSITE,ACTION_CONTACT,chocolate_on_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1075,NO,,,
C015,14,GENITAL,DIRECT_COMPOSITE,ACTION_CONTACT,finger_on_nipple,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1223,NO,,,
C016,10,GENITAL,,ACTION_CONTACT,breast-to-pectoral_docking,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2435,NO,,,
C016,10,GENITAL,,ACTION_CONTACT,clitoris_chain,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1029,NO,,,
C016,10,GENITAL,,ACTION_CONTACT,clitoris_tweak,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,952,NO,,,
C017,10,OTHER,POSE_COMPOSITION,ACTION_CONTACT,amazon_position,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,118,NO,,,
C017,10,OTHER,POSE_COMPOSITION,ACTION_CONTACT,doggystyle,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,120,NO,,,
C017,10,OTHER,POSE_COMPOSITION,ACTION_CONTACT,girl_on_top,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1749,NO,,,
C018,10,RESTRAINT_BDSM,RESTRAINT_IMPLEMENT,CLOTHING,blindfold,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,1816,NO,,,
C018,10,RESTRAINT_BDSM,RESTRAINT_IMPLEMENT,CLOTHING,bondage_outfit,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/COSTUME,1817,NO,,,
C018,10,RESTRAINT_BDSM,RESTRAINT_IMPLEMENT,CLOTHING,colored_blindfold,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,2405,NO,,,
C019,8,EXPOSURE_CLOTHING,,CLOTHING_STATE_EXPOSURE,naked_armor,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2438,NO,,,
C019,8,EXPOSURE_CLOTHING,,CLOTHING_STATE_EXPOSURE,naked_bowtie,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2432,NO,,,
C019,8,EXPOSURE_CLOTHING,,CLOTHING_STATE_EXPOSURE,naked_costume,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2434,NO,,,
C020,8,EXPOSURE_CLOTHING,CLOTHING_EXPOSURE,CLOTHING,ball_bra,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2196,NO,,,
C020,8,EXPOSURE_CLOTHING,CLOTHING_EXPOSURE,CLOTHING,bikini_briefs,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2197,NO,,,
C020,8,EXPOSURE_CLOTHING,CLOTHING_EXPOSURE,CLOTHING,boyshort_panties,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2080,NO,,,
C021,8,FLUID_EXCRETION,DAMAGE_STATE_ACTION,BODY_PART,blood,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2164,NO,,,
C021,8,FLUID_EXCRETION,DAMAGE_STATE_ACTION,BODY_PART,blood_from_eyes,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2840,NO,,,
C021,8,FLUID_EXCRETION,DAMAGE_STATE_ACTION,BODY_PART,blood_from_mouth,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2822,NO,,,
C022,8,OTHER,,ACTION_CONTACT,arms_bound_above_head,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2473,NO,,,
C022,8,OTHER,,ACTION_CONTACT,bound_leg,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2441,NO,,,
C022,8,OTHER,,ACTION_CONTACT,imminent_pegging,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1229,NO,,,
C023,8,OTHER,CONTEXT_MODIFIER,ACTION_CONTACT,dirty_talk,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2329,NO,,,
C023,8,OTHER,CONTEXT_MODIFIER,ACTION_CONTACT,forniphilia,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,499,NO,,,
C023,8,OTHER,CONTEXT_MODIFIER,ACTION_CONTACT,imminent_bestiality,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,494,NO,,,
C024,8,FLUID_EXCRETION,,(none),blood_pool,P1_SPECIAL_OR_OVERLAP,NO,YES,,1780,NO,,,
C024,8,FLUID_EXCRETION,,(none),piss,P1_SPECIAL_OR_OVERLAP,NO,YES,,2553,NO,,,
C024,8,FLUID_EXCRETION,,(none),semen,P1_SPECIAL_OR_OVERLAP,NO,YES,,404,NO,,,
C025,7,OTHER,BODY_STATE,BODY_PART,bite_mark_on_ass,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2920,NO,,,
C025,7,OTHER,BODY_STATE,BODY_PART,bruise_on_ass,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2957,NO,,,
C025,7,OTHER,BODY_STATE,BODY_PART,drugged,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1805,NO,,,
C026,7,OTHER,CLOTHING_EXPOSURE,ACTION_CONTACT,collar_tug,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2302,NO,,,
C026,7,OTHER,CLOTHING_EXPOSURE,ACTION_CONTACT,grabbing_another's_skirt,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2308,NO,,,
C026,7,OTHER,CLOTHING_EXPOSURE,ACTION_CONTACT,head_between_legs,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2970,NO,,,
C027,6,GENITAL,BODY_ATTRIBUTE,CLOTHING_STATE_EXPOSURE,breast_slip,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,668,NO,,,
C027,6,GENITAL,BODY_ATTRIBUTE,CLOTHING_STATE_EXPOSURE,breasts_out,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,669,NO,,,
C027,6,GENITAL,BODY_ATTRIBUTE,CLOTHING_STATE_EXPOSURE,nipple_slip,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,670,NO,,,
C028,6,RELATION_ROLE,RELATION_ROLE_CONTEXT,PERSON_COUNT,futasub,P1_SPECIAL_OR_OVERLAP,YES,YES,PERSON_COUNT,2368,NO,,,
C028,6,RELATION_ROLE,RELATION_ROLE_CONTEXT,PERSON_COUNT,loli,P1_SPECIAL_OR_OVERLAP,YES,YES,PERSON_COUNT,722,NO,,,
C028,6,RELATION_ROLE,RELATION_ROLE_CONTEXT,PERSON_COUNT,lolidom,P1_SPECIAL_OR_OVERLAP,YES,YES,PERSON_COUNT,1238,NO,,,
C029,5,FLUID_EXCRETION,FLUID_STATE_ACTION,ACTION_CONTACT,peed_self,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1989,NO,,,
C029,5,FLUID_EXCRETION,FLUID_STATE_ACTION,ACTION_CONTACT,peeing_in_cup,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1988,NO,,,
C029,5,FLUID_EXCRETION,FLUID_STATE_ACTION,ACTION_CONTACT,peeing_self,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1982,NO,,,
C030,5,GENITAL,,CLOTHING,nipple_jewelry,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,776,NO,,,
C030,5,GENITAL,,CLOTHING,nipple_sleeves,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,975,NO,,,
C030,5,GENITAL,,CLOTHING,penis-shaped_jewelry,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,1207,NO,,,
C031,5,GENITAL,CLOTHING_EXPOSURE,ACTION_CONTACT,breast_curtain_lift,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2910,NO,,,
C031,5,GENITAL,CLOTHING_EXPOSURE,ACTION_CONTACT,spread_anus_under_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,922,NO,,,
C031,5,GENITAL,CLOTHING_EXPOSURE,ACTION_CONTACT,spread_pussy_under_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,760,NO,,,
C032,5,OTHER,,CLOTHING,gold_chastity_cage,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,1059,NO,,,
C032,5,OTHER,,CLOTHING,rabbit_pasties,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,2484,NO,,,
C032,5,OTHER,,CLOTHING,shell_pasties,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2488,NO,,,
C033,5,OTHER,BODY_ATTRIBUTE,BODY_PART,cleft_of_venus,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2015,NO,,,
C033,5,OTHER,BODY_ATTRIBUTE,BODY_PART,clitoral_piercing,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2020,NO,,,
C033,5,OTHER,BODY_ATTRIBUTE,BODY_PART,mons_pubis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2018,NO,,,
C034,5,OTHER,DAMAGE_STATE_ACTION,BODY_PART,bleeding,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2163,NO,,,
C034,5,OTHER,DAMAGE_STATE_ACTION,BODY_PART,death,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2165,NO,,,
C034,5,OTHER,DAMAGE_STATE_ACTION,BODY_PART,disembowelment,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1773,NO,,,
C035,5,OTHER,POSE_COMPOSITION,POSE_MOVEMENT,legs_over_head,P1_SPECIAL_OR_OVERLAP,YES,YES,POSE_MOVEMENT,1751,NO,,,
C035,5,OTHER,POSE_COMPOSITION,POSE_MOVEMENT,on_side,P1_SPECIAL_OR_OVERLAP,YES,YES,POSE_MOVEMENT,1754,NO,,,
C035,5,OTHER,POSE_COMPOSITION,POSE_MOVEMENT,presenting_own_body,P1_SPECIAL_OR_OVERLAP,YES,YES,POSE_MOVEMENT,49,NO,,,
C036,5,OTHER,SCENE_CONTEXT,ACTION_CONTACT,caught,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2149,NO,,,
C036,5,OTHER,SCENE_CONTEXT,ACTION_CONTACT,exhibitionism,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,657,NO,,,
C036,5,OTHER,SCENE_CONTEXT,ACTION_CONTACT,glory_hole,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,500,NO,,,
C037,5,RESTRAINT_BDSM,RESTRAINT_IMPLEMENT,OBJECT_PROP,cleave_gag,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,1820,NO,,,
C037,5,RESTRAINT_BDSM,RESTRAINT_IMPLEMENT,OBJECT_PROP,gag,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,1825,NO,,,
C037,5,RESTRAINT_BDSM,RESTRAINT_IMPLEMENT,OBJECT_PROP,knot_gag,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP/DAILY,2512,NO,,,
C038,4,GENITAL,CLOTHING_EXPOSURE,BODY_PART,clitoris_peek,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1023,NO,,,
C038,4,GENITAL,CLOTHING_EXPOSURE,BODY_PART,face_between_breasts,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2857,NO,,,
C039,4,GENITAL,FLUID_STATE_ACTION,BODY_PART,excessive_pussy_juice,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,563,NO,,,
C039,4,GENITAL,FLUID_STATE_ACTION,BODY_PART,pussy_juice_drip_through_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,561,NO,,,
C040,4,GENITAL,INSERTION_STRUCTURED,ACTION_CONTACT,double_anal,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,150,NO,,,
C040,4,GENITAL,INSERTION_STRUCTURED,ACTION_CONTACT,double_vaginal,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,548,NO,,,
C041,4,OTHER,INSERTION_STRUCTURED,ACTION_CONTACT,fingering,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,174,NO,,,
C041,4,OTHER,INSERTION_STRUCTURED,ACTION_CONTACT,fisting,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,193,NO,,,
C042,4,OTHER,NONHUMAN_INTERACTION,ACTION_CONTACT,grabbing_tentacle,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1867,NO,,,
C042,4,OTHER,NONHUMAN_INTERACTION,ACTION_CONTACT,holding_tentacle,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1868,NO,,,
C043,4,OTHER,RELATION_ROLE_CONTEXT,ACTION_CONTACT,femdom,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2182,NO,,,
C043,4,OTHER,RELATION_ROLE_CONTEXT,ACTION_CONTACT,pet_play,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1921,NO,,,
C044,4,RESTRAINT_BDSM,,ACTION_CONTACT,belt_bondage,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2455,NO,,,
C044,4,RESTRAINT_BDSM,,ACTION_CONTACT,hair_bondage,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2446,NO,,,
C045,4,SEX_ACT,,ACTION_CONTACT,ball_insertion,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,936,NO,,,
C045,4,SEX_ACT,,ACTION_CONTACT,masturbating_together,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,910,NO,,,
C046,4,SEX_ACT,CONTEXT_MODIFIER,ACTION_CONTACT,after_footjob,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,8,NO,,,
C046,4,SEX_ACT,CONTEXT_MODIFIER,ACTION_CONTACT,implied_object_insertion,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,986,NO,,,
C047,3,OTHER,,(none),dshk,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,,,NO,,,
C047,3,OTHER,,(none),enpera,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,,,NO,,,
C048,3,BODY_APPEARANCE,BODY_STATE,BODY_PART,huge_ass,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2804,NO,,,
C048,3,BODY_APPEARANCE,BODY_STATE,BODY_PART,mole_on_thigh,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2829,NO,,,
C049,3,FLUID_EXCRETION,FLUID_STATE_ACTION,BODY_PART,pee,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1983,NO,,,
C049,3,FLUID_EXCRETION,FLUID_STATE_ACTION,BODY_PART,pee_puddle,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1985,NO,,,
C050,3,GENITAL,CLOTHING_EXPOSURE,CLOTHING_STATE_EXPOSURE,clothes_between_exposed_breasts,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2890,NO,,,
C050,3,GENITAL,CLOTHING_EXPOSURE,CLOTHING_STATE_EXPOSURE,covering_breasts,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2304,NO,,,
C051,3,GENITAL,CLOTHING_EXPOSURE,POSE_MOVEMENT,arm_between_breasts,P1_SPECIAL_OR_OVERLAP,YES,YES,POSE_MOVEMENT,2851,NO,,,
C051,3,GENITAL,CLOTHING_EXPOSURE,POSE_MOVEMENT,arms_under_breasts,P1_SPECIAL_OR_OVERLAP,YES,YES,POSE_MOVEMENT,2820,NO,,,
C052,3,GENITAL,IMPLEMENT_OBJECT,BODY_PART,nipple_piercing,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,731,NO,,,
C052,3,GENITAL,IMPLEMENT_OBJECT,BODY_PART,scrotum_piercing,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1049,NO,,,
C053,3,GENITAL,RESTRAINT_IMPLEMENT,ACTION_CONTACT,anal_hook,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1813,NO,,,
C053,3,GENITAL,RESTRAINT_IMPLEMENT,ACTION_CONTACT,clitoris_clamp,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1720,NO,,,
C054,3,OTHER,,BODY_PART,between_labia,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,848,NO,,,
C054,3,OTHER,,BODY_PART,glans,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2747,NO,,,
C055,3,OTHER,,CLOTHING_STATE_EXPOSURE,convenient_tentacle,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,1864,NO,,,
C055,3,OTHER,,CLOTHING_STATE_EXPOSURE,removing_maebari,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2499,NO,,,
C056,3,OTHER,,OBJECT_PROP,black_chastity_cage,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,1066,NO,,,
C056,3,OTHER,,OBJECT_PROP,chastity_cage_strap,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,951,NO,,,
C057,3,OTHER,FLUID_STATE_ACTION,ACTION_CONTACT,facial,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,367,NO,,,
C057,3,OTHER,FLUID_STATE_ACTION,ACTION_CONTACT,gokkun,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,369,NO,,,
C058,3,OTHER,MULTI_ACTOR_INTERACTION,ACTION_CONTACT,mutual_fingering,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,897,NO,,,
