canonical_tag,home_copyright,v2_resolution_route,authority_scope,authority_type,source_provenance,evidence_url,evidence_claim,family,base_character
aaron_(pokemon),pokemon,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,pokemon,
aaron_huton_(cyphers),cyphers,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,cyphers,
aatrox_(league),league_of_legends,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv,https://www.leagueoflegends.com/ja-jp/champions/,Reviewed reusable qualifier-family authority,league,
abaddon_(haunted_hotel),haunted_hotel,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,haunted_hotel,
abarai_renji,bleach,DIRECT_CHARACTER,DIRECT_CHARACTER,OFFICIAL_ANIME_CHARACTER_ROSTER,docs\issue180\autonomous\decisions\roster_verified_v4.csv,https://bleach-anime.com/character/,The official anime character directory lists Abarai Renji as a character.,,
abbadomon_core,digimon,DIRECT_CHARACTER,DIRECT_CHARACTER,OFFICIAL_DIGIMON_ENCYCLOPEDIA_ROSTER,docs\issue180\autonomous\decisions\roster_verified_v4.csv,https://digimon.net/reference_en/,The official Digimon Encyclopedia roster lists Abbadomon Core (entry abbadomoncore) as a Digimon.,,
abby_(kpop_demon_hunters),kpop_demon_hunters,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,kpop_demon_hunters,
abby_(wuthering_waves),wuthering_waves,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,wuthering_waves,
abe_(nikke),goddess_of_victory:_nikke,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv,https://nikke-en.com/,Reviewed reusable qualifier-family authority,nikke,
abe_no_seimei_(onmyoji),onmyoji,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,onmyoji,
abel_(street_fighter),street_fighter,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv,https://www.streetfighter.com/6/ja-jp/character,Reviewed reusable qualifier-family authority,street_fighter,
abercrombie_(azur_lane),azur_lane,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,azur_lane,
abigail_(black_survival),black_survival,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv,https://playeternalreturn.com/,Reviewed reusable qualifier-family authority,black_survival,
abigail_(stardew_valley),stardew_valley,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,stardew_valley,
abigail_williams_(fate),fate_(series),FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_CANONICAL_ROOT,docs\issue180\autonomous\decisions\family_terminal_reviews_v2.csv,https://typemoon.com/game/,"TYPE-MOON's official game catalog lists multiple Fate titles under the same creator catalog, while the official FGO site identifies Fate/Grand Order as a Fate RPG.",fate,
abomasnow,pokemon,DIRECT_CHARACTER,DIRECT_CHARACTER,CURATED_POKEDEX_ROSTER,docs\issue180\autonomous\decisions\roster_verified_v4.csv,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_National_Pok%C3%A9dex_number,National Pokedex table entry #0460 explicitly names the Pokemon species Abomasnow.,,
abra,pokemon,DIRECT_CHARACTER,DIRECT_CHARACTER,CURATED_POKEDEX_ROSTER,docs\issue180\autonomous\decisions\roster_verified_v4.csv,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_National_Pok%C3%A9dex_number,National Pokedex table entry #0063 explicitly names the Pokemon species Abra.,,
absinthe_(arknights),arknights,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,arknights,
absol,pokemon,DIRECT_CHARACTER,DIRECT_CHARACTER,CURATED_POKEDEX_ROSTER,docs\issue180\autonomous\decisions\roster_verified_v4.csv,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_National_Pok%C3%A9dex_number,National Pokedex table entry #0359 explicitly names the Pokemon species Absol.,,
abstraction_(the_amazing_digital_circus),the_amazing_digital_circus,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,the_amazing_digital_circus,
abukuma_(kancolle),kantai_collection,DIRECT_CHARACTER,DIRECT_CHARACTER,OFFICIAL_GAME_CHARACTER_ROSTER,docs\issue180\autonomous\decisions\roster_verified_v4.csv,https://kancolle-a.sega.jp/players/special/timeline/,SEGA's official KanColle Arcade historical shipgirl roster explicitly lists 阿武隈; this is the named shipgirl or remodel abukuma_(kancolle).,kancolle,
abukuma_kai_ni_(kancolle),kantai_collection,DIRECT_CHARACTER,DIRECT_CHARACTER,OFFICIAL_GAME_CHARACTER_ROSTER,docs\issue180\autonomous\decisions\roster_verified_v4.csv,https://kancolle-a.sega.jp/players/special/timeline/,SEGA's official KanColle Arcade historical shipgirl roster explicitly lists 阿武隈改二; this is the named shipgirl or remodel abukuma_kai_ni_(kancolle).,kancolle,
abyss_mage_(genshin_impact),genshin_impact,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv,https://genshin.hoyoverse.com/,Reviewed reusable qualifier-family authority,genshin_impact,
abyssal_admiral_(kancolle),kantai_collection,FAMILY_QUALIFIER,FAMILY_QUALIFIER,OFFICIAL_TITLE_CATALOG_ALIAS,docs\issue180\autonomous\decisions\family_terminal_reviews_v2.csv,https://kancolle-anime.jp/character/,"Official Kantai Collection character page names the work and lists its ship-girl cast, including Fubuki, Mutsuki, Yuudachi, Shimakaze, and Kongou.",kancolle,
accelerator_(toaru_majutsu_no_index),toaru_majutsu_no_index,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,toaru_majutsu_no_index,
accelgor,pokemon,DIRECT_CHARACTER,DIRECT_CHARACTER,CURATED_POKEDEX_ROSTER,docs\issue180\autonomous\decisions\roster_verified_v4.csv,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_National_Pok%C3%A9dex_number,National Pokedex table entry #0617 explicitly names the Pokemon species Accelgor.,,
ace_(arknights),arknights,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,arknights,
ace_trainer_(pokemon),pokemon,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,pokemon,
acerola_(pokemon),pokemon,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,pokemon,
acheron_(honkai:_star_rail),honkai:_star_rail,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,honkai:_star_rail,
achilles_(fate),fate_(series),FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_CANONICAL_ROOT,docs\issue180\autonomous\decisions\family_terminal_reviews_v2.csv,https://typemoon.com/game/,"TYPE-MOON's official game catalog lists multiple Fate titles under the same creator catalog, while the official FGO site identifies Fate/Grand Order as a Fate RPG.",fate,
acid_(maimai),maimai_(game),FAMILY_QUALIFIER,FAMILY_QUALIFIER,SEGA_OFFICIAL_GAME_AND_CHARACTER_ROSTER,docs\issue180\autonomous\decisions\family_terminal_reviews_v2.csv,https://maimai.sega.jp/maimai_finale/chara/,"SEGA's official maimai FiNALE character page identifies maimai and lists named original game characters such as Shama, Milk, Otohime, Raz, Chiffon, and Salt.",maimai,
aciddrop_(arknights),arknights,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,arknights,
acolyte_(ragnarok_online),ragnarok_online,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv,https://ragnarokonline.gungho.jp/,Reviewed reusable qualifier-family authority,ragnarok_online,
acrobatic_silky_(dandadan),dandadan,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,dandadan,
acura_(gunvolt),azure_striker_gunvolt,DIRECT_CHARACTER,DIRECT_CHARACTER,INTI_CREATES_OFFICIAL_GUNVOLT_SERIES_CONTEXT,OFFICIAL_ROOT_BATCH04_V1.csv,https://gunvolt.com/TE/,Migrated from second-reviewed Issue #180 authority ledger v1,gunvolt,
adam_(hazbin_hotel),hazbin_hotel,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,hazbin_hotel,
adam_(honkai_impact),honkai_impact_3rd,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv,https://honkaiimpact3.hoyoverse.com/,Reviewed reusable qualifier-family authority,honkai_impact,
adam_(nier:automata),nier:automata,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,nier:automata,
adaman_(pokemon),pokemon,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,pokemon,
adaman_(special_costume)_(pokemon),pokemon,VARIANT_CHARACTER,VARIANT_CHARACTER,POKEMON_MASTERS_OFFICIAL_SYNC_PAIR,docs\issue180\autonomous\decisions\variants_verified_v4.csv,https://pokemonmasters-game.com/en-US/announcements/BSearch_6020_3W_1,The official Pokémon Masters EX notice identifies Adaman (Special Costume) & Ursaluna as a Costume Sync Pair.,pokemon,
add_(elsword),elsword,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv,https://elsword.koggames.com/characters/,Reviewed reusable qualifier-family authority,elsword,
add_(fate),fate_(series),FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_CANONICAL_ROOT,docs\issue180\autonomous\decisions\family_terminal_reviews_v2.csv,https://typemoon.com/game/,"TYPE-MOON's official game catalog lists multiple Fate titles under the same creator catalog, while the official FGO site identifies Fate/Grand Order as a Fate RPG.",fate,
ade_(nikke),goddess_of_victory:_nikke,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv,https://nikke-en.com/,Reviewed reusable qualifier-family authority,nikke,
adela_(path_to_nowhere),path_to_nowhere,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv,https://ptn.aisnogames.com/,Reviewed reusable qualifier-family authority,path_to_nowhere,
adelbert_(madoka_magica),mahou_shoujo_madoka_magica,FAMILY_QUALIFIER,FAMILY_QUALIFIER,OFFICIAL_TITLE_CATALOG_ALIAS,docs\issue180\autonomous\decisions\family_terminal_reviews_v2.csv,https://www.madoka-magica.com/tv/youtube-streaming/character/,"Official Madoka Magica character page identifies the television title and its named principal cast, including Madoka Kaname, Homura Akemi, Mami Tomoe, Sayaka Miki, and Kyoko Sakura.",madoka_magica,
adele_(fate),fate_(series),FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_CANONICAL_ROOT,docs\issue180\autonomous\decisions\family_terminal_reviews_v2.csv,https://typemoon.com/game/,"TYPE-MOON's official game catalog lists multiple Fate titles under the same creator catalog, while the official FGO site identifies Fate/Grand Order as a Fate RPG.",fate,
adele_(maplestory),maplestory,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,maplestory,
adelie_penguin_(kemono_friends),kemono_friends,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,ROOT_REVIEW_BATCH_A_SECOND_REVIEW_V1.csv,https://kemono-friends.jp/,Reviewed reusable qualifier-family authority,kemono_friends,
adeline_(girls'_frontline),girls'_frontline,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,girls'_frontline,
adell_(disgaea),disgaea,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv,https://disgaea.jp/,Reviewed reusable qualifier-family authority,disgaea,
adler_(signalis),signalis,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,signalis,
admi_(nikke),goddess_of_victory:_nikke,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv,https://nikke-en.com/,Reviewed reusable qualifier-family authority,nikke,
admiral_(kancolle),kantai_collection,FAMILY_QUALIFIER,FAMILY_QUALIFIER,OFFICIAL_TITLE_CATALOG_ALIAS,docs\issue180\autonomous\decisions\family_terminal_reviews_v2.csv,https://kancolle-anime.jp/character/,"Official Kantai Collection character page names the work and lists its ship-girl cast, including Fubuki, Mutsuki, Yuudachi, Shimakaze, and Kongou.",kancolle,
admiral_(warship_girls_r),warship_girls_r,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv,https://www.moefantasy.co.jp/,Reviewed reusable qualifier-family authority,warship_girls_r,
admiral_graf_spee_(azur_lane),azur_lane,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,azur_lane,
admiral_hipper_(azur_lane),azur_lane,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,azur_lane,
admiral_nakhimov_(azur_lane),azur_lane,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,azur_lane,
admiral_zenker_(azur_lane),azur_lane,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,azur_lane,
admire_groove_(umamusume),umamusume,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,umamusume,
admire_vega's_twin_sister_(umamusume),umamusume,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,umamusume,
admire_vega_(umamusume),umamusume,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,umamusume,
adnachiel_(arknights),arknights,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,arknights,
adon_(street_fighter),street_fighter,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv,https://www.streetfighter.com/6/ja-jp/character,Reviewed reusable qualifier-family authority,street_fighter,
adventurer_(ff11),final_fantasy_xi,FAMILY_QUALIFIER,FAMILY_QUALIFIER,OFFICIAL_TITLE_CATALOG_ALIAS,docs\issue180\autonomous\decisions\family_terminal_reviews_v2.csv,https://jp.finalfantasy.com/titles/finalfantasy11,Square Enix title page explicitly identifies FINAL FANTASY XI and contains its story and CHARACTER section.,ff11,
adventurer_(ff14),final_fantasy_xiv,FAMILY_QUALIFIER,FAMILY_QUALIFIER,OFFICIAL_TITLE_CATALOG_ALIAS,docs\issue180\autonomous\decisions\family_terminal_reviews_v2.csv,https://jp.finalfantasy.com/titles/finalfantasy14,Square Enix title page explicitly identifies FINAL FANTASY XIV and contains its story and CHARACTER section.,ff14,
aedon_(genshin_impact),genshin_impact,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv,https://genshin.hoyoverse.com/,Reviewed reusable qualifier-family authority,genshin_impact,
