subject_type,subject_key,relation_type,object_key,authority_type,evidence_basis,source_url,source_claim,review_state,source_provenance,migration_class
Family,7th_dragon_series,FAMILY_HOME,7th_dragon_(series),EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '7th_dragon_series' equals the unique in-catalog Copyright root '7th_dragon_(series)'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=7th_dragon_series; candidate_root_hint=7th_dragon_(series); state=PASS,SAFE_TO_MIGRATE
Family,9-nine-,FAMILY_HOME,9-nine-,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '9-nine-' equals the unique in-catalog Copyright root '9-nine-'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=9-nine-; candidate_root_hint=9-nine-; state=PASS,SAFE_TO_MIGRATE
Family,a-soul,FAMILY_HOME,a-soul,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'a-soul' equals the unique in-catalog Copyright root 'a-soul'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=a-soul; candidate_root_hint=a-soul; state=PASS,SAFE_TO_MIGRATE
Family,a_date_with_death,FAMILY_HOME,a_date_with_death,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'a_date_with_death' equals the unique in-catalog Copyright root 'a_date_with_death'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=a_date_with_death; candidate_root_hint=a_date_with_death; state=PASS,SAFE_TO_MIGRATE
Family,a_hat_in_time,FAMILY_HOME,a_hat_in_time,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'a_hat_in_time' equals the unique in-catalog Copyright root 'a_hat_in_time'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=a_hat_in_time; candidate_root_hint=a_hat_in_time; state=PASS,SAFE_TO_MIGRATE
Family,a_simple_life_with_my_unobtrusive_sister,FAMILY_HOME,a_simple_life_with_my_unobtrusive_sister,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'a_simple_life_with_my_unobtrusive_sister' equals the unique in-catalog Copyright root 'a_simple_life_with_my_unobtrusive_sister'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=a_simple_life_with_my_unobtrusive_sister; candidate_root_hint=a_simple_life_with_my_unobtrusive_sister; state=PASS,SAFE_TO_MIGRATE
Family,a_summer's_end:_hong_kong_1986,FAMILY_HOME,a_summer's_end:_hong_kong_1986,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,"Second-reviewed Issue #180 exact qualifier review: family key ""a_summer's_end:_hong_kong_1986"" equals the unique in-catalog Copyright root ""a_summer's_end:_hong_kong_1986""; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.",VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=a_summer's_end:_hong_kong_1986; candidate_root_hint=a_summer's_end:_hong_kong_1986; state=PASS,SAFE_TO_MIGRATE
Family,aa_megami-sama,FAMILY_HOME,aa_megami-sama,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'aa_megami-sama' equals the unique in-catalog Copyright root 'aa_megami-sama'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=aa_megami-sama; candidate_root_hint=aa_megami-sama; state=PASS,SAFE_TO_MIGRATE
Family,absolute_dc,FAMILY_HOME,absolute_dc,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'absolute_dc' equals the unique in-catalog Copyright root 'absolute_dc'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=absolute_dc; candidate_root_hint=absolute_dc; state=PASS,SAFE_TO_MIGRATE
Family,ace_attorney,FAMILY_HOME,ace_attorney,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'ace_attorney' equals the unique in-catalog Copyright root 'ace_attorney'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=ace_attorney; candidate_root_hint=ace_attorney; state=PASS,SAFE_TO_MIGRATE
Family,ace_combat,FAMILY_HOME,ace_combat,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'ace_combat' equals the unique in-catalog Copyright root 'ace_combat'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=ace_combat; candidate_root_hint=ace_combat; state=PASS,SAFE_TO_MIGRATE
Family,advance_wars,FAMILY_HOME,advance_wars,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'advance_wars' equals the unique in-catalog Copyright root 'advance_wars'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=advance_wars; candidate_root_hint=advance_wars; state=PASS,SAFE_TO_MIGRATE
Family,adventure_time,FAMILY_HOME,adventure_time,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'adventure_time' equals the unique in-catalog Copyright root 'adventure_time'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=adventure_time; candidate_root_hint=adventure_time; state=PASS,SAFE_TO_MIGRATE
Family,aespa,FAMILY_HOME,aespa,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'aespa' equals the unique in-catalog Copyright root 'aespa'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=aespa; candidate_root_hint=aespa; state=PASS,SAFE_TO_MIGRATE
Family,aether_gazer,FAMILY_HOME,aether_gazer,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'aether_gazer' equals the unique in-catalog Copyright root 'aether_gazer'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=aether_gazer; candidate_root_hint=aether_gazer; state=PASS,SAFE_TO_MIGRATE
Family,agent_aika,FAMILY_HOME,agent_aika,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'agent_aika' equals the unique in-catalog Copyright root 'agent_aika'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=agent_aika; candidate_root_hint=agent_aika; state=PASS,SAFE_TO_MIGRATE
Family,agent_mirai,FAMILY_HOME,agent_mirai,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'agent_mirai' equals the unique in-catalog Copyright root 'agent_mirai'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=agent_mirai; candidate_root_hint=agent_mirai; state=PASS,SAFE_TO_MIGRATE
Family,ai_the_somnium_files,FAMILY_HOME,ai_the_somnium_files,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'ai_the_somnium_files' equals the unique in-catalog Copyright root 'ai_the_somnium_files'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=ai_the_somnium_files; candidate_root_hint=ai_the_somnium_files; state=PASS,SAFE_TO_MIGRATE
Family,aikatsu_friends!,FAMILY_HOME,aikatsu_friends!,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'aikatsu_friends!' equals the unique in-catalog Copyright root 'aikatsu_friends!'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=aikatsu_friends!; candidate_root_hint=aikatsu_friends!; state=PASS,SAFE_TO_MIGRATE
Family,aitsu_no_kanojo,FAMILY_HOME,aitsu_no_kanojo,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'aitsu_no_kanojo' equals the unique in-catalog Copyright root 'aitsu_no_kanojo'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=aitsu_no_kanojo; candidate_root_hint=aitsu_no_kanojo; state=PASS,SAFE_TO_MIGRATE
Family,aiyoku_shimai_lolita,FAMILY_HOME,aiyoku_shimai_lolita,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'aiyoku_shimai_lolita' equals the unique in-catalog Copyright root 'aiyoku_shimai_lolita'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=aiyoku_shimai_lolita; candidate_root_hint=aiyoku_shimai_lolita; state=PASS,SAFE_TO_MIGRATE
Family,akagami_no_shirayukihime,FAMILY_HOME,akagami_no_shirayukihime,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'akagami_no_shirayukihime' equals the unique in-catalog Copyright root 'akagami_no_shirayukihime'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=akagami_no_shirayukihime; candidate_root_hint=akagami_no_shirayukihime; state=PASS,SAFE_TO_MIGRATE
Family,akame_ga_kill!,FAMILY_HOME,akame_ga_kill!,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'akame_ga_kill!' equals the unique in-catalog Copyright root 'akame_ga_kill!'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=akame_ga_kill!; candidate_root_hint=akame_ga_kill!; state=PASS,SAFE_TO_MIGRATE
Family,akatsuki_no_yona,FAMILY_HOME,akatsuki_no_yona,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'akatsuki_no_yona' equals the unique in-catalog Copyright root 'akatsuki_no_yona'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=akatsuki_no_yona; candidate_root_hint=akatsuki_no_yona; state=PASS,SAFE_TO_MIGRATE
Family,akazukin_chacha,FAMILY_HOME,akazukin_chacha,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'akazukin_chacha' equals the unique in-catalog Copyright root 'akazukin_chacha'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=akazukin_chacha; candidate_root_hint=akazukin_chacha; state=PASS,SAFE_TO_MIGRATE
Family,akudama_drive,FAMILY_HOME,akudama_drive,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'akudama_drive' equals the unique in-catalog Copyright root 'akudama_drive'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=akudama_drive; candidate_root_hint=akudama_drive; state=PASS,SAFE_TO_MIGRATE
Family,akuyome,FAMILY_HOME,akuyome,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'akuyome' equals the unique in-catalog Copyright root 'akuyome'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=akuyome; candidate_root_hint=akuyome; state=PASS,SAFE_TO_MIGRATE
Family,alchemy_stars,FAMILY_HOME,alchemy_stars,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'alchemy_stars' equals the unique in-catalog Copyright root 'alchemy_stars'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=alchemy_stars; candidate_root_hint=alchemy_stars; state=PASS,SAFE_TO_MIGRATE
Family,algorhythm_project,FAMILY_HOME,algorhythm_project,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'algorhythm_project' equals the unique in-catalog Copyright root 'algorhythm_project'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=algorhythm_project; candidate_root_hint=algorhythm_project; state=PASS,SAFE_TO_MIGRATE
Family,alien_nine,FAMILY_HOME,alien_nine,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'alien_nine' equals the unique in-catalog Copyright root 'alien_nine'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=alien_nine; candidate_root_hint=alien_nine; state=PASS,SAFE_TO_MIGRATE
Family,alien_stage,FAMILY_HOME,alien_stage,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'alien_stage' equals the unique in-catalog Copyright root 'alien_stage'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=alien_stage; candidate_root_hint=alien_stage; state=PASS,SAFE_TO_MIGRATE
Family,all_saints_street,FAMILY_HOME,all_saints_street,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'all_saints_street' equals the unique in-catalog Copyright root 'all_saints_street'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=all_saints_street; candidate_root_hint=all_saints_street; state=PASS,SAFE_TO_MIGRATE
Family,all_wishes_come_true!,FAMILY_HOME,all_wishes_come_true!,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'all_wishes_come_true!' equals the unique in-catalog Copyright root 'all_wishes_come_true!'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=all_wishes_come_true!; candidate_root_hint=all_wishes_come_true!; state=PASS,SAFE_TO_MIGRATE
Family,alps_no_shoujo_heidi,FAMILY_HOME,alps_no_shoujo_heidi,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key 'alps_no_shoujo_heidi' equals the unique in-catalog Copyright root 'alps_no_shoujo_heidi'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=alps_no_shoujo_heidi; candidate_root_hint=alps_no_shoujo_heidi; state=PASS,SAFE_TO_MIGRATE
