row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file,seed_shortlist_source,seed_provisional_verdict,seed_proposed_display_ja,seed_proposed_search_ja,seed_evidence_ref,seed_audit_note
I70-037087,esse_series,Copyright,1049,Esseシリーズ,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037120,tolkien's_legendarium,Copyright,1001,トールキンの伝説体系,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037154,gameoverse,Copyright,965,Gameoverse,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037217,motto!_haramase!_(series),Copyright,908,もっと！孕ませ！シリーズ,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037248,the_tale_of_food,Copyright,885,食物語,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037290,pixiv_fantasia_fallen_kings,Copyright,843,pixivファンタジア Fallen Kings,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037321,morenatsu,Copyright,810,漏れなつ。,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037363,afk_(series),Copyright,768,AFKシリーズ,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037370,the_scum_villain's_self-saving_system,Copyright,760,人渣反派自救系统,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037373,reitaisai_7_contest,Copyright,758,第7回博麗神社例大祭コンテスト,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037384,kakyuusei_(series),Copyright,748,下級生,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv,,,,,,
I70-037393,reitaisai_9_contest,Copyright,745,第9回博麗神社例大祭コンテスト,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037456,the_transformers_(idw),Copyright,699,Transformers（IDW）,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037470,viper_(series),Copyright,691,VIPER,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037472,dream_smp,Copyright,690,Dream SMP,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037479,ben_10_(classic),Copyright,686,BEN 10（クラシック）,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037506,gekitotsu!_joshikousei_oiroke_sensha_gundan,Copyright,668,ゲキトツ！女子高生お色気戦車軍団,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037553,xxl_woofia,Copyright,639,XXL同伴集結,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037638,magnet_(vocaloid),Copyright,600,magnet,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037642,wactor_production,Copyright,598,WACTOR,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037679,qurare_magic_library,Copyright,580,QURARE：魔法図書館,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037734,medium5,Copyright,557,MEDIUM5,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037744,xinyue_tongxing,Copyright,553,新月同行,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037753,pukey_goddess_shot_trick,Copyright,550,ピューキーゴッデスショットトリック,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037777,prism_project,Copyright,539,PRISM Project,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037779,enjo_kouhai,Copyright,538,援助交配,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037782,sonic_the_hedgehog_(idw),Copyright,536,IDWソニック,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037808,doukyuusei,Copyright,527,同級生,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv,,,,,,
I70-037816,monsters_raid,Copyright,524,モンスターズ・レイド,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037837,yappari_chinchirando,Copyright,515,やっぱりチンチランド,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037849,meridian_project,Copyright,511,Meridian Project,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037890,false_memory,Copyright,495,False Memory,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037904,reitaisai_10_contest,Copyright,490,博麗神社例大祭10コンテスト,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037939,zhu_xian,Copyright,479,誅仙,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037973,shirokami_project,Copyright,468,白髪教団,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037997,pornhub,Copyright,459,Pornhub,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-038004,jingling_zhi_dan,Copyright,457,精灵之蛋,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-038023,doupo_cangqiong,Copyright,451,斗破苍穹,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-038028,mahou_shoujo_sae,Copyright,450,魔法少女沙枝,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
